,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,24.0859,1430000000.0,C,2s2.2p2,3P,0.0,2s2.2p.(2P*).6d,3D*,1.0,1.0,3.0
1,24.0925,1930000000.0,C,2s2.2p2,3P,1.0,2s2.2p.(2P*).6d,3D*,2.0,3.0,5.0
2,24.0925,1070000000.0,C,2s2.2p2,3P,1.0,2s2.2p.(2P*).6d,3D*,1.0,3.0,3.0
3,24.1037,2560000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).6d,3D*,3.0,5.0,7.0
4,24.1037,641000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).6d,3D*,2.0,5.0,5.0
5,24.6265,3710000000.0,C+,2s2.2p2,1D,2.0,2s.2p2.(2D).3p,1D*,2.0,5.0,5.0
6,24.832,2520000000.0,C+,2s2.2p2,1D,2.0,2s2.2p.(2P*).7d,1F*,3.0,5.0,7.0
7,25.6423,9950000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).4d,5P,1.0,5.0,3.0
8,25.6459,9940000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).4d,5P,2.0,5.0,5.0
9,25.6507,9940000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).4d,5P,3.0,5.0,7.0
10,26.1024,5170000000.0,C+,2s2.2p2,1D,2.0,2s2.2p.(2P*).5d,1F*,3.0,5.0,7.0
11,26.2111,2260000000.0,C+,2s2.2p2,1D,2.0,2s2.2p.(2P*).5d,1D*,2.0,5.0,5.0
12,26.3694,3320000000.0,C+,2s2.2p2,3P,0.0,2s2.2p.(2P*).4d,3D*,1.0,1.0,3.0
13,26.3727,4480000000.0,C+,2s2.2p2,3P,1.0,2s2.2p.(2P*).4d,3D*,2.0,3.0,5.0
14,26.3773,2490000000.0,C+,2s2.2p2,3P,1.0,2s2.2p.(2P*).4d,3D*,1.0,3.0,3.0
15,26.3817,5970000000.0,C+,2s2.2p2,3P,2.0,2s2.2p.(2P*).4d,3D*,3.0,5.0,7.0
16,26.3861,1490000000.0,C+,2s2.2p2,3P,2.0,2s2.2p.(2P*).4d,3D*,2.0,5.0,5.0
17,26.3907,166000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).4d,3D*,1.0,5.0,3.0
18,26.4258,2340000000.0,C+,2s2.2p2,3P,0.0,2s.2p2.(4P).3p,3P*,1.0,1.0,3.0
19,26.4325,7030000000.0,C+,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3P*,0.0,3.0,1.0
20,26.4337,1760000000.0,C+,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3P*,1.0,3.0,3.0
21,26.4346,1760000000.0,C+,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3P*,2.0,3.0,5.0
22,26.4472,2920000000.0,C+,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3P*,1.0,5.0,3.0
23,26.4481,5260000000.0,C+,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3P*,2.0,5.0,5.0
24,26.6972,3690000000.0,C+,2s2.2p2,3P,0.0,2s.2p2.(4P).3p,3D*,1.0,1.0,3.0
25,26.6987,4980000000.0,C+,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3D*,2.0,3.0,5.0
26,26.7031,6630000000.0,C+,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3D*,3.0,5.0,7.0
27,26.7052,2760000000.0,C+,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3D*,1.0,3.0,3.0
28,26.7124,1660000000.0,C+,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3D*,2.0,5.0,5.0
29,26.719,184000000.0,C,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3D*,1.0,5.0,3.0
30,27.1395,791000000.0,C,2s.2p3,5S*,2.0,2s.2p2.(4P).4s,5P,3.0,5.0,7.0
31,27.1516,790000000.0,C,2s.2p3,5S*,2.0,2s.2p2.(4P).4s,5P,2.0,5.0,5.0
32,27.1609,789000000.0,C,2s.2p3,5S*,2.0,2s.2p2.(4P).4s,5P,1.0,5.0,3.0
33,27.5368,1220000000.0,C,2s2.2p2,3P,1.0,2s.2p2.(4P).3p,3S*,1.0,3.0,3.0
34,27.5515,2020000000.0,C,2s2.2p2,3P,2.0,2s.2p2.(4P).3p,3S*,1.0,5.0,3.0
35,27.7386,9430000000.0,B,2s2.2p2,1D,2.0,2s2.2p.(2P*).4d,1F*,3.0,5.0,7.0
36,27.9788,4250000000.0,C+,2s2.2p2,1D,2.0,2s2.2p.(2P*).4d,1D*,2.0,5.0,5.0
37,29.5621,21600000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).3d,5P,1.0,5.0,3.0
38,29.5655,21600000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).3d,5P,2.0,5.0,5.0
39,29.5716,21600000000.0,C+,2s.2p3,5S*,2.0,2s.2p2.(4P).3d,5P,3.0,5.0,7.0
40,29.5942,5560000000.0,C+,2s2.2p2,1S,0.0,2s2.2p.(2P*).4d,1P*,1.0,1.0,3.0
41,30.3413,4290000000.0,C,2s2.2p2,3P,0.0,2s2.2p.(2P*).3d,3P*,1.0,1.0,3.0
42,30.3461,12900000000.0,C,2s2.2p2,3P,1.0,2s2.2p.(2P*).3d,3P*,0.0,3.0,1.0
43,30.3517,3210000000.0,C,2s2.2p2,3P,1.0,2s2.2p.(2P*).3d,3P*,1.0,3.0,3.0
44,30.3622,3210000000.0,C,2s2.2p2,3P,1.0,2s2.2p.(2P*).3d,3P*,2.0,3.0,5.0
45,30.3695,5340000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).3d,3P*,1.0,5.0,3.0
46,30.38,9610000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).3d,3P*,2.0,5.0,5.0
47,30.5596,12000000000.0,C+,2s2.2p2,3P,0.0,2s2.2p.(2P*).3d,3D*,1.0,1.0,3.0
48,30.5656,16200000000.0,C+,2s2.2p2,3P,1.0,2s2.2p.(2P*).3d,3D*,2.0,3.0,5.0
49,30.5702,9010000000.0,C+,2s2.2p2,3P,1.0,2s2.2p.(2P*).3d,3D*,1.0,3.0,3.0
50,30.5767,21600000000.0,C+,2s2.2p2,3P,2.0,2s2.2p.(2P*).3d,3D*,3.0,5.0,7.0
51,30.5836,5400000000.0,C+,2s2.2p2,3P,2.0,2s2.2p.(2P*).3d,3D*,2.0,5.0,5.0
52,30.5882,600000000.0,C,2s2.2p2,3P,2.0,2s2.2p.(2P*).3d,3D*,1.0,5.0,3.0
