,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,16.639,0.001,619470000.0,AAA,1s2,1S,0.0,1s.7p,1P*,1.0,1.0,3.0
1,16.727,0.001,982470000.0,AAA,1s2,1S,0.0,1s.6p,1P*,1.0,1.0,3.0
2,16.7257,0.001,16424.0,AAA,1s2,1S,0.0,1s.6d,1D,2.0,1.0,5.0
3,16.7318,0.001,1.56,B,1s2,1S,0.0,1s.6p,3P*,2.0,1.0,5.0
4,16.8738,0.001,1694300000.0,AAA,1s2,1S,0.0,1s.5p,1P*,1.0,1.0,3.0
5,16.8772,0.001,26846.0,AAA,1s2,1S,0.0,1s.5d,1D,2.0,1.0,5.0
6,16.888,0.001,2.78,B,1s2,1S,0.0,1s.5p,3P*,2.0,1.0,5.0
7,17.1577,0.001,3298400000.0,AAA,1s2,1S,0.0,1s.4p,1P*,1.0,1.0,3.0
8,17.1635,0.001,46897.0,AAA,1s2,1S,0.0,1s.4d,1D,2.0,1.0,5.0
9,17.1855,0.001,5.33,B,1s2,1S,0.0,1s.4p,3P*,2.0,1.0,5.0
10,17.8014,0.001,7763000000.0,AAA,1s2,1S,0.0,1s.3p,1P*,1.0,1.0,3.0
11,17.8166,0.001,82665.0,AAA,1s2,1S,0.0,1s.3d,1D,2.0,1.0,5.0
12,17.8731,0.001,12.0,B,1s2,1S,0.0,1s.3p,3P*,2.0,1.0,5.0
13,19.9279,0.001,25569000000.0,AAA,1s2,1S,0.0,1s.2p,1P*,1.0,1.0,3.0
14,20.2321,0.001,35.0,A,1s2,1S,0.0,1s.2p,3P*,2.0,1.0,5.0
15,21.0069,0.001,0.02039,AA,1s2,1S,0.0,1s.2s,3S,1.0,1.0,3.0
16,82.2176,0.001,45196000.0,AAA,1s.2s,3S,1.0,1s.6p,3P*,2.0,3.0,5.0
17,82.2181,0.001,45196000.0,AAA,1s.2s,3S,1.0,1s.6p,3P*,1.0,3.0,3.0
18,82.2183,0.001,45197000.0,AAA,1s.2s,3S,1.0,1s.6p,3P*,0.0,3.0,1.0
19,86.1329,0.001,76775000.0,AAA,1s.2s,3S,1.0,1s.5p,3P*,2.0,3.0,5.0
20,86.1333,0.001,76777000.0,AAA,1s.2s,3S,1.0,1s.5p,3P*,1.0,3.0,3.0
21,86.1336,0.001,76778000.0,AAA,1s.2s,3S,1.0,1s.5p,3P*,0.0,3.0,1.0
22,91.221,0.01,26895000.0,AAA,1s.2s,1S,0.0,1s.7p,1P*,1.0,1.0,3.0
23,93.5863,0.001,46005000.0,AAA,1s.2p,3P*,1.0,1s.7d,3D,2.0,3.0,5.0
24,93.5866,0.001,25561000.0,AAA,1s.2p,3P*,1.0,1s.7d,3D,1.0,3.0,3.0
25,93.5877,0.001,61346000.0,AAA,1s.2p,3P*,2.0,1s.7d,3D,3.0,5.0,7.0
26,93.5883,0.001,15335000.0,AAA,1s.2p,3P*,2.0,1s.7d,3D,2.0,5.0,5.0
27,93.5886,0.001,1704100.0,AAA,1s.2p,3P*,2.0,1s.7d,3D,1.0,5.0,3.0
28,93.5913,0.001,34081000.0,AAA,1s.2p,3P*,0.0,1s.7d,3D,1.0,1.0,3.0
29,93.8897,0.001,95.81,AA,1s.2s,1S,0.0,1s.6d,1D,2.0,1.0,5.0
30,93.931,0.01,42318000.0,AAA,1s.2s,1S,0.0,1s.6p,1P*,1.0,1.0,3.0
31,94.0002,0.001,5771500.0,AAA,1s.2p,3P*,1.0,1s.7s,3S,1.0,3.0,3.0
32,94.0022,0.001,9619500.0,AAA,1s.2p,3P*,2.0,1s.7s,3S,1.0,5.0,3.0
33,94.005,0.001,1923800.0,AAA,1s.2p,3P*,0.0,1s.7s,3S,1.0,1.0,3.0
34,94.4718,0.001,143160000.0,AAA,1s.2s,3S,1.0,1s.4p,3P*,2.0,3.0,5.0
35,94.4724,0.001,143160000.0,AAA,1s.2s,3S,1.0,1s.4p,3P*,1.0,3.0,3.0
36,94.4728,0.001,143170000.0,AAA,1s.2s,3S,1.0,1s.4p,3P*,0.0,3.0,1.0
37,96.5113,0.001,75009000.0,AAA,1s.2p,3P*,1.0,1s.6d,3D,2.0,3.0,5.0
38,96.5117,0.001,41676000.0,AAA,1s.2p,3P*,1.0,1s.6d,3D,1.0,3.0,3.0
39,96.5128,0.001,100020000.0,AAA,1s.2p,3P*,2.0,1s.6d,3D,3.0,5.0,7.0
40,96.5135,0.001,25002000.0,AAA,1s.2p,3P*,2.0,1s.6d,3D,2.0,5.0,5.0
41,96.5138,0.001,2778400.0,AAA,1s.2p,3P*,2.0,1s.6d,3D,1.0,5.0,3.0
42,96.5167,0.001,55568000.0,AAA,1s.2p,3P*,0.0,1s.6d,3D,1.0,1.0,3.0
43,97.2188,0.001,9394500.0,AAA,1s.2p,3P*,1.0,1s.6s,3S,1.0,3.0,3.0
44,97.2209,0.001,15658000.0,AAA,1s.2p,3P*,2.0,1s.6s,3S,1.0,5.0,3.0
45,97.2239,0.001,3132000.0,AAA,1s.2p,3P*,0.0,1s.6s,3S,1.0,1.0,3.0
46,98.7554,0.001,71912000.0,AAA,1s.2s,1S,0.0,1s.5p,1P*,1.0,1.0,3.0
47,98.873,0.001,233.73,AAA,1s.2s,1S,0.0,1s.5d,1D,2.0,1.0,5.0
