,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,95.1079,829000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2D,5/2,4.0,6.0
1,95.1295,171000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2D,3/2,4.0,4.0
2,95.2303,11200000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4D,5/2,4.0,6.0
3,95.2415,14500000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4D,3/2,4.0,4.0
4,95.2523,7620000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4D,1/2,4.0,2.0
5,95.3415,190000000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,1/2,4.0,2.0
6,95.3655,181000000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,3/2,4.0,4.0
7,95.397,162000000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4P,5/2,4.0,6.0
8,95.4104,19500000.0,B+,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2F,5/2,4.0,6.0
9,95.5264,337000.0,B+,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4F,5/2,4.0,6.0
10,95.5437,14000.0,B+,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,4F,3/2,4.0,4.0
11,95.5529,263000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2P,1/2,4.0,2.0
12,95.5882,429000.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(3P).3d,2P,3/2,4.0,4.0
13,95.9494,375000.0,B+,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,2P,3/2,4.0,4.0
14,96.0201,169000.0,B+,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,2P,1/2,4.0,2.0
15,96.399,59400000.0,A,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,5/2,4.0,6.0
16,96.4626,56600000.0,A,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,3/2,4.0,4.0
17,96.5041,55200000.0,A,2s2.2p3,4S*,3/2,2s2.2p2.(3P).4s,4P,1/2,4.0,2.0
18,98.0623,333000000.0,C+,2s2.2p3,2D*,5/2,2s.2p4,2D,5/2,6.0,6.0
19,98.0706,22900000.0,C+,2s2.2p3,2D*,3/2,2s.2p4,2D,5/2,4.0,6.0
20,98.9265,99500000.0,C,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2P,3/2,6.0,4.0
21,98.9335,112000000.0,C,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2P,1/2,4.0,2.0
22,98.935,10900000.0,C,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2P,3/2,4.0,4.0
23,99.0773,24900000.0,C+,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2D,3/2,6.0,4.0
24,99.0829,235000000.0,C+,2s2.2p3,2D*,5/2,2s2.2p2.(1D).3d,2D,5/2,6.0,6.0
25,99.0858,226000000.0,C+,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2D,3/2,4.0,4.0
26,99.0914,16500000.0,C+,2s2.2p3,2D*,3/2,2s2.2p2.(1D).3d,2D,5/2,4.0,6.0
27,100.0145,37200000.0,C+,2s2.2p3,2D*,5/2,2s2.2p2.(1D).4s,2D,5/2,6.0,6.0
28,100.0145,3920000.0,C,2s2.2p3,2D*,5/2,2s2.2p2.(1D).4s,2D,3/2,6.0,4.0
29,100.0232,36200000.0,C+,2s2.2p3,2D*,3/2,2s2.2p2.(1D).4s,2D,3/2,4.0,4.0
30,100.0232,2720000.0,C,2s2.2p3,2D*,3/2,2s2.2p2.(1D).4s,2D,5/2,4.0,6.0
31,100.337,186.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(1D).3s,2D,3/2,4.0,4.0
32,100.338,840.0,B,2s2.2p3,4S*,3/2,2s2.2p2.(1D).3s,2D,5/2,4.0,6.0
33,106.7614,35300000.0,C,2s2.2p3,2D*,5/2,2s2.2p2.(3P).5d,2F,7/2,6.0,8.0
34,106.8612,32800000.0,C,2s2.2p3,2D*,3/2,2s2.2p2.(3P).5d,2F,5/2,4.0,6.0
35,108.2706,126000000.0,C+,2s2.2p3,2P*,3/2,2s.2p4,2D,5/2,4.0,6.0
36,109.0191,65500000.0,C,2s2.2p3,2P*,1/2,2s2.2p2.(1D).3d,2S,1/2,2.0,2.0
37,109.0195,131000000.0,C,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2S,1/2,4.0,2.0
38,109.3227,78800000.0,C,2s2.2p3,2P*,1/2,2s2.2p2.(1D).3d,2P,1/2,2.0,2.0
39,109.3232,38500000.0,C,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2P,1/2,4.0,2.0
40,109.3246,19900000.0,C,2s2.2p3,2P*,1/2,2s2.2p2.(1D).3d,2P,3/2,2.0,4.0
41,109.3251,99600000.0,C,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2P,3/2,4.0,4.0
42,109.5088,1150000.0,C,2s2.2p3,2P*,1/2,2s2.2p2.(1D).3d,2D,3/2,2.0,4.0
43,109.5161,1400000.0,C,2s2.2p3,2P*,3/2,2s2.2p2.(1D).3d,2D,5/2,4.0,6.0
44,109.7237,63500000.0,C,2s2.2p3,2D*,5/2,2s2.2p2.(3P).4d,2F,7/2,6.0,8.0
45,109.8155,4230000.0,C,2s2.2p3,2D*,5/2,2s2.2p2.(3P).4d,2F,5/2,6.0,6.0
