,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,30.2447,59500000.0,B,2s2.2p6,1S,0.0,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,1.0,3.0
1,33.3218,16000.0,B,2s2.2p6,1S,0.0,2s2.2p5.3p,3P,2,1.0,5.0
2,33.4236,45000.0,B+,2s2.2p6,1S,0.0,2s2.2p5.3p,1D,2,1.0,5.0
3,33.5981,6400.0,C+,2s2.2p6,1S,0.0,2s2.2p5.3p,3D,2,1.0,5.0
4,37.2075,3130000000.0,B+,2s2.2p6,1S,0.0,2s2.2p5.3s,1P*,1,1.0,3.0
5,37.6379,170000000.0,C,2s2.2p6,1S,0.0,2s2.2p5.3s,3P*,1,1.0,3.0
6,231.636,10500000.0,C+,2s2.2p5.3s,3P*,1.0,2s2.2p5.3p,1S,0,3.0,1.0
7,249.39,415000000.0,A,2s2.2p5.3s,1P*,1.0,2s2.2p5.3p,1S,0,3.0,1.0
8,250.7057,27000000.0,C+,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,3.0,3.0
9,251.6214,22500000.0,C+,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<1/2>).3d,2[3/2]*,2,3.0,5.0
10,253.2301,84400000.0,C+,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,3.0,1.0
11,258.7081,58000000.0,C,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,3.0,3.0
12,259.5735,37100000.0,B,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,1,3.0,3.0
13,266.1789,165000000.0,B+,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,3.0,5.0
14,267.2623,264000000.0,B+,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,3.0,3.0
15,267.8881,301000000.0,B,2s2.2p5.3p,3S,1.0,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0,3.0,1.0
16,281.0347,59500000.0,A,2s2.2p5.3s,3P*,2.0,2s2.2p5.3p,3P,1,5.0,3.0
17,283.0699,33600000.0,B,2s2.2p5.3p,3D,2.0,2s2.2p5.(2P*<1/2>).3d,2[3/2]*,2,5.0,5.0
18,284.2556,89200000.0,A,2s2.2p5.3s,3P*,2.0,2s2.2p5.3p,3P,2,5.0,5.0
19,286.0326,21900000.0,B,2s2.2p5.3s,3P*,2.0,2s2.2p5.3p,1P,1,5.0,3.0
20,287.212,27500000.0,B+,2s2.2p5.3s,3P*,1.0,2s2.2p5.3p,3P,1,3.0,3.0
21,287.38,26300000.0,C+,2s2.2p5.3p,3D,1.0,2s2.2p5.(2P*<1/2>).3d,2[3/2]*,2,3.0,5.0
22,288.1994,250000000.0,A,2s2.2p5.3s,3P*,1.0,2s2.2p5.3p,3P,0,3.0,1.0
