,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,86.68,313000000.0,C+,3s2.3p6,1S,0.0,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1.0,1.0,3.0
1,86.9754,35000000.0,C,3s2.3p6,1S,0.0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1.0,1.0,3.0
2,87.6058,270000000.0,C+,3s2.3p6,1S,0.0,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1.0,1.0,3.0
3,87.9947,77000000.0,C,3s2.3p6,1S,0.0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1.0,1.0,3.0
4,104.822,532000000.0,AA,3s2.3p6,1S,0.0,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,1.0,3.0
5,106.666,132000000.0,A+,3s2.3p6,1S,0.0,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,1.0,3.0
6,394.8622,56000.0,C+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],2.0,5.0,5.0
7,395.0096,460000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1.0,5.0,3.0
8,404.5561,330000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],2.0,3.0,5.0
9,404.7108,41000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1.0,3.0,3.0
10,405.5671,27000.0,C+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],1.0,3.0,3.0
11,415.9763,1400000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],2.0,5.0,5.0
12,416.5353,290000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],1.0,5.0,3.0
13,418.3062,560000.0,B,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0.0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1.0,1.0,3.0
14,419.1894,280000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<3/2>).5p,2[5/2],2.0,5.0,5.0
15,419.221,540000.0,C+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],1.0,1.0,3.0
16,419.95,2570000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[1/2],0.0,3.0,1.0
17,420.1858,970000.0,B+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<3/2>).5p,2[5/2],3.0,5.0,7.0
18,425.2382,111000.0,C+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2.0,3s2.3p5.(2P*<3/2>).5p,2[1/2],1.0,5.0,3.0
19,426.0561,3980000.0,B+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[1/2],0.0,3.0,1.0
20,426.7487,310000.0,C+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],2.0,3.0,5.0
21,427.3371,800000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],1.0,3.0,3.0
22,430.1311,377000.0,B+,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[5/2],2.0,3.0,5.0
23,433.478,570000.0,B+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],2.0,3.0,5.0
24,433.6557,390000.0,C+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[1/2],1.0,3.0,3.0
25,434.6389,300000.0,B,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<1/2>).5p,2[3/2],1.0,3.0,3.0
26,436.5021,12000.0,B,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[1/2],1.0,3.0,3.0
27,442.5237,7300.0,C+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],1.0,1.0,3.0
28,451.1999,1180000.0,B+,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[1/2],0.0,3.0,1.0
29,452.3592,90000.0,B,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0.0,3s2.3p5.(2P*<3/2>).5p,2[1/2],1.0,1.0,3.0
30,459.0575,6200.0,C,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1.0,3s2.3p5.(2P*<3/2>).5p,2[3/2],2.0,3.0,5.0
