,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,23.434716061,1.1e-08,315810000.0,AA,1s,2S,1/2,6p,2P*,3/2,2,4
1,23.434727975,1.1e-08,315810000.0,AA,1s,2S,1/2,6p,2P*,1/2,2,2
2,23.733066411,1.1e-08,550280000.0,AA,1s,2S,1/2,5p,2P*,3/2,2,4
3,23.733087525,1.1e-08,550280000.0,AA,1s,2S,1/2,5p,2P*,1/2,2,2
4,24.302644454,1.2e-08,1091500000.0,AA,1s,2S,1/2,4p,2P*,3/2,2,4
5,24.302687696,1.2e-08,1091500000.0,AA,1s,2S,1/2,4p,2P*,1/2,2,2
6,25.631656279,1.3e-08,2677400000.0,AA,1s,2S,1/2,3p,2P*,3/2,2,4
7,25.631770296,1.3e-08,2677400000.0,AA,1s,2S,1/2,3p,2P*,1/2,2,2
8,30.378040982,1.8e-08,10029000000.0,AA,1s,2S,1/2,2p,2P*,3/2,2,4
9,30.378581505,1.8e-08,10029000000.0,AA,1s,2S,1/2,2p,2P*,1/2,2,2
10,102.524082643,6e-09,68642000.0,AA,2p,2P*,1/2,6d,2D,3/2,2,4
11,102.524291871,5e-09,3922300.0,AA,2p,2P*,1/2,6s,2S,1/2,2,2
12,102.524574582,2.1e-08,45759000.0,AA,2s,2S,1/2,6p,2P*,3/2,2,4
13,102.524802604,2.1e-08,45760000.0,AA,2s,2S,1/2,6p,2P*,1/2,2,2
14,102.530163571,5e-09,82356000.0,AA,2p,2P*,3/2,6d,2D,5/2,4,6
15,102.530239581,5e-09,13726000.0,AA,2p,2P*,3/2,6d,2D,3/2,4,4
16,102.530448834,4e-09,7844400.0,AA,2p,2P*,3/2,6s,2S,1/2,4,2
17,108.490747081,9e-09,125750000.0,AA,2p,2P*,1/2,5d,2D,3/2,2,4
18,108.491151963,7e-09,6876800.0,AA,2p,2P*,1/2,5s,2S,1/2,2,2
19,108.49129764,2.4e-08,79218000.0,AA,2s,2S,1/2,5p,2P*,3/2,2,4
20,108.49173886,2.4e-08,79219000.0,AA,2s,2S,1/2,5p,2P*,1/2,2,2
21,108.497494457,8e-09,150870000.0,AA,2p,2P*,3/2,5d,2D,5/2,4,6
22,108.497641536,8e-09,25145000.0,AA,2p,2P*,3/2,5d,2D,3/2,4,4
23,108.49804647,5e-09,13753000.0,AA,2p,2P*,3/2,5s,2S,1/2,4,2
24,121.508809272,1.5e-08,275180000.0,AA,2p,2P*,1/2,4d,2D,3/2,2,4
25,121.50949901,3e-08,154780000.0,AA,2s,2S,1/2,4p,2P*,3/2,2,4
26,121.509801339,7e-09,13758000.0,AA,2p,2P*,1/2,4s,2S,1/2,2,2
27,121.51058,3e-08,154780000.0,AA,2s,2S,1/2,4p,2P*,1/2,2,2
28,121.517097283,1.3e-08,330150000.0,AA,2p,2P*,3/2,4d,2D,5/2,4,6
29,121.517457624,1.3e-08,55024000.0,AA,2p,2P*,3/2,4d,2D,3/2,4,4
30,121.518449833,6e-09,27515000.0,AA,2p,2P*,3/2,4s,2S,1/2,4,2
31,164.033212826,1.3e-08,862590000.0,AA,2p,2P*,1/2,3d,2D,3/2,2,4
32,164.03446542,5e-08,359390000.0,AA,2s,2S,1/2,3p,2P*,3/2,2,4
33,164.037499364,1.9e-08,33693000.0,AA,2p,2P*,1/2,3s,2S,1/2,2,2
34,164.03913521,5e-08,359390000.0,AA,2s,2S,1/2,3p,2P*,1/2,2,2
35,164.047417469,8e-09,1034900000.0,AA,2p,2P*,3/2,3d,2D,5/2,4,6
36,164.048974134,8e-09,172480000.0,AA,2p,2P*,3/2,3d,2D,3/2,4,4
37,164.053261496,1.6e-08,67379000.0,AA,2p,2P*,3/2,3s,2S,1/2,4,2
38,273.39937975,3e-08,25052000.0,AA,3p,2P*,1/2,6d,2D,3/2,2,4
39,273.40042008,4e-08,15290000.0,AA,3s,2S,1/2,6p,2P*,3/2,2,4
40,273.400867617,2.2e-08,2706400.0,AA,3p,2P*,1/2,6s,2S,1/2,2,2
41,273.40204159,4e-08,15290000.0,AA,3s,2S,1/2,6p,2P*,1/2,2,2
42,273.411791587,2.2e-08,32062000.0,AA,3d,2D,3/2,6f,2F*,5/2,4,6
43,273.41181194,3e-08,30058000.0,AA,3p,2P*,3/2,6d,2D,5/2,4,6
44,273.412328359,1.5e-08,125240.0,AA,3d,2D,3/2,6p,2P*,3/2,4,4
45,273.41235245,3e-08,5009700.0,AA,3p,2P*,3/2,6d,2D,3/2,4,4
46,273.413840462,1.6e-08,5412800.0,AA,3p,2P*,3/2,6s,2S,1/2,4,2
47,273.413950014,1.5e-08,1252600.0,AA,3d,2D,3/2,6p,2P*,1/2,4,2
48,273.415845413,2.2e-08,34351000.0,AA,3d,2D,5/2,6f,2F*,7/2,6,8
49,273.416115665,2.2e-08,2290000.0,AA,3d,2D,5/2,6f,2F*,5/2,6,6
50,273.416652454,1.5e-08,1127200.0,AA,3d,2D,5/2,6p,2P*,3/2,6,4
51,320.3872514,6e-08,45246000.0,AA,3p,2P*,1/2,5d,2D,3/2,2,4
52,320.38867738,5e-08,26218000.0,AA,3s,2S,1/2,5p,2P*,3/2,2,4
53,320.3907824,4e-08,4827800.0,AA,3p,2P*,1/2,5s,2S,1/2,2,2
54,320.39252528,5e-08,26218000.0,AA,3s,2S,1/2,5p,2P*,1/2,2,2
55,320.40375693,4e-08,67861000.0,AA,3d,2D,3/2,5f,2F*,5/2,4,6
56,320.40378391,6e-08,54289000.0,AA,3p,2P*,3/2,5d,2D,5/2,4,6
57,320.4050307903,2.3e-09,239370.0,AA,3d,2D,3/2,5p,2P*,3/2,4,4
58,320.40506655,6e-08,9048000.0,AA,3p,2P*,3/2,5d,2D,3/2,4,4
59,320.40859794,3e-08,9655300.0,AA,3p,2P*,3/2,5s,2S,1/2,4,2
60,320.408879084,4e-09,2394000.0,AA,3d,2D,3/2,5p,2P*,1/2,4,2
61,320.40905382,4e-08,72705000.0,AA,3d,2D,5/2,5f,2F*,7/2,6,8
62,320.40969514,4e-08,4846900.0,AA,3d,2D,5/2,5f,2F*,5/2,6,6
63,320.4109690451,2.2e-09,2154300.0,AA,3d,2D,5/2,5p,2P*,3/2,6,4
64,468.6688168,2e-07,93894000.0,AA,3p,2P*,1/2,4d,2D,3/2,2,4
65,468.6718552,1.1e-07,49071000.0,AA,3s,2S,1/2,4p,2P*,3/2,2,4
66,468.68357617,7e-08,9794700.0,AA,3p,2P*,1/2,4s,2S,1/2,2,2
67,468.68793753,1.1e-07,49070000.0,AA,3s,2S,1/2,4p,2P*,1/2,2,2
68,468.70152545,9e-08,206000000.0,AA,3d,2D,3/2,4f,2F*,5/2,4,6
69,468.70157851,2e-07,112660000.0,AA,3p,2P*,3/2,4d,2D,5/2,4,6
70,468.706849875,9e-09,556310.0,AA,3d,2D,3/2,4p,2P*,3/2,4,4
71,468.70693938,2e-07,18776000.0,AA,3p,2P*,3/2,4d,2D,3/2,4,4
72,468.71155239,9e-08,220700000.0,AA,3d,2D,5/2,4f,2F*,7/2,6,8
73,468.71423285,9e-08,14713000.0,AA,3d,2D,5/2,4f,2F*,5/2,6,6
74,468.719557562,9e-09,5006700.0,AA,3d,2D,5/2,4p,2P*,3/2,6,4
75,468.72170115,5e-08,19588000.0,AA,3p,2P*,3/2,4s,2S,1/2,4,2
76,468.722934611,1.8e-08,5563600.0,AA,3d,2D,3/2,4p,2P*,1/2,4,2
77,656.15807795,1.7e-07,11502000.0,AA,4p,2P*,1/2,6d,2D,3/2,2,4
78,656.16060223,1.3e-07,7133700.0,AA,4s,2S,1/2,6p,2P*,3/2,2,4
79,656.16664812,9e-08,1911700.0,AA,4p,2P*,1/2,6s,2S,1/2,2,2
80,656.16994222,1.3e-07,7133800.0,AA,4s,2S,1/2,6p,2P*,1/2,2,2
81,656.1864413,4e-07,19228000.0,AA,4d,2D,3/2,6f,2F*,5/2,4,6
82,656.18648811,1.7e-07,13801000.0,AA,4p,2P*,3/2,6d,2D,5/2,4,6
83,656.1895331,4e-07,150740.0,AA,4d,2D,3/2,6p,2P*,3/2,4,4
84,656.18960144,1.7e-07,2300200.0,AA,4p,2P*,3/2,6d,2D,3/2,4,4
85,656.19537618,1.7e-07,21189000.0,AA,4f,2F*,5/2,6g,2G,7/2,6,8
86,656.1953922,4e-07,20601000.0,AA,4d,2D,5/2,6f,2F*,7/2,6,8
87,656.1969242,3e-07,16350.0,AA,4f,2F*,5/2,6d,2D,5/2,6,6
88,656.1969488,4e-07,1373400.0,AA,4d,2D,5/2,6f,2F*,5/2,6,6
89,656.19817243,9e-08,3823200.0,AA,4p,2P*,3/2,6s,2S,1/2,4,2
90,656.1988739,4e-07,1507500.0,AA,4d,2D,3/2,6p,2P*,1/2,4,2
91,656.19969589,1.7e-07,21974000.0,AA,4f,2F*,7/2,6g,2G,9/2,8,10
