,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,177.4949,217000000.0,C,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4s,4P,5/2,4.0,6.0
1,178.2829,214000000.0,C,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4s,4P,3/2,4.0,4.0
2,178.7648,213000000.0,C,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4s,4P,1/2,4.0,2.0
3,185.8871,23200000.0,C,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4s,2D,5/2,4.0,6.0
4,185.8901,254000000.0,C,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4s,2D,3/2,4.0,4.0
5,185.941,264000000.0,C,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4s,2D,5/2,6.0,6.0
6,185.9441,22600000.0,C,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4s,2D,3/2,6.0,4.0
7,213.6143,21100000.0,C,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,2P,3/2,4.0,4.0
8,213.6856,283000000.0,C,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4s,2P,3/2,6.0,4.0
9,214.9819,318000000.0,C,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4s,2P,1/2,4.0,2.0
10,215.3616,48500000.0,C,3s2.3p3,2P*,1/2,3s2.3p2.(1D).4s,2D,3/2,2.0,4.0
11,215.4749,58000000.0,C,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4s,2D,5/2,4.0,6.0
12,215.479,17300000.0,C,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4s,2D,3/2,4.0,4.0
13,253.4748,20000000.0,C,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,3/2,2.0,4.0
14,253.6374,95000000.0,C,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,2P,3/2,4.0,4.0
15,255.4026,71000000.0,C,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4s,2P,1/2,2.0,2.0
16,255.5678,30000000.0,C,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4s,2P,1/2,4.0,2.0
17,533.3899,0.108,C,3s2.3p3,4S*,3/2,3s2.3p3,2P*,3/2,4.0,4.0
18,534.1107,0.0426,C,3s2.3p3,4S*,3/2,3s2.3p3,2P*,1/2,4.0,2.0
19,878.995,9.1e-06,C,3s2.3p3,4S*,3/2,3s2.3p3,2D*,5/2,4.0,6.0
20,880.203,0.000177,C,3s2.3p3,4S*,3/2,3s2.3p3,2D*,3/2,4.0,4.0
21,1353.731,0.0405,C,3s2.3p3,2D*,3/2,3s2.3p3,2P*,3/2,4.0,4.0
22,1353.731,0.0341,C,3s2.3p3,2D*,3/2,3s2.3p3,2P*,3/2,4.0,4.0
23,1356.598,0.019,C,3s2.3p3,2D*,5/2,3s2.3p3,2P*,3/2,6.0,4.0
24,1356.598,0.094,C,3s2.3p3,2D*,5/2,3s2.3p3,2P*,3/2,6.0,4.0
25,1358.384,0.08,C,3s2.3p3,2D*,3/2,3s2.3p3,2P*,1/2,4.0,2.0
26,1358.384,0.0211,C,3s2.3p3,2D*,3/2,3s2.3p3,2P*,1/2,4.0,2.0
27,1361.27,0.053,C,3s2.3p3,2D*,5/2,3s2.3p3,2P*,1/2,6.0,2.0
