,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,40.55,1300000000.0,,3p6,1S,0.0,3p5.7d,"(1/2,3/2)*",1.0,1.0,3.0
1,41.17,2600000000.0,,3p6,1S,0.0,3p5.6d,"(1/2,3/2)*",1.0,1.0,3.0
2,41.49,220000000.0,,3p6,1S,0.0,3p5.7s,"(1/2,1/2)*",1.0,1.0,3.0
3,42.19,4000000000.0,,3p6,1S,0.0,3p5.5d,"(1/2,3/2)*",1.0,1.0,3.0
4,46.50847,1000000000.0,,3p6,1S,0.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,1.0,3.0
5,49.51534,67000000000.0,,3p6,1S,0.0,3p5.3d,1P*,1.0,1.0,3.0
6,55.41735,10600000.0,,3p6,1S,0.0,3p5.3d,3D*,1.0,1.0,3.0
7,60.07547,2300000000.0,,3p6,1S,0.0,3p5.4s,1P*,1.0,1.0,3.0
8,60.79323,420000000.0,,3p6,1S,0.0,3p5.3d,3P*,1.0,1.0,3.0
9,61.26242,120000000.0,,3p6,1S,0.0,3p5.4s,3P*,1.0,1.0,3.0
10,124.704,688000.0,,3p5.4s,3P*,2.0,3p5.(2P*<3/2>).6f,2[3/2],1.0,5.0,3.0
11,125.8367,86800000.0,,3p5.4s,3P*,1.0,3p5.(2P*<3/2>).6f,2[3/2],2.0,3.0,5.0
12,126.1662,208000000.0,,3p5.3d,3P*,0.0,3p5.(2P*<3/2>).6f,2[3/2],1.0,1.0,3.0
13,127.8637,311000000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).6f,2[3/2],2.0,3.0,5.0
14,128.4632,546000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).6f,2[5/2],3.0,5.0,7.0
15,128.5803,141000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).6f,2[3/2],2.0,5.0,5.0
16,129.8691,2050000.0,,3p5.4s,3P*,2.0,3p5.(2P*<1/2>).5f,2[5/2],2.0,5.0,5.0
17,133.8371,8850000.0,,3p5.4s,3P*,2.0,3p5.(2P*<3/2>).5f,2[3/2],2.0,5.0,5.0
18,134.0925,7430000.0,,3p5.3d,3P*,2.0,3p5.(2P*<1/2>).5f,2[5/2],2.0,5.0,5.0
19,134.1223,104000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<1/2>).5f,2[5/2],3.0,5.0,7.0
20,134.9082,10200000.0,,3p5.4s,3P*,1.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,3.0,5.0
21,135.1854,27600000.0,,3p5.4s,3P*,1.0,3p5.(2P*<3/2>).5f,2[3/2],1.0,3.0,3.0
22,135.5517,80800000.0,,3p5.3d,3P*,0.0,3p5.(2P*<3/2>).5f,2[3/2],1.0,1.0,3.0
23,137.4979,83500000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).5f,2[3/2],2.0,3.0,5.0
24,137.5276,43200000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).5f,2[3/2],1.0,3.0,3.0
25,137.5904,1630000000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).6f,2[9/2],5.0,9.0,11.0
26,138.1004,186000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).5f,2[5/2],3.0,5.0,7.0
27,138.7746,6190000.0,,3p5.4s,3P*,0.0,3p5.(2P*<3/2>).5f,2[3/2],1.0,1.0,3.0
28,138.9275,127000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).6f,2[7/2],4.0,7.0,9.0
29,138.9284,128000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).6f,2[7/2],3.0,7.0,7.0
30,138.9976,9320000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).6f,2[5/2],2.0,7.0,5.0
31,139.0799,659000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).6f,2[9/2],4.0,7.0,9.0
32,140.3536,3490000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).6f,2[5/2],3.0,5.0,7.0
33,145.6524,252000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<1/2>).5f,2[7/2],4.0,7.0,9.0
34,147.1393,432000000.0,,3p5.3d,3F*,2.0,3p5.(2P*<1/2>).5f,2[7/2],3.0,5.0,7.0
35,148.4576,3840000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).5f,2[7/2],3.0,9.0,7.0
36,148.6109,6810000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).5f,2[5/2],3.0,9.0,7.0
37,148.7608,1150000000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).5f,2[9/2],5.0,9.0,11.0
38,149.2043,2810000.0,,3p5.4s,3P*,2.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,5.0,5.0
39,149.2442,39800000.0,,3p5.4s,3P*,2.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,5.0,7.0
40,150.3181,7250000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,7.0,5.0
41,150.3581,22700000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).5f,2[5/2],3.0,7.0,7.0
42,150.5022,540000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).5f,2[9/2],4.0,7.0,9.0
43,150.8462,29200000.0,,3p5.4s,3P*,1.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,3.0,5.0
44,151.7775,241000000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).5f,2[7/2],3.0,5.0,7.0
45,151.897,43100000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,5.0,5.0
46,151.9378,2630000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).5f,2[5/2],3.0,5.0,7.0
47,152.2485,2330000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).5f,2[3/2],1.0,5.0,3.0
48,153.7683,81700000.0,,3p5.3d,3P*,1.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,3.0,5.0
49,154.8489,500000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,5.0,7.0
50,157.0628,296000000.0,,3p5.3d,3P*,0.0,3p5.(2P*<3/2>).4f,2[3/2],1.0,1.0,3.0
51,157.665,71100000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).6f,2[5/2],2.0,5.0,5.0
52,157.674,3490000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).6f,2[5/2],3.0,5.0,7.0
53,157.6907,631000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).6f,2[7/2],4.0,7.0,9.0
54,157.781,1150000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).6f,2[5/2],2.0,7.0,5.0
55,157.7899,1210000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).6f,2[5/2],3.0,7.0,7.0
56,157.8871,163000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).6f,2[9/2],4.0,7.0,9.0
57,159.0452,100000000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,3.0,5.0
58,159.6648,404000000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,3.0,5.0
59,159.7217,210000000.0,,3p5.3d,3P*,1.0,3p5.(2P*<3/2>).4f,2[3/2],1.0,3.0,3.0
60,160.1555,43100000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,5.0,5.0
61,160.2153,869000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,5.0,7.0
62,160.3116,206000000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).6f,2[5/2],3.0,5.0,7.0
63,160.4469,163000000.0,,3p5.3d,3D*,1.0,3p5.(2P*<3/2>).6f,2[5/2],2.0,3.0,5.0
64,160.4941,48200000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).6f,2[3/2],2.0,5.0,5.0
65,160.7839,195000000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,5.0,5.0
66,160.8415,19500000.0,,3p5.3d,3P*,2.0,3p5.(2P*<3/2>).4f,2[3/2],1.0,5.0,3.0
67,160.9956,180000000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).6f,2[9/2],4.0,7.0,9.0
68,166.2892,434000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<1/2>).5f,2[7/2],3.0,5.0,7.0
69,169.1744,56800000.0,,3p5.3d,3D*,2.0,3p5.(2P*<1/2>).5f,2[5/2],2.0,5.0,5.0
70,169.2219,766000000.0,,3p5.3d,3D*,2.0,3p5.(2P*<1/2>).5f,2[5/2],3.0,5.0,7.0
71,169.3354,426000000.0,,3p5.3d,3D*,1.0,3p5.(2P*<1/2>).5f,2[5/2],2.0,3.0,5.0
72,170.46,694000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<1/2>).4f,2[7/2],4.0,7.0,9.0
73,172.2377,783000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).5f,2[7/2],3.0,5.0,7.0
74,172.3799,1360000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).5f,2[7/2],4.0,7.0,9.0
75,172.3915,166000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,5.0,5.0
76,172.407,71700000.0,,3p5.3d,3F*,2.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,5.0,5.0
77,172.4441,8000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).5f,2[5/2],3.0,5.0,7.0
78,172.4602,4010000.0,,3p5.3d,3F*,2.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,5.0,7.0
79,172.7727,429000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).5f,2[9/2],4.0,7.0,9.0
80,174.0999,323000000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).4f,2[7/2],4.0,9.0,9.0
81,174.882,70400000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).4f,2[9/2],4.0,9.0,9.0
82,174.8961,2920000000.0,,3p5.3d,3F*,4.0,3p5.(2P*<3/2>).4f,2[9/2],5.0,9.0,11.0
83,175.39,719000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).5f,2[7/2],3.0,5.0,7.0
84,175.5495,14600000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,5.0,5.0
85,175.7228,356000000.0,,3p5.3d,3D*,1.0,3p5.(2P*<3/2>).5f,2[5/2],2.0,3.0,5.0
86,176.5019,557000000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).5f,2[9/2],4.0,7.0,9.0
87,176.5026,288000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).4f,2[7/2],4.0,7.0,9.0
88,176.511,237000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).4f,2[7/2],3.0,7.0,7.0
89,176.8781,16200000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,7.0,5.0
90,176.9511,45800000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,7.0,7.0
91,177.3065,1260000000.0,,3p5.3d,3F*,3.0,3p5.(2P*<3/2>).4f,2[9/2],4.0,7.0,9.0
92,178.692,615000000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).4f,2[7/2],3.0,5.0,7.0
93,179.0683,83100000.0,,3p5.3d,3F*,2.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,5.0,5.0
94,199.2997,12300000.0,,3p5.3d,1D*,2.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,5.0,5.0
95,199.3708,4160000.0,,3p5.3d,1D*,2.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,5.0,7.0
96,199.4284,714000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<1/2>).4f,2[7/2],3.0,5.0,7.0
97,199.5562,4850000.0,,3p5.3d,3D*,3.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,7.0,7.0
98,203.5325,88100000.0,,3p5.3d,3D*,2.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,5.0,5.0
99,203.6067,1200000000.0,,3p5.3d,3D*,2.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,5.0,7.0
100,203.6668,389000.0,,3p5.3d,3D*,2.0,3p5.(2P*<1/2>).4f,2[7/2],3.0,5.0,7.0
101,203.7656,674000000.0,,3p5.3d,3D*,1.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,3.0,5.0
102,204.5479,74900000.0,,3p5.3d,1F*,3.0,3p5.(2P*<1/2>).4f,2[5/2],3.0,7.0,7.0
103,204.5944,1800000000.0,,3p5.3d,1F*,3.0,3p5.(2P*<1/2>).4f,2[7/2],4.0,7.0,9.0
104,204.6086,77800000.0,,3p5.3d,1F*,3.0,3p5.(2P*<1/2>).4f,2[7/2],3.0,7.0,7.0
105,207.7464,973000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).4f,2[7/2],3.0,5.0,7.0
106,207.9361,1850000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).4f,2[7/2],4.0,7.0,9.0
107,208.2552,239000000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,5.0,5.0
108,208.3563,12600000.0,,3p5.3d,1D*,2.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,5.0,7.0
109,208.4575,3790000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,7.0,5.0
110,208.5588,369000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,7.0,7.0
111,209.0528,571000000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).4f,2[9/2],4.0,7.0,9.0
112,209.5233,22700000.0,,3p5.3d,3D*,3.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,7.0,5.0
113,212.3498,937000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).4f,2[7/2],3.0,5.0,7.0
114,212.8815,16600000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,5.0,5.0
115,212.9871,461000000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,5.0,7.0
116,213.1365,400000000.0,,3p5.3d,3D*,1.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,3.0,5.0
117,213.3616,51200000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[7/2],4.0,7.0,9.0
118,213.3738,109000000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[7/2],3.0,7.0,7.0
119,213.9106,10600000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,7.0,5.0
120,213.993,164000000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,5.0,5.0
121,214.0173,39800000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[5/2],3.0,7.0,7.0
122,214.0952,16200000.0,,3p5.3d,3D*,2.0,3p5.(2P*<3/2>).4f,2[3/2],1.0,5.0,3.0
123,214.2507,20300000.0,,3p5.3d,3D*,1.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,3.0,5.0
124,214.3531,86900000.0,,3p5.3d,3D*,1.0,3p5.(2P*<3/2>).4f,2[3/2],1.0,3.0,3.0
125,214.5375,690000000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[9/2],4.0,7.0,9.0
126,215.033,2990000.0,,3p5.3d,1F*,3.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,7.0,5.0
127,277.8704,28200000.0,,3p5.4p,3S,1.0,3p5.4d,3D*,2.0,3.0,5.0
128,304.8009,19200000.0,,3p5.4p,3D,3.0,3p5.4d,3D*,2.0,7.0,5.0
129,306.3031,882000000.0,,3p5.4p,3S,1.0,3p5.4d,3P*,2.0,3.0,5.0
130,307.591,43000000.0,,3p5.4p,3D,2.0,3p5.4d,3D*,2.0,5.0,5.0
131,310.5899,497000000.0,,3p5.4p,3S,1.0,3p5.4d,3P*,1.0,3.0,3.0
132,314.3616,198000000.0,,3p5.4p,3S,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,3.0,3.0
133,315.8051,27300000.0,,3p5.4p,3D,1.0,3p5.4d,3D*,2.0,3.0,5.0
134,317.273,109000000.0,,3p5.4p,3S,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,0.0,3.0,1.0
135,319.0963,319000000.0,,3p5.4p,3D,3.0,3p5.4d,3D*,3.0,7.0,7.0
136,322.1463,252000000.0,,3p5.4p,1D,2.0,3p5.4d,3D*,2.0,5.0,5.0
137,322.1556,179000000.0,,3p5.4p,3D,2.0,3p5.4d,3D*,3.0,5.0,7.0
138,325.9654,25300000.0,,3p5.4p,3D,3.0,3p5.4d,3F*,2.0,7.0,5.0
139,329.1585,472000000.0,,3p5.4p,3D,2.0,3p5.4d,3F*,2.0,5.0,5.0
140,330.2488,9170000.0,,3p5.3d,3P*,1.0,3p5.4p,1S,0.0,3.0,1.0
141,333.8608,478000.0,,3p5.4p,1P,1.0,3p5.4d,3D*,2.0,3.0,5.0
142,335.7451,58800000.0,,3p5.4p,3S,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,3.0,3.0
143,338.158,1590000000.0,,3p5.4p,1D,2.0,3p5.4d,3D*,3.0,5.0,7.0
144,338.582,1100000000.0,,3p5.4p,3D,1.0,3p5.4d,3F*,2.0,3.0,5.0
145,338.585,52500000.0,,3p5.4p,3P,2.0,3p5.4d,3D*,2.0,5.0,5.0
146,339.3546,37200000.0,,3p5.4p,3D,3.0,3p5.4d,3P*,2.0,7.0,5.0
147,340.5171,220000000.0,,3p5.4p,3S,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,3.0,5.0
148,342.8168,17200000.0,,3p5.4p,3D,2.0,3p5.4d,3P*,2.0,5.0,5.0
149,344.099,1120000000.0,,3p5.4p,3P,1.0,3p5.4d,3D*,2.0,3.0,5.0
150,345.882,8910000.0,,3p5.4p,1D,2.0,3p5.4d,3F*,2.0,5.0,5.0
151,352.9428,23900000.0,,3p5.4p,3D,2.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,5.0,3.0
152,353.0512,31300000.0,,3p5.4p,3D,1.0,3p5.4d,3P*,2.0,3.0,5.0
153,353.1709,226000000.0,,3p5.4s,1P*,1.0,3p5.4p,1S,0.0,3.0,1.0
154,356.317,64900000.0,,3p5.4p,3P,2.0,3p5.4d,3D*,3.0,5.0,7.0
155,358.7586,25200000.0,,3p5.4p,3D,1.0,3p5.4d,3P*,1.0,3.0,3.0
156,359.423,3460000.0,,3p5.4p,1P,1.0,3p5.4d,3F*,2.0,3.0,5.0
157,360.9952,364000000.0,,3p5.4p,1D,2.0,3p5.4d,3P*,2.0,5.0,5.0
158,361.9516,81400000.0,,3p5.4s,3P*,2.0,3p5.4p,3P,1.0,5.0,3.0
159,362.749,538000000.0,,3p5.3d,1P*,1.0,3p5.(2P*<1/2>).4f,2[5/2],2.0,3.0,5.0
160,363.8004,7620000.0,,3p5.4p,3D,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,3.0,3.0
161,364.904,537000.0,,3p5.4p,3P,2.0,3p5.4d,3F*,2.0,5.0,5.0
162,366.9644,36700000.0,,3p5.4p,1D,2.0,3p5.4d,3P*,1.0,5.0,3.0
163,367.705,83600000.0,,3p5.4p,3D,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,0.0,3.0,1.0
164,368.2604,156000000.0,,3p5.4s,3P*,2.0,3p5.4p,3P,2.0,5.0,5.0
165,371.7679,14800000.0,,3p5.4s,3P*,1.0,3p5.4p,3P,1.0,3.0,3.0
166,372.2412,144000000.0,,3p5.4p,1D,2.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,5.0,3.0
167,374.0163,23600000.0,,3p5.4s,3P*,2.0,3p5.4p,1P,1.0,5.0,3.0
168,374.5515,10700000.0,,3p5.3d,3P*,0.0,3p5.4p,3P,1.0,1.0,3.0
169,375.7703,44000000.0,,3p5.4p,1P,1.0,3p5.4d,3P*,2.0,3.0,5.0
170,376.8494,101000000.0,,3p5.4s,3P*,1.0,3p5.4p,3P,0.0,3.0,1.0
171,378.4267,149000000.0,,3p5.4s,3P*,1.0,3p5.4p,3P,2.0,3.0,5.0
172,380.1241,275000000.0,,3p5.4p,3D,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,5.0,3.0
173,381.7654,242000000.0,,3p5.4p,3P,2.0,3p5.4d,3P*,2.0,5.0,5.0
174,381.863,573000000.0,,3p5.4p,3D,3.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,7.0,5.0
175,382.2425,6880000.0,,3p5.4p,1P,1.0,3p5.4d,3P*,1.0,3.0,3.0
176,384.5074,11200000.0,,3p5.4s,3P*,1.0,3p5.4p,1P,1.0,3.0,3.0
177,386.2525,126000000.0,,3p5.4p,3D,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,5.0,5.0
178,387.4858,29100000.0,,3p5.3d,3P*,0.0,3p5.4p,1P,1.0,1.0,3.0
179,387.9713,98800000.0,,3p5.4p,1P,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,3.0,3.0
180,388.4476,171000000.0,,3p5.4p,3P,2.0,3p5.4d,3P*,1.0,5.0,3.0
181,388.7904,20100000.0,,3p5.4p,3P,1.0,3p5.4d,3P*,2.0,3.0,5.0
182,389.9,363000000.0,,3p5.4s,3P*,2.0,3p5.4p,1D,2.0,5.0,5.0
183,390.0354,5160000.0,,3p5.3d,3P*,1.0,3p5.4p,3P,1.0,3.0,3.0
184,390.1236,77500000.0,,3p5.4p,3P,0.0,3p5.4d,3P*,1.0,1.0,3.0
185,392.415,55500000.0,,3p5.4p,1P,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,0.0,3.0,1.0
186,392.7483,136000000.0,,3p5.4p,3D,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,3.0,3.0
187,393.552,710000000.0,,3p5.3d,1P*,1.0,3p5.(2P*<3/2>).4f,2[5/2],2.0,3.0,5.0
188,394.3653,186000000.0,,3p5.4p,3P,2.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,5.0,3.0
189,395.6322,88600000.0,,3p5.3d,3P*,1.0,3p5.4p,3P,0.0,3.0,1.0
190,395.723,90700000.0,,3p5.4p,3P,1.0,3p5.4d,3P*,1.0,3.0,3.0
191,396.0929,3250000.0,,3p5.4p,3P,0.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,1.0,3.0
192,396.7813,47100000.0,,3p5.3d,3P*,2.0,3p5.4p,3P,1.0,5.0,3.0
193,397.368,588000000.0,,3p5.3d,1P*,1.0,3p5.(2P*<3/2>).4f,2[3/2],2.0,3.0,5.0
194,397.371,44300000.0,,3p5.3d,3P*,1.0,3p5.4p,3P,2.0,3.0,5.0
195,399.294,22900000.0,,3p5.4p,3D,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,3.0,5.0
196,399.6116,46100000.0,,3p5.4s,3P*,2.0,3p5.4p,3D,1.0,5.0,3.0
197,400.235,150000000.0,,3p5.4s,3P*,0.0,3p5.4p,3P,1.0,1.0,3.0
198,401.3147,43700000.0,,3p5.4s,3P*,1.0,3p5.4p,1D,2.0,3.0,5.0
199,401.8663,67500000.0,,3p5.4p,3P,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,1.0,3.0,3.0
200,402.604,110000000.0,,3p5.4p,1D,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,5.0,3.0
201,404.0812,40800000.0,,3p5.3d,3P*,1.0,3p5.4p,1P,1.0,3.0,3.0
202,404.3753,93000000.0,,3p5.3d,3P*,2.0,3p5.4p,3P,2.0,5.0,5.0
203,406.636,23000000.0,,3p5.4p,3P,1.0,3p5.(2P*<1/2>).5s,2[1/2]*,0.0,3.0,1.0
204,409.4853,160000000.0,,3p5.4p,1D,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,5.0,5.0
205,411.3263,13600000.0,,3p5.3d,3P*,2.0,3p5.4p,1P,1.0,5.0,3.0
206,411.6107,234000000.0,,3p5.4s,3P*,1.0,3p5.4p,3D,1.0,3.0,3.0
207,413.5872,231000000.0,,3p5.4s,3P*,2.0,3p5.4p,3D,2.0,5.0,5.0
208,415.0256,168000000.0,,3p5.3d,3P*,0.0,3p5.4p,3D,1.0,1.0,3.0
209,415.039,44100000.0,,3p5.4s,3P*,0.0,3p5.4p,1P,1.0,1.0,3.0
210,418.7412,1030000000.0,,3p5.4s,3P*,2.0,3p5.4p,3D,3.0,5.0,7.0
211,421.069,43700000.0,,3p5.4p,1P,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,3.0,3.0
212,422.415,230000000.0,,3p5.4s,1P*,1.0,3p5.4p,3P,1.0,3.0,3.0
213,422.685,94200000.0,,3p5.3d,3P*,1.0,3p5.4p,1D,2.0,3.0,5.0
214,426.454,391000000.0,,3p5.4s,3P*,1.0,3p5.4p,3D,2.0,3.0,5.0
215,428.601,9520000.0,,3p5.4p,1P,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,3.0,5.0
216,428.611,6970000.0,,3p5.4p,3P,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,5.0,3.0
217,428.988,11600000.0,,3p5.4s,1P*,1.0,3p5.4p,3P,0.0,3.0,1.0
218,430.619,86600000.0,,3p5.3d,3P*,2.0,3p5.4p,1D,2.0,5.0,5.0
219,430.652,45200000.0,,3p5.4p,3P,0.0,3p5.(2P*<3/2>).5s,2[3/2]*,1.0,1.0,3.0
220,431.033,419000000.0,,3p5.4s,1P*,1.0,3p5.4p,3P,2.0,3.0,5.0
221,434.122,65200000.0,,3p5.3d,3P*,1.0,3p5.4p,3D,1.0,3.0,3.0
222,436.418,58800000.0,,3p5.4p,3P,2.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,5.0,5.0
223,438.939,180000000.0,,3p5.4s,1P*,1.0,3p5.4p,1P,1.0,3.0,3.0
224,442.495,7760000.0,,3p5.3d,3P*,2.0,3p5.4p,3D,1.0,5.0,3.0
225,445.623,29300000.0,,3p5.4p,3P,1.0,3p5.(2P*<3/2>).5s,2[3/2]*,2.0,3.0,5.0
226,446.796,52000000.0,,3p5.4s,3P*,0.0,3p5.4p,3D,1.0,1.0,3.0
