,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,94.518745,4e-06,380000000.0,C+,2s2.2p2,3P,0,2s.2p3,3S*,1,1,3
1,94.533414,3e-06,1140000000.0,C+,2s2.2p2,3P,1,2s.2p3,3S*,1,3,3
2,94.557546,3e-06,1900000000.0,C+,2s2.2p2,3P,2,2s.2p3,3S*,1,5,3
3,112.14533,0.00023,1500000.0,C+,2s2.2p2,3P,0,2s2.2p.(2P*<3/2>).8d,2[1/2]*,1,1,3
4,112.15196,4e-05,1700000.0,C+,2s2.2p2,3P,0,2s2.2p.(2P*<3/2>).8d,2[3/2]*,1,1,3
5,112.16598,0.00023,3500000.0,C+,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).8d,2[1/2]*,1,3,3
6,112.167,0.0021,11000000.0,C+,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).8d,2[1/2]*,0,3,1
7,112.17132,4e-05,400000.0,C,2s2.2p2,3P,0,2s2.2p.(2P*<3/2>).9s,2[3/2]*,1,1,3
8,112.1753,0.0005,430000.0,C,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).8d,2[3/2]*,2,3,5
9,112.17261,4e-05,810000.0,C,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).8d,2[3/2]*,1,3,3
10,112.19198,4e-05,3600000.0,C+,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).9s,2[3/2]*,1,3,3
11,112.19995,0.00023,4000000.0,C+,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).8d,2[1/2]*,1,5,3
12,112.20037,4e-05,8500000.0,C+,2s2.2p2,3P,1,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,3,5
13,112.2093,0.0005,6700000.0,C+,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).8d,2[3/2]*,2,5,5
14,112.21796,5e-05,3400000.0,C+,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).8d,2[7/2]*,3,5,7
15,112.22597,4e-05,1400000.0,C+,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).9s,2[3/2]*,1,5,3
16,112.23267,0.00023,10600000.0,B,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,3,5,7
17,112.23437,4e-05,340000.0,C,2s2.2p2,3P,2,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,5,5
18,112.24447,0.00015,9000000.0,C+,2s2.2p2,3P,0,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,1,3
19,112.25185,5e-05,2000000.0,C+,2s2.2p2,3P,0,2s2.2p.(2P*<1/2>).9s,2[1/2]*,1,1,3
20,112.26516,0.00015,2700000.0,C+,2s2.2p2,3P,1,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,3,3
