,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,23.7994,50500000.0,C,2s2.2p,2P*,1/2,2s.2p.(3P*).6p,2P,3/2,2.0,4.0
1,23.8035,202000000.0,C,2s2.2p,2P*,1/2,2s.2p.(3P*).6p,2P,1/2,2.0,2.0
2,23.8093,252000000.0,C+,2s2.2p,2P*,3/2,2s.2p.(3P*).6p,2P,3/2,4.0,4.0
3,23.8134,101000000.0,C,2s2.2p,2P*,3/2,2s.2p.(3P*).6p,2P,1/2,4.0,2.0
4,24.832,148000000.0,C+,2s2.2p,2P*,1/2,2s.2p.(3P*).5p,2P,3/2,2.0,4.0
5,24.837,608000000.0,C+,2s2.2p,2P*,1/2,2s.2p.(3P*).5p,2P,1/2,2.0,2.0
6,24.8428,740000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).5p,2P,3/2,4.0,4.0
7,24.8478,304000000.0,C+,2s2.2p,2P*,3/2,2s.2p.(3P*).5p,2P,1/2,4.0,2.0
8,26.4823,312000000.0,B,2s2.2p,2P*,1/2,2s.2p.(1P*).3p,2P,3/2,2.0,4.0
9,26.4846,1250000000.0,B,2s2.2p,2P*,1/2,2s.2p.(1P*).3p,2P,1/2,2.0,2.0
10,26.4945,1560000000.0,B,2s2.2p,2P*,3/2,2s.2p.(1P*).3p,2P,3/2,4.0,4.0
11,26.4968,622000000.0,B,2s2.2p,2P*,3/2,2s.2p.(1P*).3p,2P,1/2,4.0,2.0
12,26.5133,79300000.0,C,2s.2p2,4P,1/2,2s.2p.(3P*).8d,4P*,1/2,2.0,2.0
13,26.5133,198000000.0,C+,2s.2p2,4P,1/2,2s.2p.(3P*).8d,4P*,3/2,2.0,4.0
14,26.5172,698000000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).8d,4D*,1/2,2.0,2.0
15,26.5172,349000000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).8d,4D*,3/2,2.0,4.0
16,26.5175,396000000.0,C+,2s.2p2,4P,3/2,2s.2p.(3P*).8d,4P*,1/2,4.0,2.0
17,26.5175,63400000.0,C,2s.2p2,4P,3/2,2s.2p.(3P*).8d,4P*,3/2,4.0,4.0
18,26.5175,143000000.0,C+,2s.2p2,4P,3/2,2s.2p.(3P*).8d,4P*,5/2,4.0,6.0
