,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,243.450328,3870.0,C+',2p6.3s,2S,1/2,2p6.18p,2P*,3/2,2.0,4.0
1,243.450535,3870.0,C+',2p6.3s,2S,1/2,2p6.18p,2P*,1/2,2.0,2.0
2,243.733241,4640.0,C+',2p6.3s,2S,1/2,2p6.17p,2P*,3/2,2.0,4.0
3,243.733496,4640.0,C+',2p6.3s,2S,1/2,2p6.17p,2P*,1/2,2.0,2.0
4,244.074911,5600.0,C+',2p6.3s,2S,1/2,2p6.16p,2P*,3/2,2.0,4.0
5,244.07522,5600.0,C+',2p6.3s,2S,1/2,2p6.16p,2P*,1/2,2.0,2.0
6,244.492889,6800.0,C+',2p6.3s,2S,1/2,2p6.15p,2P*,3/2,2.0,4.0
7,244.493266,6800.0,C+',2p6.3s,2S,1/2,2p6.15p,2P*,1/2,2.0,2.0
8,245.011853,8600.0,C+',2p6.3s,2S,1/2,2p6.14p,2P*,3/2,2.0,4.0
9,245.012327,8600.0,C+',2p6.3s,2S,1/2,2p6.14p,2P*,1/2,2.0,2.0
10,245.667385,11200.0,C+',2p6.3s,2S,1/2,2p6.13p,2P*,3/2,2.0,4.0
11,245.667989,11200.0,C+',2p6.3s,2S,1/2,2p6.13p,2P*,1/2,2.0,2.0
12,246.512386,14400.0,C+',2p6.3s,2S,1/2,2p6.12p,2P*,3/2,2.0,4.0
13,246.513176,14400.0,C+',2p6.3s,2S,1/2,2p6.12p,2P*,1/2,2.0,2.0
14,247.628358,19400.0,C+',2p6.3s,2S,1/2,2p6.11p,2P*,3/2,2.0,4.0
15,247.629413,19400.0,C+',2p6.3s,2S,1/2,2p6.11p,2P*,1/2,2.0,2.0
16,251.29114,31000.0,C,2p6.3s,2S,1/2,2p6.9p,2P*,1/2,2.0,2.0
17,254.46044,44600.0,C+,2p6.3s,2S,1/2,2p6.8p,2P*,3/2,2.0,4.0
18,254.46361,43500.0,C+,2p6.3s,2S,1/2,2p6.8p,2P*,1/2,2.0,2.0
19,259.46442,81300.0,B,2p6.3s,2S,1/2,2p6.7p,2P*,3/2,2.0,4.0
20,259.46947,79600.0,C+,2p6.3s,2S,1/2,2p6.7p,2P*,1/2,2.0,2.0
21,268.11369,184000.0,B+,2p6.3s,2S,1/2,2p6.6p,2P*,3/2,2.0,4.0
22,268.12297,181000.0,B,2p6.3s,2S,1/2,2p6.6p,2P*,1/2,2.0,2.0
23,285.36492,538000.0,B+,2p6.3s,2S,1/2,2p6.5p,2P*,3/2,2.0,4.0
24,285.38503,531000.0,B+,2p6.3s,2S,1/2,2p6.5p,2P*,1/2,2.0,2.0
25,330.33194,2750000.0,A,2p6.3s,2S,1/2,2p6.4p,2P*,3/2,2.0,4.0
26,330.39295,2730000.0,B+,2p6.3s,2S,1/2,2p6.4p,2P*,1/2,2.0,2.0
27,388.5004,0.000695,C,2p6.3s,2S,1/2,2p6.4s,2S,1/2,2.0,2.0
28,413.20028,51700.0,B,2p6.3p,2P*,3/2,2p6.20d,2D,5/2,4.0,6.0
29,413.20028,8620.0,B,2p6.3p,2P*,3/2,2p6.20d,2D,3/2,4.0,4.0
30,413.70807,10100.0,B,2p6.3p,2P*,3/2,2p6.19d,2D,3/2,4.0,4.0
31,413.70809,60600.0,B,2p6.3p,2P*,3/2,2p6.19d,2D,5/2,4.0,6.0
32,413.89603,34000.0,B,2p6.3p,2P*,3/2,2p6.20s,2S,1/2,4.0,2.0
33,414.30451,67200.0,B,2p6.3p,2P*,3/2,2p6.18d,2D,5/2,4.0,6.0
34,414.30451,11200.0,B,2p6.3p,2P*,3/2,2p6.18d,2D,3/2,4.0,4.0
35,414.52659,40100.0,B,2p6.3p,2P*,3/2,2p6.19s,2S,1/2,4.0,2.0
36,415.01157,14200.0,B,2p6.3p,2P*,3/2,2p6.17d,2D,3/2,4.0,4.0
37,415.01159,85200.0,B,2p6.3p,2P*,3/2,2p6.17d,2D,5/2,4.0,6.0
38,415.27662,47800.0,B,2p6.3p,2P*,3/2,2p6.18s,2S,1/2,4.0,2.0
39,415.8586,17100.0,B,2p6.3p,2P*,3/2,2p6.16d,2D,3/2,4.0,4.0
40,415.85862,103000.0,B,2p6.3p,2P*,3/2,2p6.16d,2D,5/2,4.0,6.0
41,416.17854,57600.0,B,2p6.3p,2P*,3/2,2p6.17s,2S,1/2,4.0,2.0
42,416.88545,20900.0,B,2p6.3p,2P*,3/2,2p6.15d,2D,3/2,4.0,4.0
43,416.88545,125000.0,B,2p6.3p,2P*,3/2,2p6.15d,2D,5/2,4.0,6.0
44,417.27668,70300.0,B,2p6.3p,2P*,3/2,2p6.16s,2S,1/2,4.0,2.0
45,418.14724,25800.0,B,2p6.3p,2P*,3/2,2p6.14d,2D,3/2,4.0,4.0
46,418.14726,155000.0,B,2p6.3p,2P*,3/2,2p6.14d,2D,5/2,4.0,6.0
47,418.63281,87000.0,B,2p6.3p,2P*,3/2,2p6.15s,2S,1/2,4.0,2.0
48,419.72228,32700.0,B,2p6.3p,2P*,3/2,2p6.13d,2D,3/2,4.0,4.0
49,419.72232,196000.0,B,2p6.3p,2P*,3/2,2p6.13d,2D,5/2,4.0,6.0
50,420.33553,109000.0,B,2p6.3p,2P*,3/2,2p6.14s,2S,1/2,4.0,2.0
51,421.72486,252000.0,B,2p6.3p,2P*,3/2,2p6.12d,2D,5/2,4.0,6.0
52,421.72486,42000.0,B,2p6.3p,2P*,3/2,2p6.12d,2D,3/2,4.0,4.0
53,422.5153,140000.0,B,2p6.3p,2P*,3/2,2p6.13s,2S,1/2,4.0,2.0
54,424.32703,55400.0,B,2p6.3p,2P*,3/2,2p6.11d,2D,3/2,4.0,4.0
55,424.32706,332000.0,B,2p6.3p,2P*,3/2,2p6.11d,2D,5/2,4.0,6.0
56,425.37136,184000.0,B,2p6.3p,2P*,3/2,2p6.12s,2S,1/2,4.0,2.0
57,427.48292,391000.0,C,2p6.3p,2P*,1/2,2p6.10d,2D,3/2,2.0,4.0
58,427.79739,78000.0,C,2p6.3p,2P*,3/2,2p6.10d,2D,3/2,4.0,4.0
59,427.79744,469000.0,C,2p6.3p,2P*,3/2,2p6.10d,2D,5/2,4.0,6.0
60,429.22084,247000.0,B,2p6.3p,2P*,3/2,2p6.11s,2S,1/2,4.0,2.0
61,432.5831,684000.0,B,2p6.3p,2P*,3/2,2p6.9d,2D,5/2,4.0,6.0
62,432.5831,114000.0,B,2p6.3p,2P*,3/2,2p6.9d,2D,3/2,4.0,4.0
63,434.2709,326000.0,C+,2p6.3p,2P*,1/2,2p6.10s,2S,1/2,2.0,2.0
64,434.5955,650000.0,C+,2p6.3p,2P*,3/2,2p6.10s,2S,1/2,4.0,2.0
65,439.1256,983000.0,B+,2p6.3p,2P*,1/2,2p6.8d,2D,3/2,2.0,4.0
66,439.4574,195000.0,B,2p6.3p,2P*,3/2,2p6.8d,2D,3/2,4.0,4.0
67,439.4574,1170000.0,B+,2p6.3p,2P*,3/2,2p6.8d,2D,5/2,4.0,6.0
68,442.1125,282000.0,C+,2p6.3p,2P*,1/2,2p6.9s,2S,1/2,2.0,2.0
69,442.4488,561000.0,C+,2p6.3p,2P*,3/2,2p6.9s,2S,1/2,4.0,2.0
70,449.5441,1230000.0,B+,2p6.3p,2P*,1/2,2p6.7d,2D,3/2,2.0,4.0
71,449.8919,1460000.0,B+,2p6.3p,2P*,3/2,2p6.7d,2D,5/2,4.0,6.0
72,449.8919,244000.0,B,2p6.3p,2P*,3/2,2p6.7d,2D,3/2,4.0,4.0
73,454.2906,376000.0,B,2p6.3p,2P*,1/2,2p6.8s,2S,1/2,2.0,2.0
74,454.6458,750000.0,B,2p6.3p,2P*,3/2,2p6.8s,2S,1/2,4.0,2.0
75,466.61166,2080000.0,B+,2p6.3p,2P*,1/2,2p6.6d,2D,3/2,2.0,4.0
76,466.98636,414000.0,B+,2p6.3p,2P*,3/2,2p6.6d,2D,3/2,4.0,4.0
77,466.98664,2490000.0,A,2p6.3p,2P*,3/2,2p6.6d,2D,5/2,4.0,6.0
78,474.9269,619000.0,B,2p6.3p,2P*,1/2,2p6.7s,2S,1/2,2.0,2.0
79,475.31509,1230000.0,B,2p6.3p,2P*,3/2,2p6.7s,2S,1/2,4.0,2.0
80,497.99304,4090000.0,A,2p6.3p,2P*,1/2,2p6.5d,2D,3/2,2.0,4.0
81,498.41986,815000.0,A,2p6.3p,2P*,3/2,2p6.5d,2D,3/2,4.0,4.0
82,498.42036,4880000.0,A,2p6.3p,2P*,3/2,2p6.5d,2D,5/2,4.0,6.0
83,515.02727,1140000.0,B+,2p6.3p,2P*,1/2,2p6.6s,2S,1/2,2.0,2.0
84,515.4838,2270000.0,B+,2p6.3p,2P*,3/2,2p6.6s,2S,1/2,4.0,2.0
85,568.42102,10100000.0,A,2p6.3p,2P*,1/2,2p6.4d,2D,3/2,2.0,4.0
86,568.97716,2020000.0,A,2p6.3p,2P*,3/2,2p6.4d,2D,3/2,4.0,4.0
87,568.9783,12100000.0,A,2p6.3p,2P*,3/2,2p6.4d,2D,5/2,4.0,6.0
88,589.1583253,61600000.0,AA,2p6.3s,2S,1/2,2p6.3p,2P*,3/2,2.0,4.0
89,589.7558147,61400000.0,AA,2p6.3s,2S,1/2,2p6.3p,2P*,1/2,2.0,2.0
90,615.59287,2500000.0,A,2p6.3p,2P*,1/2,2p6.5s,2S,1/2,2.0,2.0
91,616.2452,4980000.0,A,2p6.3p,2P*,3/2,2p6.5s,2S,1/2,4.0,2.0
92,663.37839,6300.0,C',2p6.4s,2S,1/2,2p6.14p,2P*,3/2,2.0,4.0
93,663.38187,6300.0,C',2p6.4s,2S,1/2,2p6.14p,2P*,1/2,2.0,2.0
94,668.20599,8500.0,C',2p6.4s,2S,1/2,2p6.13p,2P*,3/2,2.0,4.0
95,668.21046,8500.0,C',2p6.4s,2S,1/2,2p6.13p,2P*,1/2,2.0,2.0
96,674.49467,11100.0,C',2p6.4s,2S,1/2,2p6.12p,2P*,3/2,2.0,4.0
97,674.50059,11100.0,C',2p6.4s,2S,1/2,2p6.12p,2P*,1/2,2.0,2.0
98,682.9156,15300.0,C',2p6.4s,2S,1/2,2p6.11p,2P*,3/2,2.0,4.0
99,682.92362,15300.0,C',2p6.4s,2S,1/2,2p6.11p,2P*,1/2,2.0,2.0
100,694.58703,22300.0,C',2p6.4s,2S,1/2,2p6.10p,2P*,3/2,2.0,4.0
101,694.59827,22300.0,C',2p6.4s,2S,1/2,2p6.10p,2P*,1/2,2.0,2.0
102,711.50014,44300.0,C+,2p6.4s,2S,1/2,2p6.9p,2P*,3/2,2.0,4.0
103,711.5169,43200.0,C+,2p6.4s,2S,1/2,2p6.9p,2P*,1/2,2.0,2.0
104,737.5262,54200.0,B,2p6.4s,2S,1/2,2p6.8p,2P*,3/2,2.0,4.0
105,737.5528,53000.0,B,2p6.4s,2S,1/2,2p6.8p,2P*,1/2,2.0,2.0
106,750.9532,8.93,A,2p6.3p,2P*,1/2,2p6.4p,2P*,3/2,2.0,4.0
107,751.9241,4.28e-05,C,2p6.3p,2P*,3/2,2p6.4p,2P*,3/2,4.0,4.0
108,751.9241,8.88,A,2p6.3p,2P*,3/2,2p6.4p,2P*,3/2,4.0,4.0
109,752.2403,17.8,A,2p6.3p,2P*,3/2,2p6.4p,2P*,1/2,4.0,2.0
110,781.1932,99100.0,B,2p6.4s,2S,1/2,2p6.7p,2P*,3/2,2.0,4.0
111,781.239,97200.0,B,2p6.4s,2S,1/2,2p6.7p,2P*,1/2,2.0,2.0
112,818.55053,42900000.0,A+,2p6.3p,2P*,1/2,2p6.3d,2D,3/2,2.0,4.0
