,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
207,599.353,440000.0,C,3p6.3d8.(1D).4s,a 2D,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,6.0,6.0
208,605.99,690000.0,C+,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,9/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,10.0,8.0
209,608.411,5400000.0,B,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,9/2,3p6.3d8.(3F).5s,e 4F,9/2,10.0,10.0
210,609.483,160000.0,C,3p6.3d7.4s2,a 4P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,4.0,4.0
211,618.272,1300000.0,B,3p6.3d8.(3F).4p,y 4D*,7/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,8.0,8.0
212,619.071,100000.0,C,3p6.3d7.4s2,a 4P,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,6.0,6.0
213,623.272,140000.0,C,3p6.3d7.4s2,a 4P,1/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,2.0,4.0
214,624.81,110000.0,C,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
215,625.124,66000.0,C,3p6.3d7.4s2,a 2G,9/2,3p6.3d8.(3F).4p,y 4G*,9/2,10.0,10.0
216,628.438,190000.0,C,3p6.3d7.4s2,a 4P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,4.0,6.0
217,638.842,430000.0,C+,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,3p6.3d7.4s.(5F).5s,f 4F,9/2,8.0,10.0
218,641.955,63000.0,C,3p6.3d8.(3P).4s,a 2P,1/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,3/2,2.0,4.0
219,643.207,2700000.0,B,3p6.3d8.(3F).4p,y 4D*,5/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,6.0,8.0
220,644.646,620000.0,C+,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,9/2,3p6.3d8.(3F).5s,e 4F,9/2,10.0,10.0
221,645.287,2700000.0,B,3p6.3d8.(3F).4p,y 4D*,7/2,3p6.3d7.4s.(5F).5s,f 4F,9/2,8.0,10.0
222,645.677,9000000.0,B,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
223,649.214,60000.0,C,3p6.3d7.4s2,a 2G,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,10.0,8.0
224,651.058,540000.0,C+,3p6.3d8.(3F).4p,y 4F*,9/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,10.0,8.0
225,656.522,210000.0,C,3p6.3d7.4s2,a 2G,9/2,3p6.3d7.(4F).4s.4p.(3P*),z 2G*,9/2,10.0,10.0
226,662.52,390000.0,C+,3p6.3d8.(3F).4p,y 4G*,11/2,3p6.3d7.4s.(5F).5s,f 4F,9/2,12.0,10.0
227,663.426,250000.0,C,3p6.3d8.(3P).4s,a 2P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,4.0,6.0
228,664.587,110000.0,C,3p6.3d7.(4F).4s.4p.(3P*),z 4G*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
229,665.414,240000.0,C,3p6.3d8.(3F).4p,*,7/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,8.0,8.0
230,677.29,260000.0,C,3p6.3d8.(3P).4s,b 4P,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,6.0,6.0
231,678.669,640000.0,C+,3p6.3d8.(3F).4p,*,7/2,3p6.3d7.4s.(5F).5s,f 4F,7/2,8.0,8.0
232,681.084,590000.0,C+,3p6.3d8.(3F).4p,y 4F*,9/2,3p6.3d7.4s.(5F).5s,f 4F,9/2,10.0,10.0
233,681.682,450000.0,C,3p6.3d8.(3P).4s,b 4P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,4.0,4.0
234,701.855,460000.0,C,3p6.3d8.(3P).4s,b 4P,1/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,2.0,4.0
235,705.481,540000.0,C,3p6.3d8.(3P).4s,b 4P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,4.0,6.0
236,705.599,660000.0,C,3p6.3d7.4s2,b 2D,5/2,3p6.3d8.(3F).4p,y 2D*,5/2,6.0,6.0
237,715.664,120000.0,C,3p6.3d8.(1D).4s,a 2D,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,3/2,4.0,4.0
238,735.66,33000.0,C,3p6.3d8.(3P).4s,b 4P,5/2,3p6.3d7.(4F).4s.4p.(3P*),z 4F*,7/2,6.0,8.0
239,741.941,170000.0,C,3p6.3d8.(1D).4s,a 2D,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 4D*,5/2,4.0,6.0
240,771.479,500000.0,C,3p6.3d7.4s2,b 2P,3/2,3p6.3d7.(4F).4s.4p.(3P*),z 2D*,5/2,4.0,6.0
241,774.535,990000.0,C,3p6.3d7.(4F).4s.4p.(3P*),z 2F*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
242,784.029,5400000.0,B,3p6.3d8.(3F).4p,y 4D*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
243,809.616,20000000.0,B,3p6.3d8.(3F).4p,y 4G*,11/2,3p6.3d8.(3F).5s,e 4F,9/2,12.0,10.0
244,837.511,8700000.0,B,3p6.3d8.(3F).4p,y 4F*,9/2,3p6.3d8.(3F).5s,e 4F,9/2,10.0,10.0
245,883.762,430000.0,C,3p6.3d8.(3F).4p,*,7/2,3p6.3d8.(3F).5s,e 4F,9/2,8.0,10.0
