,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,130.1874,50000000.0,C,3s2.3p2,3P,0.0,3s.3p3,3P*,1.0,1.0,3.0
1,130.4492,150000000.0,C,3s2.3p2,3P,1.0,3s.3p3,3P*,0.0,3.0,1.0
2,130.4675,37000000.0,C,3s2.3p2,3P,1.0,3s.3p3,3P*,1.0,3.0,3.0
3,130.5497,38000000.0,C,3s2.3p2,3P,1.0,3s.3p3,3P*,2.0,3.0,5.0
4,130.9874,62000000.0,C,3s2.3p2,3P,2.0,3s.3p3,3P*,1.0,5.0,3.0
5,131.0703,110000000.0,C,3s2.3p2,3P,2.0,3s.3p3,3P*,2.0,5.0,5.0
6,153.5923,9600000.0,C+,3s2.3p2,3P,1.0,3s.3p3,3D*,2.0,3.0,5.0
7,154.2304,12700000.0,C+,3s2.3p2,3P,2.0,3s.3p3,3D*,3.0,5.0,7.0
8,467.0555,0.22,C,3s2.3p2,3P,1.0,3s2.3p2,1S,0.0,3.0,1.0
