,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,91.232366,8e-07,122.58,AAA,1,2S,1/2,40,,,2.0,3200.0
1,91.2353295,8e-07,139.13,AAA,1,2S,1/2,39,,,2.0,3042.0
2,91.2385303,8e-07,158.43,AAA,1,2S,1/2,38,,,2.0,2888.0
3,91.2419943,8e-07,181.03,AAA,1,2S,1/2,37,,,2.0,2738.0
4,91.2457513,8e-07,207.62,AAA,1,2S,1/2,36,,,2.0,2592.0
5,91.2498352,8e-07,239.03,AAA,1,2S,1/2,35,,,2.0,2450.0
6,91.2542852,8e-07,276.31,AAA,1,2S,1/2,34,,,2.0,2312.0
7,91.2591463,8e-07,320.81,AAA,1,2S,1/2,33,,,2.0,2178.0
8,91.2644709,8e-07,374.18,AAA,1,2S,1/2,32,,,2.0,2048.0
9,91.2703197,8e-07,438.57,AAA,1,2S,1/2,31,,,2.0,1922.0
10,91.2767639,8e-07,516.73,AAA,1,2S,1/2,30,,,2.0,1800.0
11,91.2838873,8e-07,612.21,AAA,1,2S,1/2,29,,,2.0,1682.0
12,91.2917887,8e-07,729.67,AAA,1,2S,1/2,28,,,2.0,1568.0
13,91.3005859,8e-07,875.24,AAA,1,2S,1/2,27,,,2.0,1458.0
14,91.3104195,8e-07,1057.1,AAA,1,2S,1/2,26,,,2.0,1352.0
15,91.3214592,8e-07,1286.2,AAA,1,2S,1/2,25,,,2.0,1250.0
16,91.3339105,8e-07,1577.6,AAA,1,2S,1/2,24,,,2.0,1152.0
17,91.3480251,8e-07,1951.9,AAA,1,2S,1/2,23,,,2.0,1058.0
18,91.3641133,8e-07,2438.0,AAA,1,2S,1/2,22,,,2.0,968.0
19,91.3825609,8e-07,3076.9,AAA,1,2S,1/2,21,,,2.0,882.0
20,91.4038537,8e-07,3927.6,AAA,1,2S,1/2,20,,,2.0,800.0
21,91.4286086,8e-07,5076.7,AAA,1,2S,1/2,19,,,2.0,722.0
22,91.4576201,8e-07,6654.0,AAA,1,2S,1/2,18,,,2.0,648.0
23,91.4919242,8e-07,8857.4,AAA,1,2S,1/2,17,,,2.0,578.0
24,91.5328932,8e-07,11997.0,AAA,1,2S,1/2,16,,,2.0,512.0
25,91.5823751,8e-07,16572.0,AAA,1,2S,1/2,15,,,2.0,450.0
26,91.6429076,8e-07,23409.0,AAA,1,2S,1/2,14,,,2.0,392.0
27,91.7180514,8e-07,33927.0,AAA,1,2S,1/2,13,,,2.0,338.0
28,91.81293,4e-07,50659.0,AAA,1,2S,1/2,12,,,2.0,288.0
29,91.9351334,5e-07,78340.0,AAA,1,2S,1/2,11,,,2.0,242.0
30,92.0963006,7e-07,126310.0,AAA,1,2S,1/2,10,,,2.0,200.0
31,92.3150275,9e-07,214250.0,AAA,1,2S,1/2,9,,,2.0,162.0
32,92.6225605,1.3e-06,386940.0,AAA,1,2S,1/2,8,,,2.0,128.0
33,93.0748142,2e-06,756840.0,AAA,1,2S,1/2,7,,,2.0,98.0
34,93.780331,4e-06,1644000.0,AAA,1,2S,1/2,6,,,2.0,72.0
35,94.974287,5e-06,4125000.0,AAA,1,2S,1/2,5,,,2.0,50.0
36,97.25365,1.1e-05,12785000.0,AAA,1,2S,1/2,4,,,2.0,32.0
37,102.5722,3e-05,55751000.0,AAA,1,2S,1/2,3,,,2.0,18.0
38,121.56701,0.00015,469860000.0,AAA,1,2S,1/2,2,,,2.0,8.0
39,365.61647,0.00013,67.464,AAA,2,,,40,,,8.0,3200.0
40,365.66407,0.00013,76.576,AAA,2,,,39,,,8.0,3042.0
41,365.71549,0.00013,87.206,AAA,2,,,38,,,8.0,2888.0
42,365.77116,0.00019,99.657,AAA,2,,,37,,,8.0,2738.0
43,365.83154,0.00019,114.3,AAA,2,,,36,,,8.0,2592.0
44,365.8972,0.00019,131.61,AAA,2,,,35,,,8.0,2450.0
45,365.96876,0.00019,152.16,AAA,2,,,34,,,8.0,2312.0
46,366.04695,0.00019,176.69,AAA,2,,,33,,,8.0,2178.0
47,366.13263,0.00019,206.12,AAA,2,,,32,,,8.0,2048.0
48,366.22678,0.00019,241.62,AAA,2,,,31,,,8.0,1922.0
49,366.33056,0.00019,284.74,AAA,2,,,30,,,8.0,1800.0
50,366.44533,0.00019,337.42,AAA,2,,,29,,,8.0,1682.0
51,366.57269,0.00019,402.24,AAA,2,,,28,,,8.0,1568.0
