,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,91.978096,140000000.0,C,3s2.3p5,2P*,3/2,3s.3p6,2S,1/2,4,2
1,93.205371,67000000.0,C,3s2.3p5,2P*,1/2,3s.3p6,2S,1/2,2,2
2,231.84582,14000000.0,C,3s2.3p4.(1D).4s,2D,5/2,3s2.3p4.(1S).4p,2P*,3/2,6,4
3,269.3393461,500000.0,C,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(1D).4p,2P*,3/2,4,4
4,275.568142,200000.0,C+,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(1D).4p,2F*,7/2,6,8
5,284.4964669,200000.0,C,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,5/2,4,6
6,284.8656189,300000.0,C,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2D*,3/2,4,4
7,289.245994,18200000.0,B,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,1/2,4,2
8,293.3447965,800000.0,C,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2D*,3/2,2,4
9,294.3753519,53000000.0,B,3s2.3p4.(3P).4s,2P,3/2,3s2.3p4.(1D).4p,2P*,3/2,4,4
10,297.991948,41600000.0,B,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2P*,1/2,2,2
11,303.43911,9900000.0,B,3s2.3p4.(3P).4s,2P,1/2,3s2.3p4.(1D).4p,2P*,3/2,2,4
12,313.992668,52000000.0,C,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4P,5/2,6,6
13,317.058522,49000000.0,C,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4P,5/2,4,6
14,318.195719,37000000.0,C,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4P,3/2,6,4
15,321.344612,5200000.0,C,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4P,3/2,4,4
16,322.255525,1800000.0,C,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4F,5/2,6,6
17,322.690558,2100000.0,C,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4F,3/2,4,4
18,324.462397,105600000.0,C,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4P,1/2,4,2
19,325.073722,63000000.0,C,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P).4d,4P,3/2,2,4
20,325.48569,900000.0,C,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4F,5/2,4,6
21,326.451154,15500000.0,B,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P).4d,4F,3/2,2,4
22,328.264648,42000000.0,C,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P).4d,4P,1/2,2,2
23,343.139856,6200000.0,B,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,2F,7/2,6,8
24,345.508455,31400000.0,B,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4D,3/2,6,4
25,346.735614,3000000.0,C,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4F,5/2,8,6
26,347.774249,125000000.0,B,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4D,5/2,6,6
27,349.224283,179000000.0,B,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4D,3/2,4,4
28,349.253477,231000000.0,B,3s2.3p4.(3P).4p,4P*,5/2,3s2.3p4.(3P).4d,4D,7/2,6,8
29,350.047711,300000.0,C+,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,4S*,3/2,6,4
30,351.07818,255000000.0,B,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P).4d,4D,1/2,2,2
31,351.539238,136000000.0,B,3s2.3p4.(3P).4p,4P*,3/2,3s2.3p4.(3P).4d,4D,5/2,4,6
32,352.099979,52000000.0,B,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4F,5/2,6,6
33,352.226671,22700000.0,B,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4F,7/2,8,8
34,353.632972,57000000.0,B,3s2.3p4.(3P).4p,4P*,1/2,3s2.3p4.(3P).4d,4D,3/2,2,4
35,354.952777,87000000.0,B,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4F,3/2,4,4
36,355.104307,2600000.0,C,3s2.3p4.(3P).4p,2D*,5/2,3s2.3p4.(3P).4d,4P,5/2,6,6
37,355.791981,5000000.0,B,3s2.3p4.(3P).3d,2P,1/2,3s2.3p4.(1D).4p,2P*,1/2,2,2
38,356.052445,288000000.0,B,3s2.3p4.(3P).4p,2D*,5/2,3s2.3p4.(3P).4d,2F,7/2,6,8
39,356.604746,55000000.0,C,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,4P,3/2,2,4
40,357.763644,275000000.0,B,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4F,7/2,6,8
41,358.263032,176000000.0,B,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,4F,3/2,2,4
42,358.337688,253000000.0,B,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4F,5/2,4,6
43,358.946432,303000000.0,B,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4F,9/2,8,10
44,360.253632,200000.0,C,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,2P*,3/2,6,4
45,360.690749,4400000.0,B,3s2.3p4.(3P).3d,2P,3/2,3s2.3p4.(1D).4p,2D*,5/2,4,6
46,361.28432,600000.0,C,3s2.3p4.(3P).3d,2P,3/2,3s2.3p4.(1D).4p,2D*,3/2,4,4
47,363.584827,900000.0,C,3s2.3p4.(3P).3d,2P,1/2,3s2.3p4.(1D).4p,2P*,3/2,2,4
48,365.709096,7600000.0,B,3s2.3p4.(3P).4p,2D*,5/2,3s2.3p4.(3P).4d,4F,5/2,6,6
49,368.359291,1700000.0,B,3s2.3p4.(3P).3d,2P,3/2,3s2.3p4.(1D).4p,2P*,1/2,4,2
50,370.798439,200000.0,C,3s2.3p4.(3P).3d,4D,1/2,3s2.3p4.(3P).4p,2P*,1/2,2,2
51,371.096392,4700000.0,B,3s2.3p4.(3P).4p,2D*,3/2,3s2.3p4.(3P).4d,4F,3/2,4,4
52,371.822838,5200000.0,B,3s2.3p4.(3P).4p,2D*,5/2,3s2.3p4.(3P).4d,4F,7/2,6,8
53,373.036863,48000000.0,B,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,4S*,3/2,6,4
54,373.654973,300000.0,C+,3s2.3p4.(3P).3d,4D,3/2,3s2.3p4.(3P).4p,2D*,3/2,4,4
55,374.797808,2100000.0,B,3s2.3p4.(3P).4p,2D*,3/2,3s2.3p4.(3P).4d,4F,5/2,4,6
56,376.45744,17800000.0,B,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4D,5/2,8,6
57,376.718846,7400000.0,B,3s2.3p4.(3P).3d,2P,3/2,3s2.3p4.(1D).4p,2P*,3/2,4,4
58,378.191342,77000000.0,B,3s2.3p4.(3P).4p,4D*,7/2,3s2.3p4.(3P).4d,4D,7/2,8,8
59,378.74573,1500000.0,B,3s2.3p4.(3P).3d,4D,7/2,3s2.3p4.(3P).4p,2D*,5/2,8,6
60,380.046057,17000000.0,C,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4D,3/2,6,4
61,380.965549,1000000.0,C,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,2D*,5/2,6,6
62,382.789275,28100000.0,B,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4D,5/2,6,6
63,384.260804,26900000.0,B,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4D,1/2,4,2
64,384.582133,4800000.0,B,3s2.3p4.(3P).4p,4D*,5/2,3s2.3p4.(3P).4d,4D,7/2,6,8
65,384.649573,1600000.0,C,3s2.3p4.(3P).4s,4P,5/2,3s2.3p4.(3P).4p,2P*,3/2,6,4
66,385.16728,38700000.0,B,3s2.3p4.(3P).4s,4P,3/2,3s2.3p4.(3P).4p,4S*,3/2,4,4
67,386.962488,140000000.0,C,3s2.3p4.(3P).4p,4S*,3/2,3s2.3p4.(3P).4d,4P,5/2,4,6
68,387.071659,600000.0,C,3s2.3p4.(3P).4p,2P*,3/2,3s2.3p4.(3P).4d,4F,5/2,4,6
69,387.323464,15000000.0,C,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4D,3/2,4,4
70,387.636249,8200000.0,B,3s2.3p4.(3P).3d,4D,3/2,3s2.3p4.(3P).4p,4D*,1/2,4,2
71,388.143264,23200000.0,B,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,4D,1/2,2,2
72,389.250387,4300000.0,B,3s2.3p4.(3P).3d,4D,1/2,3s2.3p4.(3P).4p,4D*,1/2,2,2
73,389.308148,6300000.0,C,3s2.3p4.(3P).3d,4D,5/2,3s2.3p4.(3P).4p,4D*,3/2,6,4
74,390.17314,7200000.0,B,3s2.3p4.(3P).4p,4D*,3/2,3s2.3p4.(3P).4d,4D,5/2,4,6
75,391.268377,7700000.0,C+,3s2.3p4.(3P).4p,4D*,1/2,3s2.3p4.(3P).4d,4D,3/2,2,4
76,391.587568,3700000.0,B,3s2.3p4.(3P).3d,4D,3/2,3s2.3p4.(3P).4p,4D*,3/2,4,4
77,391.887642,100000.0,C,3s2.3p4.(3P).3d,4P,5/2,3s2.3p4.(1D).4p,2D*,5/2,6,6
78,392.346866,300000.0,C,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,2S*,1/2,2,2
79,392.973516,24400000.0,B,3s2.3p4.(3P).4s,4P,1/2,3s2.3p4.(3P).4p,4S*,3/2,2,4
80,393.234851,2000000.0,B,3s2.3p4.(3P).3d,4D,1/2,3s2.3p4.(3P).4p,4D*,3/2,2,4
