,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,230.8128,296800000.0,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,2D*,nan,14.0,10.0
1,252.9147,19577777.777777776,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,4G*,nan,14.0,36.0
2,6636.0,0.02216,3p6.3d9,2D,nan,3p6.3d9,2D,nan,10.0,10.0
3,208.0446,23300000.0,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,2F*,nan,28.0,14.0
4,5952.7,0.0063999999999999994,3p6.3d8.(3P).4s,4P,nan,3p6.3d8.(3P).4s,4P,nan,12.0,12.0
5,241.879625,26578571.42857143,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,4F*,nan,14.0,28.0
6,263.1062,272000.0,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,4D*,nan,14.0,20.0
7,215.43436666666665,91177777.77777778,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,2G*,nan,28.0,18.0
8,229.9357,284571428.5714286,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,2F*,nan,14.0,14.0
9,222.109,131428571.42857143,3p6.3d8.(3P).4s,4P,nan,3p6.3d8.(1D).4p,2F*,nan,12.0,14.0
10,238.24743333333333,223333333.33333334,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4p,2G*,nan,14.0,18.0
11,217.42919999999998,309650000.0,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,4F*,nan,28.0,28.0
12,6919.6,0.020185714285714286,3p6.3d8.(3F).4s,2F,nan,3p6.3d8.(3F).4s,2F,nan,14.0,14.0
13,8063.2,0.0009780000000000001,3p6.3d8.(1D).4s,2D,nan,3p6.3d8.(1D).4s,2D,nan,10.0,10.0
14,233.2933833333333,289256000.0,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,4D*,nan,28.0,20.0
15,175.191,27428571.42857143,3p6.3d9,2D,nan,3p6.3d8.(3F).4p,2F*,nan,10.0,14.0
16,223.40916249999998,305727777.7777778,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,4G*,nan,28.0,36.0
17,208.1509,3200000.0,3p6.3d8.(3F).4s,4F,nan,3p6.3d8.(3F).4p,2D*,nan,28.0,10.0
