,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,516.353605,49333333.333333336,3d6.(5D).4d,6D,nan,3d6.(5D<3>).4f,2[1]*,nan,30.0,6.0
1,583.0049750000001,15700000.0,3d6.(5D).4d,e 4F,nan,3d6.(5D<1>).4f,2[2]*,nan,28.0,10.0
2,704.16748,10800000.0,3d6.(5D).5p,4D*,nan,3d6.(3F2).4d,4P,nan,20.0,12.0
3,1918.969592727273,1149866.6666666667,3d6.(5D).4d,6D,nan,3d6.(5D).5p,6D*,nan,30.0,30.0
4,239.83162107692308,303833333.3333333,3d6.(5D).4s,a 6D,nan,3d6.(5D).4p,z 6F*,nan,30.0,42.0
5,668.15875,2271428.5714285714,3d6.(5D).4d,4P,nan,3d6.(5D<4>).4f,2[3]*,nan,12.0,14.0
6,274.886952,87333333.33333333,3d6.(3P2).4p,y 4D*,nan,3d6.(3P2).5s,2P,nan,20.0,6.0
7,520.9147675,63680000.0,3d6.(5D).4d,6D,nan,3d6.(5D<4>).4f,2[2]*,nan,30.0,10.0
8,539.73546,31428571.42857143,3d6.(5D).4d,6S,nan,3d6.(5D<0>).4f,2[3]*,nan,6.0,14.0
9,2255.407831666667,793357.1428571428,3d6.(5D).4d,e 4F,nan,3d6.(5D).5p,4F*,nan,28.0,28.0
10,721.480142,0.15316666666666667,3d7,a 4F,nan,3d7,a 2G,nan,28.0,18.0
11,251.213657,15000000.0,3d6.(3F2).4p,y 4G*,nan,3d6.(5D).5d,4F,nan,36.0,28.0
12,1721.3241964285712,3323333.3333333335,3d6.(5D).4d,e 6F,nan,3d6.(5D).5p,6D*,nan,42.0,30.0
13,225.778963,26785714.285714287,3d6.(3H).4p,z 4G*,nan,3d6.(3F2).4d,4F,nan,36.0,28.0
14,510.2961378,81400000.0,3d6.(5D).4d,6D,nan,3d6.(5D<3>).4f,2[4]*,nan,30.0,18.0
15,550.48886,6780000.0,3d6.(5D).4d,6S,nan,3d6.(5D<2>).4f,2[2]*,nan,6.0,10.0
16,655.26059,13300000.0,3d6.(5D).4d,4P,nan,3d6.(5D<3>).4f,2[0]*,nan,12.0,2.0
17,239.04334766666668,543000000.0,3d6.(3H).4p,z 2I*,nan,3d6.(3H).4d,2K,nan,26.0,30.0
18,268.89877,10333333.333333334,3d6.(3G).4p,y 4H*,nan,3d6.(3H).4d,4G,nan,44.0,36.0
19,236.84746275,113454545.45454545,3d6.(3H).4p,z 4I*,nan,3d6.(3H).4d,4H,nan,52.0,44.0
20,519.63331,32000000.0,3d6.(5D).4d,6P,nan,3d6.(5D<2>).4f,2[1]*,nan,18.0,6.0
21,247.523668,126000000.0,3d6.(3P2).4p,z 2P*,nan,3d6.(3P2).4d,4P,nan,6.0,6.0
22,637.94343,3480000.0,3d6.(5D).4d,4P,nan,3d6.(5D<2>).4f,2[2]*,nan,12.0,10.0
23,187.26422,39444444.44444445,3d5.4s2,b 4G,nan,3d5.(2F1).4s.4p.(3P*),4G*,nan,36.0,36.0
24,238.38441,15500000.0,3d6.(3F2).4p,x 4D*,nan,3d6.(3F2).4d,4G,nan,20.0,36.0
25,244.07840220000003,116333333.33333333,3d6.(5D).4p,z 6F*,nan,3d6.(5D).4d,e 6F,nan,42.0,42.0
