,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,367.83526,5911111.111111111,3d7.(2D2).4s,a 1D,nan,3d6.(1G2).4s.4p.(3P*),s 3G*,nan,5.0,27.0
1,193.726831,4400000.0,3d6.4s2,a 5D,nan,3d6.(5D).4s (6D).5p,u 5F*,nan,25.0,35.0
2,442.53096,110600.0,3d6.4s2,b 3D,nan,3d7.(2P).4p,u 3D*,nan,15.0,15.0
3,371.246388,12800000.0,3d7.(2P).4s,c 3P,nan,3d7.(2P).4p,y 1D*,nan,9.0,5.0
4,332.342918,2580285.714285714,3d6.(5D).4s.4p.(3P*),z 7P*,nan,3d6.(5D).4s (6D).6s,g 7D,nan,21.0,35.0
5,254.79767520000001,2183600.0,3d7.(4F).4s,a 5F,nan,3d7.(4P).4p,u 5D*,nan,35.0,25.0
6,1431.2608,4662.0,3d7.(2P).4s,c 3P,nan,3d6.(5D).4s.4p.(3P*),z 3D*,nan,9.0,15.0
7,363.31618249999997,648400.0,3d7.(4P).4s,a 5P,nan,3d6.(3P2).4s.4p.(3P*),x 3D*,nan,15.0,15.0
8,318.893432125,501685.71428571426,3d6.4s2,a 5D,nan,3d6.(5D).4s.4p.(3P*),z 3F*,nan,25.0,21.0
9,382.648776,647000.0,3d6.4s2,a 3P2,nan,3d7.(4P).4p,y 5S*,nan,9.0,5.0
10,411.9659045,15814666.666666666,3d7.(4P).4s,b 3P,nan,3d7.(4P).4p,w 3D*,nan,9.0,15.0
11,408.43205499999993,10551200.0,3d6.(5D).4s.4p.(3P*),z 5D*,nan,3d6.(5D).4s (6D).4d,f 5D,nan,25.0,25.0
12,680.581145,1395600.0,3d6.(5D).4s.4p.(1P*),y 5P*,nan,3d6.(5D).4s (4D).5s,g 5D,nan,15.0,25.0
13,254.44752366666668,2178000.0,3d7.(4F).4s,a 5F,nan,3d7.(4P).4p,w 3D*,nan,35.0,15.0
14,552.963565,1270000.0,3d7.(4F).4p,y 5D*,nan,3d6.(5D).4s (4D).5s,e 3D,nan,25.0,15.0
15,315.4761065,2962000.0,3d6.(5D).4s.4p.(3P*),z 7D*,nan,3d6.(5D).4s (6D).4d,f 5F,nan,35.0,35.0
16,412.13687,1930000.0,3d6.4s2,b 3G,nan,3d7.(2G).4p,z 1H*,nan,27.0,11.0
17,399.52421,307333.3333333333,3d7.(2G).4s,a 1G,nan,3d7.(2G).4p,y 3H*,nan,9.0,33.0
18,458.84127,645000.0,3d7.(2H).4s,a 1H,nan,3d6.(3F2).4s.4p.(3P*),x 1G*,nan,11.0,9.0
19,1555.328,272800.0,3d6.(5D).4s (6D).5s,e 5D,nan,3d6.(5D).4s (6D).5p,t 5D*,nan,25.0,25.0
20,459.66457,501000.0,3d7.(2H).4s,b 3H,nan,3d7.(2G).4p,z 1H*,nan,33.0,11.0
21,529.8383816666666,3373200.0,3d7.(4F).4s,a 3F,nan,3d6.(5D).4s.4p.(3P*),z 3D*,nan,21.0,15.0
22,479.09897,4570000.0,3d7.(2D2).4s,a 1D,nan,3d6.(3F2).4s.4p.(3P*),1F*,nan,5.0,7.0
23,379.025157,2160000.0,3d7.(2G).4s,a 3G,nan,3d7.(2G).4p,z 1H*,nan,27.0,11.0
24,406.08596,2141250.0,3d7.(2D2).4s,a 1D,nan,3d7.(2D2).4p,v 3P*,nan,5.0,8.0
25,387.00110766666666,12046666.666666666,3d7.(2D2).4s,a 3D,nan,3d7.(2P).4p,u 3D*,nan,15.0,15.0
26,1167.71694,177860.0,3d7.(4P).4s,a 5P,nan,3d6.(5D).4s.4p.(3P*),z 5D*,nan,15.0,25.0
27,274.1462571111111,168069333.33333334,3d6.4s2,a 5D,nan,3d6.(5D).4s.4p.(1P*),y 5P*,nan,25.0,15.0
28,422.77950360000006,10730.47619047619,3d6.4s2,a 5D,nan,3d6.(5D).4s.4p.(3P*),z 7P*,nan,25.0,21.0
29,293.28130625,49347500.0,3d6.4s2,a 3P2,nan,3d7.(2D2).4p,v 3P*,nan,9.0,8.0
30,852.90116,637200.0,3d6.(5D).4s.4p.(1P*),x 5D*,nan,3d6.(5D).4s (4D).5s,g 5D,nan,25.0,25.0
31,271.7717375,435142.85714285716,3d7.(4F).4s,a 3F,nan,3d7.(2G).4p,w 3F*,nan,21.0,21.0
32,328.3813605,21850.0,3d7.(4F).4s,a 3F,nan,3d6.(3H).4s.4p.(3P*),z 5H*,nan,21.0,40.0
33,408.75824074999997,5619600.0,3d6.(5D).4s.4p.(3P*),z 5F*,nan,3d6.(5D).4s (4D).5s,g 5D,nan,35.0,25.0
34,365.600303,1131000.0,3d7.(2G).4s,a 3G,nan,3d6.(3F2).4s.4p.(3P*),1F*,nan,27.0,7.0
35,271.461974,52480952.38095238,3d6.4s2,b 3F2,nan,3d6.(3D).4s.4p.(3P*),t 3F*,nan,21.0,21.0
36,413.816437,27500000.0,3d7.(2P).4s,a 1P,nan,3d7.(2P).4p,y 1D*,nan,3.0,5.0
37,2538.7148,175628.57142857142,3d6.(5D).4s (6D).5p,n 7P*,nan,3d6.(5D).4s (6D).6s,g 7D,nan,21.0,35.0
38,272.284469,631000.0,3d7.(4F).4s,a 3F,nan,3d6.(3H).4s.4p.(3P*),y 1G*,nan,21.0,9.0
39,397.773787,4000000.0,3d7.(2P).4s,a 1P,nan,3d7.(2D2).4p,t 3D*,nan,3.0,15.0
40,298.66076,30112121.21212121,3d7.(2G).4s,a 3G,nan,3d6.(1G2).4s.4p.(3P*),v 3H*,nan,27.0,33.0
41,364.62471614285715,7098090.909090909,3d6.4s2,a 3H,nan,3d6.(3H).4s.4p.(3P*),z 3H*,nan,33.0,33.0
42,478.07752,310000.0,3d7.(2P).4s,a 1P,nan,3d7.(4P).4p,x 3P*,nan,3.0,9.0
43,538.10693,641000.0,3d6.4s2,b 1G2,nan,3d7.(2G).4p,z 1H*,nan,9.0,11.0
44,360.470866,455000.0,3d6.4s2,b 3F2,nan,3d7.(2G).4p,z 1H*,nan,21.0,11.0
45,444.527325,14040933.333333334,3d7.(4P).4s,b 3P,nan,3d6.(3P2).4s.4p.(3P*),x 3D*,nan,9.0,15.0
46,431.02423,653333.3333333334,3d6.4s2,a 1I,nan,3d7.(2H).4p,y 3I*,nan,13.0,39.0
47,462.274105,2712000.0,3d6.(5D).4s.4p.(3P*),z 5P*,nan,3d6.(5D).4s (6D).4d,f 7D,nan,15.0,35.0
48,273.0258166666667,502476.1904761905,3d6.4s2,a 5D,nan,3d7.(4F).4p,y 3F*,nan,25.0,21.0
49,530.02499,65428.57142857143,3d6.4s2,b 3D,nan,3d6.(3G).4s.4p.(3P*),v 5F*,nan,15.0,35.0
50,283.558689,5410000.0,3d6.4s2,b 3F2,nan,3d7.(2H).4p,1H*,nan,21.0,11.0
51,434.43316500000003,1639575.7575757576,3d6.4s2,b 3G,nan,3d6.(3H).4s.4p.(3P*),z 3H*,nan,27.0,33.0
52,360.4254308888889,30931771.42857143,3d6.(5D).4s.4p.(3P*),z 7F*,nan,3d6.(5D).4s (6D).4d,f 7D,nan,49.0,35.0
53,453.00265,369000.0,3d7.(2H).4s,b 3H,nan,3d6.(3H).4s.4p.(3P*),y 1G*,nan,33.0,9.0
