,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,146.621091,79000000.0,B,3d8,a 3F,4,3d7.(2H).4p,x 3G*,5,9,11
1,148.095446,47000000.0,B,3d8,a 3F,4,3d7.(2P).4p,x 3D*,3,9,7
2,155.276226,32100000.0,B,3d8,a 3F,4,3d7.(2G).4p,z 1G*,4,9,9
3,157.264882,42000000.0,B,3d8,a 3F,4,3d7.(4P).4p,y 3D*,3,9,7
4,157.455073,67000000.0,B,3d8,a 3F,4,3d7.(2G).4p,y 3F*,4,9,9
5,157.679667,153000000.0,C+,3d8,a 3F,2,3d7.(2G).4p,y 3F*,2,5,5
6,157.704514,83000000.0,B,3d8,a 3F,3,3d7.(2G).4p,y 3F*,3,7,7
7,183.927618,270000000.0,C+,3d6.4s2,a 5D,3,3d7.(4F).5p,5D*,3,7,7
8,184.02268,420000000.0,C+,3d6.4s2,a 5D,4,3d7.(4F).5p,5D*,4,9,9
9,184.592731,220000000.0,C+,3d8,a 1G,4,3d7.(2H).4p,y 1G*,4,9,9
10,194.128513,77000000.0,B,3d8,a 3F,4,3d7.(4F).4p,z 3D*,3,9,7
11,195.010078,74000000.0,B,3d8,a 3F,3,3d7.(4F).4p,z 3D*,2,7,5
12,195.74284,96000000.0,B,3d8,a 3F,2,3d7.(4F).4p,z 3D*,1,5,3
13,201.216624,61000000.0,B+,3d8,a 3F,4,3d7.(4F).4p,z 3F*,4,9,9
14,202.300562,75000000.0,B,3d8,a 3F,3,3d7.(4F).4p,z 3F*,3,7,7
15,202.641209,20300000.0,C+,3d8,a 3F,4,3d7.(4F).4p,z 3G*,4,9,9
16,202.76931,87000000.0,B,3d8,a 3F,2,3d7.(4F).4p,z 3F*,2,5,5
17,203.723977,9000000.0,C,3d8,a 3F,3,3d7.(4F).4p,z 3G*,3,7,7
18,204.81185,460000000.0,C+,3d7.(4P).4p,z 5S*,2,3d7.(4P).4d,5P,3,5,7
19,204.983027,4800000.0,C,3d8,a 3F,2,3d7.(4F).4p,z 3F*,3,5,7
20,205.481642,510000000.0,C+,3d7.(4P).4p,z 5S*,2,3d7.(4P).4d,5P,2,5,5
21,205.85994,540000000.0,C+,3d7.(4P).4p,z 5S*,2,3d7.(4P).4d,5P,1,5,3
22,205.947551,9700000.0,B,3d8,a 3F,4,3d7.(4F).4p,z 3G*,5,9,11
23,206.444576,20000000.0,C+,3d8,a 3F,2,3d7.(4F).4p,z 3G*,3,5,7
24,206.620194,14800000.0,C+,3d8,a 3F,3,3d7.(4F).4p,z 3G*,4,7,9
25,208.334167,123000000.0,C+,3d7.(2G).4s,b 1G,4,3d7.(2H).4p,y 1G*,4,9,9
26,215.76282,1290000.0,B,3d7.(4F).4s,a 5F,5,3d7.(4F).4p,z 3F*,4,11,9
27,217.40165,2400000.0,C+,3d7.(4F).4s,a 5F,5,3d7.(4F).4p,z 3G*,4,11,9
28,218.616158,69000000.0,C+,3d7.(2H).4p,x 3G*,5,3d7.(2H).4d,3H,6,11,13
29,218.743328,104000000.0,C+,3d7.(2H).4p,x 3G*,4,3d7.(2H).4d,3H,5,9,11
30,218.772295,2600000.0,B,3d7.(4F).4s,a 5F,1,3d7.(4F).4p,z 3F*,2,3,5
31,218.968376,1290000.0,B,3d7.(4F).4s,a 5F,4,3d7.(4F).4p,z 3F*,4,9,9
32,219.0012,180000000.0,C+,3d7.(4P).4p,y 3P*,2,3d7.(2P).4d,3D,3,5,7
33,219.13403,122000000.0,C+,3d7.(2H).4p,z 3I*,6,3d7.(2H).4d,3H,6,13,13
34,219.295668,98000000.0,C+,3d7.(2H).4p,x 3G*,5,3d7.(2H).4d,3I,6,11,13
35,219.429008,200000000.0,C+,3d7.(4P).4s,a 5P,3,3d7.(4P).4p,z 5P*,3,7,7
36,219.522202,87000000.0,C+,3d7.(2H).4p,z 3I*,6,3d7.(2H).4d,1H,5,13,11
37,219.552122,290000000.0,C+,3d7.(2H).4p,z 3I*,5,3d7.(2H).4d,3I,5,11,11
38,219.805036,260000000.0,C+,3d7.(2P).4p,z 3P*,1,3d7.(2P).4d,3D,2,3,5
39,219.816767,150000000.0,C+,3d7.(2H).4p,z 3I*,6,3d7.(2H).4d,3I,6,13,13
40,219.898341,4000000.0,C,3d7.(4F).4s,a 5F,3,3d7.(4F).4p,z 3G*,3,7,7
41,220.110812,7000000.0,B,3d7.(4F).4s,a 5F,2,3d7.(4F).4p,z 3F*,3,5,7
42,220.659414,140000000.0,C+,3d7.(4F).4p,z 5F*,4,3d7.(4F).4d,e 5G,5,9,11
43,220.687678,180000000.0,C+,3d7.(4P).4s,a 5P,2,3d7.(4P).4p,z 5P*,3,5,7
44,221.167313,230000000.0,C+,3d7.(4F).4p,z 5F*,2,3d7.(4F).4d,e 5G,3,5,7
45,221.21174,7600000.0,B+,3d7.(4F).4s,a 5F,5,3d7.(4F).4p,z 3G*,5,11,11
46,221.372589,170000000.0,C+,3d7.(2H).4p,x 3G*,3,3d7.(2H).4d,3H,4,7,9
47,221.39511,210000000.0,C+,3d7.(2P).4p,z 3P*,2,3d7.(2P).4d,3D,3,5,7
48,221.502585,290000000.0,C+,3d7.(2H).4p,z 1I*,6,3d7.(2H).4d,1I,6,13,13
49,221.520347,270000000.0,C+,3d7.(4F).4p,z 5F*,1,3d7.(4F).4d,e 5G,2,3,5
50,221.548253,14400000.0,B,3d7.(4F).4s,a 5F,3,3d7.(4F).4p,z 3F*,4,7,9
51,221.704591,430000000.0,C+,3d7.(4F).4p,z 5F*,5,3d7.(4F).4d,e 5G,6,11,13
