,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
405,583.05934,6666666.666666667,3d7.(4F).4d,e 3P,nan,3d7.(4F<5/2>).4f,2[5/2]*,nan,9.0,12.0
406,220.058343,177333333.33333334,3d7.(4P).4s,a 5P,nan,3d7.(4P).4p,z 5P*,nan,15.0,15.0
407,560.28555,5454166.666666667,3d7.(4F).4d,f 3F,nan,3d7.(4F<5/2>).4f,2[11/2]*,nan,21.0,24.0
408,657.9790475,32597222.222222224,3d7.(4F).5p,5G*,nan,3d7.(4F).5d,5G,nan,45.0,36.0
409,987.653,993571.4285714285,3d7.(4F<7/2>).4f,2[9/2]*,nan,3d7.(4F<7/2>).5g,2[13/2],nan,20.0,28.0
410,524.1961200000001,81142857.14285715,3d7.(4F).4d,e 5H,nan,3d7.(4F<9/2>).4f,2[13/2]*,nan,55.0,28.0
411,221.274151,31066666.666666668,3d7.(4F).4s,a 5F,nan,3d7.(4F).4p,z 3G*,nan,35.0,27.0
412,989.5017666666666,41535000.0,3d7.(4F<5/2>).4f,2[7/2]*,nan,3d7.(4F<5/2>).5g,2[9/2],nan,16.0,20.0
413,569.08916,18562500.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<3/2>).4f,2[7/2]*,nan,21.0,16.0
414,230.151711,54600000.0,3d7.(4P).4s,b 3P,nan,3d7.(2P).4p,x 3D*,nan,9.0,15.0
415,184.592731,220000000.0,3d8,a 1G,nan,3d7.(2H).4p,y 1G*,nan,9.0,9.0
416,233.356044,22000000.0,3d7.(4F).4p,z 5G*,nan,3d7.(4F).4d,f 5F,nan,45.0,35.0
417,1846.246,295714.28571428574,3d7.(4F).4d,e 5H,nan,3d7.(4F).5p,3F*,nan,55.0,21.0
418,240.671916,224666666.66666666,3d7.(2D2).4s,a 3D,nan,3d7.(2D2).4p,w 3D*,nan,15.0,15.0
419,495.11191,22500000.0,3d7.(4F).4d,f 5F,nan,3d7.(4F<5/2>).4f,2[5/2]*,nan,35.0,12.0
420,508.8231475,70655000.0,3d7.(4F).4d,e 5G,nan,3d7.(4F<7/2>).4f,2[9/2]*,nan,45.0,20.0
421,535.2875,12535714.285714285,3d7.(4F).4d,e 3G,nan,3d7.(4F<9/2>).4f,2[13/2]*,nan,27.0,28.0
422,227.18134550000002,76285714.28571428,3d7.(4F).4p,z 5D*,nan,3d7.(4F).4d,f 5F,nan,25.0,35.0
423,241.22708,190000000.0,3d7.(2D2).4s,b 1D,nan,3d7.(2D2).4p,y 1D*,nan,5.0,5.0
424,281.611725,122212121.21212122,3d7.(2H).4p,y 3H*,nan,3d7.(2H).5s,3H,nan,33.0,33.0
425,272.20591724999997,168761904.76190478,3d7.(4F).4p,z 3G*,nan,3d7.(4F).5s,e 3F,nan,27.0,21.0
426,251.130457,270000000.0,3d7.(2H).4p,y 1G*,nan,3d7.(2H).4d,1F,nan,9.0,7.0
427,650.46992,35000000.0,3d7.(4F).5p,5F*,nan,3d7.(4F).5d,3G,nan,35.0,11.0
428,501.41002,4114285.714285714,3d7.(4F).4d,e 5D,nan,3d7.(4P).5p,5D*,nan,25.0,21.0
429,989.454,5100000.0,3d7.(4F<3/2>).4f,2[5/2]*,nan,3d7.(4F<3/2>).5g,2[5/2],nan,12.0,12.0
430,507.65284,75000000.0,3d7.(4F).4d,e 5P,nan,3d7.(4F<9/2>).4f,2[5/2]*,nan,15.0,12.0
431,519.554425,8016666.666666667,3d7.(4F).4d,e 5H,nan,3d7.(4F<9/2>).4f,2[11/2]*,nan,55.0,24.0
