,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,233.4653,0.001,109000.0,B',1s2.2s,2S,1/2,1s2.13p,2P*,1/2,2.0,2.0
1,233.4653,0.001,109000.0,B',1s2.2s,2S,1/2,1s2.13p,2P*,3/2,2.0,4.0
2,234.0871,0.001,134000.0,B',1s2.2s,2S,1/2,1s2.12p,2P*,3/2,2.0,4.0
3,234.0871,0.001,134000.0,B',1s2.2s,2S,1/2,1s2.12p,2P*,1/2,2.0,2.0
4,234.912,0.01,165000.0,B',1s2.2s,2S,1/2,1s2.11p,2P*,3/2,2.0,4.0
5,234.912,0.01,165000.0,B',1s2.2s,2S,1/2,1s2.11p,2P*,1/2,2.0,2.0
6,235.965,0.001,209000.0,B',1s2.2s,2S,1/2,1s2.10p,2P*,3/2,2.0,4.0
7,235.965,0.001,209000.0,B',1s2.2s,2S,1/2,1s2.10p,2P*,1/2,2.0,2.0
8,237.4267,0.001,191700.0,AA,1s2.2s,2S,1/2,1s2.9p,2P*,1/2,2.0,2.0
9,237.4267,0.001,191800.0,AA,1s2.2s,2S,1/2,1s2.9p,2P*,3/2,2.0,4.0
10,239.5116,0.001,266400.0,AA,1s2.2s,2S,1/2,1s2.8p,2P*,3/2,2.0,4.0
11,239.5116,0.001,266400.0,AA,1s2.2s,2S,1/2,1s2.8p,2P*,1/2,2.0,2.0
12,242.6163,0.001,382400.0,AA,1s2.2s,2S,1/2,1s2.7p,2P*,3/2,2.0,4.0
13,242.6163,0.001,382200.0,AA,1s2.2s,2S,1/2,1s2.7p,2P*,1/2,2.0,2.0
14,247.5809,0.001,573400.0,AA,1s2.2s,2S,1/2,1s2.6p,2P*,1/2,2.0,2.0
15,247.5809,0.001,573400.0,AA,1s2.2s,2S,1/2,1s2.6p,2P*,3/2,2.0,4.0
16,256.308,0.001,879900.0,AA,1s2.2s,2S,1/2,1s2.5p,2P*,3/2,2.0,4.0
17,256.308,0.001,900100.0,AA,1s2.2s,2S,1/2,1s2.5p,2P*,1/2,2.0,2.0
18,274.2014,0.001,1247000.0,AA,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,2.0,4.0
19,274.2014,0.001,1248000.0,AA,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,2.0,2.0
20,323.359,0.001,1002000.0,AA,1s2.2s,2S,1/2,1s2.3p,2P*,1/2,2.0,2.0
21,323.359,0.001,1002000.0,AA,1s2.2s,2S,1/2,1s2.3p,2P*,3/2,2.0,4.0
22,367.274,0.01,1399000.0,AA,1s2.2p,2P*,1/2,1s2.9d,2D,3/2,2.0,4.0
23,367.278,0.01,279700.0,AA,1s2.2p,2P*,3/2,1s2.9d,2D,3/2,4.0,4.0
24,367.278,0.01,1678000.0,AA,1s2.2p,2P*,3/2,1s2.9d,2D,5/2,4.0,6.0
25,372.195,0.01,2011000.0,AA,1s2.2p,2P*,1/2,1s2.8d,2D,3/2,2.0,4.0
26,372.2,0.01,2413000.0,AA,1s2.2p,2P*,3/2,1s2.8d,2D,5/2,4.0,6.0
27,372.2,0.01,402300.0,AA,1s2.2p,2P*,3/2,1s2.8d,2D,3/2,4.0,4.0
28,374.764,0.01,337000.0,A,1s2.2p,2P*,1/2,1s2.8s,2S,1/2,2.0,2.0
29,374.769,0.01,676000.0,A,1s2.2p,2P*,3/2,1s2.8s,2S,1/2,4.0,2.0
30,379.61,0.01,3041000.0,AA,1s2.2p,2P*,1/2,1s2.7d,2D,3/2,2.0,4.0
31,379.615,0.01,608200.0,AA,1s2.2p,2P*,3/2,1s2.7d,2D,3/2,4.0,4.0
32,379.615,0.01,3649000.0,AA,1s2.2p,2P*,3/2,1s2.7d,2D,5/2,4.0,6.0
33,383.667,0.01,518000.0,A,1s2.2p,2P*,1/2,1s2.7s,2S,1/2,2.0,2.0
34,383.672,0.01,1040000.0,A,1s2.2p,2P*,3/2,1s2.7s,2S,1/2,4.0,2.0
35,391.6401,0.001,4964000.0,AA,1s2.2p,2P*,1/2,1s2.6d,2D,3/2,2.0,4.0
36,391.6451,0.001,5959000.0,AA,1s2.2p,2P*,3/2,1s2.6d,2D,5/2,4.0,6.0
37,391.6453,0.001,992400.0,AA,1s2.2p,2P*,3/2,1s2.6d,2D,3/2,4.0,4.0
38,398.6608,0.001,862000.0,A,1s2.2p,2P*,1/2,1s2.6s,2S,1/2,2.0,2.0
39,398.6662,0.001,1730000.0,A,1s2.2p,2P*,3/2,1s2.6s,2S,1/2,4.0,2.0
40,413.3723,0.001,9040000.0,A,1s2.2p,2P*,1/2,1s2.5d,2D,3/2,2.0,4.0
41,413.3779,0.001,10900000.0,A,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,4.0,6.0
42,413.3781,0.001,1810000.0,A,1s2.2p,2P*,3/2,1s2.5d,2D,3/2,4.0,4.0
43,427.4264,0.001,1580000.0,A,1s2.2p,2P*,1/2,1s2.5s,2S,1/2,2.0,2.0
44,427.4326,0.001,3170000.0,A,1s2.2p,2P*,3/2,1s2.5s,2S,1/2,4.0,2.0
45,460.4111,0.001,19350000.0,AA,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,2.0,4.0
46,460.4179,0.001,23220000.0,AA,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,4.0,6.0
47,460.4183,0.001,3871000.0,AA,1s2.2p,2P*,3/2,1s2.4d,2D,3/2,4.0,4.0
48,497.3046,0.001,3460000.0,AA,1s2.2p,2P*,1/2,1s2.4s,2S,1/2,2.0,2.0
49,497.313,0.001,6919000.0,AA,1s2.2p,2P*,3/2,1s2.4s,2S,1/2,4.0,2.0
50,610.522,0.01,57138000.0,AAA,1s2.2p,2P*,1/2,1s2.3d,2D,3/2,2.0,4.0
51,610.533,0.01,68562000.0,AAA,1s2.2p,2P*,3/2,1s2.3d,2D,5/2,4.0,6.0
52,610.535,0.01,11427000.0,AAA,1s2.2p,2P*,3/2,1s2.3d,2D,3/2,4.0,4.0
53,670.961,0.01,36891000.0,AAA,1s2.2s,2S,1/2,1s2.2p,2P*,3/2,2.0,4.0
54,670.976,0.01,36890000.0,AAA,1s2.2s,2S,1/2,1s2.2p,2P*,1/2,2.0,2.0
55,687.497,0.01,27800.0,B,1s2.3s,2S,1/2,1s2.8p,2P*,1/2,2.0,2.0
56,687.497,0.01,27900.0,B,1s2.3s,2S,1/2,1s2.8p,2P*,3/2,2.0,4.0
57,713.713,0.01,36100.0,B,1s2.3s,2S,1/2,1s2.7p,2P*,3/2,2.0,4.0
58,713.713,0.01,35900.0,B,1s2.3s,2S,1/2,1s2.7p,2P*,1/2,2.0,2.0
59,758.454,0.01,43700.0,B,1s2.3s,2S,1/2,1s2.6p,2P*,1/2,2.0,2.0
60,758.454,0.01,43800.0,B,1s2.3s,2S,1/2,1s2.6p,2P*,3/2,2.0,4.0
61,812.846,0.01,11156000.0,AAA,1s2.2p,2P*,1/2,1s2.3s,2S,1/2,2.0,2.0
62,812.868,0.01,22309000.0,AAA,1s2.2p,2P*,3/2,1s2.3s,2S,1/2,4.0,2.0
63,846.78,0.01,40400.0,B,1s2.3s,2S,1/2,1s2.5p,2P*,1/2,2.0,2.0
64,846.78,0.01,40400.0,B,1s2.3s,2S,1/2,1s2.5p,2P*,3/2,2.0,4.0
65,922.01,0.1,135000.0,A,1s2.3p,2P*,3/2,1s2.8d,2D,3/2,4.0,4.0
66,922.01,0.1,810000.0,A,1s2.3p,2P*,3/2,1s2.8d,2D,5/2,4.0,6.0
67,922.01,0.1,672000.0,A,1s2.3p,2P*,1/2,1s2.8d,2D,3/2,2.0,4.0
68,937.93,0.1,370000.0,B,1s2.3p,2P*,3/2,1s2.8s,2S,1/2,4.0,2.0
69,937.93,0.1,184000.0,B,1s2.3p,2P*,1/2,1s2.8s,2S,1/2,2.0,2.0
70,955.242,0.01,4570.0,B,1s2.3d,2D,3/2,1s2.8p,2P*,3/2,4.0,4.0
71,955.242,0.01,45700.0,B,1s2.3d,2D,3/2,1s2.8p,2P*,1/2,4.0,2.0
72,955.246,0.01,41100.0,B,1s2.3d,2D,5/2,1s2.8p,2P*,3/2,6.0,4.0
73,968.89,0.1,1020000.0,A,1s2.3p,2P*,1/2,1s2.7d,2D,3/2,2.0,4.0
74,968.89,0.1,204000.0,A,1s2.3p,2P*,3/2,1s2.7d,2D,3/2,4.0,4.0
75,968.89,0.1,1230000.0,A,1s2.3p,2P*,3/2,1s2.7d,2D,5/2,4.0,6.0
76,995.77,0.1,287000.0,B,1s2.3p,2P*,1/2,1s2.7s,2S,1/2,2.0,2.0
77,995.77,0.1,575000.0,B,1s2.3p,2P*,3/2,1s2.7s,2S,1/2,4.0,2.0
78,1006.616,0.01,70900.0,A,1s2.3d,2D,3/2,1s2.7p,2P*,1/2,4.0,2.0
79,1006.616,0.01,7100.0,A,1s2.3d,2D,3/2,1s2.7p,2P*,3/2,4.0,4.0
80,1006.621,0.01,63600.0,A,1s2.3d,2D,5/2,1s2.7p,2P*,3/2,6.0,4.0
81,1051.31,0.01,1970000.0,A,1s2.3p,2P*,3/2,1s2.6d,2D,5/2,4.0,6.0
82,1051.311,0.01,328000.0,A,1s2.3p,2P*,3/2,1s2.6d,2D,3/2,4.0,4.0
83,1051.311,0.01,1640000.0,A,1s2.3p,2P*,1/2,1s2.6d,2D,3/2,2.0,4.0
84,1097.965,0.01,119000.0,A,1s2.3d,2D,3/2,1s2.6p,2P*,1/2,4.0,2.0
85,1097.965,0.01,11900.0,A,1s2.3d,2D,3/2,1s2.6p,2P*,3/2,4.0,4.0
86,1097.97,0.01,107000.0,A,1s2.3d,2D,5/2,1s2.6p,2P*,3/2,6.0,4.0
87,1103.477,0.01,973000.0,A,1s2.3p,2P*,3/2,1s2.6s,2S,1/2,4.0,2.0
88,1103.477,0.01,486000.0,A,1s2.3p,2P*,1/2,1s2.6s,2S,1/2,2.0,2.0
89,1224.056,0.01,3480000.0,A,1s2.3p,2P*,3/2,1s2.5d,2D,5/2,4.0,6.0
90,1224.058,0.01,2900000.0,A,1s2.3p,2P*,1/2,1s2.5d,2D,3/2,2.0,4.0
91,1224.058,0.01,581000.0,A,1s2.3p,2P*,3/2,1s2.5d,2D,3/2,4.0,4.0
92,1278.54,0.1,4274000.0,AA,1s2.3d,2D,3/2,1s2.5f,2F*,5/2,4.0,6.0
93,1278.55,0.1,4578000.0,AA,1s2.3d,2D,5/2,1s2.5f,2F*,7/2,6.0,8.0
