,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,43.8774,22300000.0,C+,2s2.2p,2P*,1/2,2s.2p.(3P*).5p,2P,3/2,2.0,4.0
1,43.8825,89000000.0,C+,2s2.2p,2P*,1/2,2s.2p.(3P*).5p,2P,1/2,2.0,2.0
2,43.8896,111000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).5p,2P,3/2,4.0,4.0
3,43.8947,44500000.0,C+,2s2.2p,2P*,3/2,2s.2p.(3P*).5p,2P,1/2,4.0,2.0
4,46.6353,45400000.0,C+,2s2.2p,2P*,1/2,2s.2p.(3P*).4p,2P,3/2,2.0,4.0
5,46.6408,182000000.0,B,2s2.2p,2P*,1/2,2s.2p.(3P*).4p,2P,1/2,2.0,2.0
6,46.6491,227000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).4p,2P,3/2,4.0,4.0
7,46.6546,90800000.0,C+,2s2.2p,2P*,3/2,2s.2p.(3P*).4p,2P,1/2,4.0,2.0
8,52.4342,22600000.0,C+,2s.2p2,4P,3/2,2s.2p.(3P*).6s,4P*,5/2,4.0,6.0
9,52.4411,31400000.0,C+,2s.2p2,4P,1/2,2s.2p.(3P*).6s,4P*,3/2,2.0,4.0
10,52.4419,52800000.0,B,2s.2p2,4P,5/2,2s.2p.(3P*).6s,4P*,5/2,6.0,6.0
11,52.4472,10000000.0,C,2s.2p2,4P,3/2,2s.2p.(3P*).6s,4P*,3/2,4.0,4.0
12,52.4473,12600000.0,C,2s.2p2,4P,1/2,2s.2p.(3P*).6s,4P*,1/2,2.0,2.0
13,52.4533,62800000.0,C+,2s.2p2,4P,3/2,2s.2p.(3P*).6s,4P*,1/2,4.0,2.0
14,52.455,33900000.0,C+,2s.2p2,4P,5/2,2s.2p.(3P*).6s,4P*,3/2,6.0,4.0
15,53.0275,428000000.0,B,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2D,3/2,2.0,4.0
16,53.0359,514000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2D,5/2,4.0,6.0
17,53.0454,85600000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2D,3/2,4.0,4.0
18,53.1679,90900000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).5d,4P*,1/2,2.0,2.0
19,53.1721,227000000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).5d,4P*,3/2,2.0,4.0
20,53.1742,454000000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).5d,4P*,1/2,4.0,2.0
21,53.1784,72600000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).5d,4P*,3/2,4.0,4.0
22,53.1837,163000000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).5d,4P*,5/2,4.0,6.0
23,53.1864,245000000.0,B,2s.2p2,4P,5/2,2s.2p.(3P*).5d,4P*,3/2,6.0,4.0
24,53.1917,381000000.0,B,2s.2p2,4P,5/2,2s.2p.(3P*).5d,4P*,5/2,6.0,6.0
25,54.3258,395000000.0,B,2s2.2p,2P*,1/2,2s2.6d,2D,3/2,2.0,4.0
26,54.3443,474000000.0,B,2s2.2p,2P*,3/2,2s2.6d,2D,5/2,4.0,6.0
27,54.3445,79000000.0,B,2s2.2p,2P*,3/2,2s2.6d,2D,3/2,4.0,4.0
28,54.7068,43300000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).5s,4P*,5/2,4.0,6.0
29,54.714,60100000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).5s,4P*,3/2,2.0,4.0
30,54.7153,101000000.0,B,2s.2p2,4P,5/2,2s.2p.(3P*).5s,4P*,5/2,6.0,6.0
31,54.7206,19200000.0,C+,2s.2p2,4P,3/2,2s.2p.(3P*).5s,4P*,3/2,4.0,4.0
32,54.7211,24000000.0,C+,2s.2p2,4P,1/2,2s.2p.(3P*).5s,4P*,1/2,2.0,2.0
33,54.7277,120000000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).5s,4P*,1/2,4.0,2.0
34,54.7291,64800000.0,B,2s.2p2,4P,5/2,2s.2p.(3P*).5s,4P*,3/2,6.0,4.0
35,54.932,67100000.0,B,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2P,3/2,2.0,4.0
36,54.9379,268000000.0,B,2s2.2p,2P*,1/2,2s.2p.(3P*).3p,2P,1/2,2.0,2.0
37,54.9511,335000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2P,3/2,4.0,4.0
38,54.957,134000000.0,B,2s2.2p,2P*,3/2,2s.2p.(3P*).3p,2P,1/2,4.0,2.0
39,55.1681,24500000.0,C+,2s2.2p,2P*,1/2,2s2.6s,2S,1/2,2.0,2.0
40,55.1874,49000000.0,C+,2s2.2p,2P*,3/2,2s2.6s,2S,1/2,4.0,2.0
41,56.0239,606000000.0,B,2s2.2p,2P*,1/2,2s2.5d,2D,3/2,2.0,4.0
42,56.0437,727000000.0,B,2s2.2p,2P*,3/2,2s2.5d,2D,5/2,4.0,6.0
43,56.0439,121000000.0,B,2s2.2p,2P*,3/2,2s2.5d,2D,3/2,4.0,4.0
44,56.2298,175000000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).4d,4P*,1/2,2.0,2.0
45,56.2338,437000000.0,B,2s.2p2,4P,1/2,2s.2p.(3P*).4d,4P*,3/2,2.0,4.0
46,56.2367,873000000.0,B,2s.2p2,4P,3/2,2s.2p.(3P*).4d,4P*,1/2,4.0,2.0
