,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,24.834,68000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).10d,2[3/2]*,1,1,3
1,25.006,82000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).10s,2[1/2]*,1,1,3
2,25.022,63000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).10d,2[3/2]*,1,1,3
3,25.198,93000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,1,3
4,25.211,7800000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).9d,2[1/2]*,1,1,3
5,25.257,83000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).8d,2[3/2]*,1,1,3
6,25.448,99000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,1,1,3
7,25.471,6000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,1,3
8,26.263,740000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,1,3
9,26.47,730000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,1,3
10,26.549,26000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,1,3
11,27.36997,2600000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,1,1,3
12,27.4466,1080000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,1,3
13,29.6957,11300000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,1,3
14,30.17472,2000000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,1,3
15,30.43376,1300000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,1,3
16,30.49133,860000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,1,3
17,30.95941,35000000.0,C,3s2.3p6,1S,0,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,1,3
18,35.79692,68000000000.0,B,3s2.3p6,1S,0,3s2.3p5.3d,1P*,1,1,3
19,40.37201,7600000000.0,B,3s2.3p6,1S,0,3s2.3p5.4s,1P*,1,1,3
20,40.9953,1200000000.0,C,3s2.3p6,1S,0,3s2.3p5.4s,3P*,1,1,3
21,43.9692,19000000.0,C,3s2.3p6,1S,0,3s2.3p5.3d,3D*,1,1,3
22,49.0552,1500000.0,C,3s2.3p6,1S,0,3s2.3p5.3d,3P*,1,1,3
23,55.2412,300000000.0,C,3s2.3p5.3d,3P*,2,3s2.3p5.(2P*<1/2>).6f,2[5/2],3,5,7
24,56.1959,340000000.0,C,3s2.3p5.3d,3P*,2,3s2.3p5.(2P*<3/2>).6f,2[5/2],3,5,7
25,56.2607,280000000.0,C,3s2.3p5.3d,3F*,4,3s2.3p5.(2P*<3/2>).7f,2[9/2],5,9,11
26,58.006,160000000.0,C,3s2.3p5.3d,3F*,3,3s2.3p5.(2P*<1/2>).6f,2[7/2],4,7,9
27,58.335,300000000.0,C,3s2.3p5.3d,3F*,2,3s2.3p5.(2P*<1/2>).6f,2[7/2],3,5,7
28,58.655,74000000.0,C,3s2.3p5.3d,3F*,4,3s2.3p5.(2P*<3/2>).6f,2[7/2],4,9,9
29,58.7354,480000000.0,C,3s2.3p5.3d,3F*,4,3s2.3p5.(2P*<3/2>).6f,2[9/2],5,9,11
30,58.9015,320000000.0,C,3s2.3p5.3d,3P*,1,3s2.3p5.(2P*<1/2>).5f,2[5/2],2,3,5
31,59.0987,250000000.0,C,3s2.3p5.3d,3F*,3,3s2.3p5.(2P*<3/2>).6f,2[9/2],4,7,9
32,59.15839,890000000.0,C,3s2.3p5.3d,3P*,2,3s2.3p5.(2P*<1/2>).5f,2[5/2],3,5,7
33,59.3646,130000000.0,C,3s2.3p5.3d,3F*,2,3s2.3p5.(2P*<3/2>).6f,2[7/2],3,5,7
34,59.49747,1000000000.0,C,3s2.3p5.3d,3P*,0,3s2.3p5.(2P*<3/2>).5f,2[3/2],1,1,3
35,59.66743,780000000.0,C,3s2.3p5.3d,3P*,1,3s2.3p5.(2P*<3/2>).5f,2[3/2],1,3,3
