,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,162.9441,87300000.0,C,3s2.3p2,3P,1.0,3s2.3p.5d,3D*,2.0,3.0,5.0
1,162.9948,211000000.0,C,3s2.3p2,3P,2.0,3s2.3p.5d,3D*,3.0,5.0,7.0
2,167.5205,64100000.0,C,3s2.3p2,3P,2.0,3s2.3p.nd,a 3P*,2.0,5.0,5.0
3,169.6207,122000000.0,C,3s2.3p2,3P,1.0,3s2.3p.4d,3D*,2.0,3.0,5.0
4,169.7941,138000000.0,C,3s2.3p2,3P,2.0,3s2.3p.4d,3D*,3.0,5.0,7.0
5,180.9105,68300000.0,C,3s2.3p2,1D,2.0,3s2.3p.5d,3D*,3.0,5.0,7.0
6,181.4079,115000000.0,C,3s2.3p2,1D,2.0,3s2.3p.5d,1F*,3.0,5.0,7.0
7,184.552,168000000.0,C+,3s2.3p2,3P,0.0,3s2.3p.3d,3D*,1.0,1.0,3.0
8,184.7474,233000000.0,C+,3s2.3p2,3P,1.0,3s2.3p.3d,3D*,2.0,3.0,5.0
9,184.815,123000000.0,C+,3s2.3p2,3P,1.0,3s2.3p.3d,3D*,1.0,3.0,3.0
10,185.0672,305000000.0,C+,3s2.3p2,3P,2.0,3s2.3p.3d,3D*,3.0,5.0,7.0
11,185.2472,74000000.0,C+,3s2.3p2,3P,2.0,3s2.3p.3d,3D*,2.0,5.0,5.0
12,185.3152,7920000.0,C,3s2.3p2,3P,2.0,3s2.3p.3d,3D*,1.0,5.0,3.0
13,190.1338,100000000.0,C,3s2.3p2,1D,2.0,3s2.3p.4d,1F*,3.0,5.0,7.0
14,197.7598,27900000.0,B,3s2.3p2,3P,0.0,3s2.3p.3d,3P*,1.0,1.0,3.0
15,197.9205,86900000.0,B,3s2.3p2,3P,1.0,3s2.3p.3d,3P*,0.0,3.0,1.0
16,198.0618,20700000.0,B,3s2.3p2,3P,1.0,3s2.3p.3d,3P*,1.0,3.0,3.0
17,198.3233,21800000.0,B,3s2.3p2,3P,1.0,3s2.3p.3d,3P*,2.0,3.0,5.0
18,198.6364,36500000.0,B,3s2.3p2,3P,2.0,3s2.3p.3d,3P*,1.0,5.0,3.0
19,198.8994,65800000.0,B,3s2.3p2,3P,2.0,3s2.3p.3d,3P*,2.0,5.0,5.0
20,205.8792,70800000.0,C,3s2.3p2,1D,2.0,3s2.3p.5s,1P*,1.0,5.0,3.0
21,212.3661,35700000.0,B,3s2.3p2,1D,2.0,3s2.3p.3d,1P*,1.0,5.0,3.0
22,212.4794,297000000.0,B,3s2.3p2,1D,2.0,3s2.3p.3d,1F*,3.0,5.0,7.0
23,220.8667,26200000.0,B,3s2.3p2,3P,0.0,3s.3p3,3D*,1.0,1.0,3.0
24,221.1581,34600000.0,B,3s2.3p2,3P,1.0,3s.3p3,3D*,2.0,3.0,5.0
25,221.2435,18100000.0,B,3s2.3p2,3P,1.0,3s.3p3,3D*,1.0,3.0,3.0
26,221.7359,45400000.0,B,3s2.3p2,3P,2.0,3s.3p3,3D*,3.0,5.0,7.0
27,221.8748,10900000.0,B,3s2.3p2,3P,2.0,3s.3p3,3D*,2.0,5.0,5.0
28,221.9606,1050000.0,C+,3s2.3p2,3P,2.0,3s.3p3,3D*,1.0,5.0,3.0
29,230.3767,348000000.0,C+,3s2.3p2,1S,0.0,3s2.3p.4d,1P*,1.0,1.0,3.0
30,243.5893,44300000.0,B,3s2.3p2,1D,2.0,3s2.3p.3d,1D*,2.0,5.0,5.0
31,250.7652,54700000.0,B,3s2.3p2,3P,1.0,3s2.3p.4s,3P*,2.0,3.0,5.0
32,251.5073,73900000.0,B,3s2.3p2,3P,0.0,3s2.3p.4s,3P*,1.0,1.0,3.0
33,251.687,168000000.0,B,3s2.3p2,3P,2.0,3s2.3p.4s,3P*,2.0,5.0,5.0
34,251.996,54900000.0,B,3s2.3p2,3P,1.0,3s2.3p.4s,3P*,1.0,3.0,3.0
35,252.4867,222000000.0,B,3s2.3p2,3P,1.0,3s2.3p.4s,3P*,0.0,3.0,1.0
36,252.9268,90400000.0,B,3s2.3p2,3P,2.0,3s2.3p.4s,3P*,1.0,5.0,3.0
37,253.3142,24500000.0,C,3s2.3p2,1S,0.0,3s2.3p.5s,1P*,1.0,1.0,3.0
38,263.2066,106000000.0,B,3s2.3p2,1S,0.0,3s2.3p.3d,1P*,1.0,1.0,3.0
39,288.2423,217000000.0,B,3s2.3p2,1D,2.0,3s2.3p.4s,1P*,1.0,5.0,3.0
40,390.6629,13300000.0,B,3s2.3p2,1S,0.0,3s2.3p.4s,1P*,1.0,1.0,3.0
41,595.0189,2220000.0,C,3s2.3p.4s,1P*,1.0,3s2.3p.5p,1D,2.0,3.0,5.0
42,768.238,4620000.0,C+,3s2.3p.4p,1P,1.0,3s2.3p.5d,1D*,2.0,3.0,5.0
43,774.485,5340000.0,C,3s2.3p.3d,3F*,4.0,3s2.3p.(2P*<3/2>).6f,2[9/2],5.0,9.0,11.0
44,792.0562,5220000.0,C+,3s2.3p.4p,3D,1.0,3s2.3p.5d,3F*,2.0,3.0,5.0
45,793.453,5130000.0,C+,3s2.3p.4p,3D,2.0,3s2.3p.5d,3F*,3.0,5.0,7.0
46,794.6186,5750000.0,B,3s2.3p.4p,3D,3.0,3s2.3p.5d,3F*,4.0,7.0,9.0
47,797.2499,711000.0,C,3s2.3p.4p,3D,2.0,3s2.3p.5d,3F*,2.0,5.0,5.0
48,865.084,9120000.0,C,3s2.3p.3d,3F*,4.0,3s2.3p.(2P*<3/2>).5f,2[9/2],5.0,9.0,11.0
49,941.6082,22600000.0,C+,3s2.3p.4s,1P*,1.0,3s2.3p.4p,1S,0.0,3.0,1.0
50,1029.1764,701000.0,C+,3s2.3p.4s,3P*,0.0,3s2.3p.4p,3S,1.0,1.0,3.0
51,1037.4106,4010000.0,C+,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3S,1.0,3.0,3.0
52,1058.8042,17800000.0,B,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3S,1.0,5.0,3.0
53,1060.633,5210000.0,C+,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3P,2.0,3.0,5.0
54,1066.3893,9270000.0,C+,3s2.3p.4s,3P*,0.0,3s2.3p.4p,3P,1.0,1.0,3.0
55,1069.2645,14500000.0,C+,3s2.3p.4p,3D,1.0,3s2.3p.4d,3F*,2.0,3.0,5.0
56,1069.7181,15300000.0,C+,3s2.3p.4p,3D,2.0,3s2.3p.4d,3F*,3.0,5.0,7.0
57,1073.0345,17000000.0,B,3s2.3p.4p,3D,3.0,3s2.3p.4d,3F*,4.0,7.0,9.0
58,1075.2323,10300000.0,C+,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3P,1.0,3.0,3.0
59,1078.9804,24800000.0,C+,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3P,0.0,3.0,1.0
60,1083.0054,19700000.0,B,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3P,2.0,5.0,5.0
61,1084.6828,18800000.0,C+,3s2.3p.4p,1P,1.0,3s2.3p.4d,1D*,2.0,3.0,5.0
62,1087.2514,21800000.0,B,3s2.3p.4s,1P*,1.0,3s2.3p.4p,1D,2.0,3.0,5.0
63,1098.2315,5050000.0,C+,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3P,1.0,5.0,3.0
64,1099.4424,1.0,C,3s2.3p2,1D,2.0,3s2.3p2,1S,0.0,5.0,1.0
65,1148.896,5340000.0,C,3s2.3p.4p,1D,2.0,3s2.3p.4d,1F*,3.0,5.0,7.0
66,1159.546,4060000.0,C,3s2.3p.3d,3P*,1.0,3s2.3p.(2P*<3/2>).4f,2[3/2],1.0,3.0,3.0
67,1164.413,5350000.0,C,3s2.3p.3d,3P*,0.0,3s2.3p.(2P*<3/2>).4f,2[3/2],1.0,1.0,3.0
68,1198.7478,14000000.0,B,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3D,2.0,3.0,5.0
69,1199.485,10400000.0,C+,3s2.3p.4s,3P*,0.0,3s2.3p.4p,3D,1.0,1.0,3.0
70,1203.4796,17300000.0,B,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3D,3.0,5.0,7.0
71,1210.6847,6100000.0,C+,3s2.3p.4s,3P*,1.0,3s2.3p.4p,3D,1.0,3.0,3.0
72,1227.405,3200000.0,C+,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3D,2.0,5.0,5.0
73,1239.9224,301000.0,C+,3s2.3p.4s,3P*,2.0,3s2.3p.4p,3D,1.0,5.0,3.0
74,1318.0492,11800000.0,C+,3s2.3p.4p,1P,1.0,3s2.3p.5s,1P*,1.0,3.0,3.0
75,1329.1198,461000.0,C,3s2.3p.4s,3P*,1.0,3s2.3p.4p,1P,1.0,3.0,3.0
76,1332.9271,5330000.0,C,3s2.3p.4p,3P,2.0,3s2.3p.4d,3P*,2.0,5.0,5.0
77,1369.754,9280000.0,C,3s2.3p.4p,3S,1.0,3s2.3p.4d,3P*,1.0,3.0,3.0
78,1371.5101,9230000.0,C,3s2.3p.4p,3S,1.0,3s2.3p.4d,3P*,2.0,3.0,5.0
79,1390.914,4570000.0,C,3s2.3p.4p,1S,0.0,3s2.3p.4d,1P*,1.0,1.0,3.0
