,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,193.453495,25000000.0,C+,3d6.4s2,a 5D,4.0,3d6.(5D).4s (6D).5p,u 5P*,3.0,9.0,7.0
1,193.726831,22000000.0,C+,3d6.4s2,a 5D,4.0,3d6.(5D).4s (6D).5p,u 5F*,3.0,9.0,7.0
2,213.268991,7600000.0,C+,3d6.4s2,a 5D,4.0,3d6.(3F2).4s.4p.(3P*),x 3F*,4.0,9.0,9.0
3,214.586496,5700000.0,C,3d6.4s2,a 5D,3.0,3d7.(4P).4p,w 3D*,3.0,7.0,7.0
4,215.368354,6900000.0,C,3d6.4s2,a 5D,2.0,3d7.(4P).4p,w 3D*,2.0,5.0,5.0
5,217.752214,10000000.0,C+,3d6.4s2,a 5D,0.0,3d6.(3P2).4s.4p.(3P*),y 3P*,1.0,1.0,3.0
6,219.18892,7300000.0,C,3d6.4s2,a 5D,0.0,3d6.(3P2).4s.4p.(3P*),z 3S*,1.0,1.0,3.0
7,219.252424,120000000.0,C+,3d6.4s2,a 5D,2.0,3d7.(4P).4p,w 5P*,2.0,5.0,5.0
8,219.672802,120000000.0,C+,3d6.4s2,a 5D,1.0,3d7.(4P).4p,w 5P*,1.0,3.0,3.0
9,220.107687,89000000.0,C,3d6.4s2,a 5D,0.0,3d7.(4P).4p,w 5P*,1.0,1.0,3.0
10,220.14113,28000000.0,C,3d6.4s2,a 5D,1.0,3d7.(4P).4p,w 5P*,2.0,3.0,5.0
11,225.148786,1230000.0,C+,3d6.4s2,a 5D,4.0,3d6.(3F2).4s.4p.(3P*),w 5F*,4.0,9.0,9.0
12,225.99819,1300000.0,C,3d6.4s2,a 5D,3.0,3d6.(3F2).4s.4p.(3P*),v 5D*,2.0,7.0,5.0
13,226.020956,5660000.0,B+,3d6.4s2,a 5D,4.0,3d6.(3F2).4s.4p.(3P*),w 5F*,5.0,9.0,11.0
14,226.575482,1430000.0,C,3d6.4s2,a 5D,3.0,3d6.(3F2).4s.4p.(3P*),w 5F*,3.0,7.0,7.0
15,226.778561,4570000.0,B,3d6.4s2,a 5D,3.0,3d7.(4P).4p,y 5S*,2.0,7.0,5.0
16,227.277164,2920000.0,B+,3d6.4s2,a 5D,3.0,3d6.(3F2).4s.4p.(3P*),w 5F*,4.0,7.0,9.0
