,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,48.9403,5240.0,B,2p6.3s2,1S,0.0,3s.4d,1D,2.0,1.0,5.0
1,60.3264,81400.0,B+,2p6.3s2,1S,0.0,3s.3d,1D,2.0,1.0,5.0
2,63.7728,4310.0,B,3s.3p,3P*,0.0,3s.4f,3F*,2.0,1.0,5.0
3,63.8137,5940.0,B,3s.3p,3P*,1.0,3s.4f,3F*,3.0,3.0,7.0
4,63.8251,4520.0,B,3s.3p,3P*,1.0,3s.4f,3F*,2.0,3.0,5.0
5,63.904,8700.0,B,3s.3p,3P*,2.0,3s.4f,3F*,4.0,5.0,9.0
6,63.9205,3240.0,B,3s.3p,3P*,2.0,3s.4f,3F*,3.0,5.0,7.0
7,63.9319,696.0,C+,3s.3p,3P*,2.0,3s.4f,3F*,2.0,5.0,5.0
8,65.658,49.8,C+,3s.3p,3P*,0.0,3p.3d,1D*,2.0,1.0,5.0
9,65.7135,3.72,C,3s.3p,3P*,1.0,3p.3d,1D*,2.0,3.0,5.0
10,65.8004,9.45,C,3s.3p,3P*,1.0,3s.4f,1F*,3.0,3.0,7.0
11,65.8267,7.53,C,3s.3p,3P*,2.0,3p.3d,1D*,2.0,5.0,5.0
12,65.9139,5.24,C,3s.3p,3P*,2.0,3s.4f,1F*,3.0,5.0,7.0
13,68.4002,46700.0,B+,3s.3p,3P*,0.0,3p.3d,3F*,2.0,1.0,5.0
14,68.412,67000.0,B+,3s.3p,3P*,1.0,3p.3d,3F*,3.0,3.0,7.0
15,68.4604,46300.0,B+,3s.3p,3P*,1.0,3p.3d,3F*,2.0,3.0,5.0
16,68.4701,100000.0,B+,3s.3p,3P*,2.0,3p.3d,3F*,4.0,5.0,9.0
17,68.5347,32800.0,B+,3s.3p,3P*,2.0,3p.3d,3F*,3.0,5.0,7.0
18,68.5833,6470.0,B,3s.3p,3P*,2.0,3p.3d,3F*,2.0,5.0,5.0
19,76.8636,11.5,C,2p6.3s2,1S,0.0,3p2,3P,2.0,1.0,5.0
20,78.9422,3.67,C,3s.3p,1P*,1.0,3s.4f,3F*,3.0,3.0,7.0
21,78.9596,3.13,C,3s.3p,1P*,1.0,3s.4f,3F*,2.0,3.0,5.0
22,80.884,11.2,C,3s.3p,3P*,1.0,3s.4p,1P*,1.0,3.0,3.0
23,81.0556,23.0,C,3s.3p,3P*,2.0,3s.4p,1P*,1.0,5.0,3.0
24,81.5584,3610.0,B,3s.3p,3P*,0.0,3s.4p,3P*,2.0,1.0,5.0
25,81.644,8110.0,B+,3s.3p,3P*,1.0,3s.4p,3P*,2.0,3.0,5.0
26,81.6928,4500.0,B,3s.3p,3P*,1.0,3s.4p,3P*,1.0,3.0,3.0
27,81.8188,6290.0,B,3s.3p,3P*,2.0,3s.4p,3P*,2.0,5.0,5.0
