,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,335.6197,23864666.666666668,3p6.4s.4p,3P*,nan,3p6.4s.6d,3D,nan,9.0,15.0
1,220.1414,15300000.0,3p6.4s2,1S,nan,3p6.4s.7p,1P*,nan,1.0,3.0
2,300.23499999999996,108477777.77777778,3p6.4s.4p,3P*,nan,3p6.3d2,3P,nan,9.0,9.0
3,613.0734,86000000.0,3p6.4s.4p,3P*,nan,3p6.4s.5s,3S,nan,9.0,3.0
4,227.6169,30100000.0,3p6.4s2,1S,nan,3p6.4s.np,w 1P*,nan,1.0,3.0
5,444.51399999999995,86890000.0,3p6.4s.4p,3P*,nan,3p6.4s.4d,3D,nan,9.0,15.0
6,215.1472,6100000.0,3p6.4s2,1S,nan,3p6.4s.8p,1P*,nan,1.0,3.0
7,422.7918,218000000.0,3p6.4s2,1S,nan,3p6.4s.4p,1P*,nan,1.0,3.0
8,487.9488,18800000.0,3p6.3d.4s,1D,nan,3p6.4s.4f,1F*,nan,5.0,7.0
9,239.9289,16700000.0,3p6.4s2,1S,nan,3p6.4s.6p,1P*,nan,1.0,3.0
10,430.1258,181977777.7777778,3p6.4s.4p,3P*,nan,3p6.4p2,3P,nan,9.0,9.0
11,363.7706333333333,37090000.0,3p6.4s.4p,3P*,nan,3p6.4s.5d,3D,nan,9.0,15.0
12,458.32210000000003,20971428.57142857,3p6.3d.4s,3D,nan,3p6.4s.4f,3F*,nan,15.0,21.0
13,396.1008,30640000.0,3p6.4s.4p,3P*,nan,3p6.4s.6s,3S,nan,9.0,3.0
