,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2s2.2p6,1S,0,1.0,0.0,,                                                   ,L4995,2
1,2s2.2p5.3s,3P*,2,5.0,52.77267,, 100                                               ,,3
2,2s2.2p5.3s,3P*,1,3.0,52.9249,,  95             :     5  2p5.3s            1P*    ,,3
3,2s2.2p5.3s,3P*,0,1.0,53.0469,, 100                                               ,,3
4,2s2.2p5.3s,1P*,1,3.0,53.5029,,  95             :     5  2p5.3s            3P*    ,,3
5,2s2.2p5.3p,3S,1,3.0,57.94755,,  99                                               ,,3
6,2s2.2p5.3p,3D,3,7.0,58.77511,, 100                                               ,,3
7,2s2.2p5.3p,3D,2,5.0,58.84972,,  89                                               ,,3
8,2s2.2p5.3p,3D,1,3.0,58.95485,,  91                                               ,,3
9,2s2.2p5.3p,1D,2,5.0,59.19448,,  61             :    36  2p5.3p            3P     ,,3
10,2s2.2p5.3p,1P,1,3.0,59.31088,,  61             :    30  2p5.3p            3P     ,,3
11,2s2.2p5.3p,3P,2,5.0,59.36935,,  62             :    30  2p5.3p            1D     ,,3
12,2s2.2p5.3p,3P,0,1.0,59.42132,, 100                                               ,,3
13,2s2.2p5.3p,3P,1,3.0,59.44497,,  65             :    34  2p5.3p            1P     ,,3
14,2s2.2p5.3p,1S,0,1.0,61.49766,, 100                                               ,,3
15,2s2.2p5.3d,3P*,0,1.0,65.73372,, 100                                               ,,3
16,2s2.2p5.3d,3P*,1,3.0,65.76377,,  98                                               ,,3
17,2s2.2p5.3d,3P*,2,5.0,65.83101,,  93                                               ,,3
18,2s2.2p5.3d,3F*,4,9.0,65.90541,, 100                                               ,,3
19,2s2.2p5.3d,3F*,3,7.0,65.9389,,  68             :    32  2p5.3d            1F*    ,,3
20,2s2.2p5.3d,3F*,2,5.0,66.04957,,  77             :    14  2p5.3d            1D*    ,,3
21,2s2.2p5.3d,1F*,3,7.0,66.08001,,  52             :    29  2p5.3d            3D*    ,,3
22,2s2.2p5.3d,3D*,1,3.0,66.23207,,  60             :    40  2p5.3d            1P*    ,,3
23,2s2.2p5.3d,3D*,3,7.0,66.32207,,  70             :    16  2p5.3d            1F*    ,,3
24,2s2.2p5.3d,3D*,2,5.0,66.35381,,  56             :    37  2p5.3d            1D*    ,,3
25,2s2.2p5.3d,1D*,2,5.0,66.30389,,  46             :    31  2p5.3d            3D*    ,,3
26,2s2.2p5.3d,1P*,1,3.0,66.47438,,  59             :    39  2p5.3d            3D*    ,,3
27,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,5.0,67.6731,, 100  3P*                                          ,,4
28,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,3.0,67.76128,,  65  3P*        :    35  2p5.(2P*<3/2>).4s 1P*    ,,4
29,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,1.0,67.94761,, 100  3P*                                          ,,4
30,2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,3.0,68.0327,,  65  1P*        :    35  2p5.(2P*<1/2>).4s 3P*    ,,4
31,2s2.2p5.(2P*<3/2>).4p,2[1/2],1,3.0,69.42955,,  87             :    13  2p5.(2P*<1/2>).4p 2[1/2] ,,4
32,2s2.2p5.(2P*<3/2>).4p,2[1/2],0,1.0,69.96428,,  51             :    49  2p5.(2P*<1/2>).4p 2[1/2] ,,4
33,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,7.0,69.65416,, 100                                               ,,4
34,2s2.2p5.(2P*<3/2>).4p,2[5/2],2,5.0,69.69599,,  82             :    13  2p5.(2P*<3/2>).4p 2[3/2] ,,4
35,2s2.2p5.(2P*<3/2>).4p,2[3/2],1,3.0,69.75775,,  91                                               ,,4
36,2s2.2p5.(2P*<3/2>).4p,2[3/2],2,5.0,69.7956,,  84             :    15  2p5.(2P*<3/2>).4p 2[5/2] ,,4
37,2s2.2p5.(2P*<1/2>).4p,2[3/2],1,3.0,69.96302,,  91                                               ,,4
38,2s2.2p5.(2P*<1/2>).4p,2[3/2],2,5.0,70.00949,,  95                                               ,,4
39,2s2.2p5.(2P*<1/2>).4p,2[1/2],1,3.0,70.01779,,  87             :    13  2p5.(2P*<3/2>).4p 2[1/2] ,,4
40,2s2.2p5.(2P*<1/2>).4p,2[1/2],0,1.0,70.68498,,  51             :    49  2p5.(2P*<3/2>).4p 2[1/2] ,,4
41,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,0,1.0,72.10518,,                                                   ,,4
42,2s2.2p5.(2P*<3/2>).4d,2[1/2]*,1,3.0,72.12591,,                                                   ,,4
43,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,2,5.0,72.16803,,                                                   ,,4
44,2s2.2p5.(2P*<3/2>).4d,2[3/2]*,1,3.0,72.33864,,                                                   ,,4
45,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,4,9.0,72.17552,,                                                   ,,4
46,2s2.2p5.(2P*<3/2>).4d,2[7/2]*,3,7.0,72.19477,,                                                   ,,4
47,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,2,5.0,72.25146,,                                                   ,,4
48,2s2.2p5.(2P*<3/2>).4d,2[5/2]*,3,7.0,72.26291,,                                                   ,,4
49,2s2.2p5.(2P*<3/2>).4f,2[3/2],1,3.0,72.44963,,                                                   ,,4
50,2s2.2p5.(2P*<3/2>).4f,2[3/2],2,5.0,72.45067,,                                                   ,,4
51,2s2.2p5.(2P*<3/2>).4f,2[9/2],5,11.0,72.4641,,                                                   ,,4
52,2s2.2p5.(2P*<3/2>).4f,2[9/2],4,9.0,72.46424,,                                                   ,,4
53,2s2.2p5.(2P*<3/2>).4f,2[5/2],3,7.0,72.47669,,                                                   ,,4
54,2s2.2p5.(2P*<3/2>).4f,2[5/2],2,5.0,72.47758,,                                                   ,,4
55,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,2,5.0,72.4847,,                                                   ,,4
56,2s2.2p5.(2P*<1/2>).4d,2[5/2]*,3,7.0,72.4977,,                                                   ,,4
57,2s2.2p5.(2P*<3/2>).4f,2[7/2],3,7.0,72.49206,,                                                   ,,4
58,2s2.2p5.(2P*<3/2>).4f,2[7/2],4,9.0,72.49222,,                                                   ,,4
59,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,5.0,72.49826,,                                                   ,,4
60,2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,3.0,72.58856,,                                                   ,,4
61,2s2.2p5.(2P*<1/2>).4f,2[7/2],3,7.0,72.75119,,                                                   ,,4
62,2s2.2p5.(2P*<1/2>).4f,2[7/2],4,9.0,72.75139,,                                                   ,,4
63,2s2.2p5.(2P*<1/2>).4f,2[5/2],3,7.0,72.75208,,                                                   ,,4
64,2s2.2p5.(2P*<1/2>).4f,2[5/2],2,5.0,72.75289,,                                                   ,,4
65,2s2.2p5.(2P*<3/2>).5s,2[3/2]*,2,5.0,72.99804,, 100  3P*                                          ,,5
66,2s2.2p5.(2P*<3/2>).5s,2[3/2]*,1,3.0,73.04241,,  53  1P*        :    47  2p5.(2P*<3/2>).5s 3P*    ,,5
67,2s2.2p5.(2P*<1/2>).5s,2[1/2]*,0,1.0,73.2727,, 100  3P*                                          ,,5
68,2s2.2p5.(2P*<1/2>).5s,2[1/2]*,1,3.0,73.30202,,  53  3P*        :    47  2p5.(2P*<1/2>).5s 1P*    ,,5
69,2s2.2p5.(2P*<3/2>).5d,2[1/2]*,1,3.0,75.0546,,                                                   ,,5
70,2s2.2p5.(2P*<3/2>).5d,2[3/2]*,1,3.0,75.1652,,                                                   ,,5
71,2s2.2p5.(2P*<3/2>).5f,2[3/2],1,3.0,75.22284,,                                                   ,,5
72,2s2.2p5.(2P*<3/2>).5f,2[3/2],2,5.0,75.22362,,                                                   ,,5
73,2s2.2p5.(2P*<3/2>).5f,2[9/2],5,11.0,75.23045,,                                                   ,,5
74,2s2.2p5.(2P*<3/2>).5f,2[9/2],4,9.0,75.23056,,                                                   ,,5
75,2s2.2p5.(2P*<3/2>).5f,2[5/2],3,7.0,75.23742,,                                                   ,,5
76,2s2.2p5.(2P*<3/2>).5f,2[5/2],2,5.0,75.23791,,                                                   ,,5
77,2s2.2p5.(2P*<3/2>).5g,2[5/2]*,2,5.0,75.23881,,                                                   ,,5
78,2s2.2p5.(2P*<3/2>).5g,2[5/2]*,3,7.0,75.23881,,                                                   ,,5
79,2s2.2p5.(2P*<3/2>).5g,2[11/2]*,6,13.0,75.24117,,                                                   ,,5
80,2s2.2p5.(2P*<3/2>).5g,2[11/2]*,5,11.0,75.24117,,                                                   ,,5
81,2s2.2p5.(2P*<3/2>).5f,2[7/2],3,7.0,75.24491,,                                                   ,,5
82,2s2.2p5.(2P*<3/2>).5f,2[7/2],4,9.0,75.24499,,                                                   ,,5
83,2s2.2p5.(2P*<3/2>).5g,2[7/2]*,3,7.0,75.24561,,                                                   ,,5
84,2s2.2p5.(2P*<3/2>).5g,2[7/2]*,4,9.0,75.24561,,                                                   ,,5
85,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,4,9.0,75.24807,,                                                   ,,5
86,2s2.2p5.(2P*<3/2>).5g,2[9/2]*,5,11.0,75.24807,,                                                   ,,5
87,2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,3.0,75.419,,                                                   ,,5
88,2s2.2p5.(2P*<1/2>).5f,2[5/2],3,7.0,75.51198,,                                                   ,,5
89,2s2.2p5.(2P*<1/2>).5f,2[5/2],2,5.0,75.51264,,                                                   ,,5
90,2s2.2p5.(2P*<1/2>).5f,2[7/2],3,7.0,75.51201,,                                                   ,,5
91,2s2.2p5.(2P*<1/2>).5f,2[7/2],4,9.0,75.51204,,                                                   ,,5
92,2s2.2p5.(2P*<1/2>).5g,2[9/2]*,4,9.0,75.52019,,                                                   ,,5
93,2s2.2p5.(2P*<1/2>).5g,2[9/2]*,5,11.0,75.52019,,                                                   ,,5
94,2s2.2p5.(2P*<1/2>).5g,2[7/2]*,3,7.0,75.52021,,                                                   ,,5
95,2s2.2p5.(2P*<1/2>).5g,2[7/2]*,4,9.0,75.52021,,                                                   ,,5
96,2s2.2p5.(2P*<3/2>).6s,2[3/2]*,1,3.0,75.5389,,                                                   ,,6
97,2s2.2p5.(2P*<1/2>).6s,2[1/2]*,1,3.0,75.8026,,                                                   ,,6
98,2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,3.0,76.6967,,                                                   ,,6
99,2s2.2p5.(2P*<1/2>).6d,2[3/2]*,1,3.0,76.9572,,                                                   ,,6
100,2s2.2p5.(2P*<3/2>).7d,2[3/2]*,1,3.0,77.6157,,                                                   ,,7
101,2s2.2p5.(2P*<1/2>).7d,2[3/2]*,1,3.0,77.8806,,                                                   ,,7
102,2s2.2p5.(2P*<3/2>).8d,2[3/2]*,1,3.0,78.2126,,                                                   ,,8
103,2s2.2p5.(2P*<1/2>).8d,2[3/2]*,1,3.0,78.4805,,                                                   ,,8
104,2s2.2p5.(2P*<3/2>).9d,2[3/2]*,1,3.0,78.6197,,                                                   ,,9
105,2s.2p6.3p,1P*,1,3.0,98.01,,                                                   ,,3
106,2s.2p6.4p,1P*,1,3.0,108.45,,                                                   ,,4
