,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,1s,2S,1/2,2.0, 0.000000000,2.5e-08, 100                    ,,1
1,2p,2P*,1/2,2.0,40.8130308564,6e-10, 100                    ,L3620c107,2
2,2p,2P*,3/2,4.0,40.8137570515,4e-10, 100                    ,L3620c107,2
3,2s,2S,1/2,2.0,40.8130889283,2.5e-09, 100                    ,L3620c107,2
4,3p,2P*,1/2,2.0,48.37129741757,2.5e-10, 100                    ,L3620c107,3
5,3p,2P*,3/2,4.0,48.37151258731,1.2e-10, 100                    ,L3620c107,3
6,3s,2S,1/2,2.0,48.3713147192,6e-10, 100                    ,L3620c107,3
7,3d,2D,3/2,4.0,48.371512233303,1e-11, 100                    ,L3620c107,3
8,3d,2D,5/2,6.0,48.371583949701,7e-12, 100                    ,L3620c107,3
9,4p,2P*,1/2,2.0,51.01666119611,1e-10, 100                    ,L3620c107,4
10,4p,2P*,3/2,4.0,51.01675197039,5e-11, 100                    ,L3620c107,4
11,4s,2S,1/2,2.0,51.01666851092,2.5e-10, 100                    ,L3620c107,4
12,4d,2D,3/2,4.0,51.0167518192,1.1e-09, 100                    ,L3620c107,4
13,4d,2D,5/2,6.0,51.0167820747,1.1e-09, 100                    ,L3620c107,4
14,4f,2F*,5/2,6.0,51.0167820202,5e-10, 100                    ,L3620c107,4
15,4f,2F*,7/2,8.0,51.0167971475,5e-10, 100                    ,L3620c107,4
16,5p,2P*,1/2,2.0,52.24107411273,5e-11, 100                    ,L3620c107,5
17,5p,2P*,3/2,4.0,52.241120588933,2.5e-11, 100                    ,L3620c107,5
18,5s,2S,1/2,2.0,52.2410778621,4e-10, 100                    ,L3620c107,5
19,5d,2D,3/2,4.0,52.2411205110,7e-10, 100                    ,L3620c107,5
20,5d,2D,5/2,6.0,52.2411360019,7e-10, 100                    ,L3620c107,5
21,5f,2F*,5/2,6.0,52.2411359737,5e-10, 100                    ,L3620c107,5
22,5f,2F*,7/2,8.0,52.2411437189,5e-10, 100                    ,L3620c107,5
