,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,1s2,1S,0,1.0, 0.00000000,1.4e-07,L8948,1
1,1s.2s,3S,1,3.0,19.81961484203,2.5e-10,L8948,2
2,1s.2s,1S,0,1.0,20.6157751334,6e-10,L8948,2
3,1s.2p,3P*,2,5.0,20.96408720675,2.5e-10,L8948,2
4,1s.2p,3P*,1,3.0,20.96409668230,2.5e-10,L8948,2
5,1s.2p,3P*,0,1.0,20.96421916817,2.5e-10,L8948,2
6,1s.2p,1P*,1,3.0,21.2180230218,9e-10,L8948,2
7,1s.3s,3S,1,3.0,22.718466742,9e-09,L8948,3
8,1s.3s,1S,0,1.0,22.920317682,4e-09,L8948,3
9,1s.3p,3P*,2,5.0,23.0070734673,9e-10,L8948,3
10,1s.3p,3P*,1,3.0,23.0070761918,9e-10,L8948,3
11,1s.3p,3P*,0,1.0,23.0071097475,9e-10,L8948,3
12,1s.3d,3D,3,7.0,23.07365102990,9e-11,L8948,3
13,1s.3d,3D,2,5.0,23.07365134140,9e-11,L8948,3
14,1s.3d,3D,1,3.0,23.07365682165,9e-11,L8948,3
15,1s.3d,1D,2,5.0,23.07407511941,9e-11,L8948,3
16,1s.3p,1P*,1,3.0,23.0870188528,9e-10,L8948,3
17,1s.4s,3S,1,3.0,23.593959036,3e-09,L8948,4
18,1s.4s,1S,0,1.0,23.6735709133,2.5e-09,L8948,4
19,1s.4p,3P*,2,5.0,23.7078915511,9e-10,L8948,4
20,1s.4p,3P*,1,3.0,23.7078926664,9e-10,L8948,4
21,1s.4p,3P*,0,1.0,23.7079063452,9e-10,L8948,4
22,1s.4d,3D,3,7.0,23.73609051247,4e-11,L8948,4
23,1s.4d,3D,2,5.0,23.73609066143,4e-11,L8948,4
24,1s.4d,3D,1,3.0,23.73609295768,4e-11,L8948,4
25,1s.4d,1D,2,5.0,23.73633535786,4e-11,L8948,4
26,1s.4f,3F*,3,7.0,23.737007130074,9e-12,L8948,4
27,1s.4f,3F*,4,9.0,23.737008015292,9e-12,L8948,4
28,1s.4f,3F*,2,5.0,23.737009083833,9e-12,L8948,4
29,1s.4f,1F*,3,7.0,23.737010045198,9e-12,L8948,4
30,1s.4p,1P*,1,3.0,23.7420703918,9e-10,L8948,4
31,1s.5s,3S,1,3.0,23.9719717413,1.2e-09,L8948,5
32,1s.5s,1S,0,1.0,24.0112153129,1.2e-09,L8948,5
33,1s.5p,3P*,2,5.0,24.0282253870,4e-10,L8948,5
34,1s.5p,3P*,1,3.0,24.0282259477,4e-10,L8948,5
35,1s.5p,3P*,0,1.0,24.0282328220,4e-10,L8948,5
36,1s.5d,3D,3,7.0,24.042662564819,2.5e-11,L8948,5
37,1s.5d,3D,2,5.0,24.042662644310,2.5e-11,L8948,5
38,1s.5d,3D,1,3.0,24.042663817021,2.5e-11,L8948,5
39,1s.5d,1D,2,5.0,24.042803734930,2.1e-11,L8948,5
40,1s.5f,3F*,3,7.0,24.043154407280,4e-12,L8948,5
41,1s.5f,3F*,4,9.0,24.043154788948,4e-12,L8948,5
42,1s.5f,3F*,2,5.0,24.043155335762,4e-12,L8948,5
43,1s.5f,1F*,3,7.0,24.043155971555,4e-12,L8948,5
44,1s.5g,3G,4,9.0,24.0432159882911,9e-13,L8948,5
45,1s.5g,3G,5,11.0,24.0432163317922,9e-13,L8948,5
46,1s.5g,3G,3,7.0,24.0432166440935,9e-13,L8948,5
47,1s.5g,1G,4,9.0,24.0432168542416,9e-13,L8948,5
48,1s.5p,1P*,1,3.0,24.0458007297,4e-10,L8948,5
49,1s.6s,3S,1,3.0,24.1689985463,9e-10,L8948,6
50,1s.6s,1S,0,1.0,24.1911605982,9e-10,L8948,6
51,1s.6p,3P*,2,5.0,24.2008157776,3e-10,L8948,6
52,1s.6p,3P*,1,3.0,24.2008160981,3e-10,L8948,6
53,1s.6p,3P*,0,1.0,24.2008200312,3e-10,L8948,6
54,1s.6d,3D,3,7.0,24.209163433335,1.6e-11,L8948,6
55,1s.6d,3D,2,5.0,24.209163480258,1.6e-11,L8948,6
56,1s.6d,3D,1,3.0,24.209164158016,1.6e-11,L8948,6
57,1s.6d,1D,2,5.0,24.209250116893,1.2e-11,L8948,6
58,1s.6f,3F*,3,7.0,24.2094551506479,2.5e-12,L8948,6
59,1s.6f,3F*,4,9.0,24.2094553495983,2.5e-12,L8948,6
60,1s.6f,3F*,2,5.0,24.2094556659472,2.5e-12,L8948,6
61,1s.6f,1F*,3,7.0,24.2094560889011,2.5e-12,L8948,6
62,1s.6g,3G,4,9.0,24.2094922052525,4e-13,L8948,6
63,1s.6g,3G,5,11.0,24.2094924038571,4e-13,L8948,6
64,1s.6g,3G,3,7.0,24.2094925845692,4e-13,L8948,6
65,1s.6g,1G,4,9.0,24.2094927063924,4e-13,L8948,6
66,1s.6h,3H*,5,11.0,24.20950088025301,2.5e-13,L8948,6
67,1s.6h,3H*,6,13.0,24.20950100971409,2.5e-13,L8948,6
68,1s.6h,3H*,4,9.0,24.20950112722159,2.5e-13,L8948,6
69,1s.6h,1H*,5,11.0,24.20950121490285,2.5e-13,L8948,6
70,1s.6p,1P*,1,3.0,24.2110030003,3e-10,L8948,6
71,1s.7s,3S,1,3.0,24.2845663599,4e-10,L8948,7
72,1s.7s,1S,0,1.0,24.2982862291,4e-10,L8948,7
73,1s.7p,3P*,2,5.0,24.30428952460,1.6e-10,L8948,7
74,1s.7p,3P*,1,3.0,24.30428972472,1.6e-10,L8948,7
75,1s.7p,3P*,0,1.0,24.30429218260,1.6e-10,L8948,7
76,1s.7d,3D,3,7.0,24.309541220281,9e-12,L8948,7
77,1s.7d,3D,2,5.0,24.309541250161,9e-12,L8948,7
78,1s.7d,3D,1,3.0,24.309541676627,9e-12,L8948,7
79,1s.7d,1D,2,5.0,24.309597704313,9e-12,L8948,7
80,1s.7f,3F*,3,7.0,24.3097276142809,1.6e-12,L8948,7
81,1s.7f,3F*,4,9.0,24.3097277315102,1.6e-12,L8948,7
82,1s.7f,3F*,2,5.0,24.3097279306893,1.6e-12,L8948,7
83,1s.7f,1F*,3,7.0,24.3097282201906,1.6e-12,L8948,7
84,1s.7g,3G,4,9.0,24.3097514886974,4e-13,L8948,7
85,1s.7g,3G,5,11.0,24.3097516136789,4e-13,L8948,7
86,1s.7g,3G,3,7.0,24.3097517274726,4e-13,L8948,7
87,1s.7g,1G,4,9.0,24.3097518042885,4e-13,L8948,7
88,1s.7h,3H*,5,11.0,24.30975716401156,1.2e-13,L8948,7
89,1s.7h,3H*,6,13.0,24.30975724553837,1.2e-13,L8948,7
90,1s.7h,3H*,4,9.0,24.30975731953549,1.2e-13,L8948,7
91,1s.7h,1H*,5,11.0,24.30975737475284,1.2e-13,L8948,7
92,1s.7i,3I,6,13.0,24.30975894672121,1.2e-13,L8948,7
93,1s.7i,3I,7,15.0,24.30975900390359,1.2e-13,L8948,7
94,1s.7i,3I,5,11.0,24.30975905600832,1.2e-13,L8948,7
95,1s.7i,1I,6,13.0,24.30975909740429,1.2e-13,L8948,7
96,1s.7p,1P*,1,3.0,24.31070850185,1.6e-10,L8948,7
97,1s.8s,3S,1,3.0,24.3581044672,3e-10,L8948,8
98,1s.8s,1S,0,1.0,24.3671804009,3e-10,L8948,8
99,1s.8p,3P*,2,5.0,24.37116620390,1.2e-10,L8948,8
100,1s.8p,3P*,1,3.0,24.37116633720,1.2e-10,L8948,8
101,1s.8p,3P*,0,1.0,24.37116797472,1.2e-10,L8948,8
102,1s.8d,3D,3,7.0,24.374681203098,9e-12,L8948,8
103,1s.8d,3D,2,5.0,24.374681223256,9e-12,L8948,8
104,1s.8d,3D,1,3.0,24.374681508803,9e-12,L8948,8
105,1s.8d,1D,2,5.0,24.374719867558,4e-12,L8948,8
106,1s.8f,3F*,3,7.0,24.3748072401842,1.2e-12,L8948,8
107,1s.8f,3F*,4,9.0,24.3748073153049,1.2e-12,L8948,8
108,1s.8f,3F*,2,5.0,24.3748074487220,1.2e-12,L8948,8
109,1s.8f,1F*,3,7.0,24.3748076533589,1.2e-12,L8948,8
110,1s.8g,3G,4,9.0,24.3748234692642,4e-13,L8948,8
111,1s.8g,3G,5,11.0,24.3748235529486,4e-13,L8948,8
112,1s.8g,3G,3,7.0,24.3748236291783,4e-13,L8948,8
113,1s.8g,1G,4,9.0,24.37482368068775,2.5e-13,L8948,8
114,1s.8h,3H*,5,11.0,24.37482736358889,1.2e-13,L8948,8
115,1s.8h,3H*,6,13.0,24.37482741820554,1.2e-13,L8948,8
116,1s.8h,3H*,4,9.0,24.37482746777703,1.2e-13,L8948,8
117,1s.8h,1H*,5,11.0,24.37482750476883,1.2e-13,L8948,8
118,1s.8i,3I,6,13.0,24.37482860166212,1.2e-13,L8948,8
119,1s.8i,3I,7,15.0,24.37482863996989,1.2e-13,L8948,8
120,1s.8i,3I,5,11.0,24.37482867487578,1.2e-13,L8948,8
121,1s.8i,1I,6,13.0,24.37482870260794,1.2e-13,L8948,8
122,1s.8k,3K*,7,15.0,24.37482907849952,1.2e-13,L8948,8
123,1s.8k,3K*,8,17.0,24.37482910682705,1.2e-13,L8948,8
124,1s.8k,3K*,6,13.0,24.37482913277335,1.2e-13,L8948,8
125,1s.8k,1K*,7,15.0,24.37482915425795,1.2e-13,L8948,8
126,1s.8p,1P*,1,3.0,24.37546702047,1.2e-10,L8948,8
127,1s.9s,3S,1,3.0,24.40777570227,2.1e-10,L8948,9
128,1s.9s,1S,0,1.0,24.41408840062,2.1e-10,L8948,9
129,1s.9p,3P*,2,5.0,24.41686920906,9e-11,L8948,9
130,1s.9p,3P*,1,3.0,24.41686930227,9e-11,L8948,9
131,1s.9p,3P*,0,1.0,24.41687044765,9e-11,L8948,9
132,1s.9d,3D,3,7.0,24.419335888144,4e-12,L8948,9
133,1s.9d,3D,2,5.0,24.419335902367,4e-12,L8948,9
134,1s.9d,3D,1,3.0,24.419336102843,4e-12,L8948,9
135,1s.9d,1D,2,5.0,24.419363440351,4e-12,L8948,9
136,1s.9f,3F*,3,7.0,24.4194249695298,9e-13,L8948,9
