,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
625,3d6.4s.(6D<1/2>).4f,2[5/2]*,2,5.0,7.15926544,2.5e-07,,                                                     ,,4
626,3d6.4s.(6D<1/2>).4f,2[7/2]*,4,9.0,7.15923606,1.2e-07,,                                                     ,,4
627,3d6.4s.(6D<1/2>).4f,2[7/2]*,3,7.0,7.15945911,1.2e-07,,                                                     ,,4
628,3d6.4s.(4D).5p,5D*,4,9.0,7.16180142,2.5e-07,,                                                     ,,5
629,3d6.4s.(4D).5p,5D*,3,7.0,7.19523772,1.2e-07,,                                                     ,,5
630,3d6.4s.(4D).5p,5D*,2,5.0,7.23206872,2.5e-07,,                                                     ,,5
631,3d6.4s.(4D).5p,5D*,1,3.0,7.2555557,1.1e-06,,                                                     ,,5
632,3d6.(5D).4s (6D).7s,7D,5,11.0,7.1783195,6e-07,,                                                     ,,4
633,3d6.4s.(4D).5p,3F*,4,9.0,7.1808243,4e-07,,                                                     ,,5
634,3d6.4s.(4D).5p,3F*,2,5.0,7.31035581,2.5e-07,,                                                     ,,5
635,3d6.4s.(4D).5p,3F*,3,7.0,7.3261802,4e-07,,                                                     ,,5
636,3d6.4s.(4D).5p,3P*,2,5.0,7.1910167,1.1e-06,,                                                     ,,5
637,3d6.4s.(4D).5p,3P*,1,3.0,7.35769434,2.5e-07,,                                                     ,,5
638,3d6.(5D).4s (4D).4d,g 5G,6,13.0,7.19132379,2.5e-07,1.40?,                                                     ,,4
639,3d6.(5D).4s (4D).4d,g 5G,5,11.0,7.2247405,4e-07,,                                                     ,,4
640,3d6.(5D).4s (4D).4d,g 5G,4,9.0,7.2555755,2.5e-07,,                                                     ,,4
641,3d6.(5D).4s (4D).4d,g 5G,3,7.0,7.2791181,4e-07,,                                                     ,,4
642,3d6.(5D).4s (4D).4d,g 5G,2,5.0,7.2933513,4e-07,0.343,                                                     ,,4
643,3d6.(3H).4s.4p.(1P*),3G*,5,11.0,7.1933848,4e-07,,                                                     ,,4
644,3d6.(3H).4s.4p.(1P*),3G*,4,9.0,7.2325702,4e-07,,                                                     ,,4
645,3d6.(3H).4s.4p.(1P*),3G*,3,7.0,7.2655167,4e-07,,                                                     ,,4
646,3d6.4s.(4D).5p,3D*,2,5.0,7.2074803,2.5e-07,,                                                     ,,5
647,3d6.4s.(4D).5p,3D*,3,7.0,7.2253354,4e-07,,                                                     ,,5
648,3d6.4s.(4D).5p,3D*,1,3.0,7.24004041,2.5e-07,,                                                     ,,5
649,3d6.4s.(4D).5p,5F*,5,11.0,7.20931005,2.5e-07,,                                                     ,,5
650,3d6.4s.(4D).5p,5F*,4,9.0,7.25075723,2.5e-07,,                                                     ,,5
651,3d6.4s.(4D).5p,5F*,3,7.0,7.28501741,2.5e-07,,                                                     ,,5
652,3d6.4s.(4D).5p,5F*,2,5.0,7.30342758,2.5e-07,,                                                     ,,5
653,3d6.4s.(4D).5p,5F*,1,3.0,7.31227831,2.5e-07,,                                                     ,,5
654,3d6.4s.(6D).7s,7D,4,9.0,7.2156217,4e-07,,                                                     ,,7
655,3d6.4s.(6D).7s,7D,3,7.0,7.2506341,4e-07,,                                                     ,,7
