,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3s2.3p5,2P*,3/2,4.0,0.0,,1.333925,  95                      :     1  3s.3p5.(1P*).nd    2P*  ,L298,3
1,3s2.3p5,2P*,1/2,2.0,0.10939764,,0.665662,  95                      :     1  3s.3p5.(1P*).nd    2P*  ,,3
2,3s2.3p4.(3P).4s,4P,5/2,6.0,8.9217,,1.599, 100                                                       ,,4
3,3s2.3p4.(3P).4s,4P,3/2,4.0,8.987437,,1.722,  98                      :     2  3s2.3p4.(3P).4s    2P   ,,4
4,3s2.3p4.(3P).4s,4P,1/2,2.0,9.0294019,,2.652,  99                      :     1  3s2.3p4.(3P).4s    2P   ,,4
5,3s2.3p4.(3P).4s,2P,3/2,4.0,9.202832,,1.34,  98                      :     2  3s2.3p4.(3P).4s    4P   ,,4
6,3s2.3p4.(3P).4s,2P,1/2,2.0,9.2821597,,0.663,  99                      :     1  3s2.3p4.(3P).4s    4P   ,,4
7,3s2.3p4.(3P).4p,4P*,5/2,6.0,10.2806325,,1.591,  96                      :     4  3s2.3p4.(3P).4p    4D*  ,,4
8,3s2.3p4.(3P).4p,4P*,3/2,4.0,10.306918,,1.723,  94                      :     3  3s2.3p4.(3P).4p    4D*  ,,4
9,3s2.3p4.(3P).4p,4P*,1/2,2.0,10.3359337,,2.617,  97                      :     1  3s2.3p4.(3P).4p    4D*  ,,4
10,3s2.3p4.(3P).4p,4D*,7/2,8.0,10.4015349,,1.422, 100                                                       ,,4
11,3s2.3p4.(3P).4p,4D*,5/2,6.0,10.4310711,,1.308,  66                      :    32  3s2.3p4.(3P).4p    2D*  ,,4
12,3s2.3p4.(3P).4p,4D*,3/2,4.0,10.4748433,,1.163,  82                      :    11  3s2.3p4.(3P).4p    2D*  ,,4
13,3s2.3p4.(3P).4p,4D*,1/2,2.0,10.5000528,,0.059,  96                      :     2  3s2.3p4.(3P).4p    2P*  ,,4
14,3s2.3p4.(1D).4s,2D,5/2,6.0,10.4295834,,, 100                                                       ,,4
15,3s2.3p4.(1D).4s,2D,3/2,4.0,10.4297829,,, 100                                                       ,,4
16,3s2.3p4.(3P).4p,2D*,5/2,6.0,10.4950268,,1.269,  68                      :    30  3s2.3p4.(3P).4p    4D*  ,,4
17,3s2.3p4.(3P).4p,2D*,3/2,4.0,10.5372286,,0.986,  57                      :    27  3s2.3p4.(3P).4p    2P*  ,,4
18,3s2.3p4.(3P).4p,2P*,1/2,2.0,10.5689499,,1.28,  60                      :    34  3s2.3p4.(3P).4p    2S*  ,,4
19,3s2.3p4.(3P).4p,2P*,3/2,4.0,10.5935112,,1.327,  59                      :    31  3s2.3p4.(3P).4p    2D*  ,,4
20,3s2.3p4.(3P).4p,4S*,3/2,4.0,10.6297965,,1.877,  88                      :     7  3s2.3p4.(3P).4p    2P*  ,,4
21,3s2.3p4.(3P).4p,2S*,1/2,2.0,10.6524665,,1.379,  65                      :    34  3s2.3p4.(3P).4p    2P*  ,,4
22,3s2.3p4.(3P).3d,4D,7/2,8.0,10.9080665,,,  97                      :     2  3s2.3p4.(3P).3d    4F   ,,3
23,3s2.3p4.(3P).3d,4D,5/2,6.0,10.9205334,,,  96                      :     2  3s2.3p4.(3P).3d    4F   ,,3
24,3s2.3p4.(3P).3d,4D,3/2,4.0,10.933987,,,  97                      :     2  3s2.3p4.(3P).3d    4P   ,,3
25,3s2.3p4.(3P).3d,4D,1/2,2.0,10.944422,,,  99                      :     1  3s2.3p4.(3P).3d    4P   ,,3
26,3s2.3p4.(3P).3d,4F,9/2,10.0,11.182586,,, 100                                                       ,,3
27,3s2.3p4.(3P).3d,4F,7/2,8.0,11.219066,,,  53                      :    46  3s2.3p4.(3P).3d    2F   ,,3
28,3s2.3p4.(3P).3d,4F,5/2,6.0,11.251487,,,  66                      :    24  3s2.3p4.(3P).3d    2F   ,,3
29,3s2.3p4.(3P).3d,4F,3/2,4.0,11.276181,,,  90                      :     7  3s2.3p4.(3P).3d    2D   ,,3
30,3s2.3p4.(3P).3d,4P,1/2,2.0,11.291119,,,  99                      :     1  3s2.3p4.(3P).3d    4D   ,,3
31,3s2.3p4.(3P).3d,4P,3/2,4.0,11.349328,,,  84                      :     9  3s2.3p4.(3P).3d    2D   ,,3
32,3s2.3p4.(3P).3d,4P,5/2,6.0,11.364464,,,  59                      :    26  3s2.3p4.(3P).3d    2D   ,,3
33,3s2.3p4.(3P).3d,2F,7/2,8.0,11.293652,,,  53                      :    45  3s2.3p4.(3P).3d    4F   ,,3
34,3s2.3p4.(3P).3d,2F,5/2,6.0,11.39499,,,  53                      :    32  3s2.3p4.(3P).3d    4F   ,,3
35,3s2.3p4.(3P).3d,2D,5/2,6.0,11.298312,,,  52                      :    38  3s2.3p4.(3P).3d    4P   ,,3
36,3s2.3p4.(3P).3d,2D,3/2,4.0,11.304075,,,  76                      :    12  3s2.3p4.(3P).3d    4P   ,,3
37,3s2.3p4.(3P<2>).5s,2[2],5/2,6.0,11.325151,,, 100                  or  :   100  3s2.3p4.(3P).5s    4P   ,,5
38,3s2.3p4.(3P<2>).5s,2[2],3/2,4.0,11.366994,,,  89                  or  :    52  3s2.3p4.(3P).5s    2P   ,,5
39,3s2.3p4.(3P).3d,2P,1/2,2.0,11.352526,,,                                                           ,,3
40,3s2.3p4.(3P).3d,2P,3/2,4.0,11.430623,,,                                                           ,,3
41,3s2.3p4.(3P<1>).5s,2[1],3/2,4.0,11.4239198,,,  89                  or  :    52  3s2.3p4.(3P).5s    4P   ,,5
42,3s2.3p4.(3P<1>).5s,2[1],1/2,2.0,11.425315,,,  68                  or  :    88  3s2.3p4.(3P).5s    4P   ,,5
43,3s2.3p4.(3P<0>).5s,2[0],1/2,2.0,11.481272,,,  68                  or  :    88  3s2.3p4.(3P).5s    2P   ,,5
44,3s2.3p4.(1D).4p,2P*,3/2,4.0,11.6934712,,1.328,  97                      :     2  3s2.3p4.(3P).4p    2P*  ,,4
45,3s2.3p4.(1D).4p,2P*,1/2,2.0,11.7126455,,0.872,  96                      :     3  3s2.3p4.(3P).4p    2P*  ,,4
46,3s2.3p4.(3P).5p,4P*,5/2,6.0,11.7143043,,1.559,  87                      :    12  3s2.3p4.(3P).5p    4D*  ,,5
47,3s2.3p4.(3P).5p,4P*,3/2,4.0,11.7367992,,1.722,  78                      :    13  3s2.3p4.(3P).5p    4S*  ,,5
48,3s2.3p4.(3P).5p,4P*,1/2,2.0,11.775236,,2.309,  74                      :    18  3s2.3p4.(3P).5p    2S*  ,,5
49,3s2.3p4.(3P).5p,4D*,7/2,8.0,11.745308,,1.42, 100                                                       ,,5
50,3s2.3p4.(3P).5p,4D*,3/2,4.0,11.8173988,,1.147,  41                      :    40  3s2.3p4.(3P).5p    2D*  ,,5
51,3s2.3p4.(3P).5p,4D*,5/2,6.0,11.8281832,,1.352,  61                      :    26  3s2.3p4.(3P).5p    2D*  ,,5
52,3s2.3p4.(3P).5p,4D*,1/2,2.0,11.8525909,,0.699,  93                      :     5  3s2.3p4.(3P).5p    4P*  ,,5
53,3s2.3p4.(3P).5p,2D*,5/2,6.0,11.7570682,,1.247,  72                      :    27  3s2.3p4.(3P).5p    4D*  ,,5
54,3s2.3p4.(3P).5p,2D*,3/2,4.0,11.8660979,,1.321,  44                      :    39  3s2.3p4.(3P).5p    4S*  ,,5
55,3s2.3p4.(1D).4p,2F*,5/2,6.0,11.7964298,,, 100                                                       ,,4
56,3s2.3p4.(1D).4p,2F*,7/2,8.0,11.800868,,, 100                                                       ,,4
57,3s2.3p4.(3P).5p,2S*,1/2,2.0,11.8448209,,1.409,  72                      :    21  3s2.3p4.(3P).5p    4P*  ,,5
58,3s2.3p4.(3P).5p,4S*,3/2,4.0,11.8544214,,1.531,  35                      :    35  3s2.3p4.(3P).5p    4D*  ,,5
59,3s2.3p4.(3P<2>).4d,2[3],7/2,8.0,11.8653962,,1.416,  91                  or  :    90  3s2.3p4.(3P).4d    4D   ,,4
60,3s2.3p4.(3P<2>).4d,2[3],5/2,6.0,12.0197146,,1.097,  69                  or  :    41  3s2.3p4.(3P).4d    2D   ,,4
61,3s2.3p4.(3P<2>).4d,2[2],5/2,6.0,11.8760437,,1.367,  64                  or  :    87  3s2.3p4.(3P).4d    4D   ,,4
62,3s2.3p4.(3P<2>).4d,2[2],3/2,4.0,11.8897827,,1.209,  53                  or  :    85  3s2.3p4.(3P).4d    4D   ,,4
63,3s2.3p4.(3P<2>).4d,2[1],1/2,2.0,11.9019327,,0.0,  56                  or  :    89  3s2.3p4.(3P).4d    4D   ,,4
64,3s2.3p4.(3P<2>).4d,2[1],3/2,4.0,12.0269732,,,  67                  or  :    42  3s2.3p4.(3P).4d    4P   ,,4
65,3s2.3p4.(3P).5p,2P*,3/2,4.0,11.941331,,1.2873,  83                      :     8  3s2.3p4.(3P).5p    2D*  ,,5
66,3s2.3p4.(3P).5p,2P*,1/2,2.0,11.9761416,,0.712,  87                      :    10  3s2.3p4.(3P).5p    2S*  ,,5
67,3s2.3p4.(1D).4p,2D*,5/2,6.0,11.9623537,,, 100                                                       ,,4
68,3s2.3p4.(1D).4p,2D*,3/2,4.0,11.9627639,,0.867, 100                                                       ,,4
69,3s2.3p4.(3P<2>).4d,2[4],9/2,10.0,11.9638208,,, 100                  or  :   100  3s2.3p4.(3P).4d    4F   ,,4
70,3s2.3p4.(3P<2>).4d,2[4],7/2,8.0,11.9931368,,,  97                  or  :    60  3s2.3p4.(3P).4d    2F   ,,4
