,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,1s,2S,1/2,2.0, 0.00000000,2.5e-07, 100                    ,,1
1,2p,2P*,1/2,2.0,91.839353667,7e-09, 100                    ,L3620c107,2
2,2p,2P*,3/2,4.0,91.843030841,4e-09, 100                    ,L3620c107,2
3,2s,2S,1/2,2.0,91.83961304,4e-08, 100                    ,L3620c107,2
4,3p,2P*,1/2,2.0,108.8480984778,2.5e-09, 100                    ,L3620c107,3
5,3p,2P*,3/2,4.0,108.8491880200,1.2e-09, 100                    ,L3620c107,3
6,3s,2S,1/2,2.0,108.848175812,1e-08, 100                    ,L3620c107,3
7,3d,2D,3/2,4.0,108.84918622311,9e-11, 100                    ,L3620c107,3
8,3d,2D,5/2,6.0,108.84954932554,7e-11, 100                    ,L3620c107,3
9,4p,2P*,1/2,2.0,114.8010096962,1.1e-09, 100                    ,L3620c107,4
10,4p,2P*,3/2,4.0,114.8014693419,6e-10, 100                    ,L3620c107,4
11,4s,2S,1/2,2.0,114.801042400,4e-09, 100                    ,L3620c107,4
12,4d,2D,3/2,4.0,114.801468575,6e-09, 100                    ,L3620c107,4
13,4d,2D,5/2,6.0,114.801621761,6e-09, 100                    ,L3620c107,4
14,4f,2F*,5/2,6.0,114.8016214842,2.5e-09, 100                    ,L3620c107,4
15,4f,2F*,7/2,8.0,114.8016980730,2.5e-09, 100                    ,L3620c107,4
16,5p,2P*,1/2,2.0,117.5562933536,6e-10, 100                    ,L3620c107,5
17,5p,2P*,3/2,4.0,117.5565286896,4e-10, 100                    ,L3620c107,5
18,5s,2S,1/2,2.0,117.5563101193,2.5e-09, 100                    ,L3620c107,5
19,5d,2D,3/2,4.0,117.556528294,4e-09, 100                    ,L3620c107,5
20,5d,2D,5/2,6.0,117.556606724,4e-09, 100                    ,L3620c107,5
21,5f,2F*,5/2,6.0,117.5566065829,2.5e-09, 100                    ,L3620c107,5
22,5f,2F*,7/2,8.0,117.5566457954,2.5e-09, 100                    ,L3620c107,5
23,5g,2G,7/2,8.0,117.5566457216,5e-10, 100                    ,L3620c107,5
24,5g,2G,9/2,10.0,117.5566692492,5e-10, 100                    ,L3620c107,5
25,6p,2P*,1/2,2.0,119.0529640131,1.1e-09, 100                    ,L3620c107,6
26,6p,2P*,3/2,4.0,119.0531002016,1e-09, 100                    ,L3620c107,6
27,6s,2S,1/2,2.0,119.0529737211,1.2e-09, 100                    ,L3620c107,6
