,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
20,3s2.3p2.(3P).4s,2P,3/2,4.0,14.067438,,  96         :     1  3s2.3p2.(3P).3d 2P   ,,4
21,3s2.3p2.(3P).3d,4D,1/2,2.0,14.154321,,  99         :     1  3s2.3p2.(3P).4d 4D   ,,3
22,3s2.3p2.(3P).3d,4D,3/2,4.0,14.159062,,  99         :     1  3s2.3p2.(3P).4d 4D   ,,3
23,3s2.3p2.(3P).3d,4D,5/2,6.0,14.162844,,  98         :     1  3s2.3p2.(3P).4d 4D   ,,3
24,3s2.3p2.(3P).3d,4D,7/2,8.0,14.168831,,  97         :     1  3s2.3p2.(1D).3d 2F   ,,3
25,3s2.3p2.(3P).3d,2F,5/2,6.0,14.233928,,  49         :    49  3s2.3p2.(1D).3d 2F   ,,3
26,3s2.3p2.(3P).3d,2F,7/2,8.0,14.293594,,  47         :    49  3s2.3p2.(1D).3d 2F   ,,3
27,3s.3p4,2S,1/2,2.0,14.851295,,  62         :    37  3s2.3p2.(1D).3d 2S   ,,3
28,3s2.3p2.(1D).4s,2D,3/2,4.0,15.067641,,  98         :     1  3s2.3p2.(3P).3d 2D   ,,4
29,3s2.3p2.(1D).4s,2D,5/2,6.0,15.067802,,  99                                       ,,4
30,3s2.3p2.(3P).4p,2S*,1/2,2.0,15.558193,,  98         :     2  3s2.3p2.(3P).5p 2S*  ,,4
31,3s2.3p2.(1D).3d,2G,7/2,8.0,15.761752,, 100                                       ,,3
32,3s2.3p2.(1D).3d,2G,9/2,10.0,15.761907,, 100                                       ,,3
33,3s2.3p2.(3P).4p,4D*,1/2,2.0,15.84829,,  99                                       ,,4
34,3s2.3p2.(3P).4p,4D*,3/2,4.0,15.867044,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,,4
35,3s2.3p2.(3P).4p,4D*,5/2,6.0,15.898891,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,,4
36,3s2.3p2.(3P).4p,4D*,7/2,8.0,15.944264,,  99                                       ,,4
37,3s2.3p2.(3P).4p,4P*,1/2,2.0,16.09164,,  99                                       ,,4
38,3s2.3p2.(3P).4p,4P*,3/2,4.0,16.100362,,  89         :     8  3s2.3p2.(3P).4p 4S*  ,,4
39,3s2.3p2.(3P).4p,4P*,5/2,6.0,16.13458,,  94         :     4  3s2.3p2.(3P).4p 2D*  ,,4
40,3s2.3p2.(3P).3d,4P,5/2,6.0,16.19261,,  85         :    10  3s.3p4          4P   ,,3
41,3s2.3p2.(3P).3d,4P,3/2,4.0,16.21947,,  85         :    11  3s.3p4          4P   ,,3
42,3s2.3p2.(3P).3d,4P,1/2,2.0,16.235599,,  85         :    11  3s.3p4          4P   ,,3
43,3s2.3p2.(3P).4p,2D*,3/2,4.0,16.197433,,  88         :    10  3s2.3p2.(1D).4p 2D*  ,,4
44,3s2.3p2.(3P).4p,2D*,5/2,6.0,16.265139,,  88         :     9  3s2.3p2.(1D).4p 2D*  ,,4
45,3s2.3p2.(3P).4p,4S*,3/2,4.0,16.245507,,  89         :     9  3s2.3p2.(3P).4p 4P*  ,,4
46,3s2.3p2.(3P).4p,2P*,1/2,2.0,16.52321,,  91         :     6  3s2.3p2.(1D).4p 2P*  ,,4
47,3s2.3p2.(3P).4p,2P*,3/2,4.0,16.539488,,  90         :     8  3s2.3p2.(1D).4p 2P*  ,,4
48,3s2.3p2.(3P).3d,2D,3/2,4.0,16.534639,,  82         :    10  3s2.3p2.(1S).3d 2D   ,,3
49,3s2.3p2.(3P).3d,2D,5/2,6.0,16.590926,,  83         :     9  3s2.3p2.(1S).3d 2D   ,,3
50,3s2.3p2.(1S).4s,2S,1/2,2.0,16.902616,,  95         :     2  3s2.3p2.(1D).3d 2S   ,,4
51,3s2.3p2.(1D).3d,2F,5/2,6.0,17.172948,,  42         :    44  3s2.3p2.(3P).3d 2F   ,,3
52,3s2.3p2.(1D).3d,2F,7/2,8.0,17.175281,,  42         :    44  3s2.3p2.(3P).3d 2F   ,,3
53,3s2.3p2.(1D).3d,2P,1/2,2.0,17.338569,,  90         :     3  3s2.3p2.(3P).3d 2P   ,,3
54,3s2.3p2.(1D).3d,2P,3/2,4.0,17.359867,,  90         :     4  3s.3p4          2P   ,,3
55,3s2.3p2.(1D).4p,2F*,5/2,6.0,17.386317,,  97         :     3  3s2.3p2.(1D).4p 2D*  ,,4
56,3s2.3p2.(1D).4p,2F*,7/2,8.0,17.397367,, 100                                       ,,4
57,3s2.3p2.(1D).4p,2D*,5/2,6.0,17.445679,,  86         :    10  3s2.3p2.(3P).4p 2D*  ,,4
58,3s2.3p2.(1D).4p,2D*,3/2,4.0,17.450818,,  88         :    10  3s2.3p2.(3P).4p 2D*  ,,4
59,3s2.3p2.(1D).4p,2P*,1/2,2.0,17.790362,,  91         :     6  3s2.3p2.(3P).4p 2P*  ,,4
60,3s2.3p2.(1D).4p,2P*,3/2,4.0,17.807052,,  89         :     8  3s2.3p2.(3P).4p 2P*  ,,4
61,3s2.3p2.(1D).3d,2D,5/2,6.0,17.854893,,  64         :    14  3s2.3p2.(1S).3d 2D   ,,3
62,3s2.3p2.(1D).3d,2D,3/2,4.0,17.87135,,  64         :    14  3s.3p4          2D   ,,3
63,3s.3p4,2P,3/2,4.0,18.040413,,  35         :    42  3s2.3p2.(3P).4d 2P   ,,3
64,3s.3p4,2P,1/2,2.0,18.086525,,  36         :    42  3s2.3p2.(3P).4d 2P   ,,3
65,3s2.3p2.(1S).3d,2D,5/2,6.0,18.459582,,  64         :    14  3s2.3p2.(3P).4d 2D   ,,3
66,3s2.3p2.(1S).3d,2D,3/2,4.0,18.46136,,  64         :    15  3s2.3p2.(3P).4d 2D   ,,3
67,3s2.3p2.(3P).5s,4P,1/2,2.0,18.629681,,                                           ,,5
68,3s2.3p2.(3P).5s,4P,3/2,4.0,18.663504,,  98         :     2  3s2.3p2.(3P).5s 2P   ,,5
69,3s2.3p2.(3P).5s,4P,5/2,6.0,18.721169,,  99         :     1  3s2.3p2.(3P).4d 4P   ,,5
70,3s2.3p2.(3P).5s,2P,1/2,2.0,18.7692,,  97         :     1  3s2.3p2.(3P).4d 2P   ,,5
71,3s2.3p2.(3P).5s,2P,3/2,4.0,18.834542,,  96         :     2  3s2.3p2.(3P).5s 4P   ,,5
72,3s2.3p2.(1D).3d,2S,1/2,2.0,18.802417,,                                           ,,3
73,3s2.3p2.(3P).4d,4F,3/2,4.0,18.8406,,  96         :     2  3s2.3p2.(3P).4d 4D   ,,4
74,3s2.3p2.(3P).4d,4F,5/2,6.0,18.857332,,  95         :     3  3s2.3p2.(3P).4d 4D   ,,4
75,3s2.3p2.(3P).4d,4F,7/2,8.0,18.883413,,  94         :     4  3s2.3p2.(3P).4d 4D   ,,4
76,3s2.3p2.(3P).4d,4F,9/2,10.0,18.921905,,  98         :     1  3s2.3p2.(3P).3d 4F   ,,4
77,3s2.3p2.(3P).4d,4D,1/2,2.0,18.988664,,  99         :     1  3s2.3p2.(3P).3d 4D   ,,4
78,3s2.3p2.(3P).4d,4D,3/2,4.0,18.994621,,  97         :     2  3s2.3p2.(3P).4d 4F   ,,4
79,3s2.3p2.(3P).4d,4D,5/2,6.0,19.004679,,  95         :     3  3s2.3p2.(3P).4d 4F   ,,4
80,3s2.3p2.(3P).4d,4D,7/2,8.0,19.02088,,  95         :     4  3s2.3p2.(3P).4d 4F   ,,4
81,3s2.3p2.(3P).4d,4P,5/2,6.0,19.319058,,  94         :     2  3s.3p4          4P   ,,4
82,3s2.3p2.(3P).4d,4P,3/2,4.0,19.345197,,  94         :     2  3s.3p4          4P   ,,4
83,3s2.3p2.(3P).4d,4P,1/2,2.0,19.359944,,  94         :     2  3s.3p4          4P   ,,4
84,3s2.3p2.(3P).4d,2F,5/2,6.0,19.356624,,  78         :    12  3s2.3p2.(1D).4d 2F   ,,4
85,3s2.3p2.(3P).4d,2F,7/2,8.0,19.416442,,  79         :    11  3s2.3p2.(1D).4d 2F   ,,4
86,3s2.3p2.(1S).4p,2P*,1/2,2.0,19.362245,,  85         :     5  3s2.3p2.(3P).5p 2S*  ,,4
87,3s2.3p2.(1S).4p,2P*,3/2,4.0,19.375858,,  92         :     5  3s2.3p2.(1D).5p 2P*  ,,4
88,3s2.3p2.(3P).5p,4D*,1/2,2.0,19.444411,,  95         :     4  3s2.3p2.(3P).5p 2S*  ,,5
89,3s2.3p2.(3P).5p,4D*,3/2,4.0,19.458018,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,,5
90,3s2.3p2.(3P).5p,4D*,5/2,6.0,19.487054,,  92         :     6  3s2.3p2.(3P).5p 4P*  ,,5
91,3s2.3p2.(3P).5p,4D*,7/2,8.0,19.534798,,  99                                       ,,5
92,3s2.3p2.(3P).5p,4P*,3/2,4.0,19.53739,,  55         :    37  3s2.3p2.(3P).5p 4S*  ,,5
93,3s2.3p2.(3P).5p,4P*,1/2,2.0,19.549496,,  95         :     3  3s2.3p2.(3P).5p 2S*  ,,5
94,3s2.3p2.(3P).5p,4P*,5/2,6.0,19.594289,,  90         :     7  3s2.3p2.(3P).5p 4D*  ,,5
95,3s2.3p2.(3P).5p,4S*,3/2,4.0,19.604226,,  51         :    37  3s2.3p2.(3P).5p 4P*  ,,5
96,3s2.3p2.(3P).5p,2D*,3/2,4.0,19.616233,,  86         :     9  3s2.3p2.(3P).5p 4S*  ,,5
97,3s2.3p2.(3P).5p,2D*,5/2,6.0,19.678209,,  94         :     4  3s2.3p2.(3P).5p 4P*  ,,5
98,3s2.3p2.(3P).4d,2P,3/2,4.0,19.692201,,  43         :    22  3s.3p4          2P   ,,4
99,3s2.3p2.(3P).4d,2P,1/2,2.0,19.748657,,  50         :    25  3s.3p4          2P   ,,4
100,3s2.3p2.(3P).4d,2D,5/2,6.0,19.774591,,  73         :     9  3s2.3p2.(3P).5d 2D   ,,4
101,3s2.3p2.(3P).4d,2D,3/2,4.0,19.774976,,  62         :     8  3s2.3p2.(3P).5d 2P   ,,4
102,3s2.3p2.(3P<0>).4f,2[3]*,5/2,6.0,19.85038,,  95     or  :    44  3s2.3p2.(3P).4f 4G*  ,,4
103,3s2.3p2.(3P<0>).4f,2[3]*,7/2,8.0,19.853453,,  91     or  :    57  3s2.3p2.(3P).4f 4D*  ,,4
104,3s2.3p2.(3P<1>).4f,2[3]*,5/2,6.0,19.869463,,  99     or  :    52  3s2.3p2.(3P).4f 4G*  ,,4
105,3s2.3p2.(3P<1>).4f,2[3]*,7/2,8.0,19.872713,,  93     or  :    41  3s2.3p2.(3P).4f 4G*  ,,4
106,3s2.3p2.(3P<1>).4f,2[4]*,9/2,10.0,19.892356,,  94     or  :    74  3s2.3p2.(3P).4f 4G*  ,,4
107,3s2.3p2.(3P<1>).4f,2[4]*,7/2,8.0,19.897376,,  90     or  :    57  3s2.3p2.(3P).4f 2G*  ,,4
108,3s2.3p2.(3P<1>).4f,2[2]*,3/2,4.0,19.894782,,  86     or  :    46  3s2.3p2.(3P).4f 2D*  ,,4
109,3s2.3p2.(3P<1>).4f,2[2]*,5/2,6.0,19.895436,,  84     or  :    70  3s2.3p2.(3P).4f 4D*  ,,4
110,3s2.3p2.(3P<2>).4f,2[1]*,3/2?,4.0,19.928436,,  99     or  :    52  3s2.3p2.(3P).4f 4D*  ,,4
111,3s2.3p2.(3P<2>).4f,2[1]*,1/2?,2.0,19.928436,,  99     or  :   100  3s2.3p2.(3P).4f 4D*  ,,4
112,3s2.3p2.(3P<2>).4f,2[5]*,11/2,12.0,19.940216,,  99     or  :   100  3s2.3p2.(3P).4f 4G*  ,,4
113,3s2.3p2.(3P<2>).4f,2[5]*,9/2,10.0,19.951655,,  98     or  :    80  3s2.3p2.(3P).4f 2G*  ,,4
114,3s2.3p2.(3P<2>).4f,2[2]*,3/2,4.0,19.988863,,  85     or  :    88  3s2.3p2.(3P).4f 4F*  ,,4
115,3s2.3p2.(3P<2>).4f,2[2]*,5/2,6.0,19.992882,,  70     or  :    74  3s2.3p2.(3P).4f 4F*  ,,4
116,3s2.3p2.(3P<2>).4f,2[4]*,7/2,8.0,20.002327,,  80     or  :    88  3s2.3p2.(3P).4f 4F*  ,,4
117,3s2.3p2.(3P<2>).4f,2[4]*,9/2,10.0,20.006114,,  94     or  :    91  3s2.3p2.(3P).4f 4F*  ,,4
118,3s2.3p2.(3P<2>).4f,2[3]*,5/2,6.0,20.00937,,  79     or  :    76  3s2.3p2.(3P).4f 2F*  ,,4
119,3s2.3p2.(3P<2>).4f,2[3]*,7/2,8.0,20.017864,,  79     or  :    91  3s2.3p2.(3P).4f 2F*  ,,4
120,3s2.3p2.(1D).5s,2D,5/2,6.0,20.052349,,  99         :     1  3s2.3p2.(1D).4d 2D   ,,5
121,3s2.3p2.(1D).5s,2D,3/2,4.0,20.052955,,  99         :     1  3s2.3p2.(1D).4d 2D   ,,5
122,3s2.3p2.(1D).4d,2G,7/2,8.0,20.355871,,  87         :    10  3s2.3p2.(1D).4d 2F   ,,4
123,3s2.3p2.(1D).4d,2G,9/2,10.0,20.366734,, 100                                       ,,4
124,3s2.3p2.(1D).4d,2F,5/2,6.0,20.362218,,  65         :    25  3s2.3p2.(3P).5d 2F   ,,4
125,3s2.3p2.(1D).4d,2F,7/2,8.0,20.375267,,  59         :    19  3s2.3p2.(3P).5d 2F   ,,4
126,3s2.3p2.(3P).6s,4P,1/2,2.0,20.546566,,  95         :     5  3s2.3p2.(3P).6s 2P   ,,6
127,3s2.3p2.(3P).6s,4P,3/2,4.0,20.580304,,  95         :     5  3s2.3p2.(3P).6s 2P   ,,6
128,3s2.3p2.(3P).6s,4P,5/2,6.0,20.640867,,  99         :     1  3s2.3p2.(3P).5d 4P   ,,6
129,3s2.3p2.(1D).4d,2P,1/2,2.0,20.600174,,  80         :    17  3s2.3p2.(3P).5d 2P   ,,4
130,3s2.3p2.(1D).4d,2P,3/2,4.0,20.604372,,  63         :    18  3s2.3p2.(3P).5d 2P   ,,4
131,3s2.3p2.(3P).6s,2P,1/2,2.0,20.622439,,  94         :     5  3s2.3p2.(3P).6s 4P   ,,6
132,3s2.3p2.(3P).6s,2P,3/2,4.0,20.688339,,  93         :     4  3s2.3p2.(3P).6s 4P   ,,6
133,3s2.3p2.(3P).5d,4F,3/2,4.0,20.654662,,  79         :    13  3s2.3p2.(1D).4d 2P   ,,5
134,3s2.3p2.(3P).5d,4F,5/2,6.0,20.669315,,  87         :    11  3s2.3p2.(3P).5d 4D   ,,5
135,3s2.3p2.(3P).5d,4F,7/2,8.0,20.695228,,  85         :    13  3s2.3p2.(3P).5d 4D   ,,5
136,3s2.3p2.(3P).5d,4F,9/2,10.0,20.738731,,  98         :     1  3s2.3p2.(3P).4d 4F   ,,5
137,3s2.3p2.(3P).5d,4D,1/2,2.0,20.736957,,  98         :     1  3s2.3p2.(1D).4d 2P   ,,5
138,3s2.3p2.(3P).5d,4D,3/2,4.0,20.741545,,  91         :     5  3s2.3p2.(3P).5d 4F   ,,5
139,3s2.3p2.(3P).5d,4D,5/2,6.0,20.750613,,  83         :    11  3s2.3p2.(3P).5d 4F   ,,5
140,3s2.3p2.(3P).5d,4D,7/2,8.0,20.776681,,  86         :    13  3s2.3p2.(3P).5d 4F   ,,5
141,3s2.3p2.(1D).4d,2D,3/2,4.0,20.763934,,  83         :     6  3s2.3p2.(3P).5d 2D   ,,4
142,3s2.3p2.(1D).4d,2D,5/2,6.0,20.768145,,  80         :     7  3s2.3p2.(3P).5d 2D   ,,4
143,3s2.3p2.(3P).5d,4P,5/2,6.0,20.856262,,  89         :     5  3s2.3p2.(3P).5d 4D   ,,5
144,3s2.3p2.(3P).5d,4P,3/2,4.0,20.878677,,  94         :     3  3s2.3p2.(3P).5d 4D   ,,5
145,3s2.3p2.(3P).5d,4P,1/2,2.0,20.890151,,  96         :     1  3s2.3p2.(3P).6d 4P   ,,5
146,3s2.3p2.(1D).5p,2F*,5/2,6.0,20.884288,,  98         :     1  3s2.3p2.(1D).5p 2D*  ,,5
147,3s2.3p2.(1D).5p,2F*,7/2,8.0,20.888049,, 100                                       ,,5
148,3s2.3p2.(1D).4d,2S,1/2,2.0,20.966911,,  80         :     6  3s2.3p2.(1D).5d 2S   ,,4
149,3s2.3p2.(3P).5d,2F,5/2,6.0,20.988484,,  62         :    15  3s2.3p2.(1D).4d 2F   ,,5
150,3s2.3p2.(3P).5d,2F,7/2,8.0,21.040406,,  72         :    14  3s2.3p2.(1D).4d 2F   ,,5
151,3s2.3p2.(3P).5d,2P,3/2,4.0,20.995533,,  37         :    28  3s2.3p2.(3P).5d 2D   ,,5
152,3s2.3p2.(3P).5d,2P,1/2,2.0,21.038571,,  66         :    12  3s2.3p2.(1D).4d 2P   ,,5
153,3s2.3p2.(3P).5d,2D,3/2,4.0,21.067676,,  49         :    24  3s2.3p2.(3P).5d 2P   ,,5
154,3s2.3p2.(3P).5d,2D,5/2,6.0,21.079202,,  70         :     6  3s2.3p2.(3P).6d 2D   ,,5
155,3s2.3p2.(3P<0>).5f,2[3]*,5/2,6.0,21.108906,,  97     or  :    61  3s2.3p2.(3P).5f 4G*  ,,5
156,3s2.3p2.(3P<0>).5f,2[3]*,7/2,8.0,21.114283,,  97     or  :    29  3s2.3p2.(3P).5f 4D*  ,,5
157,3s2.3p2.(3P<1>).5f,2[3]*,5/2,6.0,21.138938,,  98     or  :    49  3s2.3p2.(3P).5f 2D*  ,,5
158,3s2.3p2.(3P<1>).5f,2[3]*,7/2,8.0,21.139915,,  97     or  :    58  3s2.3p2.(3P).5f 4D*  ,,5
159,3s2.3p2.(3P<1>).5f,2[4]*,9/2,10.0,21.150122,,  97     or  :    66  3s2.3p2.(3P).5f 4G*  ,,5
160,3s2.3p2.(3P<1>).5f,2[4]*,7/2,8.0,21.154184,,  93     or  :    50  3s2.3p2.(3P).5f 2G*  ,,5
161,3s2.3p2.(3P<0>).5g,2[4],7/2,8.0,21.154364,,                                           ,,5
162,3s2.3p2.(3P<0>).5g,2[4],9/2,10.0,21.154416,,                                           ,,5
163,3s2.3p2.(3P<1>).5f,2[2]*,3/2,4.0,21.157649,,  95     or  :    36  3s2.3p2.(3P).5f 2D*  ,,5
164,3s2.3p2.(3P<1>).5f,2[2]*,5/2,6.0,21.159531,,  93     or  :    56  3s2.3p2.(3P).5f 4D*  ,,5
165,3s2.3p2.(3P<1>).5g,2[4],7/2,8.0,21.185459,,                                           ,,5
166,3s2.3p2.(3P<1>).5g,2[4],9/2,10.0,21.185484,,                                           ,,5
167,3s2.3p2.(3P<1>).5g,2[5],11/2,12.0,21.193318,,                                           ,,5
168,3s2.3p2.(3P<1>).5g,2[5],9/2,10.0,21.193387,,                                           ,,5
169,3s2.3p2.(3P<1>).5g,2[3],5/2,6.0,21.19513,,                                           ,,5
170,3s2.3p2.(3P<1>).5g,2[3],7/2,8.0,21.195162,,                                           ,,5
171,3s2.3p2.(1D<2>).4f,2[4]*,9/2,10.0,21.197066,,  50     or  :    50  3s2.3p2.(1D).4f 2G*  ,,4
172,3s2.3p2.(1D<2>).4f,2[4]*,7/2,8.0,21.202279,,  97     or  :    97  3s2.3p2.(1D).4f 2G*  ,,4
173,3s2.3p2.(3P<2>).5f,2[1]*,1/2?,2.0,21.201321,,  99     or  :   100  3s2.3p2.(3P).5f 4D*  ,,5
174,3s2.3p2.(3P<2>).5f,2[1]*,3/2?,4.0,21.201321,,  99     or  :    50  3s2.3p2.(3P).5f 4D*  ,,5
175,3s2.3p2.(3P<2>).5f,2[5]*,11/2,12.0,21.203237,,  99     or  :   100  3s2.3p2.(3P).5f 4G*  ,,5
176,3s2.3p2.(3P<2>).5f,2[5]*,9/2,10.0,21.216846,,  49     or  :    48  3s2.3p2.(1D).4f 2G*  ,,5
177,3s2.3p2.(3P<2>).5f,2[2]*,3/2,4.0,21.223946,,  94     or  :    70  3s2.3p2.(3P).5f 4F*  ,,5
178,3s2.3p2.(3P<2>).5f,2[2]*,5/2,6.0,21.226624,,  82     or  :    57  3s2.3p2.(3P).5f 4F*  ,,5
179,3s2.3p2.(1D<2>).4f,2[3]*,5/2,6.0,21.224728,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,,4
180,3s2.3p2.(1D<2>).4f,2[3]*,7/2,8.0,21.224779,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,,4
181,3s2.3p2.(3P<2>).5f,2[4]*,7/2,8.0,21.234014,,  79     or  :    81  3s2.3p2.(3P).5f 4F*  ,,5
182,3s2.3p2.(3P<2>).5f,2[4]*,9/2,10.0,21.236173,,  96     or  :    83  3s2.3p2.(3P).5f 4F*  ,,5
183,3s2.3p2.(3P<2>).5f,2[3]*,5/2,6.0,21.239103,,  85     or  :    64  3s2.3p2.(3P).5f 2F*  ,,5
184,3s2.3p2.(3P<2>).5f,2[3]*,7/2,8.0,21.2457,,  77     or  :    84  3s2.3p2.(3P).5f 2F*  ,,5
185,3s2.3p2.(3P<2>).5g,2[6],13/2,14.0,21.253477,,                                           ,,5
186,3s2.3p2.(3P<2>).5g,2[6],11/2,12.0,21.253498,,                                           ,,5
187,3s2.3p2.(3P<2>).5g,2[5],11/2,12.0,21.262725,,                                           ,,5
188,3s2.3p2.(1D<2>).4f,2[2]*,5/2,6.0,21.297861,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,,4
189,3s2.3p2.(1D<2>).4f,2[2]*,3/2,4.0,21.297861,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,,4
190,3s2.3p2.(1D<2>).4f,2[5]*,9/2,10.0,21.303197,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,,4
191,3s2.3p2.(1D<2>).4f,2[5]*,11/2,12.0,21.303197,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,,4
192,3s2.3p2.(1D<2>).4f,2[1]*,1/2,2.0,21.370376,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,,4
193,3s2.3p2.(1D<2>).4f,2[1]*,3/2,4.0,21.370376,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,,4
194,3s2.3p2.(3P).7s,4P,1/2,2.0,21.488548,,  89         :    10  3s2.3p2.(3P).7s 2P   ,,7
195,3s2.3p2.(3P).7s,4P,3/2,4.0,21.523132,,  92         :     8  3s2.3p2.(3P).7s 2P   ,,7
196,3s2.3p2.(3P).7s,4P,5/2,6.0,21.585413,,  98         :     1  3s2.3p2.(3P).6d 4F   ,,7
197,3s2.3p2.(3P).7s,2P,1/2,2.0,21.542132,,  89         :    10  3s2.3p2.(3P).7s 4P   ,,7
198,3s2.3p2.(3P).7s,2P,3/2,4.0,21.607287,,  84         :     7  3s2.3p2.(3P).7s 4P   ,,7
199,3s2.3p2.(3P).6d,4D,3/2,4.0,21.61408,,  76         :     9  3s2.3p2.(3P).6d 4F   ,,6
200,3s2.3p2.(3P).6d,4D,5/2,6.0,21.617999,,  61         :    20  3s2.3p2.(3P).6d 4F   ,,6
201,3s2.3p2.(3P).6d,4F,9/2,10.0,21.638872,,  99         :     1  3s2.3p2.(3P).5d 4F   ,,6
202,3s2.3p2.(3P).6d,4P,5/2,6.0,21.683937,,  78         :    17  3s2.3p2.(3P).6d 4D   ,,6
203,3s2.3p2.(3P).6d,4P,3/2,4.0,21.699687,,  80         :     8  3s2.3p2.(3P).6d 2P   ,,6
204,3s2.3p2.(3P).6d,4P,1/2,2.0,21.707589,,  95         :     2  3s2.3p2.(3P).6d 4D   ,,6
205,3s2.3p2.(3P<2>).6f,2[5]*,11/2,12.0,21.89063,,                                           ,,6
206,3s2.3p2.(3P<2>).6f,2[5]*,9/2,10.0,21.897432,,                                           ,,6
207,3s2.3p2.(3P<2>).6f,2[4]*,7/2,8.0,21.908148,,                                           ,,6
208,3s2.3p2.(3P<2>).6f,2[4]*,9/2,10.0,21.909559,,                                           ,,6
209,3s2.3p2.(1D).6s,2D,5/2,6.0,21.954661,,  99         :     1  3s2.3p2.(1D).5d 2D   ,,6
210,3s2.3p2.(1D).6s,2D,3/2,4.0,21.954752,,  99         :     1  3s2.3p2.(1D).5d 2D   ,,6
211,3s2.3p2.(1D).5d,2G,7/2,8.0,22.090685,,  89         :     9  3s2.3p2.(1D).5d 2F   ,,5
212,3s2.3p2.(1D).5d,2G,9/2,10.0,22.099023,,                                           ,,5
213,3s2.3p2.(3P).7d,4D,5/2,6.0,22.111883,,                                           ,,7
214,3s2.3p2.(3P).7d,4P,5/2,6.0,22.174445,,                                           ,,7
215,3s2.3p2.(3P).7d,4P,3/2,4.0,22.182658,,                                           ,,7
216,3s2.3p2.(3P).7d,4P,1/2,2.0,22.189368,,                                           ,,7
217,3s2.3p2.(3P<2>).7f,2[5]*,11/2,12.0,22.30474,,                                           ,,7
218,3s2.3p2.(1D<2>).5f,2[4]*,7/2,8.0,22.483358,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,,5
219,3s2.3p2.(1D<2>).5f,2[4]*,9/2,10.0,22.483358,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,,5
220,3s2.3p2.(1D<2>).5f,2[3]*,7/2,8.0,22.497915,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,,5
221,3s2.3p2.(1D<2>).5f,2[3]*,5/2,6.0,22.497915,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,,5
222,3s2.3p2.(1D<2>).5f,2[5]*,11/2,12.0,22.531901,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,,5
223,3s2.3p2.(1D<2>).5f,2[5]*,9/2,10.0,22.531901,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,,5
