,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p3,4S*,3/2,4.0,0.0,, 100                                       ,L7237,3
1,3s2.3p3,2D*,3/2,4.0,1.84153,, 100                                       ,,3
2,3s2.3p3,2D*,5/2,6.0,1.845471,, 100                                       ,,3
3,3s2.3p3,2P*,1/2,2.0,3.040691,,  99         :     1  3p5             2P*  ,,3
4,3s2.3p3,2P*,3/2,4.0,3.046483,,  98         :     1  3p5             2P*  ,,3
5,3s.3p4,4P,5/2,6.0,9.843774,,  85         :    13  3s.3p4          4P   ,,3
6,3s.3p4,4P,3/2,4.0,9.888587,,  85         :    13  3s2.3p2.(3P).3d 4P   ,,3
7,3s.3p4,4P,1/2,2.0,9.9141,,  85         :    13  3s2.3p2.(3P).3d 4P   ,,3
8,3s.3p4,2D,3/2,4.0,12.136905,,  67         :    26  3s2.3p2.(1D).3d 2D   ,,3
9,3s.3p4,2D,5/2,6.0,12.140391,,  67         :    26  3s2.3p2.(1D).3d 2D   ,,3
10,3s2.3p2.(3P).3d,2P,3/2,4.0,13.092615,,  72         :    17  3s.3p4          2P   ,,3
11,3s2.3p2.(3P).3d,2P,1/2,2.0,13.14781,,  71         :    17  3s.3p4          2P   ,,3
12,3s2.3p2.(3P).4s,4P,1/2,2.0,13.583794,,  99                                       ,,4
13,3s2.3p2.(3P).4s,4P,3/2,4.0,13.617382,,  99                                       ,,4
14,3s2.3p2.(3P).4s,4P,5/2,6.0,13.671564,, 100                                       ,,4
15,3s2.3p2.(3P).3d,4F,3/2,4.0,13.66021,,  98         :     1  3s2.3p2.(3P).4d 4F   ,,3
16,3s2.3p2.(3P).3d,4F,5/2,6.0,13.677118,,  98         :     1  3s2.3p2.(3P).4d 4F   ,,3
17,3s2.3p2.(3P).3d,4F,7/2,8.0,13.701334,,  98         :     1  3s2.3p2.(3P).4d 4F   ,,3
18,3s2.3p2.(3P).3d,4F,9/2,10.0,13.733303,,  98         :     1  3s2.3p2.(3P).4d 4F   ,,3
19,3s2.3p2.(3P).4s,2P,1/2,2.0,14.002474,,  95         :     2  3s2.3p2.(3P).3d 2P   ,,4
