,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p4,3P,2,5.0,0.0,,                                            ,L7237,3
1,3s2.3p4,3P,1,3.0,0.0491046,,                                            ,,3
2,3s2.3p4,3P,0,1.0,0.0711223,,                                            ,,3
3,3s2.3p4,1D,2,5.0,1.1454415,,                                            ,,3
4,3s2.3p4,1S,0,1.0,2.7499638,,                                            ,,3
5,3s2.3p3.(4S*).4s,5S*,2,5.0,6.5244998,, 100                                        ,,4
6,3s2.3p3.(4S*).4s,3S*,1,3.0,6.8601463,, 100                                        ,,4
7,3s2.3p3.(4S*).4p,5P,1,3.0,7.8663095,,                                            ,,4
8,3s2.3p3.(4S*).4p,5P,2,5.0,7.8676829,,                                            ,,4
9,3s2.3p3.(4S*).4p,5P,3,7.0,7.8699033,,                                            ,,4
10,3s2.3p3.(4S*).4p,3P,1,3.0,8.0452062,,                                            ,,4
11,3s2.3p3.(4S*).4p,3P,0,1.0,8.0455065,,                                            ,,4
12,3s2.3p3.(4S*).4p,3P,2,5.0,8.0456548,,                                            ,,4
13,3s2.3p3.(2D*).4s,3D*,1,3.0,8.4081559,,  96         :     3  3s2.3p3.(4S*).3d 3D*  ,,4
14,3s2.3p3.(2D*).4s,3D*,2,5.0,8.4092516,,  96         :     3  3s2.3p3.(4S*).3d 3D*  ,,4
15,3s2.3p3.(2D*).4s,3D*,3,7.0,8.4114435,,  96         :     3  3s2.3p3.(4S*).3d 3D*  ,,4
16,3s2.3p3.(4S*).3d,5D*,4,9.0,8.4157542,,  97         :     1  3s2.3p3.(4S*).4d 5D*  ,,3
17,3s2.3p3.(4S*).3d,5D*,0,1.0,8.4165629,,  97         :     1  3s2.3p3.(4S*).4d 5D*  ,,3
18,3s2.3p3.(4S*).3d,5D*,1,3.0,8.4167336,,  97         :     1  3s2.3p3.(4S*).4d 5D*  ,,3
19,3s2.3p3.(4S*).3d,5D*,2,5.0,8.4170151,,  97         :     1  3s2.3p3.(4S*).4d 5D*  ,,3
20,3s2.3p3.(4S*).3d,5D*,3,7.0,8.4172892,,  97         :     1  3s2.3p3.(4S*).4d 5D*  ,,3
21,3s2.3p3.(2D*).4s,1D*,2,5.0,8.5844038,,  99                                        ,,4
22,3s2.3p3.(4S*).3d,3D*,1,3.0,8.6993079,,  95         :     3  3s2.3p3.(2D*).4s 3D*  ,,3
23,3s2.3p3.(4S*).3d,3D*,2,5.0,8.6994994,,  95         :     3  3s2.3p3.(2D*).4s 3D*  ,,3
24,3s2.3p3.(4S*).3d,3D*,3,7.0,8.7004632,,  96         :     3  3s2.3p3.(2D*).4s 3D*  ,,3
25,3s2.3p3.(4S*).5s,5S*,2,5.0,8.7660287,, 100                                        ,,5
26,3s2.3p3.(4S*).5s,3S*,1,3.0,8.846446,,  99                                        ,,5
27,3s.3p5,3P*,2,5.0,8.9297753,,  58         :    15  3s2.3p3.(2D*).3d 3P*  ,,3
28,3s.3p5,3P*,1,3.0,8.9742649,,  57         :    15  3s2.3p3.(2D*).3d 3P*  ,,3
29,3s.3p5,3P*,0,1.0,8.9977354,,  57         :    15  3s2.3p3.(2D*).3d 3P*  ,,3
30,3s2.3p3.(4S*).5p,5P,1,3.0,9.1638282,,                                            ,,5
31,3s2.3p3.(4S*).5p,5P,2,5.0,9.1642831,,                                            ,,5
32,3s2.3p3.(4S*).5p,5P,3,7.0,9.1650311,,                                            ,,5
33,3s2.3p3.(4S*).5p,3P,2,5.0,9.2081263,,                                            ,,5
34,3s2.3p3.(4S*).5p,3P,1,3.0,9.2082568,,                                            ,,5
35,3s2.3p3.(4S*).5p,3P,0,1.0,9.2085111,,                                            ,,5
36,3s2.3p3.(4S*).4d,5D*,4,9.0,9.295485,,  95         :     2  3s2.3p3.(4S*).3d 5D*  ,,4
37,3s2.3p3.(4S*).4d,5D*,3,7.0,9.295604,,  95         :     2  3s2.3p3.(4S*).3d 5D*  ,,4
38,3s2.3p3.(4S*).4d,5D*,2,5.0,9.295739,,  95         :     2  3s2.3p3.(4S*).3d 5D*  ,,4
39,3s2.3p3.(4S*).4d,5D*,1,3.0,9.295847,,  95         :     2  3s2.3p3.(4S*).3d 5D*  ,,4
40,3s2.3p3.(4S*).4d,5D*,0,1.0,9.295915,,  95         :     2  3s2.3p3.(4S*).3d 5D*  ,,4
41,3s2.3p3.(4S*).4d,3D*,1,3.0,9.416842,,  98                                        ,,4
42,3s2.3p3.(4S*).4d,3D*,2,5.0,9.416891,,  98                                        ,,4
43,3s2.3p3.(4S*).4d,3D*,3,7.0,9.417409,,  98                                        ,,4
44,3s2.3p3.(4S*).6s,5S*,2,5.0,9.480335,, 100                                        ,,6
45,3s2.3p3.(4S*).4f,5F,4,9.0,9.5039798,,                                            ,,4
46,3s2.3p3.(4S*).4f,5F,5,11.0,9.5039801,,                                            ,,4
47,3s2.3p3.(4S*).4f,5F,3,7.0,9.5039832,,                                            ,,4
48,3s2.3p3.(4S*).4f,5F,2,5.0,9.5039853,,                                            ,,4
49,3s2.3p3.(4S*).4f,5F,1,3.0,9.5039898,,                                            ,,4
50,3s2.3p3.(4S*).4f,3F,4,9.0,9.5041729,,                                            ,,4
51,3s2.3p3.(4S*).4f,3F,3,7.0,9.5041736,,                                            ,,4
52,3s2.3p3.(4S*).4f,3F,2,5.0,9.5041771,,                                            ,,4
53,3s2.3p3.(4S*).6s,3S*,1,3.0,9.512148,, 100                                        ,,6
54,3s2.3p3.(2P*).4s,3P*,0,1.0,9.563586,,  95         :     3  3s.3p5           3P*  ,,4
55,3s2.3p3.(2P*).4s,3P*,1,3.0,9.565398,,  94         :     3  3s.3p5           3P*  ,,4
56,3s2.3p3.(2P*).4s,3P*,2,5.0,9.569243,,  95         :     3  3s.3p5           3P*  ,,4
57,3s2.3p3.(4S*).6p,5P,1,3.0,9.6522616,,                                            ,,6
58,3s2.3p3.(4S*).6p,5P,2,5.0,9.6525708,,                                            ,,6
59,3s2.3p3.(4S*).6p,5P,3,7.0,9.6529691,,                                            ,,6
60,3s2.3p3.(2D*).4p,1P,1,3.0,9.6527781,,                                            ,,4
61,3s2.3p3.(4S*).6p,3P,2,5.0,9.6571952,,                                            ,,6
62,3s2.3p3.(4S*).6p,3P,0,1.0,9.6586428,,                                            ,,6
63,3s2.3p3.(4S*).6p,3P,1,3.0,9.6600482,,                                            ,,6
64,3s2.3p3.(2D*).4p,3D,2,5.0,9.6896219,,                                            ,,4
65,3s2.3p3.(2D*).4p,3D,1,3.0,9.6896547,,                                            ,,4
66,3s2.3p3.(2D*).4p,3D,3,7.0,9.6959586,,                                            ,,4
67,3s2.3p3.(4S*).5d,5D*,4,9.0,9.704256,,  94         :     2  3s2.3p3.(4S*).4d 5D*  ,,5
68,3s2.3p3.(4S*).5d,5D*,3,7.0,9.704308,,  94         :     2  3s2.3p3.(4S*).4d 5D*  ,,5
69,3s2.3p3.(4S*).5d,5D*,2,5.0,9.704366,,  94         :     2  3s2.3p3.(4S*).4d 5D*  ,,5
70,3s2.3p3.(2P*).4s,1P*,1,3.0,9.706529,,  76         :    16  3s2.3p3.(2D*).3d 1P*  ,,4
71,3s2.3p3.(2D*).4p,3F,2,5.0,9.721587,,                                            ,,4
72,3s2.3p3.(2D*).4p,3F,3,7.0,9.724801,,                                            ,,4
73,3s2.3p3.(2D*).4p,3F,4,9.0,9.728177,,                                            ,,4
74,3s2.3p3.(2D*).4p,1F,3,7.0,9.7501078,,                                            ,,4
75,3s2.3p3.(4S*).5d,3D*,2,5.0,9.756486,,  98         :     1  3s2.3p3.(2D*).3d 3D*  ,,5
76,3s2.3p3.(4S*).5d,3D*,3,7.0,9.75654,,  98         :     1  3s2.3p3.(2D*).3d 3D*  ,,5
77,3s2.3p3.(4S*).5d,3D*,1,3.0,9.75663,,  98         :     1  3s2.3p3.(2D*).3d 3D*  ,,5
78,3s2.3p3.(4S*).7s,5S*,2,5.0,9.801948,,                                            ,,7
79,3s2.3p3.(4S*).5f,5F,4,9.0,9.812458,,                                            ,,5
80,3s2.3p3.(4S*).5f,5F,2,5.0,9.812458,,                                            ,,5
81,3s2.3p3.(4S*).5f,5F,5,11.0,9.812458,,                                            ,,5
82,3s2.3p3.(4S*).5f,5F,3,7.0,9.812458,,                                            ,,5
83,3s2.3p3.(4S*).5f,5F,1,3.0,9.812458,,                                            ,,5
84,3s2.3p3.(4S*).5f,3F,3,7.0,9.812612,,                                            ,,5
85,3s2.3p3.(4S*).5f,3F,4,9.0,9.812612,,                                            ,,5
86,3s2.3p3.(4S*).5f,3F,2,5.0,9.812612,,                                            ,,5
87,3s2.3p3.(4S*).7s,3S*,1,3.0,9.817732,,                                            ,,7
88,3s2.3p3.(2D*).4p,3P,2,5.0,9.841345,,                                            ,,4
89,3s2.3p3.(2D*).4p,3P,1,3.0,9.845002,,                                            ,,4
90,3s2.3p3.(2D*).4p,3P,0,1.0,9.846578,,                                            ,,4
91,3s2.3p3.(4S*).7p,5P,3,7.0,9.892144,,                                            ,,7
92,3s2.3p3.(4S*).6d,5D*,4,9.0,9.917763,,  95         :     2  3s2.3p3.(4S*).5d 5D*  ,,6
93,3s2.3p3.(4S*).6d,5D*,3,7.0,9.917784,,  95         :     2  3s2.3p3.(4S*).5d 5D*  ,,6
94,3s2.3p3.(4S*).6d,5D*,2,5.0,9.917806,,  95         :     2  3s2.3p3.(4S*).5d 5D*  ,,6
95,3s2.3p3.(4S*).6d,5D*,0,1.0,10.25654,,  95         :     2  3s2.3p3.(4S*).5d 5D*  ,,6
96,3s2.3p3.(4S*).7p,3P,2,5.0,9.932713,,                                            ,,7
97,3s2.3p3.(4S*).7p,3P,1,3.0,9.93364,,                                            ,,7
98,3s2.3p3.(4S*).7p,3P,0,1.0,9.934093,,                                            ,,7
99,3s2.3p3.(4S*).6d,3D*,3,7.0,9.941321,,  98         :     1  3s2.3p3.(2D*).3d 3D*  ,,6
