,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
163,3p6.38d,2D,5/2,6.0,4.33110233,9e-08,,L5451,38
164,3p6.38d,2D,3/2,4.0,4.33110242,9e-08,,L5451,38
165,3p6.40s,2S,1/2,2.0,4.33115084,9e-08,,L5451,40
166,3p6.39d,2D,5/2,6.0,4.33158973,9e-08,,L5451,39
167,3p6.39d,2D,3/2,4.0,4.33158981,9e-08,,L5451,39
168,3p6.41s,2S,1/2,2.0,4.3316346,9e-08,,L5451,41
169,3p6.40d,2D,5/2,6.0,4.33204079,9e-08,,L5451,40
170,3p6.40d,2D,3/2,4.0,4.33204087,9e-08,,L5451,40
171,3p6.42s,2S,1/2,2.0,4.3320824,9e-08,,L5451,42
172,3p6.41d,2D,5/2,6.0,4.33245902,9e-08,,L5451,41
173,3p6.41d,2D,3/2,4.0,4.33245911,9e-08,,L5451,41
174,3p6.43s,2S,1/2,2.0,4.33249763,9e-08,,L5451,43
175,3p6.42d,2D,5/2,6.0,4.33284759,9e-08,,L5451,42
176,3p6.42d,2D,3/2,4.0,4.33284764,9e-08,,L5451,42
177,3p6.44s,2S,1/2,2.0,4.33288347,9e-08,,L5451,44
178,3p6.43d,2D,5/2,6.0,4.33320913,9e-08,,L5451,43
179,3p6.43d,2D,3/2,4.0,4.3332092,9e-08,,L5451,43
180,3p6.45s,2S,1/2,2.0,4.33324259,9e-08,,L5451,45
181,3p6.44d,2D,5/2,6.0,4.33354618,9e-08,,L5451,44
182,3p6.44d,2D,3/2,4.0,4.33354625,9e-08,,L5451,44
183,3p6.46s,2S,1/2,2.0,4.3335774,9e-08,,L5451,46
184,3p6.45d,2D,5/2,6.0,4.33386087,9e-08,,L5451,45
185,3p6.45d,2D,3/2,4.0,4.33386094,9e-08,,L5451,45
186,3p6.46d,2D,5/2,6.0,4.33415514,9e-08,,L5451,46
187,3p6.46d,2D,3/2,4.0,4.33415521,9e-08,,L5451,46
188,3p5.4s2,2P*,3/2,4.0,18.7226,0.0004,,L3602,4
189,3p5.4s2,2P*,1/2,2.0,18.9801,0.0004,,L3602,4
190,3p5.3d.(3P*).4s,4P*,1/2,2.0,19.759,0.0005,,L3602,4
191,3p5.3d.(3P*).4s,4P*,3/2,4.0,19.7975,0.0005,,L3602,4
192,3p5.3d.(3P*).4s,4P*,5/2,6.0,19.868,0.008,,L4582,4
193,3p5.(2P*).4s.4p.(3P*),4S,3/2,4.0,20.02,0.008,,L4582,4
194,3p5.3d.(3P*).4s,2P*,1/2,2.0,20.1355,0.0005,,L3602,4
195,3p5.3d.(3P*).4s,2P*,3/2,4.0,20.2102,0.0005,,L3602,4
196,3p5.(2P*).4s.4p.(3P*),4D,3/2,4.0,20.396,0.008,,L4582,4
197,3p5.(2P*).4s.4p.(3P*),4D,1/2,2.0,20.457,0.008,,L4582,4
198,3p5.3d.(3F*).4s,4F*,7/2,8.0,20.484,0.008,,L4582,4
199,3p5.3d.(3F*).4s,4F*,5/2,6.0,20.548,0.008,,L4582,4
200,3p5.3d.(3F*).4s,4F*,3/2,4.0,20.609,0.008,,L4582,4
201,3p5.(2P*).4s.4p.(3P*),2D,3/2,4.0,20.644,0.008,,L4582,4
202,3p5.(2P*).4s.4p.(3P*),2D,5/2,6.0,20.699,0.008,,L4582,4
203,3p5.3d.(3F*).4s,2F*,7/2,8.0,20.771,0.008,,L4582,4
204,3p5.3d.(3F*).4s,2F*,5/2,6.0,20.825,0.008,,L4582,4
205,3p5.(2P*).4s.4p.(3P*),2P,1/2,2.0,20.876,0.008,,L4582,4
206,3p5.(2P*).4s.4p.(3P*),2P,3/2,4.0,20.893,0.008,,L4582,4
207,3p5.3d.(3D*).4s,4D*,7/2,8.0,21.334,0.008,,L4582,4
208,3p5.3d.(3D*).4s,4D*,3/2,4.0,21.4025,0.0005,,L3602,4
209,3p5.3d.(3D*).4s,4D*,1/2,2.0,21.4245,0.0005,,L3602,4
210,3p5.3d.(1D*).4s,2D*,3/2,4.0,21.4738,0.0005,,L4582,4
211,3p5.3d.(1D*).4s,2D*,5/2,6.0,21.495,0.008,,L4582,4
212,3p5.3d.(1F*).4s,2F*,7/2,8.0,21.613,0.008,,L4582,4
213,3p5.3d.(1F*).4s,2F*,5/2,6.0,21.645,0.008,,L4582,4
214,3p5.(2P*).4s.4p.(1P*),2D,5/2,6.0,21.798,0.008,,L4582,4
215,3p5.(2P*).4s.4p.(1P*),2D,3/2,4.0,22.041,0.008,,L4582,4
216,3p5.(2P*).4s.4p.(1P*),2S,1/2,2.0,21.856,0.008,,L4582,4
217,3p5.3d.(3D*).4s,2D*,5/2,6.0,22.261,0.008,,L4582,4
218,3p5.3d.(3D*).4s,2D*,3/2,4.0,22.30315,0.00025,,L6851,4
219,3p5.(2P*).4s.4p.(1P*),2P,3/2,4.0,22.356,0.008,,L4582,4
220,3p5.4s.(1P*).5s,2P*,3/2,4.0,22.85612,0.00025,,L6851,5
221,3p5.4s.(1P*).5s,2P*,1/2,2.0,22.95605,0.00025,,L6851,5
222,3p5.4s.(1P*).6s,2P*,"1/2,3/2",6.0,23.9379,0.0004,,L6851,6
223,3p5.4s.(1P*).5d,2D*,3/2,4.0,24.0227,0.0004,,L6851,5
224,3p5.4s.(1P*).5d,2P*,1/2,2.0,24.0462,0.0004,,L6851,5
225,3p5.4s.(1P*).5d,2P*,3/2,4.0,24.0622,0.0004,,L6851,5
226,3p5.4s.(1P*).7s,2P*,"1/2,3/2",6.0,24.3403,0.0004,,L6851,7
227,3p5.4s.(1P*).6d,2P*,3/2,4.0,24.3457,0.0004,,L6851,6
228,3p5.4s.(1P*).6d,2P*,1/2,2.0,24.391,0.0004,,L6851,6
229,3p5.4s.(1P*).6d,2D*,3/2,4.0,24.4039,0.0004,,L6851,6
230,3p5.4s.(1P*).8s,2P*,1/2,2.0,24.535,0.0004,,L6851,8
231,3p5.4s.(1P*).8s,2P*,3/2,4.0,24.5429,0.0004,,L6851,8
232,3p5.4s.(1P*).7d,2P*,"1/2,3/2",6.0,24.5552,0.0004,,L6851,7
233,3p5.4s.(1P*).9s,2P*?,"1/2,3/2",6.0,24.66,0.019,,L6851,9
234,3p5.4s.(1P*).8d,2P*?,"1/2,3/2",6.0,24.66,0.019,,L6851,8
235,3p5.4s.(1P*).10s,2P*,"1/2,3/2",6.0,24.7432,0.0004,,L6851,10
236,3p5.4s.(1P*).11s,2P*,"1/2,3/2",6.0,24.794,0.006,,L6851,11
237,3p5.4s.(1P*).10d,2P*,"1/2,3/2",6.0,24.794,0.006,,L6851,10
238,3p5.4s.(1P*).12s,2P*,"1/2,3/2",6.0,24.83,0.006,,L6851,12
239,3p5.4s.(1P*).11d,2P*,"1/2,3/2",6.0,24.83,0.006,,L6851,11
240,3p5.4s.(1P*).13s,2P*,"1/2,3/2",6.0,24.858,0.006,,L6851,13
241,3p5.4s.(1P*).12d,2P*,"1/2,3/2",6.0,24.858,0.006,,L6851,12
242,3p5.4s.(1P*).13d,2P*,"1/2,3/2",6.0,24.879,0.006,,L6851,13
243,3p5.4s.(1P*).14s,2P*,"1/2,3/2",6.0,24.879,0.006,,L6851,14
244,3p5.4s.(1P*).15s,2P*,"1/2,3/2",6.0,24.8927,0.0006,,L6851,15
245,3p5.4s.(1P*).14d,2P*,"1/2,3/2",6.0,24.8927,0.0006,,L6851,14
246,3p5.4s.(1P*).16s,2P*,"1/2,3/2",6.0,24.9053,0.0004,,L6851,16
247,3p5.4s.(1P*).15d,2P*,"1/2,3/2",6.0,24.9053,0.0004,,L6851,15
248,3p5.4s.(1P*).17s,2P*,"1/2,3/2",6.0,24.9149,0.0004,,L6851,17
249,3p5.4s.(1P*).16d,2P*,"1/2,3/2",6.0,24.9149,0.0004,,L6851,16
250,3p5.4s.(1P*).17d,2P*,"1/2,3/2",6.0,24.9226,0.0004,,L6851,17
251,3p5.4s.(1P*).18s,2P*,"1/2,3/2",6.0,24.9226,0.0004,,L6851,18
252,3p5.4s.(1P*).19s,2P*,"1/2,3/2",6.0,24.9293,0.0004,,L6851,19
253,3p5.4s.(1P*).18d,2P*,"1/2,3/2",6.0,24.9293,0.0004,,L6851,18
254,3p5.4s.(1P*).20s,2P*,"1/2,3/2",6.0,24.9347,0.0004,,L6851,20
255,3p5.4s.(1P*).19d,2P*,"1/2,3/2",6.0,24.9347,0.0004,,L6851,19
256,3p5.4s.(1P*).21s,2P*,"1/2,3/2",6.0,24.9393,0.0004,,L6851,21
257,3p5.4s.(1P*).20d,2P*,"1/2,3/2",6.0,24.9393,0.0004,,L6851,20
258,3p5.4s.(1P*).21d,2P*,"1/2,3/2",6.0,24.9431,0.0004,,L6851,21
259,3p5.4s.(1P*).22s,2P*,"1/2,3/2",6.0,24.9431,0.0004,,L6851,22
260,3p5.4s.(1P*).23s,2P*,"1/2,3/2",6.0,24.9466,0.0004,,L6851,23
261,3p5.4s.(1P*).22d,2P*,"1/2,3/2",6.0,24.9466,0.0004,,L6851,22
262,3p5.4s.(1P*).24s,2P*,"1/2,3/2",6.0,24.9495,0.0004,,L6851,24
263,3p5.4s.(1P*).23d,2P*,"1/2,3/2",6.0,24.9495,0.0004,,L6851,23
264,3p5.4s.(1P*).25s,2P*,"1/2,3/2",6.0,24.9522,0.0004,,L6851,25
265,3p5.4s.(1P*).24d,2P*,"1/2,3/2",6.0,24.9522,0.0004,,L6851,24
266,3p5.4s.(1P*).25d,2P*,"1/2,3/2",6.0,24.9543,0.0004,,L6851,25
267,3p5.4s.(1P*).26s,2P*,"1/2,3/2",6.0,24.9543,0.0004,,L6851,26
268,3p5.4s.(1P*).27s,2P*,"1/2,3/2",6.0,24.9563,0.0004,,L6851,27
269,3p5.4s.(1P*).26d,2P*,"1/2,3/2",6.0,24.9563,0.0004,,L6851,26
270,3p5.4s.(1P*).28s,2P*,"1/2,3/2",6.0,24.9581,0.0004,,L6851,28
271,3p5.4s.(1P*).27d,2P*,"1/2,3/2",6.0,24.9581,0.0004,,L6851,27
272,3p5.4s.(1P*).29s,2P*,"1/2,3/2",6.0,24.9596,0.0004,,L6851,29
273,3p5.4s.(1P*).28d,2P*,"1/2,3/2",6.0,24.9596,0.0004,,L6851,28
274,3p5.4s.(1P*).29d,2P*,"1/2,3/2",6.0,24.961,0.0004,,L6851,29
275,3p5.4s.(1P*).30s,2P*,"1/2,3/2",6.0,24.961,0.0004,,L6851,30
276,3p5.4s.(1P*).31s,2P*,"1/2,3/2",6.0,24.9625,0.0004,,L6851,31
277,3p5.4s.(1P*).30d,2P*,"1/2,3/2",6.0,24.9625,0.0004,,L6851,30
278,3p5.4s.(1P*).32s,2P*,"1/2,3/2",6.0,24.9637,0.0004,,L6851,32
279,3p5.4s.(1P*).31d,2P*,"1/2,3/2",6.0,24.9637,0.0004,,L6851,31
280,3p5.4s.(1P*).33s,2P*,"1/2,3/2",6.0,24.965,0.0004,,L6851,33
281,3p5.4s.(1P*).32d,2P*,"1/2,3/2",6.0,24.965,0.0004,,L6851,32
282,3p5.3d.(1P*).5s,2P*,"1/2,3/2",6.0,26.5399,0.0004,,L6851,5
283,3p5.3d.(1P*).11s,2P*,"1/2,3/2",6.0,29.1923,0.0005,,L6851,11
284,3p5.3d.(1P*).12s,2P*,"1/2,3/2",6.0,29.2259,0.0005,,L6851,12
285,3p5.3d.(1P*).13s,2P*,"1/2,3/2",6.0,29.2511,0.0005,,L6851,13
286,3p5.3d.(1P*).14s,2P*,"1/2,3/2",6.0,29.2689,0.0005,,L6851,14
287,3p5.3d.(1P*).15s,2P*,"1/2,3/2",6.0,29.2848,0.0005,,L6851,15
288,3p5.3d.(1P*).16s,2P*,"1/2,3/2",6.0,29.2975,0.0005,,L6851,16
289,3p5.3d.(1P*).17s,2P*,"1/2,3/2",6.0,29.3078,0.0005,,L6851,17
290,3p5.3d.(1P*).18s,2P*,"1/2,3/2",6.0,29.3169,0.0005,,L6851,18
291,3p5.3d.(1P*).19s,2P*,"1/2,3/2",6.0,29.3244,0.0005,,L6851,19
292,3p5.3d.(1P*).20s,2P*,"1/2,3/2",6.0,29.3308,0.0005,,L6851,20
293,3p5.3d.(1P*).21s,2P*,"1/2,3/2",6.0,29.3361,0.0005,,L6851,21
294,3p5.3d.(1P*).22s,2P*,"1/2,3/2",6.0,29.3407,0.0005,,L6851,22
295,3p5.3d.(1P*).23s,2P*,"1/2,3/2",6.0,29.3443,0.0005,,L6851,23
296,Limit,NaN,NaN,NaN,4.34066373,9e-08,NaN,NaN,NaN
