,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
0,3p6.4s,2S,1/2,2.0,0.0,6e-08,2.002295,L7185,4
1,3p6.4p,2P*,1/2,2.0,1.6099578435,2.5e-10,,L8995,4
2,3p6.4p,2P*,3/2,4.0,1.6171130092,5e-10,,L8995,4
3,3p6.5s,2S,1/2,2.0,2.6069601,6e-07,,L1792,5
4,3p6.3d,2D,5/2,6.0,2.66996,6e-07,,L1792,3
5,3p6.3d,2D,3/2,4.0,2.6702462,6e-07,,L1792,3
6,3p6.5p,2P*,1/2,2.0,3.062581,6e-07,0.665,L1792,5
7,3p6.5p,2P*,3/2,4.0,3.0649066,6e-07,,L1792,5
8,3p6.4d,2D,5/2,6.0,3.3968046,6e-07,,L1792,4
9,3p6.4d,2D,3/2,4.0,3.3969373,6e-07,,L1792,4
10,3p6.6s,2S,1/2,2.0,3.4034543,4e-07,,L5770,6
11,3p6.4f,2F*,7/2,8.0,3.487409,6e-06,,L6096,4
12,3p6.4f,2F*,5/2,6.0,3.487409,6e-06,,L6096,4
13,3p6.6p,2P*,1/2,2.0,3.595451,6e-06,0.6663,L6096,6
14,3p6.6p,2P*,3/2,4.0,3.596498,6e-06,1.3337,L6096,6
15,3p6.5d,2D,5/2,6.0,3.7424933,4e-07,1.2004,L5770,5
16,3p6.5d,2D,3/2,4.0,3.7425557,4e-07,0.7997,L5770,5
17,3p6.7s,2S,1/2,2.0,3.7535285,4e-07,2.002,L5770,7
18,3p6.5f,2F*,5/2,6.0,3.794751,7e-06,,L6096,5
19,3p6.5f,2F*,7/2,8.0,3.794751,7e-06,,L6096,5
20,3p6.5g,2G,7/2,8.0,3.7960626,1.2e-06,,L873,5
21,3p6.5g,2G,9/2,10.0,3.7960626,1.2e-06,,L873,5
22,3p6.7p,2P*,1/2,2.0,3.852177,7e-06,0.6659,L6096,7
23,3p6.7p,2P*,3/2,4.0,3.852735,7e-06,1.3336,L6096,7
24,3p6.6d,2D,5/2,6.0,3.9297908,4e-07,1.2013,L5770,6
25,3p6.6d,2D,3/2,4.0,3.9298237,4e-07,0.7999,L5770,6
26,3p6.8s,2S,1/2,2.0,3.9384048,4e-07,2.0028,L5770,8
27,3p6.6f,2F*,7/2,8.0,3.961688,7e-06,,L6096,6
28,3p6.6f,2F*,5/2,6.0,3.961688,7e-06,,L6096,6
29,3p6.8p,2P*,1/2,2.0,3.995693,7e-06,,L6096,8
30,3p6.8p,2P*,3/2,4.0,3.996024,7e-06,,L6096,8
31,3p6.7d,2D,5/2,6.0,4.04167262,9e-08,,L5451,7
32,3p6.7d,2D,3/2,4.0,4.04169191,9e-08,,L5451,7
33,3p6.9s,2S,1/2,2.0,4.04787964,9e-08,,L5451,9
34,3p6.7f,2F*,5/2,6.0,4.062317,7e-06,,L6096,7
35,3p6.7f,2F*,7/2,8.0,4.062317,7e-06,,L6096,7
36,3p6.9p,2P*,1/2,2.0,4.0840647,4e-07,,L5783,9
37,3p6.9p,2P*,3/2,4.0,4.0842783,4e-07,,L5783,9
38,3p6.8d,2D,5/2,6.0,4.11356434,9e-08,,L5451,8
39,3p6.8d,2D,3/2,4.0,4.11357655,9e-08,,L5451,8
40,3p6.10s,2S,1/2,2.0,4.11803927,9e-08,,L5451,10
41,3p6.8f,2F*,7/2,8.0,4.127608,7e-06,,L6096,8
42,3p6.8f,2F*,5/2,6.0,4.127608,7e-06,,L6096,8
43,3p6.10p,2P*,1/2,2.0,4.1423407,4e-07,,L5783,10
44,3p6.10p,2P*,3/2,4.0,4.1424855,4e-07,,L5783,10
45,3p6.9d,2D,5/2,6.0,4.16240485,9e-08,,L5451,9
46,3p6.9d,2D,3/2,4.0,4.162413,9e-08,,L5451,9
47,3p6.11s,2S,1/2,2.0,4.16569049,9e-08,,L5451,11
48,3p6.9f,2F*,7/2,8.0,4.172356,7e-06,,L6096,9
49,3p6.9f,2F*,5/2,6.0,4.172356,7e-06,,L6096,9
50,3p6.11p,2P*,1/2,2.0,4.1827927,4e-07,,L5783,11
51,3p6.11p,2P*,3/2,4.0,4.1828956,4e-07,,L5783,11
52,3p6.10d,2D,5/2,6.0,4.19706295,9e-08,,L5451,10
53,3p6.10d,2D,3/2,4.0,4.19706867,9e-08,,L5451,10
54,3p6.12s,2S,1/2,2.0,4.19952815,9e-08,,L5451,12
55,3p6.10f,2F*,7/2,8.0,4.204356,7e-06,,L6096,10
56,3p6.10f,2F*,5/2,6.0,4.204356,7e-06,,L6096,10
57,3p6.12p,2P*,1/2,2.0,4.2120168,4e-07,,L5783,12
58,3p6.12p,2P*,3/2,4.0,4.2120922,4e-07,,L5783,12
59,3p6.11d,2D,5/2,6.0,4.22253048,9e-08,,L5451,11
60,3p6.11d,2D,3/2,4.0,4.22253462,9e-08,,L5451,11
61,3p6.13s,2S,1/2,2.0,4.22441928,9e-08,,L5451,13
62,3p6.11f,2F*,7/2,8.0,4.22803,7e-06,,L6096,11
63,3p6.11f,2F*,5/2,6.0,4.22803,7e-06,,L6096,11
64,3p6.13p,2P*,1/2,2.0,4.2338159,4e-07,,L5783,13
65,3p6.13p,2P*,3/2,4.0,4.2338727,4e-07,,L5783,13
66,3p6.12d,2D,5/2,6.0,4.24178632,9e-08,,L5451,12
67,3p6.12d,2D,3/2,4.0,4.24178946,9e-08,,L5451,12
68,3p6.14s,2S,1/2,2.0,4.24326141,9e-08,,L5451,14
69,3p6.12f,2F*,5/2,6.0,4.246009,6e-06,,L2996,12
70,3p6.12f,2F*,7/2,8.0,4.246009,6e-06,,L2996,12
71,3p6.14p,2P*,1/2,2.0,4.2505078,4e-07,,L5783,14
72,3p6.14p,2P*,3/2,4.0,4.2505525,4e-07,,L5783,14
73,3p6.13d,2D,5/2,6.0,4.25669527,9e-08,,L5451,13
74,3p6.13d,2D,3/2,4.0,4.2566977,9e-08,,L5451,13
75,3p6.15s,2S,1/2,2.0,4.2578672,9e-08,,L5451,15
76,3p6.13f,2F*,7/2,8.0,4.260018,7e-06,,L2996,13
77,3p6.13f,2F*,5/2,6.0,4.260018,7e-06,,L2996,13
78,3p6.15p,2P*,1/2,2.0,4.2635725,4e-07,,L5783,15
79,3p6.15p,2P*,3/2,4.0,4.2636076,4e-07,,L5783,15
80,3p6.14d,2D,5/2,6.0,4.26847235,9e-08,,L5451,14
81,3p6.14d,2D,3/2,4.0,4.26847426,9e-08,,L5451,14
82,3p6.16s,2S,1/2,2.0,4.26941772,9e-08,,L5451,16
83,3p6.14f,2F*,5/2,6.0,4.271129,9e-06,,L2996,14
84,3p6.14f,2F*,7/2,8.0,4.271129,9e-06,,L2996,14
85,3p6.16p,2P*,1/2,2.0,4.2739895,4e-07,,L5783,16
86,3p6.16p,2P*,3/2,4.0,4.274018,4e-07,,L5783,16
87,3p6.15d,2D,5/2,6.0,4.27793645,9e-08,,L5451,15
88,3p6.15d,2D,3/2,4.0,4.27793798,9e-08,,L5451,15
89,3p6.17s,2S,1/2,2.0,4.27870944,9e-08,,L5451,17
90,3p6.17p,2P*,1/2,2.0,4.2824297,4e-07,,L5783,17
91,3p6.17p,2P*,3/2,4.0,4.2824525,4e-07,,L5783,17
92,3p6.16d,2D,5/2,6.0,4.28565541,9e-08,,L5451,16
93,3p6.16d,2D,3/2,4.0,4.28565667,9e-08,,L5451,16
94,3p6.18s,2S,1/2,2.0,4.28629513,9e-08,,L5451,18
95,3p6.18p,2P*,1/2,2.0,4.2893629,4e-07,,L5783,18
96,3p6.18p,2P*,3/2,4.0,4.2893821,4e-07,,L5783,18
97,3p6.17d,2D,5/2,6.0,4.29203309,9e-08,,L5451,17
98,3p6.17d,2D,3/2,4.0,4.29203414,9e-08,,L5451,17
99,3p6.19s,2S,1/2,2.0,4.29256822,9e-08,,L5451,19
100,3p6.19p,2P*,3/2,4.0,4.2951436,4e-07,,L5783,19
101,3p6.18d,2D,5/2,6.0,4.29736301,9e-08,,L5451,18
102,3p6.18d,2D,3/2,4.0,4.29736388,9e-08,,L5451,18
103,3p6.20s,2S,1/2,2.0,4.29781505,9e-08,,L5451,20
104,3p6.20p,2P*,3/2,4.0,4.2999855,4e-07,,L5783,20
105,3p6.19d,2D,5/2,6.0,4.30186273,9e-08,,L5451,19
106,3p6.19d,2D,3/2,4.0,4.30186348,9e-08,,L5451,19
107,3p6.21s,2S,1/2,2.0,4.30224787,9e-08,,L5451,21
108,3p6.21p,2P*,3/2,4.0,4.3040947,4e-07,,L5783,21
109,3p6.20d,2D,5/2,6.0,4.30569594,9e-08,,L5451,20
110,3p6.20d,2D,3/2,4.0,4.30569657,9e-08,,L5451,20
111,3p6.22s,2S,1/2,2.0,4.30602671,9e-08,,L5451,22
112,3p6.21d,2D,5/2,6.0,4.30898808,9e-08,,L5451,21
113,3p6.21d,2D,3/2,4.0,4.30898863,9e-08,,L5451,21
114,3p6.23s,2S,1/2,2.0,4.30927424,9e-08,,L5451,23
115,3p6.22d,2D,5/2,6.0,4.31183638,9e-08,,L5451,22
116,3p6.22d,2D,3/2,4.0,4.31183685,9e-08,,L5451,22
117,3p6.24s,2S,1/2,2.0,4.31208546,9e-08,,L5451,24
118,3p6.23d,2D,5/2,6.0,4.3143171,9e-08,,L5451,23
119,3p6.23d,2D,3/2,4.0,4.31431751,9e-08,,L5451,23
120,3p6.25s,2S,1/2,2.0,4.3145353,9e-08,,L5451,25
121,3p6.24d,2D,5/2,6.0,4.31649092,9e-08,,L5451,24
122,3p6.24d,2D,3/2,4.0,4.3164913,9e-08,,L5451,24
123,3p6.26s,2S,1/2,2.0,4.31668309,9e-08,,L5451,26
124,3p6.25d,2D,5/2,6.0,4.31840644,9e-08,,L5451,25
125,3p6.25d,2D,3/2,4.0,4.31840675,9e-08,,L5451,25
126,3p6.27s,2S,1/2,2.0,4.31857656,9e-08,,L5451,27
127,3p6.26d,2D,5/2,6.0,4.32010298,9e-08,,L5451,26
128,3p6.26d,2D,3/2,4.0,4.32010327,9e-08,,L5451,26
129,3p6.28s,2S,1/2,2.0,4.32025424,9e-08,,L5451,28
130,3p6.27d,2D,5/2,6.0,4.32161269,9e-08,,L5451,27
131,3p6.27d,2D,3/2,4.0,4.32161293,9e-08,,L5451,27
132,3p6.29s,2S,1/2,2.0,4.32174783,9e-08,,L5451,29
133,3p6.28d,2D,5/2,6.0,4.32296206,9e-08,,L5451,28
134,3p6.28d,2D,3/2,4.0,4.32296229,9e-08,,L5451,28
135,3p6.30s,2S,1/2,2.0,4.32308326,9e-08,,L5451,30
136,3p6.29d,2D,5/2,6.0,4.32417296,9e-08,,L5451,29
137,3p6.29d,2D,3/2,4.0,4.32417317,9e-08,,L5451,29
138,3p6.31s,2S,1/2,2.0,4.32428208,9e-08,,L5451,31
139,3p6.30d,2D,5/2,6.0,4.32526375,9e-08,,L5451,30
140,3p6.30d,2D,3/2,4.0,4.32526392,9e-08,,L5451,30
141,3p6.32s,2S,1/2,2.0,4.32536233,9e-08,,L5451,32
142,3p6.31d,2D,5/2,6.0,4.32624979,9e-08,,L5451,31
143,3p6.31d,2D,3/2,4.0,4.32624996,9e-08,,L5451,31
144,3p6.33s,2S,1/2,2.0,4.32633915,9e-08,,L5451,33
145,3p6.32d,2D,5/2,6.0,4.32714408,9e-08,,L5451,32
146,3p6.32d,2D,3/2,4.0,4.32714423,9e-08,,L5451,32
147,3p6.34s,2S,1/2,2.0,4.32722538,9e-08,,L5451,34
148,3p6.33d,2D,5/2,6.0,4.32795765,9e-08,,L5451,33
149,3p6.33d,2D,3/2,4.0,4.32795779,9e-08,,L5451,33
150,3p6.35s,2S,1/2,2.0,4.32803173,9e-08,,L5451,35
151,3p6.34d,2D,5/2,6.0,4.32869992,9e-08,,L5451,34
152,3p6.34d,2D,3/2,4.0,4.32870004,9e-08,,L5451,34
153,3p6.36s,2S,1/2,2.0,4.32876765,9e-08,,L5451,36
154,3p6.35d,2D,5/2,6.0,4.32937903,9e-08,,L5451,35
155,3p6.35d,2D,3/2,4.0,4.32937913,9e-08,,L5451,35
156,3p6.37s,2S,1/2,2.0,4.32944112,9e-08,,L5451,37
157,3p6.36d,2D,5/2,6.0,4.33000187,9e-08,,L5451,36
158,3p6.36d,2D,3/2,4.0,4.33000198,9e-08,,L5451,36
159,3p6.38s,2S,1/2,2.0,4.33005896,9e-08,,L5451,38
160,3p6.37d,2D,5/2,6.0,4.33057459,9e-08,,L5451,37
161,3p6.37d,2D,3/2,4.0,4.33057467,9e-08,,L5451,37
162,3p6.39s,2S,1/2,2.0,4.33062713,9e-08,,L5451,39
