,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,1,2S,1/2,2,0.0,1.2e-13, 100                    ,,1
1,2,,,8,10.1988358,1.2e-06,                        ,L15291,2
2,3,,,18,12.0875052,6e-07,                        ,L15291,3
3,4,,,32,12.7485393,4e-07,                        ,L15291,4
4,5,,,50,13.0545017,5e-07,                        ,L15291,5
5,6,,,72,13.22070389,2e-07,                        ,L15291,6
6,7,,,98,13.32091817,1.1e-07,                        ,L15291,7
7,8,,,128,13.38596103,9e-08,                        ,L15291,8
8,9,,,162,13.43055424,9e-08,                        ,L15291,9
9,10,,,200,13.46245155,1e-07,                        ,L15291,10
10,11,,,242,13.48605194,7e-08,                        ,L15291,11
11,12,,,288,13.50400193,6e-08,                        ,L15291,12
12,13,,,338,13.51797128,1.1e-07,                        ,L15291,13
13,14,,,392,13.52905552,1.1e-07,                        ,L15291,14
14,15,,,450,13.53799772,1.1e-07,                        ,L15291,15
15,16,,,512,13.54531624,1.2e-07,                        ,L15291,16
16,17,,,578,13.55138166,1.2e-07,                        ,L15291,17
17,18,,,648,13.55646454,1.2e-07,                        ,L15291,18
18,19,,,722,13.56076619,1.2e-07,                        ,L15291,19
19,20,,,800,13.56443886,1.2e-07,                        ,L15291,20
20,21,,,882,13.56759946,1.2e-07,                        ,L15291,21
21,22,,,968,13.57033894,1.2e-07,                        ,L15291,22
22,23,,,1058,13.57272894,1.2e-07,                        ,L15291,23
23,24,,,1152,13.57482645,1.2e-07,                        ,L15291,24
24,25,,,1250,13.57667733,1.2e-07,                        ,L15291,25
25,26,,,1352,13.57831878,1.2e-07,                        ,L15291,26
26,27,,,1458,13.57978125,1.2e-07,                        ,L15291,27
27,28,,,1568,13.58108984,1.2e-07,                        ,L15291,28
28,29,,,1682,13.58226541,1.2e-07,                        ,L15291,29
29,30,,,1800,13.58332538,1.2e-07,                        ,L15291,30
30,31,,,1922,13.58428445,1.2e-07,                        ,L15291,31
31,32,,,2048,13.58515502,1.2e-07,                        ,L15291,32
32,33,,,2178,13.58594765,1.2e-07,                        ,L15291,33
33,34,,,2312,13.58667137,1.2e-07,                        ,L15291,34
34,35,,,2450,13.58733395,1.2e-07,                        ,L15291,35
35,36,,,2592,13.58794208,1.2e-07,                        ,L15291,36
36,37,,,2738,13.58850159,1.2e-07,                        ,L15291,37
37,38,,,2888,13.5890175,1.2e-07,                        ,L15291,38
38,39,,,3042,13.58949423,1.2e-07,                        ,L15291,39
39,40,,,3200,13.58993566,1.2e-07,                        ,L15291,40
40,Limit,NaN,NaN,NaN,13.598434599702,1.2e-11,NaN,NaN,NaN
