,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p3,4S*,3/2,4.0, 0.0000000,,L7288,2
1,2s2.2p3,2D*,5/2,6.0, 2.3835298,,,2
2,2s2.2p3,2D*,3/2,4.0, 2.3846100,,,2
3,2s2.2p3,2P*,1/2,2.0, 3.5755704,,,2
4,2s2.2p3,2P*,3/2,4.0, 3.5756182,,,2
5,2s2.2p2.(3P).3s,4P,1/2,2.0, 10.3259087,,,3
6,2s2.2p2.(3P).3s,4P,3/2,4.0, 10.3300944,,,3
7,2s2.2p2.(3P).3s,4P,5/2,6.0, 10.3358956,,,3
8,2s2.2p2.(3P).3s,2P,1/2,2.0, 10.6796703,,,3
9,2s2.2p2.(3P).3s,2P,3/2,4.0, 10.6899808,,,3
10,2s.2p4,4P,5/2,6.0, 10.9239080,,,2
11,2s.2p4,4P,3/2,4.0, 10.9293522,,,2
12,2s.2p4,4P,1/2,2.0, 10.9317574,,,2
13,2s2.2p2.(3P).3p,2S*,1/2,2.0, 11.6026335,,,3
14,2s2.2p2.(3P).3p,4D*,1/2,2.0, 11.7500916,,,3
15,2s2.2p2.(3P).3p,4D*,3/2,4.0, 11.7528949,,,3
16,2s2.2p2.(3P).3p,4D*,5/2,6.0, 11.7575319,,,3
17,2s2.2p2.(3P).3p,4D*,7/2,8.0, 11.7638464,,,3
18,2s2.2p2.(3P).3p,4P*,1/2,2.0, 11.8374298,,,3
19,2s2.2p2.(3P).3p,4P*,3/2,4.0, 11.8397086,,,3
20,2s2.2p2.(3P).3p,4P*,5/2,6.0, 11.8444770,,,3
21,2s2.2p2.(3P).3p,4S*,3/2,4.0, 11.9955753,,,3
22,2s2.2p2.(3P).3p,2D*,3/2,4.0, 12.0001429,,,3
23,2s2.2p2.(3P).3p,2D*,5/2,6.0, 12.0096116,,,3
24,2s2.2p2.(3P).3p,2P*,1/2,2.0, 12.1219574,,,3
25,2s2.2p2.(3P).3p,2P*,3/2,4.0, 12.1263787,,,3
26,2s2.2p2.(1D).3s,2D,5/2,6.0, 12.3566901,,,3
27,2s2.2p2.(1D).3s,2D,3/2,4.0, 12.3567502,,,3
28,2s2.2p2.(3P).4s,4P,1/2,2.0, 12.847554,,,4
29,2s2.2p2.(3P).4s,4P,3/2,4.0, 12.853090,,,4
30,2s2.2p2.(3P).4s,4P,5/2,6.0, 12.861560,,,4
31,2s2.2p2.(3P).4s,2P,1/2,2.0, 12.9123120,,,4
32,2s2.2p2.(3P).4s,2P,3/2,4.0, 12.9218353,,,4
33,2s2.2p2.(3P).3d,2P,3/2,4.0, 12.9706652,,,3
34,2s2.2p2.(3P).3d,2P,1/2,2.0, 12.9754460,,,3
35,2s2.2p2.(3P).3d,4F,3/2,4.0, 12.9766983,,,3
36,2s2.2p2.(3P).3d,4F,5/2,6.0, 12.9790453,,,3
37,2s2.2p2.(3P).3d,4F,7/2,8.0, 12.9832471,,,3
38,2s2.2p2.(3P).3d,4F,9/2,10.0, 12.989300,,,3
39,2s2.2p2.(3P).3d,2F,5/2,6.0, 12.9948285,,,3
40,2s2.2p2.(3P).3d,2F,7/2,8.0, 13.0036301,,,3
41,2s2.2p2.(3P).3d,4P,5/2,6.0, 12.9966572,,,3
