,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3p6.3d9,2D,5/2,6.0,0.0,,,                                                     ,L7185,1
1,3p6.3d9,2D,3/2,4.0,0.186837,,,                                                     ,,1
2,3p6.3d8.(3F).4s,4F,9/2,10.0,1.040711,,1.355, 100                                                 ,,4
3,3p6.3d8.(3F).4s,4F,7/2,8.0,1.156778,,1.244,  98             :     2  3d8.(3F).4s          2F    ,,4
4,3p6.3d8.(3F).4s,4F,5/2,6.0,1.254182,,1.023,  99             :     1  3d8.(3F).4s          2F    ,,4
5,3p6.3d8.(3F).4s,4F,3/2,4.0,1.322154,,0.397,  99             :     1  3d8.(1D).4s          2D    ,,4
6,3p6.3d8.(3F).4s,2F,7/2,8.0,1.680034,,1.141,  98             :     2  3d8.(3F).4s          4F    ,,4
7,3p6.3d8.(3F).4s,2F,5/2,6.0,1.859214,,0.866,  98             :     1  3d8.(1D).4s          2D    ,,4
8,3p6.3d8.(3P).4s,4P,5/2,6.0,2.865062,,1.428,  54             :    46  3d8.(1D).4s          2D    ,,4
9,3p6.3d8.(3P).4s,4P,3/2,4.0,3.073345,,,  78             :    22  3d8.(1D).4s          2D    ,,4
10,3p6.3d8.(3P).4s,4P,1/2,2.0,3.079263,,2.667, 100                                                 ,,4
11,3p6.3d8.(1D).4s,2D,3/2,4.0,2.95035,,1.045,  75             :    22  3d8.(3P).4s          4P    ,,4
12,3p6.3d8.(1D).4s,2D,5/2,6.0,3.104116,,1.368,  53             :    46  3d8.(3P).4s          4P    ,,4
13,3p6.3d8.(3P).4s,2P,3/2,4.0,3.604336,,1.322,  97             :     3  3d8.(1D).4s          2D    ,,4
14,3p6.3d8.(3P).4s,2P,1/2,2.0,3.669121,,0.67, 100                                                 ,,4
15,3p6.3d8.(1G).4s,2G,9/2,10.0,4.029428,,1.135, 100                                                 ,,4
16,3p6.3d8.(1G).4s,2G,7/2,8.0,4.032405,,0.895,                                                     ,,4
17,3p6.3d7.4s2,4F,9/2,10.0,6.32883,,, 100                                                 ,,4
18,3p6.3d7.4s2,4F,7/2,8.0,6.472713,,, 100                                                 ,,4
19,3p6.3d7.4s2,4F,5/2,6.0,6.575865,,, 100                                                 ,,4
20,3p6.3d7.4s2,4F,3/2,4.0,6.645701,,, 100                                                 ,,4
21,3p6.3d8.(3F).4p,4D*,7/2,8.0,6.392359,,1.42,  94                                                 ,,4
22,3p6.3d8.(3F).4p,4D*,5/2,6.0,6.538734,,1.365,  93                                                 ,,4
23,3p6.3d8.(3F).4p,4D*,3/2,4.0,6.649845,,1.186,  94             :     4  3d8.(3P).4p          4D*   ,,4
24,3p6.3d8.(3F).4p,4D*,1/2,2.0,6.717,,-0.005,  96                                                 ,,4
25,3p6.3d8.(3F).4p,4G*,9/2,10.0,6.616438,,1.156,  67             :    23  3d8.(3F).4p          2G*   ,,4
26,3p6.3d8.(3F).4p,4G*,11/2,12.0,6.632719,,1.305, 100                                                 ,,4
27,3p6.3d8.(3F).4p,4G*,7/2,8.0,6.727709,,1.025,  81             :    10  3d8.(3F).4p          4F*   ,,4
28,3p6.3d8.(3F).4p,4G*,5/2,6.0,6.821451,,0.616,  94             :     5  3d8.(3F).4p          4F*   ,,4
29,3p6.3d8.(3F).4p,4F*,9/2,10.0,6.764212,,1.26,  80             :    19  3d8.(3F).4p          2G*   ,,4
30,3p6.3d8.(3F).4p,4F*,7/2,8.0,6.870935,,1.184,  76             :    10  3d8.(3F).4p          2F*   ,,4
31,3p6.3d8.(3F).4p,4F*,5/2,6.0,6.952446,,0.985,  87             :     6  3d8.(3F).4p          4G*   ,,4
32,3p6.3d8.(3F).4p,4F*,3/2,4.0,6.995745,,0.412,  95                                                 ,,4
33,3p6.3d8.(3F).4p,2G*,9/2,10.0,6.856283,,1.152,  58             :    32  3d8.(3F).4p          4G*   ,,4
34,3p6.3d8.(3F).4p,2G*,7/2,8.0,6.989164,,0.94,  84             :     8  3d8.(3F).4p          4G*   ,,4
35,3p6.3d8.(3F).4p,2F*,7/2,8.0,7.077086,,1.154,  81             :    11  3d8.(3F).4p          4F*   ,,4
36,3p6.3d8.(3F).4p,2F*,5/2,6.0,7.252234,,0.946,  74             :    20  3d8.(3F).4p          2D*   ,,4
37,3p6.3d8.(3F).4p,2D*,5/2,6.0,7.119193,,1.116,  74             :    20  3d8.(3F).4p          2F*   ,,4
38,3p6.3d8.(3F).4p,2D*,3/2,4.0,7.27861,,0.795,  89             :     7  3d8.(1D).4p          2D*   ,,4
39,3p6.3d8.(3P).4p,4P*,5/2,6.0,8.253794,,1.48,  73             :    20  3d8.(1D).4p          2D*   ,,4
40,3p6.3d8.(3P).4p,4P*,3/2,4.0,8.254832,,1.55,  73             :    12  3d8.(1D).4p          2P*   ,,4
41,3p6.3d8.(3P).4p,4P*,1/2,2.0,8.310787,,2.331,  85             :    11  3d8.(1D).4p          2P*   ,,4
42,3p6.3d8.(1D).4p,2F*,5/2,6.0,8.393066,,0.96,  84             :     8  3d8.(3P).4p          4P*   ,,4
43,3p6.3d8.(1D).4p,2F*,7/2,8.0,8.447193,,1.2,  86             :     9  3d8.(3P).4p          4D*   ,,4
44,3p6.3d7.4s2,4P,5/2,6.0,8.416067,,, 100                                                 ,,4
45,3p6.3d7.4s2,4P,3/2,4.0,8.450338,,,  94             :     6  3d7.4s2              2P    ,,4
46,3p6.3d7.4s2,4P,1/2,2.0,8.518925,,,  98             :     2  3d7.4s2              2P    ,,4
47,3p6.3d8.(1D).4p,2D*,3/2,4.0,8.450057,,1.02,  65             :    18  3d8.(3P).4p          4P*   ,,4
48,3p6.3d8.(1D).4p,2D*,5/2,6.0,8.522175,,1.264,  74             :    19  3d8.(3P).4p          4P*   ,,4
49,3p6.3d8.(1D).4p,2P*,1/2,2.0,8.465842,,1.008,  61             :    23  3d8.(3P).4p          2P*   ,,4
50,3p6.3d8.(1D).4p,2P*,3/2,4.0,8.550651,,1.305,  64             :    15  3d8.(1D).4p          2D*   ,,4
51,3p6.3d7.4s2,2G,9/2,10.0,8.723397,,,  97             :     3  3d7.4s2              2H    ,,4
52,3p6.3d7.4s2,2G,7/2,8.0,8.859631,,, 100                                                 ,,4
53,3p6.3d8.(3P).4p,4D*,5/2,6.0,8.757681,,1.325,  83             :     9  3d8.(3P).4p          2D*   ,,4
54,3p6.3d8.(3P).4p,4D*,3/2,4.0,8.766522,,1.19,  91             :     4  3d8.(3F).4p          4D*   ,,4
55,3p6.3d8.(3P).4p,4D*,1/2,2.0,8.771721,,,  95             :     4  3d8.(3F).4p          4D*   ,,4
56,3p6.3d8.(3P).4p,4D*,7/2,8.0,8.775368,,1.385,  87             :     9  3d8.(1D).4p          2F*   ,,4
57,3p6.3d8.(3P).4p,2D*,5/2,6.0,8.898449,,1.24,  87             :    10  3d8.(3P).4p          4D*   ,,4
58,3p6.3d8.(3P).4p,2D*,3/2,4.0,8.973408,,0.844,  82             :    11  3d8.(3P).4p          2P*   ,,4
59,3p6.3d8.(3P).4p,2P*,3/2,4.0,9.049067,,1.326,  67             :    16  3d8.(1D).4p          2P*   ,,4
60,3p6.3d8.(3P).4p,2P*,1/2,2.0,9.162835,,1.039,  70             :    24  3d8.(1D).4p          2P*   ,,4
61,3p6.3d7.4s2,2P,3/2,4.0,9.161655,,,  85             :     8  3d7.4s2              2D2   ,,4
62,3p6.3d8.(3P).4p,2S*,1/2,2.0,9.209959,,,  94             :     4  3d8.(1D).4p          2P*   ,,4
63,3p6.3d8.(3P).4p,4S*,3/2,4.0,9.212141,,,  97                                                 ,,4
64,3p6.3d8.(1G).4p,2H*,9/2,10.0,9.317348,,0.903, 100                                                 ,,4
65,3p6.3d8.(1G).4p,2H*,11/2,12.0,9.388292,,1.119, 100                                                 ,,4
66,3p6.3d8.(1G).4p,2F*,7/2,8.0,9.412587,,1.165,  94             :     4  3d8.(1D).4p          2F*   ,,4
67,3p6.3d8.(1G).4p,2F*,5/2,6.0,9.472644,,,  95                                                 ,,4
68,3p6.3d7.4s2,2H,11/2,12.0,9.51298,,, 100                                                 ,,4
69,3p6.3d7.4s2,2H,9/2,10.0,9.638134,,,  97             :     3  3d7.4s2              2G    ,,4
70,3p6.3d7.4s2,2D2,5/2,6.0,9.588004,,,  77             :    23  3d7.4s2              2D1   ,,4
71,3p6.3d7.4s2,2D2,3/2,4.0,9.789228,,,  72             :    18  3d7.4s2              2D1   ,,4
72,3p6.3d8.(1G).4p,2G*,7/2,8.0,9.896794,,,  99                                                 ,,4
73,3p6.3d8.(1G).4p,2G*,9/2,10.0,9.909298,,, 100                                                 ,,4
74,3p6.3d7.(4F).4s.4p.(3P*),6F*,11/2,12.0,10.705194,,,                                                     ,,4
75,3p6.3d7.(4F).4s.4p.(3P*),6F*,9/2,10.0,10.770511,,,                                                     ,,4
76,3p6.3d7.(4F).4s.4p.(3P*),6F*,7/2,8.0,10.85334,,,                                                     ,,4
77,3p6.3d7.(4F).4s.4p.(3P*),6F*,5/2,6.0,10.926549,,,                                                     ,,4
78,3p6.3d7.(4F).4s.4p.(3P*),6F*,3/2,4.0,10.98277,,,                                                     ,,4
79,3p6.3d7.(4F).4s.4p.(3P*),6F*,1/2,2.0,11.019913,,,                                                     ,,4
80,3p6.3d7.(4F).4s.4p.(3P*),6D*,9/2,10.0,10.93192,,,                                                     ,,4
81,3p6.3d7.(4F).4s.4p.(3P*),6D*,7/2,8.0,11.047053,,,                                                     ,,4
82,3p6.3d7.(4F).4s.4p.(3P*),6G*,11/2,12.0,11.09167,,,                                                     ,,4
83,3p6.3d7.(4F).4s.4p.(3P*),6G*,9/2,10.0,11.148469,,,                                                     ,,4
84,3p6.3d7.(4F).4s.4p.(3P*),6G*,7/2,8.0,11.192711,,,                                                     ,,4
85,3p6.3d7.(4F).4s.4p.(3P*),6G*,5/2,6.0,11.223816,,,                                                     ,,4
86,3p6.3d8.(3F).5s,4F,9/2,10.0,11.381756,,1.35, 100                                                 ,,5
87,3p6.3d8.(3F).5s,4F,7/2,8.0,11.446947,,1.188,  61             :    39  3d8.(3F).5s          2F    ,,5
88,3p6.3d8.(3F).5s,4F,5/2,6.0,11.578892,,1.02,  88             :    12  3d8.(3F).5s          2F    ,,5
89,3p6.3d8.(3F).5s,4F,3/2,4.0,11.662839,,0.392,  99             :     1  3d8.(1D).5s          2D    ,,5
90,3p6.3d7.4s2,2F,5/2,6.0,11.452848,,, 100                                                 ,,4
91,3p6.3d7.4s2,2F,7/2,8.0,11.504752,,, 100                                                 ,,4
92,3p6.3d8.(3F).5s,2F,7/2,8.0,11.596049,,1.166,  61             :    39  3d8.(3F).5s          4F    ,,5
93,3p6.3d8.(3F).5s,2F,5/2,6.0,11.74493,,0.865,  87             :    12  3d8.(3F).5s          4F    ,,5
94,3p6.3d7.(4F).4s.4p.(3P*),4F*,9/2,10.0,11.689719,,,                                                     ,,4
95,3p6.3d7.(4F).4s.4p.(3P*),4F*,7/2,8.0,11.742039,,,                                                     ,,4
96,3p6.3d7.(4F).4s.4p.(3P*),4F*,5/2,6.0,11.819727,,,                                                     ,,4
97,3p6.3d7.(4F).4s.4p.(3P*),4F*,3/2,4.0,11.889311,,,                                                     ,,4
98,3p6.3d7.(4F).4s.4p.(3P*),4G*,11/2,12.0,11.703704,,,                                                     ,,4
99,3p6.3d7.(4F).4s.4p.(3P*),4G*,9/2,10.0,11.780695,,,                                                     ,,4
100,3p6.3d7.(4F).4s.4p.(3P*),4G*,7/2,8.0,11.84959,,,                                                     ,,4
101,3p6.3d7.(4F).4s.4p.(3P*),4G*,5/2,6.0,11.90899,,,                                                     ,,4
102,3p6.3d7.(4F).4s.4p.(3P*),4D*,7/2,8.0,11.968922,,,                                                     ,,4
103,3p6.3d7.(4F).4s.4p.(3P*),4D*,5/2,6.0,12.060418,,,                                                     ,,4
104,3p6.3d7.(4F).4s.4p.(3P*),4D*,3/2,4.0,12.125612,,,                                                     ,,4
105,3p6.3d7.(4F).4s.4p.(3P*),4D*,1/2,2.0,12.165656,,,                                                     ,,4
106,3p6.3d7.(4F).4s.4p.(3P*),2G*,9/2,10.0,12.184758,,,                                                     ,,4
107,3p6.3d7.(4F).4s.4p.(3P*),2G*,7/2,8.0,12.379094,,,                                                     ,,4
108,3p6.3d8.(3F).4d,4D,7/2,8.0,12.208383,,,  90             :     7  3d8.(3F).4d          4F    ,,4
109,3p6.3d8.(3F).4d,4D,5/2,6.0,12.343784,,,  42             :    39  3d8.(3F).4d          4P    ,,4
110,3p6.3d8.(3F).4d,4D,1/2,2.0,12.399681,,,  69             :    16  3d8.(3F).4d          4P    ,,4
111,3p6.3d8.(3F).4d,4D,3/2,4.0,12.408187,,,  49             :    45  3d8.(3F).4d          2P    ,,4
112,3p6.3d8.(3F).4d,4P,5/2,6.0,12.220034,,,  57             :    40  3d8.(3P).4d          4D    ,,4
113,3p6.3d8.(3F).4d,4P,3/2,4.0,12.45929,,,  73             :    12  3d8.(3F).4d          4D    ,,4
114,3p6.3d8.(3F).4d,4P,1/2,2.0,12.503237,,,  66             :    26  3d8.(3F).4d          4D    ,,4
115,3p6.3d8.(3F).4d,4H,13/2,14.0,12.252435,,, 100                                                 ,,4
116,3p6.3d8.(3F).4d,4H,11/2,12.0,12.436767,,,  54             :    32  3d8.(3F).4d          2H    ,,4
117,3p6.3d8.(3F).4d,4H,9/2,10.0,12.439594,,,  52             :    22  3d8.(3F).4d          2H    ,,4
118,3p6.3d8.(3F).4d,4H,7/2,8.0,12.540336,,,  62             :    28  3d8.(3F).4d          4G    ,,4
119,3p6.3d8.(3F).4d,2H,11/2,12.0,12.270647,,,  47             :    45  3d8.(3F).4d          4H    ,,4
120,3p6.3d8.(3F).4d,2H,9/2,10.0,12.566691,,,  55             :    19  3d8.(3F).4d          4H    ,,4
121,3p6.3d8.(3F).4d,2P,3/2,4.0,12.279488,,,  44             :    29  3d8.(3F).4d          4D    ,,4
122,3p6.3d8.(3F).4d,2P,1/2,2.0,12.552924,,,  77             :    18  3d8.(3F).4d          4P    ,,4
123,3p6.3d8.(3F).4d,4G,11/2,12.0,12.290898,,,  78             :    21  3d8.(3F).4d          2H    ,,4
124,3p6.3d8.(3F).4d,4G,5/2,6.0,12.5678,,,  68             :    28  3d8.(3F).4d          4F    ,,4
125,3p6.3d8.(3F).4d,4F,9/2,10.0,12.29363,,,  63             :    31  3d8.(3F).4d          4G    ,,4
126,3p6.3d8.(3F).4d,4F,7/2,8.0,12.47194,,,  40             :    27  3d8.(3F).4d          4H    ,,4
127,3p6.3d8.(3F).4d,4F,3/2,4.0,12.554393,,,  89             :     8  3d8.(3F).4d          4D    ,,4
128,3p6.3d8.(3F).4d,2F,7/2,8.0,12.316658,,,  58             :    23  3d8.(3F).4d          4F    ,,4
129,3p6.3d8.(3F).4d,2F,5/2,6.0,12.553074,,,  47             :    31  3d8.(3F).4d          4F    ,,4
130,3p6.3d7.(4F).4s.4p.(3P*),2F*,7/2,8.0,12.326337,,,                                                     ,,4
131,3p6.3d7.(4F).4s.4p.(3P*),2F*,5/2,6.0,12.473927,,,                                                     ,,4
132,3p6.3d8.(3F).4d,2G,9/2,10.0,12.329343,,,  45             :    21  3d8.(3F).4d          4F    ,,4
133,3p6.3d8.(3F).4d,2G,7/2,8.0,12.614186,,,  72             :    13  3d8.(3F).4d          4G    ,,4
134,3p6.3d8.(3F).4d,,5/2,6.0,12.446714,,,  42  2F         :    25  3d8.(3F).4d          4F    ,,4
135,3p6.3d8.(3F).4d,,7/2,8.0,12.457414,,,  34  4G         :    34  3d8.(3F).4d          2F    ,,4
136,3p6.3d8.(3F).4d,,9/2,10.0,12.475198,,,  32  2G         :    30  3d8.(3F).4d          4G    ,,4
137,3p6.3d7.(4F).4s.4p.(3P*),2D*,5/2,6.0,12.615987,,,                                                     ,,4
138,3p6.3d7.(4F).4s.4p.(3P*),2D*,3/2,4.0,12.738476,,,                                                     ,,4
139,3p6.3d8.(3F).4d,2D,5/2,6.0,12.773544,,,  85             :     9  3d8.(3F).4d          2F    ,,4
140,3p6.3d8.(3F).4d,2D,3/2,4.0,12.852636,,,  90             :     4  3d8.(1D).4d          2D    ,,4
141,3p6.3d8.(3F).5p,4D*,7/2,8.0,12.851338,,,                                                     ,,5
142,3p6.3d8.(3F).5p,4D*,5/2,6.0,12.956748,,,                                                     ,,5
143,3p6.3d8.(3F).5p,4D*,3/2,4.0,13.072875,,,                                                     ,,5
144,3p6.3d8.(3F).5p,4D*,1/2,2.0,13.145151,,,                                                     ,,5
145,3p6.3d8.(3F).5p,2G*,9/2,10.0,12.904404,,,  60             :    32  3d8.(3F).5p          4G*   ,,5
146,3p6.3d8.(3F).5p,2G*,7/2,8.0,13.219261,,,  58             :    24  3d8.(3F).5p          4G*   ,,5
147,3p6.3d8.(3F).5p,4G*,11/2,12.0,12.912618,,,                                                     ,,5
148,3p6.3d8.(3F).5p,4G*,7/2,8.0,13.080215,,,  55             :    24  3d8.(3F).5p          2G*   ,,5
149,3p6.3d8.(3F).5p,4G*,9/2,10.0,13.091354,,,  41             :    38  3d8.(3F).5p          2G*   ,,5
