,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3d6.(5D).4s,a 6D,9/2,10.0,0.0,0.0,1.58, 100                                                                         ,"L18349,L18361c138",4
1,3d6.(5D).4s,a 6D,7/2,8.0,0.04770753,4e-08,1.58, 100                                                                         ,"L18349,L18361c138",4
2,3d6.(5D).4s,a 6D,5/2,6.0,0.08278213,4e-08,1.655, 100                                                                         ,"L18349,L18361c138",4
3,3d6.(5D).4s,a 6D,3/2,4.0,0.10695023,5e-08,1.862, 100                                                                         ,"L18349,L18361c138",4
4,3d6.(5D).4s,a 6D,1/2,2.0,0.12113874,5e-08,3.31, 100                                                                         ,"L18349,L18361c138",4
5,3d7,a 4F,9/2,10.0,0.23217279,7e-08,1.33, 100                                                                         ,"L18349,L18361c138",3
6,3d7,a 4F,7/2,8.0,0.30129858,7e-08,1.223, 100                                                                         ,"L18349,L18361c138",3
7,3d7,a 4F,5/2,6.0,0.35186476,9e-08,1.02, 100                                                                         ,"L18349,L18361c138",3
8,3d7,a 4F,3/2,4.0,0.38651921,1e-07,0.385, 100                                                                         ,"L18349,L18361c138",3
9,3d6.(5D).4s,a 4D,7/2,8.0,0.9863338,9e-08,1.419,  99                                                                         ,"L18349,L18361c138",4
10,3d6.(5D).4s,a 4D,5/2,6.0,1.04046986,9e-08,1.365,  99                                                                         ,"L18349,L18361c138",4
11,3d6.(5D).4s,a 4D,3/2,4.0,1.07624119,9e-08,1.2,  99                                                                         ,"L18349,L18361c138",4
12,3d6.(5D).4s,a 4D,1/2,2.0,1.09686139,1e-07,-0.05,  99                                                                         ,"L18349,L18361c138",4
13,3d7,a 4P,5/2,6.0,1.67061856,1.1e-07,1.609,  98                                                                         ,"L18349,L18361c138",3
14,3d7,a 4P,3/2,4.0,1.6952613,1.2e-07,1.737,  96                                  :     2  3d7                     2P    ,"L18349,L18361c138",3
15,3d7,a 4P,1/2,2.0,1.72398297,1.5e-07,2.67,  98                                                                         ,"L18349,L18361c138",3
16,3d7,a 2G,9/2,10.0,1.96448604,1.5e-07,,  98                                                                         ,"L18349,L18361c138",3
17,3d7,a 2G,7/2,8.0,2.02954815,1.6e-07,, 100                                                                         ,"L18349,L18361c138",3
18,3d7,a 2P,3/2,4.0,2.27642922,2e-07,1.28,  90                                  :     6  3d7                     2D2   ,"L18349,L18361c138",3
19,3d7,a 2P,1/2,2.0,2.34166141,2.5e-07,,  98                                                                         ,"L18349,L18361c138",3
20,3d7,a 2H,11/2,12.0,2.52186911,1.6e-07,,  99                                                                         ,"L18349,L18361c138",3
21,3d7,a 2H,9/2,10.0,2.57958587,1.7e-07,0.92,  98                                                                         ,"L18349,L18361c138",3
22,3d7,a 2D2,5/2,6.0,2.54377802,2e-07,1.22,  74                                  :    23  3d7                     2D1   ,"L18349,L18361c138",3
23,3d7,a 2D2,3/2,4.0,2.64185518,2.5e-07,,  72                                  :    20  3d7                     2D1   ,"L18349,L18361c138",3
24,3d6.(3P2).4s,b 4P,5/2,6.0,2.58265947,1.4e-07,1.583,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138",4
25,3d6.(3P2).4s,b 4P,3/2,4.0,2.70434897,1.5e-07,1.72,  60                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138",4
26,3d6.(3P2).4s,b 4P,1/2,2.0,2.7784633,1.6e-07,2.68,  61                                  :    37  3d6.(3P1).4s            4P    ,"L18349,L18361c138",4
27,3d6.(3H).4s,a 4H,13/2,14.0,2.63486052,1.4e-07,1.2, 100                                                                         ,"L18349,L18361c138",4
28,3d6.(3H).4s,a 4H,11/2,12.0,2.65702556,1.2e-07,1.119,  99                                                                         ,"L18349,L18361c138",4
29,3d6.(3H).4s,a 4H,9/2,10.0,2.67577925,1.4e-07,0.951,  98                                                                         ,"L18349,L18361c138",4
30,3d6.(3H).4s,a 4H,7/2,8.0,2.69193206,1.4e-07,0.661,  98                                                                         ,"L18349,L18361c138",4
31,3d6.(3F2).4s,b 4F,9/2,10.0,2.80665448,1.4e-07,1.307,  76                                  :    21  3d6.(3F1).4s            4F    ,"L18349,L18361c138",4
32,3d6.(3F2).4s,b 4F,7/2,8.0,2.82812245,1.4e-07,1.21,  77                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138",4
33,3d6.(3F2).4s,b 4F,5/2,6.0,2.84411707,1.4e-07,1.019,  78                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138",4
34,3d6.(3F2).4s,b 4F,3/2,4.0,2.85551515,1.4e-07,0.398,  80                                  :    20  3d6.(3F1).4s            4F    ,"L18349,L18361c138",4
35,3d5.4s2,a 6S,5/2,6.0,2.8910183,1.4e-07,1.996,  98                                  :     2  3d5.(6S).4p2            6S    ,"L18349,L18361c138",4
36,3d6.(3G).4s,a 4G,11/2,12.0,3.15276806,1.5e-07,1.237,  84                                  :    15  3d6.(3H).4s             2H    ,"L18349,L18361c138",4
37,3d6.(3G).4s,a 4G,9/2,10.0,3.19945278,1.5e-07,1.15,  92                                  :     5  3d6.(3H).4s             2H    ,"L18349,L18361c138",4
38,3d6.(3G).4s,a 4G,7/2,8.0,3.22131344,1.5e-07,0.98,  95                                  :     2  3d6.(3F2).4s            4F    ,"L18349,L18361c138",4
39,3d6.(3G).4s,a 4G,5/2,6.0,3.23045937,1.6e-07,0.574,  95                                  :     3  3d6.(3F2).4s            2F    ,"L18349,L18361c138",4
40,3d6.(3P2).4s,b 2P,3/2,4.0,3.19725263,1.6e-07,1.33,  60                                  :    37  3d6.(3P1).4s            2P    ,"L18349,L18361c138",4
41,3d6.(3P2).4s,b 2P,1/2,2.0,3.33923354,2e-07,0.67,  61                                  :    37  3d6.(3P1).4s            2P    ,"L18349,L18361c138",4
42,3d6.(3H).4s,b 2H,11/2,12.0,3.24468891,1.6e-07,1.09,  84                                  :    15  3d6.(3G).4s             4G    ,"L18349,L18361c138",4
43,3d6.(3H).4s,b 2H,9/2,10.0,3.26732671,1.6e-07,0.927,  92                                  :     5  3d6.(3G).4s             4G    ,"L18349,L18361c138",4
44,3d6.(3F2).4s,a 2F,7/2,8.0,3.38661825,1.6e-07,1.129,  72                                  :    20  3d6.(3F1).4s            2F    ,"L18349,L18361c138",4
45,3d6.(3F2).4s,a 2F,5/2,6.0,3.42449356,1.6e-07,0.851,  74                                  :    19  3d6.(3F1).4s            2F    ,"L18349,L18361c138",4
46,3d6.(3G).4s,b 2G,9/2,10.0,3.76769941,1.7e-07,1.1,  98                                                                         ,"L18349,L18361c138",4
47,3d6.(3G).4s,b 2G,7/2,8.0,3.81430861,1.9e-07,0.898,  97                                                                         ,"L18349,L18361c138",4
48,3d6.(3D).4s,b 4D,3/2,4.0,3.88869686,2e-07,,  99                                                                         ,"L18349,L18361c138",4
49,3d6.(3D).4s,b 4D,1/2,2.0,3.8891925,2.5e-07,,  99                                                                         ,"L18349,L18361c138",4
50,3d6.(3D).4s,b 4D,5/2,6.0,3.89161339,1.9e-07,1.327,  99                                                                         ,"L18349,L18361c138",4
51,3d6.(3D).4s,b 4D,7/2,8.0,3.90341906,1.7e-07,1.41,  99                                                                         ,"L18349,L18361c138",4
52,3d7,b 2F,5/2,6.0,3.9441623,4e-07,0.86,  97                                  :     2  3d6.(3F2).4s            2F    ,"L18349,L18361c138",3
53,3d7,b 2F,7/2,8.0,3.96737644,2.5e-07,1.124,  96                                  :     2  3d6.(3F2).4s            2F    ,"L18349,L18361c138",3
54,3d6.(1I).4s,a 2I,13/2,14.0,4.07605998,2.4e-07,1.062, 100                                                                         ,"L18349,L18361c138",4
55,3d6.(1I).4s,a 2I,11/2,12.0,4.0803055,4e-07,0.92,  99                                                                         ,"L18349,L18361c138",4
56,3d6.(1G2).4s,c 2G,9/2,10.0,4.14931647,2.4e-07,1.099,  65                                  :    34  3d6.(1G1).4s            2G    ,"L18349,L18361c138",4
57,3d6.(1G2).4s,c 2G,7/2,8.0,4.15363129,2.4e-07,0.88,  64                                  :    33  3d6.(1G1).4s            2G    ,"L18349,L18361c138",4
58,3d6.(3D).4s,b 2D,3/2,4.0,4.47910423,2.5e-07,0.799,  96                                  :     2  3d6.(1D2).4s            2D    ,"L18349,L18361c138",4
59,3d6.(3D).4s,b 2D,5/2,6.0,4.49479059,2.5e-07,1.179,  98                                                                         ,"L18349,L18361c138",4
60,3d6.(1S2).4s,a 2S,1/2,2.0,4.6155941,5e-07,2.06,  76                                  :    23  3d6.(1S1).4s            2S    ,"L18349,L18361c138",4
61,3d6.(1D2).4s,c 2D,5/2,6.0,4.7317602,4e-07,1.176,  75                                  :    22  3d6.(1D1).4s            2D    ,"L18349,L18361c138",4
62,3d6.(1D2).4s,c 2D,3/2,4.0,4.7379945,4e-07,0.79,  74                                  :    21  3d6.(1D1).4s            2D    ,"L18349,L18361c138",4
63,3d6.(5D).4p,z 6D*,9/2,10.0,4.76830747,2e-07,1.542,  99                                                                         ,"L18349,L18361c138",4
64,3d6.(5D).4p,z 6D*,7/2,8.0,4.79323577,2e-07,1.584,  97                                                                         ,"L18349,L18361c138",4
65,3d6.(5D).4p,z 6D*,5/2,6.0,4.8178982,2e-07,1.653,  98                                                                         ,"L18349,L18361c138",4
66,3d6.(5D).4p,z 6D*,3/2,4.0,4.83702231,2.1e-07,1.86,  99                                                                         ,"L18349,L18361c138",4
67,3d6.(5D).4p,z 6D*,1/2,2.0,4.84893721,2.1e-07,3.35,  99                                                                         ,"L18349,L18361c138",4
68,3d6.(5D).4p,z 6F*,11/2,12.0,5.20337749,2.2e-07,,  99                                                                         ,"L18349,L18361c138",4
69,3d6.(5D).4p,z 6F*,9/2,10.0,5.22157443,2.1e-07,1.43,  96                                  :     2  3d6.(5D).4p             4F*   ,"L18349,L18361c138",4
70,3d6.(5D).4p,z 6F*,7/2,8.0,5.23672772,2.2e-07,1.399,  95                                  :     2  3d6.(5D).4p             4F*   ,"L18349,L18361c138",4
71,3d6.(5D).4p,z 6F*,5/2,6.0,5.24885175,2.2e-07,1.304,  97                                                                         ,"L18349,L18361c138",4
72,3d6.(5D).4p,z 6F*,3/2,4.0,5.25709365,2.2e-07,1.04,  98                                                                         ,"L18349,L18361c138",4
73,3d6.(5D).4p,z 6F*,1/2,2.0,5.26187092,2.2e-07,-0.647,  98                                                                         ,"L18349,L18361c138",4
74,3d6.(5D).4p,z 6P*,7/2,8.0,5.28894824,2.2e-07,1.702,  92                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138",4
75,3d6.(5D).4p,z 6P*,5/2,6.0,5.36090398,2.2e-07,1.869,  94                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138",4
76,3d6.(5D).4p,z 6P*,3/2,4.0,5.40831276,2.2e-07,2.398,  95                                  :     4  3d5.4s.(7S).4p          6P*   ,"L18349,L18361c138",4
77,3d6.(5D).4p,z 4F*,9/2,10.0,5.48413599,2.2e-07,1.32,  95                                  :     3  3d6.(5D).4p             6F*   ,"L18349,L18361c138",4
78,3d6.(5D).4p,z 4F*,7/2,8.0,5.54876624,2.4e-07,1.29,  81                                  :    15  3d6.(5D).4p             4D*   ,"L18349,L18361c138",4
79,3d6.(5D).4p,z 4F*,5/2,6.0,5.5891955,2.4e-07,1.069,  84                                  :    12  3d6.(5D).4p             4D*   ,"L18349,L18361c138",4
80,3d6.(5D).4p,z 4F*,3/2,4.0,5.61522263,2.4e-07,0.445,  90                                  :     7  3d6.(5D).4p             4D*   ,"L18349,L18361c138",4
81,3d6.(5D).4p,z 4D*,7/2,8.0,5.5107139,2.2e-07,1.4,  80                                  :    15  3d6.(5D).4p             4F*   ,"L18349,L18361c138",4
82,3d6.(5D).4p,z 4D*,5/2,6.0,5.55260578,2.4e-07,1.35,  83                                  :    12  3d6.(5D).4p             4F*   ,"L18349,L18361c138",4
83,3d6.(5D).4p,z 4D*,3/2,4.0,5.58476799,2.4e-07,1.15,  88                                  :     8  3d6.(5D).4p             4F*   ,"L18349,L18361c138",4
84,3d6.(5D).4p,z 4D*,1/2,2.0,5.604888,2.4e-07,-0.021,  95                                                                         ,"L18349,L18361c138",4
85,3d6.(1F).4s,c 2F,7/2,8.0,5.56875734,2.5e-07,,  98                                                                         ,"L18349,L18361c138",4
86,3d6.(1F).4s,c 2F,5/2,6.0,5.57055201,2.5e-07,,  98                                                                         ,"L18349,L18361c138",4
87,3d6.(5D).4p,z 4P*,5/2,6.0,5.82322475,2.4e-07,1.592,  96                                                                         ,"L18349,L18361c138",4
88,3d6.(5D).4p,z 4P*,3/2,4.0,5.87558748,2.5e-07,1.717,  96                                                                         ,"L18349,L18361c138",4
89,3d6.(5D).4p,z 4P*,1/2,2.0,5.90488507,2.5e-07,2.7,  96                                                                         ,"L18349,L18361c138",4
90,3d7,d 2D1,3/2,4.0,5.9109129,4e-07,,  77                                  :    22  3d7                     2D2   ,"L18349,L18361c138",3
91,3d7,d 2D1,5/2,6.0,5.95609042,2.5e-07,,  75                                  :    24  3d7                     2D2   ,"L18349,L18361c138",3
92,3d6.(3P1).4s,c 4P,1/2,2.0,6.0877427,5e-07,,  62                                  :    37  3d6.(3P2).4s            4P    ,"L18349,L18361c138",4
93,3d6.(3P1).4s,c 4P,3/2,4.0,6.138076,4e-07,,  62                                  :    38  3d6.(3P2).4s            4P    ,"L18349,L18361c138",4
94,3d6.(3P1).4s,c 4P,5/2,6.0,6.22559822,2.5e-07,,  59                                  :    37  3d6.(3P2).4s            4P    ,"L18349,L18361c138",4
95,3d6.(3F1).4s,c 4F,3/2,4.0,6.2086229,4e-07,,  80                                  :    20  3d6.(3F2).4s            4F    ,"L18349,L18361c138",4
96,3d6.(3F1).4s,c 4F,5/2,6.0,6.2169162,4e-07,,  76                                  :    19  3d6.(3F2).4s            4F    ,"L18349,L18361c138",4
97,3d6.(3F1).4s,c 4F,9/2,10.0,6.21873433,2.5e-07,,  78                                  :    21  3d6.(3F2).4s            4F    ,"L18349,L18361c138",4
98,3d6.(3F1).4s,c 4F,7/2,8.0,6.22249688,2.5e-07,,  78                                  :    20  3d6.(3F2).4s            4F    ,"L18349,L18361c138",4
99,3d5.(6S).4s.4p.(3P*),z 8P*,5/2,6.0,6.48435,4e-07,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138",4
100,3d5.(6S).4s.4p.(3P*),z 8P*,7/2,8.0,6.5194425,4e-07,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138",4
101,3d5.(6S).4s.4p.(3P*),z 8P*,9/2,10.0,6.5669685,4e-07,, 100  3d5.4s.(7S).4p 8P*                                                     ,"L18349,L18361c138",4
