,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,1s2.2s,2S,1/2,2.0,0.0,1.2e-05,L3462,2
1,1s2.2p,2P*,1/2,2.0,1.847818,1.2e-05,,2
2,1s2.2p,2P*,3/2,4.0,1.84786,1.2e-05,,2
3,1s2.3s,2S,1/2,2.0,3.373129,1.2e-05,,3
4,1s2.3p,2P*,3/2,4.0,3.834258,1.2e-05,,3
5,1s2.3p,2P*,1/2,2.0,3.834258,1.2e-05,,3
6,1s2.3d,2D,3/2,4.0,3.878608,1.2e-05,,3
7,1s2.3d,2D,5/2,6.0,3.878613,1.2e-05,,3
8,1s2.4s,2S,1/2,2.0,4.340942,1.2e-05,,4
9,1s2.4p,2P*,1/2,2.0,4.521648,1.2e-05,,4
10,1s2.4p,2P*,3/2,4.0,4.521648,1.2e-05,,4
11,1s2.4d,2D,3/2,4.0,4.54072,1.2e-05,,4
12,1s2.4d,2D,5/2,6.0,4.540723,1.2e-05,,4
13,1s2.4f,2F*,7/2,8.0,4.54157,0.00012,,4
14,1s2.4f,2F*,5/2,6.0,4.54157,0.00012,,4
15,1s2.5s,2S,1/2,2.0,4.748533,1.2e-05,,5
16,1s2.5p,2P*,3/2,4.0,4.837313,1.2e-05,,5
17,1s2.5p,2P*,1/2,2.0,4.837313,1.2e-05,,5
18,1s2.5d,2D,3/2,4.0,4.847154,1.2e-05,,5
19,1s2.5d,2D,5/2,6.0,4.847155,1.2e-05,,5
20,1s2.5f,2F*,5/2,6.0,4.84834,0.00012,,5
21,1s2.5f,2F*,7/2,8.0,4.84834,0.00012,,5
22,1s2.6s,2S,1/2,2.0,4.957835,1.2e-05,,6
23,1s2.6p,2P*,3/2,4.0,5.007826,1.2e-05,,6
24,1s2.6p,2P*,1/2,2.0,5.007826,1.2e-05,,6
25,1s2.6d,2D,3/2,4.0,5.013587,1.2e-05,,6
26,1s2.6d,2D,5/2,6.0,5.013589,1.2e-05,,6
27,1s2.7s,2S,1/2,2.0,5.07937,0.00012,,7
28,1s2.7p,2P*,3/2,4.0,5.1103,1.2e-05,,7
