,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
56,2s2.6h,2H*,9/2,10.0,22.87093,,,6
57,2s2.6h,2H*,11/2,12.0,22.87093,,,6
58,2s.2p.(3P*).3p,4S,3/2,4.0,22.898763,,,3
59,2s2.7s,2S,1/2,2.0,23.027948,,,7
60,2s.2p.(3P*).3p,4P,1/2,2.0,23.114046,,,3
61,2s.2p.(3P*).3p,4P,3/2,4.0,23.116071,,,3
62,2s.2p.(3P*).3p,4P,5/2,6.0,23.11884,,,3
63,2s2.7p,2P*,1/2,2.0,23.15354,,,7
64,2s2.7p,2P*,3/2,4.0,23.15359,,,7
65,2s2.7d,2D,5/2,6.0,23.22881,,,7
66,2s2.7d,2D,3/2,4.0,23.22881,,,7
67,2s2.7f,2F*,7/2,8.0,23.26459,,,7
68,2s2.7f,2F*,5/2,6.0,23.26459,,,7
69,2s2.7g,2G,9/2,10.0,23.27077,,,7
70,2s2.7g,2G,7/2,8.0,23.27077,,,7
71,2s2.7h,2H*,9/2,10.0,23.272,,,7
72,2s2.7h,2H*,11/2,12.0,23.272,,,7
73,2s.2p.(3P*).3p,2D,3/2,4.0,23.381095,,,3
74,2s.2p.(3P*).3p,2D,5/2,6.0,23.385288,,,3
75,2s2.8g,2G,7/2,8.0,23.53148,,,8
76,2s2.8g,2G,9/2,10.0,23.53148,,,8
77,2s.2p.(3P*).3d,4F*,3/2,4.0,24.270227,,,3
78,2s.2p.(3P*).3d,4F*,5/2,6.0,24.271872,,,3
79,2s.2p.(3P*).3d,4F*,7/2,8.0,24.274338,,,3
80,2s.2p.(3P*).3d,4F*,9/2,10.0,24.2778,,,3
81,2s.2p.(3P*).3d,4D*,1/2,2.0,24.37007,,,3
82,2s.2p.(3P*).3d,4D*,3/2,4.0,24.370757,,,3
83,2s.2p.(3P*).3d,4D*,5/2,6.0,24.3718,,,3
84,2s.2p.(3P*).3d,4D*,7/2,8.0,24.373057,,,3
85,2s.2p.(3P*).3d,2D*,3/2,4.0,24.601618,,,3
86,2s.2p.(3P*).3d,2D*,5/2,6.0,24.602967,,,3
87,2s.2p.(3P*).3d,4P*,5/2,6.0,24.653514,,,3
88,2s.2p.(3P*).3d,4P*,3/2,4.0,24.656149,,,3
89,2s.2p.(3P*).3d,4P*,1/2,2.0,24.657855,,,3
90,2s.2p.(3P*).3d,2F*,5/2,6.0,24.789575,,,3
91,2s.2p.(3P*).3d,2F*,7/2,8.0,24.794762,,,3
92,2s.2p.(3P*).3d,2P*,3/2,4.0,25.067107,,,3
93,2s.2p.(3P*).3d,2P*,1/2,2.0,25.070165,,,3
94,2s.2p.(3P*).4s,4P*,1/2,2.0,25.981181,,,4
95,2s.2p.(3P*).4s,4P*,3/2,4.0,25.984169,,,4
96,2s.2p.(3P*).4s,4P*,5/2,6.0,25.989855,,,4
97,2s.2p.(3P*).4p,2P,1/2,2.0,26.582749,,,4
98,2s.2p.(3P*).4p,2P,3/2,4.0,26.585925,,,4
99,2s.2p.(3P*).4p,4D,1/2,2.0,26.626835,,,4
100,2s.2p.(3P*).4p,4D,3/2,4.0,26.628438,,,4
101,2s.2p.(3P*).4p,4D,5/2,6.0,26.631219,,,4
102,2s.2p.(3P*).4p,4D,7/2,8.0,26.635497,,,4
103,2s.2p.(3P*).4p,4S,3/2,4.0,26.751794,,,4
104,2s.2p.(3P*).4p,4P,1/2,2.0,26.825573,,,4
105,2s.2p.(3P*).4p,4P,3/2,4.0,26.82765,,,4
106,2s.2p.(3P*).4p,4P,5/2,6.0,26.830251,,,4
107,2s.2p.(3P*).4p,2D,5/2,6.0,26.8955,,,4
108,2s.2p.(3P*).4d,4F*,3/2,4.0,27.221542,,,4
109,2s.2p.(3P*).4d,4F*,5/2,6.0,27.223229,,,4
110,2s.2p.(3P*).4d,4F*,7/2,8.0,27.225784,,,4
111,2s.2p.(3P*).4d,4F*,9/2,10.0,27.229395,,,4
112,2s.2p.(3P*).4d,4D*,1/2,2.0,27.292085,,,4
113,2s.2p.(3P*).4d,4D*,3/2,4.0,27.292748,,,4
114,2s.2p.(3P*).4d,4D*,5/2,6.0,27.293808,,,4
115,2s.2p.(3P*).4d,4D*,7/2,8.0,27.295182,,,4
116,2s.2p.(3P*).4d,2D*,3/2,4.0,27.351104,,,4
117,2s.2p.(3P*).4d,2D*,5/2,6.0,27.352713,,,4
118,2s.2p.(3P*).4d,4P*,5/2,6.0,27.37716,,,4
119,2s.2p.(3P*).4d,4P*,3/2,4.0,27.379697,,,4
120,2s.2p.(3P*).4d,4P*,1/2,2.0,27.381299,,,4
121,2s.2p.(3P*).4f,2F,5/2,6.0,27.411528,,,4
122,2s.2p.(3P*).4f,2F,7/2,8.0,27.412648,,,4
123,2s.2p.(3P*).4f,4F,3/2,4.0,27.412156,,,4
124,2s.2p.(3P*).4f,4F,5/2,6.0,27.412796,,,4
125,2s.2p.(3P*).4f,4F,7/2,8.0,27.413617,,,4
126,2s.2p.(3P*).4f,4F,9/2,10.0,27.414119,,,4
127,2s.2p.(3P*).4d,2F*,5/2,6.0,27.45765,,,4
128,2s.2p.(3P*).4d,2F*,7/2,8.0,27.462913,,,4
129,2s.2p.(3P*).4f,4G,5/2,6.0,27.468056,,,4
130,2s.2p.(3P*).4f,4G,7/2,8.0,27.469194,,,4
131,2s.2p.(3P*).4f,4G,9/2,10.0,27.471874,,,4
132,2s.2p.(3P*).4f,4G,11/2,12.0,27.475506,,,4
133,2s.2p.(3P*).4f,2G,7/2,8.0,27.473301,,,4
134,2s.2p.(3P*).4f,2G,9/2,10.0,27.478087,,,4
135,2s.2p.(3P*).4f,4D,7/2,8.0,27.487108,,,4
136,2s.2p.(3P*).4f,4D,5/2,6.0,27.488253,,,4
137,2s.2p.(3P*).4f,4D,3/2,4.0,27.490978,,,4
138,2s.2p.(3P*).4f,4D,1/2,2.0,27.492602,,,4
139,2s.2p.(3P*).4f,2D,5/2,6.0,27.491006,,,4
140,2s.2p.(3P*).4f,2D,3/2,4.0,27.493776,,,4
141,2s.2p.(3P*).4d,2P*,3/2,4.0,27.55658,,,4
142,2s.2p.(3P*).4d,2P*,1/2,2.0,27.55991,,,4
143,2s.2p.(3P*).5s,4P*,1/2,2.0,27.98918,,,5
144,2s.2p.(3P*).5s,4P*,3/2,4.0,27.99214,,,5
145,2s.2p.(3P*).5s,4P*,5/2,6.0,27.99784,,,5
146,2s.2p.(3P*).5p,2P,1/2,2.0,28.253669,,,5
147,2s.2p.(3P*).5p,2P,3/2,4.0,28.256955,,,5
148,2s.2p.(3P*).5p,4D,1/2,2.0,28.29054,,,5
149,2s.2p.(3P*).5p,4D,3/2,4.0,28.29219,,,5
150,2s.2p.(3P*).5p,4D,5/2,6.0,28.29466,,,5
151,2s.2p.(3P*).5p,4D,7/2,8.0,28.299018,,,5
152,2s.2p.(3P*).5p,4S,3/2,4.0,28.349835,,,5
153,2s.2p.(3P*).5p,4P,3/2,4.0,28.38586,,,5
154,2s.2p.(3P*).5p,4P,5/2,6.0,28.388351,,,5
155,2s.2p.(3P*).5d,4F*,3/2,4.0,28.5683,,,5
156,2s.2p.(3P*).5d,4F*,5/2,6.0,28.5701,,,5
157,2s.2p.(3P*).5d,4F*,7/2,8.0,28.5732,,,5
158,2s.2p.(3P*).5d,4F*,9/2,10.0,28.57656,,,5
159,2s.2p.(3P*).5d,4D*,3/2,4.0,28.60999,,,5
160,2s.2p.(3P*).5d,4D*,5/2,6.0,28.61092,,,5
161,2s.2p.(3P*).5d,4D*,7/2,8.0,28.61244,,,5
162,2s.2p.(3P*).5d,4P*,5/2,6.0,28.64691,,,5
163,2s.2p.(3P*).5d,4P*,3/2,4.0,28.64924,,,5
164,2s.2p.(3P*).5d,4P*,1/2,2.0,28.65109,,,5
165,2s.2p.(3P*).5f,2F,5/2,6.0,28.666294,,,5
166,2s.2p.(3P*).5f,2F,7/2,8.0,28.667279,,,5
167,2s.2p.(3P*).5f,4F,3/2,4.0,28.66677,,,5
168,2s.2p.(3P*).5f,4F,5/2,6.0,28.667207,,,5
169,2s.2p.(3P*).5f,4F,7/2,8.0,28.668262,,,5
170,2s.2p.(3P*).5f,4F,9/2,10.0,28.668701,,,5
171,2s.2p.(3P*).5f,4G,5/2,6.0,28.69462,,,5
172,2s.2p.(3P*).5f,4G,7/2,8.0,28.6963,,,5
173,2s.2p.(3P*).5f,4G,9/2,10.0,28.69906,,,5
174,2s.2p.(3P*).5f,4G,11/2,12.0,28.70263,,,5
175,2s.2p.(3P*).5f,2G,7/2,8.0,28.69995,,,5
176,2s.2p.(3P*).5f,2G,9/2,10.0,28.70472,,,5
177,2s.2p.(3P*).5f,4D,7/2,8.0,28.705301,,,5
178,2s.2p.(3P*).5f,4D,5/2,6.0,28.705862,,,5
179,2s.2p.(3P*).5f,4D,3/2,4.0,28.70869,,,5
180,2s.2p.(3P*).5f,4D,1/2,2.0,28.7106,,,5
181,2s.2p.(3P*).5f,2D,5/2,6.0,28.70869,,,5
182,2s.2p.(3P*).5f,2D,3/2,4.0,28.71107,,,5
183,2s.2p.(3P*).6s,4P*,1/2,2.0,28.9715,,,6
184,2s.2p.(3P*).6s,4P*,3/2,4.0,28.97428,,,6
185,2s.2p.(3P*).6s,4P*,5/2,6.0,28.98015,,,6
186,2s.2p.(3P*).6p,4D,1/2,2.0,29.136,,,6
187,2s.2p.(3P*).6p,4D,3/2,4.0,29.1377,,,6
188,2s.2p.(3P*).6p,4D,5/2,6.0,29.1401,,,6
189,2s.2p.(3P*).6p,4D,7/2,8.0,29.14457,,,6
190,2s.2p.(3P*).6p,4P,5/2,6.0,29.1926,,,6
191,2s.2p.(3P*).6d,4D*,7/2,8.0,29.3156,,,6
192,2s.2p.(3P*).6d,4P*,5/2,6.0,29.3355,,,6
193,2s.2p.(3P*).6f,4F,3/2,4.0,29.3462,,,6
194,2s.2p.(3P*).6f,4F,5/2,6.0,29.3468,,,6
195,2s.2p.(3P*).6f,4F,7/2,8.0,29.3479,,,6
196,2s.2p.(3P*).6f,4F,9/2,10.0,29.34806,,,6
197,2s.2p.(3P*).6f,2F,5/2,6.0,29.3462,,,6
198,2s.2p.(3P*).6f,2F,7/2,8.0,29.3474,,,6
199,2s.2p.(3P*).6f,4G,5/2,6.0,29.3611,,,6
200,2s.2p.(3P*).6f,4G,7/2,8.0,29.36235,,,6
201,2s.2p.(3P*).6f,4G,9/2,10.0,29.36481,,,6
202,2s.2p.(3P*).6f,4G,11/2,12.0,29.36953,,,6
203,2s.2p.(3P*).6f,2G,7/2,8.0,29.36648,,,6
204,2s.2p.(3P*).6f,2G,9/2,10.0,29.37058,,,6
205,2s.2p.(3P*).6f,4D,7/2,8.0,29.3691,,,6
206,Limit,NaN,NaN,NaN,24.383154,1.6e-05,NaN,NaN
