,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p,2P*,1/2,2.0,0.0,,L7288,2
1,2s2.2p,2P*,3/2,4.0,0.007863,,,2
2,2s.2p2,4P,1/2,2.0,5.33173,,,2
3,2s.2p2,4P,3/2,4.0,5.33446,,,2
4,2s.2p2,4P,5/2,6.0,5.33797,,,2
5,2s.2p2,2D,5/2,6.0,9.290148,,,2
6,2s.2p2,2D,3/2,4.0,9.290461,,,2
7,2s.2p2,2S,1/2,2.0,11.963699,,,2
8,2s.2p2,2P,1/2,2.0,13.715649,,,2
9,2s.2p2,2P,3/2,4.0,13.720781,,,2
10,2s2.3s,2S,1/2,2.0,14.448827,,,3
11,2s2.3p,2P*,1/2,2.0,16.33174,,,3
12,2s2.3p,2P*,3/2,4.0,16.333123,,,3
13,2p3,4S*,3/2,4.0,17.60912,,,2
14,2s2.3d,2D,3/2,4.0,18.04581,,,3
15,2s2.3d,2D,5/2,6.0,18.045987,,,3
16,2p3,2D*,5/2,6.0,18.654858,,,2
17,2p3,2D*,3/2,4.0,18.655492,,,2
18,2s2.4s,2S,1/2,2.0,19.49454,,,4
19,2s2.4p,2P*,1/2,2.0,20.14965,,,4
20,2s2.4p,2P*,3/2,4.0,20.150479,,,4
21,2s.2p.(3P*).3s,4P*,1/2,2.0,20.701286,,,3
22,2s.2p.(3P*).3s,4P*,3/2,4.0,20.704212,,,3
23,2s.2p.(3P*).3s,4P*,5/2,6.0,20.709789,,,3
24,2s2.4d,2D,3/2,4.0,20.844687,,,4
25,2s2.4d,2D,5/2,6.0,20.844775,,,4
26,2p3,2P*,1/2,2.0,20.919796,,,2
27,2p3,2P*,3/2,4.0,20.922123,,,2
28,2s2.4f,2F*,7/2,8.0,20.950644,,,4
29,2s2.4f,2F*,5/2,6.0,20.950644,,,4
30,2s2.5s,2S,1/2,2.0,21.492393,,,5
31,2s2.5p,2P*,1/2,2.0,21.732867,,,5
32,2s2.5p,2P*,3/2,4.0,21.733779,,,5
33,2s.2p.(3P*).3s,2P*,1/2,2.0,22.04124,,,3
34,2s.2p.(3P*).3s,2P*,3/2,4.0,22.04359,,,3
35,2s2.5d,2D,3/2,4.0,22.130573,,,5
36,2s2.5d,2D,5/2,6.0,22.130648,,,5
37,2s2.5f,2F*,5/2,6.0,22.187709,,,5
38,2s2.5f,2F*,7/2,8.0,22.187709,,,5
39,2s2.5g,2G,7/2,8.0,22.202229,,,5
40,2s2.5g,2G,9/2,10.0,22.202229,,,5
41,2s2.6s,2S,1/2,2.0,22.473902,,,6
42,2s.2p.(3P*).3p,4D,1/2,2.0,22.527515,,,3
43,2s.2p.(3P*).3p,4D,3/2,4.0,22.529296,,,3
44,2s.2p.(3P*).3p,4D,5/2,6.0,22.532398,,,3
45,2s.2p.(3P*).3p,4D,7/2,8.0,22.536907,,,3
46,2s.2p.(3P*).3p,2P,1/2,2.0,22.568082,,,3
47,2s.2p.(3P*).3p,2P,3/2,4.0,22.570506,,,3
48,2s2.6p,2P*,1/2,2.0,22.688269,,,6
49,2s2.6p,2P*,3/2,4.0,22.688322,,,6
50,2s2.6d,2D,3/2,4.0,22.82234,,,6
51,2s2.6d,2D,5/2,6.0,22.822426,,,6
52,2s2.6f,2F*,7/2,8.0,22.859718,,,6
53,2s2.6f,2F*,5/2,6.0,22.859718,,,6
54,2s2.6g,2G,9/2,10.0,22.868795,,,6
55,2s2.6g,2G,7/2,8.0,22.868795,,,6
