,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3p6,1S,0,1.0,0.0,4e-05,, 100                                    ,L12392,3
1,3p5.4s,3P*,2,5.0,20.147767,1.2e-05,1.48,  95                                    ,L12188,4
2,3p5.4s,3P*,1,3.0,20.238213,1.2e-05,1.47,  68         :    21  3p5.3d 3P*        ,L12188,4
3,3p5.4s,3P*,0,1.0,20.47542,2.5e-05,,  78         :    22  3p5.3d 3P*        ,L12188,4
4,3p5.3d,3P*,0,1.0,20.262998,1.2e-05,,  77         :    22  3p5.4s 3P*        ,L12188,3
5,3p5.3d,3P*,1,3.0,20.394409,1.2e-05,1.38,  76         :    14  3p5.4s 3P*        ,L12188,3
6,3p5.3d,3P*,2,5.0,20.448453,1.2e-05,1.47,  94                                    ,L12188,3
7,3p5.4s,1P*,1,3.0,20.638075,1.2e-05,1.07,  81         :    18  3p5.4s 3P*        ,L12188,4
8,3p5.3d,3F*,4,9.0,21.083414,1.2e-05,(1.25), 100                                    ,L12188,3
9,3p5.3d,3F*,3,7.0,21.180357,1.2e-05,1.09,  98                                    ,L12188,3
10,3p5.3d,3F*,2,5.0,21.266092,1.2e-05,1.36,  98                                    ,L12188,3
11,3p5.3d,1D*,2,5.0,22.236467,1.2e-05,(1.07),  56         :    42  3p5.3d 3D*        ,L12188,3
12,3p5.3d,3D*,3,7.0,22.242244,1.2e-05,(1.20),  60         :    40  3p5.3d 1F*        ,L12188,3
13,3p5.3d,3D*,2,5.0,22.365844,1.2e-05,(1.10),  57         :    43  3p5.3d 1D*        ,L12188,3
14,3p5.3d,3D*,1,3.0,22.372812,1.2e-05,(0.50), 100                                    ,L12188,3
15,3p5.3d,1F*,3,7.0,22.393865,1.2e-05,(1.13),  59         :    39  3p5.3d 3D*        ,L12188,3
16,3p5.4p,3S,1,3.0,22.714413,1.2e-05,1.96,  97                                    ,L12188,4
17,3p5.4p,3D,3,7.0,23.108646,1.2e-05,1.35, 100                                    ,L12188,4
18,3p5.4p,3D,2,5.0,23.145544,1.2e-05,1.11,  75         :    23  3p5.4p 1D         ,L12188,4
19,3p5.4p,3D,1,3.0,23.250385,1.2e-05,0.72,  77         :    14  3p5.4p 1P         ,L12188,4
20,3p5.4p,1D,2,5.0,23.327664,1.2e-05,1.19,  52         :    40  3p5.4p 3P         ,L12188,4
21,3p5.4p,1P,1,3.0,23.462708,1.2e-05,0.95,  53         :    24  3p5.4p 3P         ,L12188,4
22,3p5.4p,3P,2,5.0,23.514521,1.2e-05,1.31,  57         :    26  3p5.4p 1D         ,L12188,4
23,3p5.4p,3P,0,1.0,23.528233,1.2e-05,,  97                                    ,L12188,4
24,3p5.4p,3P,1,3.0,23.573202,1.2e-05,1.38,  66         :    32  3p5.4p 1P         ,L12188,4
25,3p5.4p,1S,0,1.0,24.148675,1.2e-05,,  93         :     3  3p5.4p 3P         ,L12188,4
26,3p5.3d,1P*,1,3.0,25.039551,2.5e-05,(1.00),  54         :    42  3p5.4d 1P*        ,L12188,3
