,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2p6.3s2,1S,0,1.0,0.0,,  93         :     7  3p2   1S   ,L4995,3
1,3s.3p,3P*,0,1.0,2.7091049,,  98         :     1  3p.3d 3P*  ,,3
2,3s.3p,3P*,1,3.0,2.7115919,,  98         :     1  3p.3d 3P*  ,,3
3,3s.3p,3P*,2,5.0,2.7166398,,  98         :     1  3p.3d 3P*  ,,3
4,3s.3p,1P*,1,3.0,4.3458029,,  94         :     6  3p.3d 1P*  ,,3
5,3s.4s,3S,1,3.0,5.107827,,  98         :     2  3d2   3S   ,,4
6,3s.4s,1S,0,1.0,5.3937259,,  96         :     2  3d2   1S   ,,4
7,3s.3d,1D,2,5.0,5.7532468,,  77         :    22  3p2   1D   ,,3
8,3s.4p,3P*,0,1.0,5.9315428,,  99         :     1  3p.3d 3P*  ,,4
9,3s.4p,3P*,1,3.0,5.9319513,,  99         :     1  3p.3d 3P*  ,,4
10,3s.4p,3P*,2,5.0,5.932788,,  99         :     1  3p.3d 3P*  ,,4
11,3s.3d,3D,2,5.0,5.9459136,,  98         :     1  3p.4f 3D   ,,3
12,3s.3d,3D,3,7.0,5.9459158,,  98         :     1  3p.4f 3D   ,,3
13,3s.3d,3D,1,3.0,5.9459174,,  98         :     1  3p.4f 3D   ,,3
14,3s.4p,1P*,1,3.0,6.1182146,,  97         :     2  3p.3d 1P*  ,,4
15,3s.5s,3S,1,3.0,6.4313736,, 100                             ,,5
16,3s.5s,1S,0,1.0,6.5161391,,  99         :     1  3d2   1S   ,,5
17,3s.4d,1D,2,5.0,6.587856,,  87         :    13  3p2   1D   ,,4
18,3s.4d,3D,3,7.0,6.7189834,, 100                             ,,4
19,3s.4d,3D,2,5.0,6.7189881,, 100                             ,,4
20,3s.4d,3D,1,3.0,6.7189932,, 100                             ,,4
21,3s.5p,3P*,0,1.0,6.7259951,, 100                             ,,5
22,3s.5p,3P*,1,3.0,6.7261534,, 100                             ,,5
23,3s.5p,3P*,2,5.0,6.7264807,, 100                             ,,5
24,3s.4f,1F*,3,7.0,6.7790143,,                                 ,,4
25,3s.4f,3F*,2,5.0,6.7790411,,                                 ,,4
26,3s.4f,3F*,3,7.0,6.7790469,,                                 ,,4
27,3s.4f,3F*,4,9.0,6.7790536,,                                 ,,4
28,3s.5p,1P*,1,3.0,6.782746,,  99         :     1  3p.3d 1P*  ,,5
29,3s.6s,3S,1,3.0,6.9297,, 100                             ,,6
30,3s.6s,1S,0,1.0,6.9662844,,  99                             ,,6
31,3s.5d,1D,2,5.0,6.9813495,,  93         :     7  3p2   1D   ,,5
32,3s.5d,3D,3,7.0,7.0631588,, 100                             ,,5
33,3s.5d,3D,2,5.0,7.0631626,, 100                             ,,5
34,3s.5d,3D,1,3.0,7.0631654,, 100                             ,,5
35,3s.6p,3P*,0,1.0,7.0692167,, 100                             ,,6
36,3s.6p,3P*,1,3.0,7.0692968,, 100                             ,,6
37,3s.6p,3P*,2,5.0,7.0694581,, 100                             ,,6
38,3s.5f,1F*,3,7.0,7.0924123,,                                 ,,5
39,3s.5f,3F*,2,5.0,7.0924204,,                                 ,,5
40,3s.5f,3F*,3,7.0,7.0924252,,                                 ,,5
41,3s.5f,3F*,4,9.0,7.0924299,,                                 ,,5
42,3s.6p,1P*,1,3.0,7.0937549,,  99                             ,,6
43,3s.5g,1G,4,9.0,7.0996774,,                                 ,,5
44,3s.5g,3G,4,9.0,7.0996774,,                                 ,,5
45,3s.5g,3G,3,7.0,7.0996774,,                                 ,,5
46,3p2,3P,0,1.0,7.16787,,                                 ,,3
47,3p2,3P,1,3.0,7.170428,,                                 ,,3
48,3p2,3P,2,5.0,7.175454,,                                 ,,3
49,3s.7s,3S,1,3.0,7.1731323,,                                 ,,7
50,3s.7s,1S,0,1.0,7.19225,, 100                             ,,7
51,3s.6d,1D,2,5.0,7.1939656,,  96         :     4  3p2   1D   ,,6
52,3s.6d,3D,3,7.0,7.245989,, 100                             ,,6
53,3s.6d,3D,2,5.0,7.2459903,, 100                             ,,6
54,3s.6d,3D,1,3.0,7.2459929,, 100                             ,,6
55,3s.7p,3P*,0,1.0,7.2501854,, 100                             ,,7
56,3s.7p,3P*,1,3.0,7.2502265,, 100                             ,,7
57,3s.7p,3P*,2,5.0,7.2503182,, 100                             ,,7
58,3s.6f,1F*,3,7.0,7.2624336,,                                 ,,6
59,3s.6f,3F*,4,9.0,7.2624398,,                                 ,,6
60,3s.6f,3F*,3,7.0,7.2624398,,                                 ,,6
61,3s.6f,3F*,2,5.0,7.2624398,,                                 ,,6
62,3s.7p,1P*,1,3.0,7.263023,, 100                             ,,7
63,3s.6g,3G,3,7.0,7.2668124,,                                 ,,6
64,3s.6g,3G,5,11.0,7.2668124,,                                 ,,6
65,3s.6g,3G,4,9.0,7.2668124,,                                 ,,6
66,3s.6g,1G,4,9.0,7.2668124,,                                 ,,6
68,3s.8s,3S,1,3.0,7.3104479,,                                 ,,8
69,3s.7d,1D,2,5.0,7.3201534,,  97         :     3  3p2   1D   ,,7
70,3s.8s,1S,0,1.0,7.321703,,                                 ,,8
71,3s.7d,3D,3,7.0,7.3545894,, 100                             ,,7
72,3s.7d,3D,2,5.0,7.3545908,, 100                             ,,7
73,3s.7d,3D,1,3.0,7.354593,, 100                             ,,7
74,3s.8p,3P*,0,1.0,7.357534,,                                 ,,8
75,3s.8p,3P*,2,5.0,7.357534,,                                 ,,8
76,3s.8p,3P*,1,3.0,7.357534,,                                 ,,8
77,3s.7f,1F*,3,7.0,7.364756,,                                 ,,7
78,3s.7f,3F*,3,7.0,7.364756,,                                 ,,7
79,3s.7f,3F*,2,5.0,7.364756,,                                 ,,7
80,3s.7f,3F*,4,9.0,7.364756,,                                 ,,7
81,3s.8p,1P*,1,3.0,7.365056,,                                 ,,8
82,3s.7g,3G,3,7.0,7.3675796,,                                 ,,7
83,3s.7g,3G,5,11.0,7.3675796,,                                 ,,7
84,3s.7g,3G,4,9.0,7.3675796,,                                 ,,7
85,3s.7g,1G,4,9.0,7.3675796,,                                 ,,7
88,3s.9s,3S,1,3.0,7.395552,,                                 ,,9
89,3s.8d,1D,2,5.0,7.4006157,,  98         :     2  3p2   1D   ,,8
90,3s.9s,1S,0,1.0,7.402738,,                                 ,,9
