,Configuration,Term,J,g,Level (eV),nQua
92,3d7.(2D2).4s,b 1D,nan,5.0,3.86823409,4.0
93,3d7.(4P).4d,5D,nan,25.0,13.207618078000001,4.0
94,3d7.(2D2).4d,1F,nan,7.0,14.1819783,4.0
95,3d7.(4F<5/2>).4f,2[3/2]*,nan,8.0,13.834462949999999,4.0
96,3d7.(2H).4p,y 3H*,nan,33.0,8.890308273333334,4.0
97,3d7.(2D2).4s,a 3D,nan,15.0,3.5073072466666666,4.0
98,3d7.(2P).4p,z 1D*,nan,5.0,8.332886,4.0
99,3d7.(2H).4d,3G,nan,27.0,14.051271953333334,4.0
100,3d7.(4F).5d,5H,nan,39.0,13.871941933333332,5.0
101,3d7.(4F<5/2>).4f,2[9/2]*,nan,20.0,13.829320254999999,4.0
102,3d7.(4P).4p,z 5S*,nan,5.0,6.94441385,4.0
103,3d7.(4F).4p,z 5G*,nan,45.0,5.920771514,4.0
104,3d7.(4P).4p,y 3P*,nan,9.0,8.103767153333331,4.0
105,3d7.(4P).4d,3D,nan,15.0,13.289995133333335,4.0
106,3d7.(4F<7/2>).5g,2[11/2],nan,24.0,15.008049499999998,5.0
107,3d7.(4P).4d,3P,nan,6.0,13.255969700000001,4.0
108,3d7.(4F).4d,f 5F,nan,35.0,11.238187538000002,4.0
109,3d7.(2D2).5s,1D,nan,5.0,13.4808728,5.0
110,3d7.(2D1).4s,3D,nan,15.0,7.512666666666667,4.0
111,3d7.(4F).4d,e 5D,nan,25.0,11.406890392,4.0
112,3d7.(2P).4d,3F,nan,21.0,13.793672246666667,4.0
113,3d7.(4P).4d,5P,nan,15.0,12.981128533333333,4.0
114,3d7.(2D2).4p,y 1P*,nan,3.0,9.239664,4.0
115,3d7.(4P).4p,y 3D*,nan,15.0,7.896477016666666,4.0
116,3d7.(4F).4d,e 3G,nan,27.0,11.39683875,4.0
117,3d8,a 3F,nan,21.0,0.10528411666666666,3.0
118,3d7.(2D2).4d,1P,nan,3.0,14.116573,4.0
119,3d7.(4P).4p,y 5D*,nan,25.0,7.605133854,4.0
120,3d7.(4F).6s,5F,nan,35.0,13.58385608,6.0
121,3d7.(4F).4d,e 5P,nan,15.0,11.316510833333334,4.0
122,3d7.(2H).4p,z 1I*,nan,13.0,8.63146931,4.0
123,3d7.(2H).4s,a 1H,nan,11.0,3.78984644,4.0
124,3d7.(4P).5s,3P,nan,9.0,12.473412466666668,5.0
125,3d7.(4F).6d,3H,nan,13.0,15.077949,6.0
126,3d7.(4F<5/2>).5g,2[7/2],nan,16.0,15.0842998,5.0
127,3d7.(2H).4d,1H,nan,11.0,14.11741017,4.0
128,3d7.(4F<9/2>).5g,2[11/2],nan,24.0,14.903447199999999,5.0
129,3d7.(4F).5s,e 3F,nan,21.0,10.6944035,5.0
130,3d6.(5D).4s.4p,x 5D*,nan,25.0,10.0096936,4.0
131,3d7.(4F<5/2>).4f,2[11/2]*,nan,24.0,13.834976845,4.0
132,3d7.(4F).5d,5G,nan,36.0,13.907904575,5.0
133,3d7.(4F<3/2>).5g,2[11/2],nan,24.0,15.136880600000001,5.0
134,3d7.(2G).4p,y 3G*,nan,27.0,8.056099770000001,4.0
135,3d7.(4F).6d,5H,nan,48.0,15.0462415,6.0
136,3d7.(2D2).4p,w 3D*,nan,15.0,8.596817693333334,4.0
137,3d7.(2G).4p,z 3H*,nan,33.0,7.881129923333333,4.0
138,3d7.(2D2).4d,1D,nan,5.0,14.5577978,4.0
139,3d7.(2G).4s,a 3G,nan,27.0,2.7296486333333334,4.0
140,3d7.(4F).5d,3H,nan,24.0,13.9012076,5.0
141,3d7.(2P).4d,3D,nan,15.0,13.70203472,4.0
142,3d7.(2P).5s,3P,nan,8.0,12.9619957,5.0
143,3d7.(2P).4d,1D,nan,5.0,13.9296828,4.0
144,3d7.(2H).4p,y 1G*,nan,9.0,9.06907725,4.0
145,3d7.(4F<7/2>).4f,2[1/2]*,nan,4.0,13.765010700000001,4.0
146,3d7.(4F<9/2>).4f,2[9/2]*,nan,20.0,13.64923102,4.0
147,3d7.(2G).4p,y 3F*,nan,21.0,7.9716526866666655,4.0
148,3d7.(4F<3/2>).4f,2[3/2]*,nan,8.0,13.89105165,4.0
149,3d7.(2H).4p,y 1H*,nan,11.0,9.22154694,4.0
150,3d7.(4P).5s,5P,nan,15.0,12.307921686666667,5.0
151,3d7.(2H).4s,a 3H,nan,33.0,3.4086104899999996,4.0
152,3d7.(2G).4d,3F,nan,21.0,13.4955823,4.0
153,3d7.(2G).4d,3G,nan,27.0,13.373839543333332,4.0
154,3d7.(4F).5d,3D,nan,5.0,13.9390298,5.0
155,3d7.(4F<7/2>).5g,2[1/2],nan,3.0,15.0106651,5.0
156,3d7.(4F).4p,z 5D*,nan,25.0,5.870445414,4.0
157,3d7.(2G).4p,z 1G*,nan,9.0,7.98475087,4.0
158,3d7.(4F<9/2>).4f,2[5/2]*,nan,12.0,13.65846305,4.0
159,3d7.(4F).4d,e 5H,nan,55.0,11.352402851999999,4.0
160,3d7.(4F).4p,z 3D*,nan,15.0,6.46480999,4.0
161,3d6.4s2,a 5D,nan,25.0,5.15502384,4.0
162,3d7.(4P).5p,5D*,nan,21.0,13.764272666666665,5.0
163,3d7.(4F).4d,f 3F,nan,21.0,11.689687786666667,4.0
164,3d7.(4F).5p,3F*,nan,21.0,12.122273203333334,5.0
165,3d7.(2P).4d,1P,nan,3.0,13.8499267,4.0
166,3d7.(2H).4d,1G,nan,9.0,14.5725131,4.0
167,3d7.(2D2).4d,1G,nan,9.0,14.2549989,4.0
168,3d7.(4F<9/2>).5g,2[3/2],nan,8.0,14.90646245,5.0
169,3d7.(4P).4s,b 3P,nan,9.0,3.006752413333334,4.0
170,3d7.(2F).4p,v 3D*,nan,15.0,10.4572747,4.0
171,3d7.(2F).4s,a 1F,nan,7.0,5.466559,4.0
172,3d7.(4P).4p,z 3S*,nan,3.0,7.74158302,4.0
173,3d7.(2P).4d,1F,nan,7.0,13.7479256,4.0
174,3d7.(4F<9/2>).5g,2[17/2],nan,36.0,14.9059852,5.0
175,3d7.(2G).4d,1F,nan,7.0,13.34960876,4.0
176,3d7.(4F<7/2>).4f,2[7/2]*,nan,16.0,13.754641209999999,4.0
177,3d7.(4F).7s,5F,nan,27.0,14.838316999999998,7.0
178,3d7.(2D1).4s,1D,nan,5.0,7.923,4.0
179,3d7.(2P).4p,y 3S*,nan,3.0,8.71186315,4.0
180,3d7.(2G).4p,z 1F*,nan,7.0,8.18514505,4.0
181,3d7.(2P).4p,1S*,nan,1.0,8.41988259,4.0
182,3d7.(4F).5p,3G*,nan,27.0,12.076896390000002,5.0
183,3d7.(2G).5s,f 3G,nan,27.0,12.592870196666667,5.0
184,3d7.(2H).4d,3F,nan,21.0,14.382163453333334,4.0
185,3d7.(4F).4s,a 5F,nan,35.0,0.5478869420000001,4.0
186,3d7.(2G).4d,3I,nan,24.0,13.37110483,4.0
187,3d7.(4F<3/2>).5g,2[9/2],nan,20.0,15.1350958,5.0
188,3d7.(4F<5/2>).4f,2[1/2]*,nan,4.0,13.8392439,4.0
189,3d7.(4F).6d,5G,nan,13.0,14.962621,6.0
190,3d6.(5D).4s.4p,y 5P*,nan,15.0,10.616763333333333,4.0
191,3d7.(2D2).5s,3D,nan,15.0,13.356873533333333,5.0
192,3d7.(4F<3/2>).4f,2[7/2]*,nan,16.0,13.879425000000001,4.0
193,3d8,a 1G,nan,9.0,2.35244233,3.0
194,3d7.(2D2).4p,x 3F*,nan,21.0,8.737512056666667,4.0
195,3d7.(4F<7/2>).5g,2[5/2],nan,12.0,15.00950375,5.0
196,3d7.(2G).4d,1I,nan,13.0,13.4333769,4.0
197,3d7.(4P).4s,a 5P,nan,15.0,2.23756655,4.0
198,3d7.(4F<7/2>).4f,2[9/2]*,nan,20.0,13.75320644,4.0
199,3d7.(2D2).4p,y 1F*,nan,7.0,8.99320722,4.0
200,3d6.(5D).4s.4p,u 3D*,nan,15.0,10.841124333333333,4.0
201,3d7.(2G).5s,e 1G,nan,9.0,12.692462,5.0
202,3d7.(2D2).4d,3D,nan,15.0,14.160580333333334,4.0
203,3d7.(2H).4d,1F,nan,7.0,14.0061207,4.0
