,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p6,1S,0,1.0,0.0,0.00016,  96                                                  ,L7185,3
1,3s2.3p5.3d,3P*,0,1.0,25.21507,3e-05, 100                                                  ,L7185,3
2,3s2.3p5.3d,3P*,1,3.0,25.27442,3e-05, 100                                                  ,L7185,3
3,3s2.3p5.3d,3P*,2,5.0,25.39725,3e-05,  99                                                  ,L7185,3
4,3s2.3p5.3d,3F*,4,9.0,26.32309,4e-05, 100                                                  ,L7185,3
5,3s2.3p5.3d,3F*,3,7.0,26.45567,3e-05,  99                                                  ,L7185,3
6,3s2.3p5.3d,3F*,2,5.0,26.57404,3e-05,  99                                                  ,L7185,3
7,3s2.3p5.3d,1D*,2,5.0,27.998883,2.1e-05,  56         :    43                          3D*     ,L7185,3
8,3s2.3p5.3d,3D*,3,7.0,28.061785,1.7e-05,  84         :    16                          1F*     ,L7185,3
9,3s2.3p5.3d,3D*,2,5.0,28.192588,1.4e-05,  56         :    43                          1D*     ,L7185,3
10,3s2.3p5.3d,3D*,1,3.0,28.197988,1.6e-05, 100                                                  ,L7185,3
11,3s2.3p5.3d,1F*,3,7.0,28.319721,1.6e-05,  84         :    15                          3D*     ,L7185,3
12,3s2.3p5.4s,3P*,2,5.0,30.072019,4e-06,  99                                                  ,L7185,4
13,3s2.3p5.4s,3P*,1,3.0,30.2435201,2.5e-06,  82         :    18                          1P*     ,L7185,4
14,3s2.3p5.4s,3P*,0,1.0,30.451992,4e-06,  99                                                  ,L7185,4
15,3s2.3p5.4s,1P*,1,3.0,30.710438,6e-06,  81         :    18                          3P*     ,L7185,4
16,3s2.3p5.4p,3S,1,3.0,33.747098,6e-06,  96                                                  ,L7185,4
17,3s2.3p5.4p,3D,3,7.0,34.3464,6e-06,  99                                                  ,L7185,4
18,3s2.3p5.4p,3D,2,5.0,34.390844,4e-06,  74         :    22                          1D      ,L7185,4
19,3s2.3p5.4p,3D,1,3.0,34.544603,4e-06,  76         :    14                          1P      ,L7185,4
20,3s2.3p5.3d,1P*,1,3.0,34.635437,1.1e-05,  88         :    10  3s2.3p5.4d              1P*     ,L7185,3
21,3s2.3p5.4p,1D,2,5.0,34.683563,5e-06,  51         :    41                          3P      ,L7185,4
22,3s2.3p5.4p,1P,1,3.0,34.856862,4e-06,  56         :    22                          3D      ,L7185,4
23,3s2.3p5.4p,3P,2,5.0,34.948944,5e-06,  55         :    26                          1D      ,L7185,4
24,3s2.3p5.4p,3P,0,1.0,34.972861,5e-06,  97                                                  ,L7185,4
25,3s2.3p5.4p,3P,1,3.0,35.034392,4e-06,  68         :    29                          1P      ,L7185,4
26,3s2.3p5.4p,1S,0,1.0,36.071256,9e-06,  95                                                  ,L7185,4
27,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,1.0,40.005148,6e-06,  99                                                  ,L7185,4
28,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,3.0,40.047337,1e-05,  67         :    25  3s2.3p5.(2P*<3/2>).4d   2[3/2]* ,L7185,4
29,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,5.0,40.128113,6e-06,  80         :    18  3s2.3p5.(2P*<1/2>).4d   2[3/2]* ,L7185,4
30,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,3.0,40.662119,7e-06,  48         :    41  3s2.3p5.(2P*<1/2>).4d   2[3/2]* ,L7185,4
31,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,4,9.0,40.184548,1.1e-05, 100                                                  ,L7185,4
32,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,7.0,40.252768,7e-06,  80         :    13  3s2.3p5.(2P*<3/2>).4d   2[5/2]* ,L7185,4
33,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,2,5.0,40.352848,6e-06,  82         :    17  3s2.3p5.(2P*<1/2>).4d   2[5/2]* ,L7185,4
34,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,3,7.0,40.441949,7e-06,  80         :    17  3s2.3p5.(2P*<3/2>).4d   2[7/2]* ,L7185,4
