,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2p6.3s2,1S,0,1.0,0.0,,  95              :     5  3p2   1S   ,L5815,3
1,3s.3p,3P*,0,1.0,6.537028,,                                      ,,3
2,3s.3p,3P*,1,3.0,6.552972,,                                      ,,3
3,3s.3p,3P*,2,5.0,6.585422,,                                      ,,3
4,3s.3p,1P*,1,3.0,10.276357,,  94              :     5  3p.3d 1P*  ,,3
5,3p2,1D,2,5.0,15.152669,,  65              :    33  3s.3d 1D   ,,3
6,3p2,3P,0,1.0,16.081798,,                                      ,,3
7,3p2,3P,1,3.0,16.098353,,                                      ,,3
8,3p2,3P,2,5.0,16.130409,,                                      ,,3
9,3s.3d,3D,3,7.0,17.722765,,  99                                  ,,3
10,3s.3d,3D,2,5.0,17.723025,,  99                                  ,,3
11,3s.3d,3D,1,3.0,17.723324,,  99                                  ,,3
12,3s.4s,3S,1,3.0,19.016331,,                                      ,,4
13,3p2,1S,0,1.0,19.02466,,  82              :     9  3s.4s 1S   ,,3
14,3s.4s,1S,0,1.0,19.722118,,                                      ,,4
15,3s.3d,1D,2,5.0,20.552241,,  60              :    26  3p2   1D   ,,3
16,3s.4p,3P*,0,1.0,21.725752,,                                      ,,4
17,3s.4p,3P*,1,3.0,21.729855,,                                      ,,4
18,3s.4p,3P*,2,5.0,21.738926,,                                      ,,4
19,3s.4p,1P*,1,3.0,21.881623,,                                      ,,4
20,3p.3d,3F*,2,5.0,24.663327,,  75              :    25  3s.nf 3F*  ,,3
21,3p.3d,3F*,3,7.0,24.67614,,  75              :    25  3s.nf 3F*  ,,3
22,3p.3d,3F*,4,9.0,24.693201,,  75              :    25  3s.nf 3F*  ,,3
23,3s.4d,3D,1,3.0,24.994933,,  99              :     1  3p.4p 3D   ,,4
24,3s.4d,3D,2,5.0,24.995001,,  99              :     1  3p.4p 3D   ,,4
25,3s.4d,3D,3,7.0,24.99515,,  99              :     1  3p.4p 3D   ,,4
26,3s.4d,1D,2,5.0,25.333789,,  86              :     4  3p.4p 1D   ,,4
27,3s.4f,1F*,3,7.0,25.395443,,                                      ,,4
28,3p.3d,1D*,2,5.0,25.420367,,                                      ,,3
29,3s.5s,3S,1,3.0,25.562576,,                                      ,,5
30,3s.5s,1S,0,1.0,25.773102,,                                      ,,5
31,3s.4f,3F*,2,5.0,25.978583,,  77  3s.nf       :    23  3p.3d 3F*  ,,4
32,3s.4f,3F*,3,7.0,25.982046,,  77  3s.nf       :    23  3p.3d 3F*  ,,4
33,3s.4f,3F*,4,9.0,25.987051,,  77  3s.nf       :    23  3p.3d 3F*  ,,4
34,3s.5p,1P*,1,3.0,26.598599,,                                      ,,5
35,3s.5p,3P*,2,5.0,26.655272,,                                      ,,5
36,3s.5p,3P*,1,3.0,26.655939,,                                      ,,5
37,3s.5p,3P*,0,1.0,26.65604,,                                      ,,5
38,3p.3d,3P*,2,5.0,26.804174,,                                      ,,3
39,3p.3d,3P*,1,3.0,26.81638,,                                      ,,3
40,3p.3d,3P*,0,1.0,26.824014,,                                      ,,3
41,3p.3d,3D*,1,3.0,26.9524,,                                      ,,3
42,3p.3d,3D*,2,5.0,26.959114,,                                      ,,3
43,3p.3d,3D*,3,7.0,26.96526,,                                      ,,3
44,3s.5f,1F*,3,7.0,27.961701,,  55              :    31  3p.nd 1F*  ,,5
45,3p.4s,3P*,0,1.0,28.070023,,                                      ,,4
46,3p.4s,3P*,1,3.0,28.085821,,                                      ,,4
47,3p.4s,3P*,2,5.0,28.122131,,                                      ,,4
48,3s.5d,3D,1,3.0,28.154479,,                                      ,,5
49,3s.5d,3D,2,5.0,28.154854,,                                      ,,5
50,3s.5d,3D,3,7.0,28.155413,,                                      ,,5
