,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,2s2.2p4,3P,2,5.0,0.0,,L7288,2
1,2s2.2p4,3P,1,3.0,0.0196224,,,2
2,2s2.2p4,3P,0,1.0,0.0281416,,,2
3,2s2.2p4,1D,2,5.0,1.9673642,,,2
4,2s2.2p4,1S,0,1.0,4.1897463,,,2
5,2s2.2p3.(4S*).3s,5S*,2,5.0,9.1460911,,,3
6,2s2.2p3.(4S*).3s,3S*,1,3.0,9.5213638,,,3
7,2s2.2p3.(4S*).3p,5P,1,3.0,10.740225,,,3
8,2s2.2p3.(4S*).3p,5P,2,5.0,10.7404756,,,3
9,2s2.2p3.(4S*).3p,5P,3,7.0,10.7409314,,,3
10,2s2.2p3.(4S*).3p,3P,1,3.0,10.9887923,,,3
11,2s2.2p3.(4S*).3p,3P,2,5.0,10.9888616,,,3
12,2s2.2p3.(4S*).3p,3P,0,1.0,10.9888811,,,3
13,2s2.2p3.(4S*).4s,5S*,2,5.0,11.8376056,,,4
14,2s2.2p3.(4S*).4s,3S*,1,3.0,11.9303856,,,4
15,2s2.2p3.(4S*).3d,5D*,4,9.0,12.0786187,,,3
16,2s2.2p3.(4S*).3d,5D*,3,7.0,12.0786294,,,3
17,2s2.2p3.(4S*).3d,5D*,2,5.0,12.0786446,,,3
18,2s2.2p3.(4S*).3d,5D*,1,3.0,12.0786574,,,3
19,2s2.2p3.(4S*).3d,5D*,0,1.0,12.0786635,,,3
20,2s2.2p3.(4S*).3d,3D*,1,3.0,12.0870184,,,3
21,2s2.2p3.(4S*).3d,3D*,2,5.0,12.0870271,,,3
22,2s2.2p3.(4S*).3d,3D*,3,7.0,12.0870382,,,3
23,2s2.2p3.(4S*).4p,5P,1,3.0,12.2859622,,,4
24,2s2.2p3.(4S*).4p,5P,2,5.0,12.2860456,,,4
25,2s2.2p3.(4S*).4p,5P,3,7.0,12.2861939,,,4
26,2s2.2p3.(4S*).4p,3P,1,3.0,12.3588649,,,4
27,2s2.2p3.(4S*).4p,3P,2,5.0,12.358875,,,4
28,2s2.2p3.(4S*).4p,3P,0,1.0,12.3589072,,,4
29,2s2.2p3.(2D*).3s,3D*,3,7.0,12.5391924,,,3
30,2s2.2p3.(2D*).3s,3D*,2,5.0,12.5406949,,,3
31,2s2.2p3.(2D*).3s,3D*,1,3.0,12.5416739,,,3
32,2s2.2p3.(4S*).5s,5S*,2,5.0,12.6608569,,,5
