,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3d8,a 3F,4,9.0,0.0,1.2e-07,, 100                                                              ,L9429,3
1,3d8,a 3F,3,7.0,0.11782516,2.5e-07,, 100                                                              ,L9429,3
2,3d8,a 3F,2,5.0,0.19802719,2.5e-07,,  99                                                              ,L9429,3
3,3d7.(4F).4s,a 5F,5,11.0,0.41540831,1.2e-07,1.413, 100                                                              ,"L9429,L7185",4
4,3d7.(4F).4s,a 5F,4,9.0,0.49953085,1.2e-07,1.354, 100                                                              ,"L9429,L7185",4
5,3d7.(4F).4s,a 5F,3,7.0,0.56546577,1.2e-07,1.258, 100                                                              ,"L9429,L7185",4
6,3d7.(4F).4s,a 5F,2,5.0,0.61372947,1.2e-07,0.997, 100                                                              ,"L9429,L7185",4
7,3d7.(4F).4s,a 5F,1,3.0,0.64530031,1.2e-07,0.0, 100                                                              ,"L9429,L7185",4
8,3d7.(4F).4s,b 3F,4,9.0,1.21663958,1.2e-07,1.243,  99                                                              ,"L9429,L7185",4
9,3d7.(4F).4s,b 3F,3,7.0,1.32766384,1.2e-07,1.082, 100                                                              ,"L9429,L7185",4
10,3d7.(4F).4s,b 3F,2,5.0,1.40373174,1.2e-07,0.68,  98                                                              ,"L9429,L7185",4
11,3d8,a 1D,2,5.0,1.44457424,1.2e-07,1.111,  74                        :    23  3d8                 3P       ,"L9429,L7185",3
12,3d8,a 3P,2,5.0,1.64411577,2.5e-07,1.415,  75                        :    24  3d8                 1D2      ,"L9429,L7185",3
13,3d8,a 3P,1,3.0,1.66192399,1.2e-07,1.484,  99                                                              ,"L9429,L7185",3
14,3d8,a 3P,0,1.0,1.6853529,4e-07,,  99                                                              ,L9429,3
15,3d7.(4P).4s,a 5P,3,7.0,2.20338605,1.2e-07,1.68, 100                                                              ,"L9429,L7185",4
16,3d7.(4P).4s,a 5P,2,5.0,2.23561202,1.2e-07,1.839,  98                        :     2  3d7.(2P).4s         3P       ,"L9429,L7185",4
17,3d7.(4P).4s,a 5P,1,3.0,2.27370158,2.5e-07,2.51,  99                                                              ,"L9429,L7185",4
18,3d8,a 1G,4,9.0,2.35244233,1.2e-07,,  98                        :     2  3d7.(2G).4s         1G       ,L9429,3
19,3d7.(2G).4s,a 3G,5,11.0,2.68109977,1.2e-07,1.186,  98                                                              ,"L9429,L7185",4
20,3d7.(2G).4s,a 3G,4,9.0,2.72881087,1.2e-07,1.066,  97                                                              ,"L9429,L7185",4
21,3d7.(2G).4s,a 3G,3,7.0,2.77903526,1.2e-07,0.75, 100                                                              ,"L9429,L7185",4
22,3d7.(4P).4s,b 3P,2,5.0,2.98484767,1.2e-07,1.5,  81                        :    16  3d7.(2P).4s         3P       ,"L9429,L7185",4
23,3d7.(4P).4s,b 3P,1,3.0,3.00877191,1.2e-07,1.498,  77                        :    16  3d7.(2P).4s         3P       ,"L9429,L7185",4
24,3d7.(4P).4s,b 3P,0,1.0,3.02663766,1.2e-07,,  69                        :    31  3d7.(2P).4s         3P       ,L9429,4
25,3d7.(2P).4s,c 3P,2,5.0,3.08552036,1.2e-07,1.49,  75                        :    18  3d7.(4P).4s         3P       ,"L9429,L7185",4
26,3d7.(2P).4s,c 3P,1,3.0,3.13897205,1.2e-07,1.47,  76                        :    18  3d7.(4P).4s         3P       ,"L9429,L7185",4
27,3d7.(2P).4s,c 3P,0,1.0,3.20639528,2.5e-07,,  68                        :    32  3d7.(4P).4s         3P       ,L9429,4
28,3d7.(2G).4s,b 1G,4,9.0,3.11785953,1.2e-07,0.997,  92                        :     4  3d7.(2H).4s         3H       ,"L9429,L7185",4
29,3d7.(2H).4s,a 3H,6,13.0,3.36068394,2.5e-07,1.172, 100                                                              ,"L9429,L7185",4
30,3d7.(2H).4s,a 3H,5,11.0,3.40572046,1.2e-07,1.041,  98                                                              ,"L9429,L7185",4
31,3d7.(2H).4s,a 3H,4,9.0,3.45942707,2.5e-07,0.803,  95                        :     5  3d7.(2G).4s         1G       ,"L9429,L7185",4
32,3d7.(2D2).4s,a 3D,3,7.0,3.40762796,2.5e-07,1.36,  77                        :    23  3d7.(2D2).4s        3D       ,"L9429,L7185",4
33,3d7.(2D2).4s,a 3D,2,5.0,3.48542792,2.5e-07,1.18,  71                        :    20  3d7.(2D2).4s        3D       ,"L9429,L7185",4
34,3d7.(2D2).4s,a 3D,1,3.0,3.62886586,2.5e-07,0.77,  41                        :    45  3d7.(2P).4s         1P       ,"L9429,L7185",4
35,3d7.(2P).4s,a 1P,1,3.0,3.42012122,1.2e-07,0.83,  48                        :    34  3d7.(2D1).4s        3D       ,"L9429,L7185",4
36,3d7.(2H).4s,a 1H,5,11.0,3.78984644,1.2e-07,1.027,  98                                                              ,"L9429,L7185",4
37,3d7.(2D2).4s,b 1D,2,5.0,3.86823409,2.5e-07,1.02,  74                        :    21  3d7.(2D2).4s        1D       ,"L9429,L7185",4
38,3d6.4s2,a 5D,4,9.0,5.0455404,1e-06,, 100                                                              ,L9429,4
39,3d6.4s2,a 5D,3,7.0,5.1223018,1.2e-06,, 100                                                              ,L9429,4
40,3d6.4s2,a 5D,2,5.0,5.174871,4e-06,, 100                                                              ,L9429,4
41,3d6.4s2,a 5D,1,3.0,5.208406,9e-06,,                                                                  ,L7185c115,4
42,3d6.4s2,a 5D,0,1.0,5.224,0.004,,                                                                  ,L18301,4
43,3d7.(2F).4s,c 3F,2,5.0,5.0549694,1.6e-06,, 100                                                              ,L9429c117,4
44,3d7.(2F).4s,c 3F,3,7.0,5.0684203,7e-07,,  99                                                              ,L9429c117,4
45,3d7.(2F).4s,c 3F,4,9.0,5.0892165,2.2e-06,, 100                                                              ,L9429c117,4
46,3d8,a 1S,0,1.0,5.33,0.06,,                                                                  ,L18301,3
