,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,2s2.2p2,3P,0,1.0, 0.0000000000,1.6e-07,,  98                                                ,L20057,2
1,2s2.2p2,3P,1,3.0, 0.0020354130,1.6e-07,1.5010623(50),  98                                                ,"L20057,L3172",2
2,2s2.2p2,3P,2,5.0, 0.0053825826,1.6e-07,1.5010469(50),  98                                                ,"L20057,L3172",2
3,2s2.2p2,1D,2,5.0, 1.2637284,4e-07,,  98                                                ,L20057,2
4,2s2.2p2,1S,0,1.0, 2.6840136,4e-07,,  94         :     4  2p4                   1S      ,L20057,2
5,2s.2p3,5S*,2,5.0, 4.1826219,2.2e-06,, 100                                                ,L20057,2
6,2s2.2p.3s,3P*,0,1.0, 7.48039414,6e-08,,  96                                                ,L20057,3
7,2s2.2p.3s,3P*,1,3.0, 7.48277598,4e-08,,  96                                                ,L20057,3
8,2s2.2p.3s,3P*,2,5.0, 7.48779869,5e-08,,  96                                                ,L20057,3
9,2s2.2p.3s,1P*,1,3.0, 7.68476777,5e-08,0.97,  97                                                ,"L20057,L292",3
10,2s.2p3,3D*,3,7.0, 7.945771557,1.2e-08,,  96                                                ,L20057,2
11,2s.2p3,3D*,1,3.0, 7.94613476,7e-08,,  96                                                ,L20057,2
12,2s.2p3,3D*,2,5.0, 7.94627046,4e-08,,  96                                                ,L20057,2
13,2s2.2p.3p,1P,1,3.0, 8.53709962,5e-08,,  97                                                ,L20057,3
14,2s2.2p.3p,3D,1,3.0, 8.64039604,3e-08,,  98                                                ,L20057,3
15,2s2.2p.3p,3D,2,5.0, 8.643023685,2.2e-08,,  98                                                ,L20057,3
16,2s2.2p.3p,3D,3,7.0, 8.647160399,1.7e-08,,  98                                                ,L20057,3
17,2s2.2p.3p,3S,1,3.0, 8.771134696,1.6e-08,,  99                                                ,L20057,3
18,2s2.2p.3p,3P,0,1.0, 8.84658790,3e-08,,  98                                                ,L20057,3
19,2s2.2p.3p,3P,1,3.0, 8.848124381,2.4e-08,,  98                                                ,L20057,3
20,2s2.2p.3p,3P,2,5.0, 8.850662829,0.0,,  98                                                ,L20057,3
21,2s2.2p.3p,1D,2,5.0, 9.00258381,3e-08,,  96                                                ,L20057,3
22,2s2.2p.3p,1S,0,1.0, 9.17184612,4e-08,,  88         :     9  2s2.2p.4p             1S      ,L20057,3
23,2s.2p3,3P*,1,3.0, 9.33030708,4e-08,,  79         :    15  2s2.2p.3d             3P*     ,L20057,2
24,2s.2p3,3P*,2,5.0, 9.330467271,1.6e-08,,  79         :    15  2s2.2p.3d             3P*     ,L20057,2
25,2s.2p3,3P*,0,1.0, 9.33057587,4e-08,,  79         :    15  2s2.2p.3d             3P*     ,L20057,2
26,2s2.2p.3d,1D*,2,5.0, 9.631071843,2.4e-08,,  98                                                ,L20057,3
27,2s2.2p.4s,3P*,0,1.0, 9.68378589,4e-08,,  93         :     7  2s2.2p.3d             3P*     ,L20057,4
28,2s2.2p.4s,3P*,1,3.0, 9.685245529,1.7e-08,,  92         :     7  2s2.2p.3d             3P*     ,L20057,4
29,2s2.2p.4s,3P*,2,5.0, 9.689130559,1.5e-08,,  92         :     8  2s2.2p.3d             3P*     ,L20057,4
30,2s2.2p.3d,3F*,2,5.0, 9.69545167,3e-08,,  86         :    13  2s2.2p.3d             3D*     ,L20057,3
31,2s2.2p.3d,3F*,3,7.0, 9.697491047,2.1e-08,,  76         :    22  2s2.2p.3d             3D*     ,L20057,3
32,2s2.2p.3d,3F*,4,9.0, 9.701759406,1.7e-08,, 100                                                ,L20057,3
33,2s2.2p.3d,3D*,1,3.0, 9.70715841,3e-08,,  97                                                ,L20057,3
34,2s2.2p.3d,3D*,2,5.0, 9.708910751,2.1e-08,,  84         :    14  2s2.2p.3d             3F*     ,L20057,3
35,2s2.2p.3d,3D*,3,7.0, 9.710227435,1.1e-08,,  75         :    23  2s2.2p.3d             3F*     ,L20057,3
36,2s2.2p.4s,1P*,1,3.0, 9.71295903,3e-08,,  80         :    18  2s2.2p.3d             1P*     ,L20057,4
37,2s2.2p.3d,1F*,3,7.0, 9.73643528,3e-08,,  99                                                ,L20057,3
38,2s2.2p.3d,1P*,1,3.0, 9.76143658,5e-08,,  81         :    18  2s2.2p.4s             1P*     ,L20057,3
39,2s2.2p.3d,3P*,2,5.0, 9.833294423,1.1e-08,,  77         :    15  2s.2p3                3P*     ,L20057,3
40,2s2.2p.3d,3P*,1,3.0, 9.83427899,4e-08,,  77         :    15  2s.2p3                3P*     ,L20057,3
