,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
41,2s2.2p.3d,3P*,0,1.0, 9.83482192,6e-08,,  78         :    15  2s.2p3                3P*     ,L20057,3
42,2s2.2p.4p,1P,1,3.0, 9.98852478,3e-08,,  96                                                ,L20057,4
43,2s2.2p.4p,3D,1,3.0, 10.01574721,3e-08,,  97                                                ,L20057,4
44,2s2.2p.4p,3D,2,5.0, 10.018083033,1.9e-08,,  98                                                ,L20057,4
45,2s2.2p.4p,3D,3,7.0, 10.022216175,1.6e-08,,  98                                                ,L20057,4
46,2s2.2p.4p,3S,1,3.0, 10.055746371,1.7e-08,,  89         :     9  2s2.2p.4p             3P      ,L20057,4
47,2s2.2p.4p,3P,0,1.0, 10.08128590,4e-08,,  98                                                ,L20057,4
48,2s2.2p.4p,3P,1,3.0, 10.083115460,2.5e-08,,  89         :     9  2s2.2p.4p             3S      ,L20057,4
49,2s2.2p.4p,3P,2,5.0, 10.085377438,1.4e-08,,  98                                                ,L20057,4
50,2s2.2p.4p,1D,2,5.0, 10.13817190,3e-08,,  93         :     4  2s2.2p.5p             1D      ,L20057,4
51,2s2.2p.4p,1S,0,1.0, 10.19792602,4e-08,,  79         :    13  2s2.2p.5p             1S      ,L20057,4
52,2s2.2p.4d,1D*,2,5.0, 10.35238138,4e-08,,  97                                                ,L20057,4
53,2s2.2p.5s,3P*,0,1.0, 10.38244873,1.2e-07,,  94         :     6  2s2.2p.4d             3P*     ,L20057,5
54,2s2.2p.5s,3P*,1,3.0, 10.38397899,7e-08,,  89         :     6  2s2.2p.4d             3P*     ,L20057,5
55,2s2.2p.5s,3P*,2,5.0, 10.38877088,6e-08,,  74         :    11  2s2.2p.4d             3D*     ,L20057,5
56,2s2.2p.4d,3F*,2,5.0, 10.38335829,4e-08,,  86         :    13  2s2.2p.4d             3D*     ,L20057,4
57,2s2.2p.4d,3F*,3,7.0, 10.385074438,2.2e-08,,  78         :    19  2s2.2p.4d             3D*     ,L20057,4
58,2s2.2p.4d,3F*,4,9.0, 10.389704212,2e-08,, 100                                                ,L20057,4
59,2s2.2p.4d,3D*,1,3.0, 10.39237505,1e-07,,  94         :     4  2s2.2p.4d             1P*     ,L20057,4
60,2s2.2p.4d,3D*,2,5.0, 10.39459625,5e-08,,  75         :    16  2s2.2p.5s             3P*     ,L20057,4
61,2s2.2p.4d,3D*,3,7.0, 10.39593494,4e-08,,  80         :    20  2s2.2p.4d             3F*     ,L20057,4
62,2s2.2p.5s,1P*,1,3.0, 10.3994604,7e-07,,  65         :    28  2s2.2p.4d             1P*     ,L20057,5
63,2s2.2p.(2P*<1/2>).4f,2[5/2],3,7.0, 10.404712177,2.2e-08,,  82         :    17  2s2.2p.(2P*<3/2>).4f  2[5/2]  ,L20057,4
64,2s2.2p.(2P*<1/2>).4f,2[5/2],2,5.0, 10.40472588,4e-08,,  82         :    18  2s2.2p.(2P*<3/2>).4f  2[5/2]  ,L20057,4
65,2s2.2p.(2P*<1/2>).4f,2[7/2],3,7.0, 10.40552565,4e-08,,  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  ,L20057,4
66,2s2.2p.(2P*<1/2>).4f,2[7/2],4,9.0, 10.405550385,1.6e-08,,  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  ,L20057,4
67,2s2.2p.4d,1F*,3,7.0, 10.40812917,5e-08,,  97                                                ,L20057,4
68,2s2.2p.(2P*<3/2>).4f,2[7/2],3,7.0, 10.41296443,3e-08,,  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  ,L20057,4
69,2s2.2p.(2P*<3/2>).4f,2[7/2],4,9.0, 10.41299796,6e-08,,  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  ,L20057,4
70,2s2.2p.(2P*<3/2>).4f,2[5/2],3,7.0, 10.416318591,1.5e-08,,  82         :    17  2s2.2p.(2P*<1/2>).4f  2[5/2]  ,L20057,4
71,2s2.2p.(2P*<3/2>).4f,2[5/2],2,5.0, 10.41633791,4e-08,,  82         :    18  2s2.2p.(2P*<1/2>).4f  2[5/2]  ,L20057,4
72,2s2.2p.(2P*<3/2>).4f,2[9/2],5,11.0, 10.416641283,2.2e-08,, 100                                                ,L20057,4
73,2s2.2p.(2P*<3/2>).4f,2[9/2],4,9.0, 10.41669049,6e-08,, 100                                                ,L20057,4
74,2s2.2p.4d,1P*,1,3.0, 10.41865840,9e-08,,  67         :    30  2s2.2p.5s             1P*     ,L20057,4
75,2s2.2p.(2P*<3/2>).4f,2[3/2],1,3.0, 10.41917726,7e-08,, 100                                                ,L20057,4
76,2s2.2p.(2P*<3/2>).4f,2[3/2],2,5.0, 10.41919132,6e-08,, 100                                                ,L20057,4
77,2s2.2p.4d,3P*,2,5.0, 10.42745839,5e-08,,  87         :     9  2s2.2p.5s             3P*     ,L20057,4
78,2s2.2p.4d,3P*,1,3.0, 10.42906912,6e-08,,  89         :     6  2s2.2p.5s             3P*     ,L20057,4
79,2s2.2p.4d,3P*,0,1.0, 10.42970278,2.2e-07,,  91         :     6  2s2.2p.5s             3P*     ,L20057,4
80,2s2.2p.5p,1P,1,3.0, 10.52024138,2e-07,,  90         :     6  2s2.2p.5p             3D      ,L20057,5
81,2s2.2p.5p,3D,1,3.0, 10.5306428,2.5e-06,,  91         :     6  2s2.2p.5p             1P      ,L20057,5
82,2s2.2p.5p,3D,2,5.0, 10.532508,4e-06,,  97                                                ,L20057,5
83,2s2.2p.5p,3D,3,7.0, 10.53679751,2.5e-07,,  98                                                ,L20057,5
84,2s2.2p.5p,3P,0,1.0, 10.559692,4e-06,,  98                                                ,L20057,5
85,2s2.2p.5p,3P,1,3.0, 10.56208579,5e-08,,  68         :    30  2s2.2p.5p             3S      ,L20057,5
86,2s2.2p.5p,3P,2,5.0, 10.56390942,4e-08,,  97                                                ,L20057,5
87,2s2.2p.5p,1D,2,5.0, 10.5882298,1.4e-06,,  90         :     5  2s2.2p.6p             1D      ,L20057,5
88,2s2.2p.5p,1S,0,1.0, 10.6161705,5e-07,,  72         :    17  2s2.2p.6p             1S      ,L20057,5
89,2s2.2p.5d,1D*,2,5.0, 10.68560706,9e-08,,  94         :     4  2s2.2p.5d             3F*     ,L20057,5
90,2s2.2p.5d,3F*,2,5.0, 10.702030,6e-06,,  78         :    19  2s2.2p.5d             3D*     ,L20057,5
91,2s2.2p.5d,3F*,3,7.0, 10.70320700,1.7e-07,,  71         :    22  2s2.2p.5d             3D*     ,L20057,5
92,2s2.2p.5d,3F*,4,9.0, 10.7084390,6e-07,, 100                                                ,L20057,5
93,2s2.2p.6s,3P*,0,1.0, 10.702560,4e-06,,  95         :     5  2s2.2p.5d             3P*     ,L20057,6
94,2s2.2p.6s,3P*,1,3.0, 10.7037605,2.1e-06,,  79         :     7  2s2.2p.6s             1P*     ,L20057,6
95,2s2.2p.6s,3P*,2,5.0, 10.708468,3e-06,,  73         :    17  2s2.2p.5d             3D*     ,L20057,6
96,2s2.2p.5d,3D*,1,3.0, 10.707590,4e-06,,  81         :     9  2s2.2p.5d             1P*     ,L20057,5
97,2s2.2p.5d,3D*,2,5.0, 10.710924,3e-06,,  61         :    17  2s2.2p.5d             3F*     ,L20057,5
98,2s2.2p.5d,3D*,3,7.0, 10.711966,5e-06,,  75         :    25  2s2.2p.5d             3F*     ,L20057,5
99,2s2.2p.(2P*<1/2>).5f,2[5/2],3,7.0, 10.71372629,2.2e-07,,  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  ,L20057,5
100,2s2.2p.(2P*<1/2>).5f,2[5/2],2,5.0, 10.71373880,2e-07,,  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  ,L20057,5
101,2s2.2p.(2P*<1/2>).5f,2[7/2],3,7.0, 10.71404072,2.5e-07,,  96                                                ,L20057,5
102,2s2.2p.(2P*<1/2>).5f,2[7/2],4,9.0, 10.71406552,1.1e-07,,  96                                                ,L20057,5
103,2s2.2p.6s,1P*,1,3.0, 10.7142898,2.2e-06,,  48         :    34  2s2.2p.5d             1P*     ,L20057,6
104,2s2.2p.(2P*<1/2>).5g,2[7/2]*,3,7.0, 10.71555641,7e-08,,  99                                                ,L20057,5
105,2s2.2p.(2P*<1/2>).5g,2[7/2]*,4,9.0, 10.71555649,7e-08,,  99                                                ,L20057,5
106,2s2.2p.(2P*<1/2>).5g,2[9/2]*,5,11.0, 10.71561401,4e-08,,  99                                                ,L20057,5
107,2s2.2p.(2P*<1/2>).5g,2[9/2]*,4,9.0, 10.71561406,5e-08,,  99                                                ,L20057,5
108,2s2.2p.5d,1F*,3,7.0, 10.718336,3e-06,,  92         :     4  2s2.2p.5d             3F*     ,L20057,5
109,2s2.2p.(2P*<3/2>).5f,2[7/2],3,7.0, 10.7208571,3e-07,,  96                                                ,L20057,5
110,2s2.2p.(2P*<3/2>).5f,2[7/2],4,9.0, 10.72087957,1.9e-07,,  95         :     4  2s2.2p.(2P*<1/2>).5f  2[7/2]  ,L20057,5
111,2s2.2p.(2P*<3/2>).5f,2[5/2],3,7.0, 10.72248485,1.9e-07,,  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  ,L20057,5
112,2s2.2p.(2P*<3/2>).5f,2[5/2],2,5.0, 10.7224999,5e-07,,  93         :     7  2s2.2p.(2P*<1/2>).5f  2[5/2]  ,L20057,5
113,2s2.2p.(2P*<3/2>).5g,2[9/2]*,4,9.0, 10.72284670,5e-08,,  99                                                ,L20057,5
114,2s2.2p.(2P*<3/2>).5g,2[9/2]*,5,11.0, 10.72284691,7e-08,,  99                                                ,L20057,5
115,2s2.2p.(2P*<3/2>).5f,2[9/2],5,11.0, 10.72314833,7e-08,, 100                                                ,L20057,5
116,2s2.2p.(2P*<3/2>).5f,2[9/2],4,9.0, 10.72318948,1.1e-07,, 100                                                ,L20057,5
117,2s2.2p.(2P*<3/2>).5g,2[7/2]*,3,7.0, 10.72334742,6e-08,,  99                                                ,L20057,5
118,2s2.2p.(2P*<3/2>).5g,2[7/2]*,4,9.0, 10.72334747,7e-08,,  99                                                ,L20057,5
119,2s2.2p.5d,1P*,1,3.0, 10.7235720,1.9e-06,,  52         :    41  2s2.2p.6s             1P*     ,L20057,5
120,2s2.2p.(2P*<3/2>).5g,2[11/2]*,5,11.0, 10.72399473,6e-08,, 100                                                ,L20057,5
121,2s2.2p.(2P*<3/2>).5g,2[11/2]*,6,13.0, 10.72399516,4e-08,, 100                                                ,L20057,5
122,2s2.2p.(2P*<3/2>).5g,2[5/2]*,2,5.0, 10.72443720,1.5e-07,, 100                                                ,L20057,5
123,2s2.2p.(2P*<3/2>).5g,2[5/2]*,3,7.0, 10.72443729,1.2e-07,, 100                                                ,L20057,5
124,2s2.2p.(2P*<3/2>).5f,2[3/2],1,3.0, 10.7244500,2.1e-06,, 100                                                ,L20057,5
125,2s2.2p.(2P*<3/2>).5f,2[3/2],2,5.0, 10.7244786,1e-06,, 100                                                ,L20057,5
126,2s2.2p.5d,3P*,2,5.0, 10.72546557,2.5e-07,,  80         :    15  2s2.2p.6s             3P*     ,L20057,5
127,2s2.2p.5d,3P*,1,3.0, 10.7270516,2.4e-06,,  87         :     7  2s2.2p.6s             3P*     ,L20057,5
128,2s2.2p.5d,3P*,0,1.0, 10.727508,4e-06,,  93         :     5  2s2.2p.6s             3P*     ,L20057,5
129,2s2.2p.6p,1P,1,3.0, 10.775825,4e-06,,  71         :    25  2s2.2p.6p             3D      ,L20057,6
130,2s2.2p.6p,3D,1,3.0, 10.781192,3e-06,,  71         :    21  2s2.2p.6p             1P      ,L20057,6
131,2s2.2p.6p,3D,2,5.0, 10.782347,3e-06,,  95                                                ,L20057,6
132,2s2.2p.6p,3D,3,7.0, 10.786912,4e-06,,  98                                                ,L20057,6
133,2s2.2p.6p,3P,0,1.0, 10.796222,3e-06,,  98                                                ,L20057,6
134,2s2.2p.6p,3P,1,3.0, 10.7994123,2.4e-06,,  54         :    44  2s2.2p.6p             3S      ,L20057,6
135,2s2.2p.6p,3P,2,5.0, 10.800665,3e-06,,  95                                                ,L20057,6
136,2s2.2p.6p,1D,2,5.0, 10.8136879,7e-07,,  88         :     6  2s2.2p.7p             1D      ,L20057,6
137,2s2.2p.6p,1S,0,1.0, 10.828910,4e-06,,  65         :    22  2s2.2p.7p             1S      ,L20057,6
138,2s2.2p.6d,1D*,2,5.0, 10.865203,4e-06,,  84         :    12  2s2.2p.6d             3F*     ,L20057,6
139,2s2.2p.6d,3F*,2,5.0, 10.874433,6e-06,,  64         :    27  2s2.2p.6d             3D*     ,L20057,6
140,2s2.2p.6d,3F*,3,7.0, 10.875078,6e-06,,  64         :    24  2s2.2p.6d             3D*     ,L20057,6
141,2s2.2p.6d,3F*,4,9.0, 10.880931,6e-06,, 100                                                ,L20057,6
142,2s2.2p.7s,3P*,0,1.0, 10.874826,4e-06,,  96                                                ,L20057,7
143,2s2.2p.7s,3P*,1,3.0, 10.8757182,2e-06,,  65         :    16  2s2.2p.7s             1P*     ,L20057,7
144,2s2.2p.7s,3P*,2,5.0, 10.880080,3e-06,,  71         :    15  2s2.2p.6d             3P*     ,L20057,7
145,2s2.2p.6d,3D*,1,3.0, 10.877795,1.6e-05,,  66         :    15  2s2.2p.7s             3P*     ,L20057,6
146,2s2.2p.6d,3D*,2,5.0, 10.882479,3e-06,,  53         :    24  2s2.2p.6d             3F*     ,L20057,6
147,2s2.2p.6d,3D*,3,7.0, 10.882983,4e-06,,  70         :    29  2s2.2p.6d             3F*     ,L20057,6
148,2s2.2p.(2P*<1/2>).6f,2[5/2],3,7.0, 10.881120,6e-06,,  97                                                ,L20057,6
149,2s2.2p.(2P*<1/2>).6f,2[5/2],2,5.0, 10.881130,4e-06,,  97                                                ,L20057,6
150,2s2.2p.(2P*<1/2>).6f,2[7/2],4,9.0, 10.881243,1e-05,,  99                                                ,L20057,6
151,2s2.2p.(2P*<1/2>).6f,2[7/2],3,7.0, 10.881251,9e-06,,  99                                                ,L20057,6
152,2s2.2p.(2P*<1/2>).6g,2[7/2]*,4,9.0, 10.8820881,5e-07,,  99                                                ,L20057,6
153,2s2.2p.(2P*<1/2>).6g,2[7/2]*,3,7.0, 10.8820885,6e-07,,  99                                                ,L20057,6
154,2s2.2p.(2P*<1/2>).6g,2[9/2]*,4,9.0, 10.88212892,7e-08,, 100                                                ,L20057,6
155,2s2.2p.(2P*<1/2>).6g,2[9/2]*,5,11.0, 10.88212892,7e-08,, 100                                                ,L20057,6
156,2s2.2p.(2P*<1/2>).6h,2[9/2],4,9.0, 10.8822615,1e-06,, 100                                                ,L20057,6
157,2s2.2p.(2P*<1/2>).6h,2[9/2],5,11.0, 10.8822616,1.1e-06,, 100                                                ,L20057,6
158,2s2.2p.(2P*<1/2>).6h,2[11/2],5,11.0, 10.8822625,1.7e-06,, 100                                                ,L20057,6
159,2s2.2p.(2P*<1/2>).6h,2[11/2],6,13.0, 10.8822625,1.7e-06,, 100                                                ,L20057,6
160,2s2.2p.7s,1P*,1,3.0, 10.884529,3e-06,,  51         :    38  2s2.2p.6d             1P*     ,L20057,7
161,2s2.2p.6d,1F*,3,7.0, 10.886674,4e-06,,  87         :     7  2s2.2p.6d             3F*     ,L20057,6
162,2s2.2p.(2P*<3/2>).6f,2[7/2],3,7.0, 10.888287,4e-06,,  99                                                ,L20057,6
163,2s2.2p.(2P*<3/2>).6f,2[7/2],4,9.0, 10.888299,1e-05,,  99                                                ,L20057,6
164,2s2.2p.(2P*<3/2>).6f,2[5/2],3,7.0, 10.889159,5e-06,,  98                                                ,L20057,6
165,2s2.2p.(2P*<3/2>).6f,2[5/2],2,5.0, 10.889166,3e-06,,  97                                                ,L20057,6
166,2s2.2p.(2P*<3/2>).6g,2[9/2]*,4,9.0, 10.8894649,2.1e-06,, 100                                                ,L20057,6
167,2s2.2p.(2P*<3/2>).6g,2[9/2]*,5,11.0, 10.8894664,5e-07,, 100                                                ,L20057,6
168,2s2.2p.6d,1P*,1,3.0, 10.889554,4e-06,,  40         :    31  2s2.2p.7s             1P*     ,L20057,6
169,2s2.2p.(2P*<3/2>).6f,2[9/2],5,11.0,10.88969,5e-05,, 100                                                ,L20057,6
170,2s2.2p.(2P*<3/2>).6f,2[9/2],4,9.0,10.88972,5e-05,, 100                                                ,L20057,6
171,2s2.2p.(2P*<3/2>).6g,2[7/2]*,3,7.0, 10.8898224,1.6e-06,, 100                                                ,L20057,6
172,2s2.2p.(2P*<3/2>).6g,2[7/2]*,4,9.0, 10.8898233,5e-07,, 100                                                ,L20057,6
173,2s2.2p.6d,3P*,2,5.0, 10.889851,3e-06,,  68         :    24  2s2.2p.7s             3P*     ,L20057,6
174,2s2.2p.6d,3P*,1,3.0, 10.891259,4e-06,,  85         :     7  2s2.2p.7s             3P*     ,L20057,6
175,2s2.2p.6d,3P*,0,1.0, 10.89140,0.0002,,  95         :     4  2s2.2p.7s             3P*     ,L20057,6
176,2s2.2p.(2P*<3/2>).6h,2[11/2],5,11.0, 10.8899154,1.7e-06,, 100                                                ,L20057,6
177,2s2.2p.(2P*<3/2>).6h,2[11/2],6,13.0, 10.8899156,1.7e-06,, 100                                                ,L20057,6
178,2s2.2p.(2P*<3/2>).6h,2[9/2],5,11.0, 10.8900234,7e-07,, 100                                                ,L20057,6
179,2s2.2p.(2P*<3/2>).6h,2[9/2],4,9.0, 10.8900234,7e-07,, 100                                                ,L20057,6
180,2s2.2p.(2P*<3/2>).6g,2[11/2]*,6,13.0, 10.89023131,1e-07,, 100                                                ,L20057,6
181,2s2.2p.(2P*<3/2>).6g,2[11/2]*,5,11.0, 10.8902317,5e-07,, 100                                                ,L20057,6
182,2s2.2p.(2P*<3/2>).6h,2[13/2],6,13.0, 10.8902823,1e-06,, 100                                                ,L20057,6
183,2s2.2p.(2P*<3/2>).6h,2[13/2],7,15.0, 10.8902826,1e-06,, 100                                                ,L20057,6
184,2s2.2p.(2P*<3/2>).6h,2[7/2],3,7.0, 10.8904168,1.1e-06,, 100                                                ,L20057,6
185,2s2.2p.(2P*<3/2>).6h,2[7/2],4,9.0, 10.8904169,1.1e-06,, 100                                                ,L20057,6
186,2s2.2p.(2P*<3/2>).6f,2[3/2],2,5.0, 10.890494,6e-06,, 100                                                ,L20057,6
187,2s2.2p.(2P*<3/2>).6f,2[3/2],1,3.0, 10.890494,6e-06,, 100                                                ,L20057,6
188,2s2.2p.(2P*<3/2>).6g,2[5/2]*,2,5.0, 10.8905002,2.4e-06,, 100                                                ,L20057,6
189,2s2.2p.(2P*<3/2>).6g,2[5/2]*,3,7.0, 10.8905002,2.4e-06,, 100                                                ,L20057,6
190,2s2.2p.7p,1P,1,3.0, 10.918215,5e-06,,  49         :    46  2s2.2p.7p             3D      ,L20057,7
191,2s2.2p.7p,3D,1,3.0, 10.922016,5e-06,,  44         :    30  2s2.2p.7p             1P      ,L20057,7
192,2s2.2p.7p,3D,2,5.0, 10.922519,6e-06,,  91         :     6  2s2.2p.7p             3P      ,L20057,7
193,2s2.2p.7p,3D,3,7.0, 10.927451,5e-06,,  98                                                ,L20057,7
194,2s2.2p.7p,3P,0,1.0, 10.930438,4e-06,,  98                                                ,L20057,7
195,2s2.2p.7p,3P,1,3.0, 10.934457,4e-06,,  50         :    48  2s2.2p.7p             3P      ,L20057,7
196,2s2.2p.7p,3P,2,5.0, 10.935183,5e-06,,  91         :     7  2s2.2p.7p             3D      ,L20057,7
197,2s2.2p.7p,1D,2,5.0, 10.942892,4e-06,,  84         :     7  2s2.2p.8p             1D      ,L20057,7
198,2s2.2p.7p,1S,0,1.0, 10.952019,4e-06,,  58         :    28  2s2.2p.8p             1S      ,L20057,7
199,2s2.2p.(2P*<1/2>).7d,2[5/2]*,2,5.0, 10.972432,4e-06,,  53         :    29  2s2.2p.(2P*<1/2>).7d  2[3/2]* ,L20057,7
200,2s2.2p.(2P*<1/2>).7d,2[5/2]*,3,7.0, 10.978183,2.2e-05,,  96                                                ,L20057,7
201,2s2.2p.(2P*<1/2>).7d,2[3/2]*,2,5.0, 10.97799,0.00021,,  45         :    45  2s2.2p.(2P*<1/2>).7d  2[5/2]* ,L20057,7
202,2s2.2p.(2P*<1/2>).7d,2[3/2]*,1,3.0, 10.979870,1.6e-05,,  88         :     6  2s2.2p.(2P*<1/2>).8s  2[1/2]* ,L20057,7
203,2s2.2p.(2P*<1/2>).8s,2[1/2]*,0,1.0, 10.978030,4e-06,,  97                                                ,L20057,8
204,2s2.2p.(2P*<1/2>).8s,2[1/2]*,1,3.0, 10.9786886,2.5e-06,,  89         :     6  2s2.2p.(2P*<1/2>).7d  2[3/2]* ,L20057,8
205,2s2.2p.(2P*<1/2>).7f,2[5/2],3,7.0, 10.981887,7e-06,,  99                                                ,L20057,7
206,2s2.2p.(2P*<1/2>).7f,2[5/2],2,5.0, 10.981888,4e-06,,  99                                                ,L20057,7
207,2s2.2p.(2P*<1/2>).7f,2[7/2],4,9.0, 10.981945,1e-05,,  99                                                ,L20057,7
208,2s2.2p.(2P*<1/2>).7f,2[7/2],3,7.0, 10.981945,1e-05,,  99                                                ,L20057,7
209,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,5.0, 10.983051,4e-06,,  66         :    27  2s2.2p.(2P*<3/2>).7d  2[3/2]* ,L20057,8
210,2s2.2p.(2P*<3/2>).8s,2[3/2]*,1,3.0, 10.986862,5e-06,,  57         :    19  2s2.2p.(2P*<3/2>).7d  2[3/2]* ,L20057,8
211,2s2.2p.(2P*<3/2>).7d,2[7/2]*,4,9.0,10.984525,1e-05,, 100                                                ,L20057,7
212,2s2.2p.(2P*<3/2>).7d,2[7/2]*,3,7.0, 10.988102,5e-06,,  79         :    18  2s2.2p.(2P*<3/2>).7d  2[5/2]* ,L20057,7
213,2s2.2p.(2P*<3/2>).7d,2[5/2]*,2,5.0, 10.985590,5e-06,,  79         :    15  2s2.2p.(2P*<1/2>).7d  2[3/2]* ,L20057,7
214,2s2.2p.(2P*<3/2>).7d,2[5/2]*,3,7.0, 10.985784,2.2e-05,,  82         :    18  2s2.2p.(2P*<3/2>).7d  2[7/2]* ,L20057,7
215,2s2.2p.(2P*<3/2>).7f,2[7/2],3,7.0, 10.989219,4e-06,,  99                                                ,L20057,7
216,2s2.2p.(2P*<3/2>).7f,2[7/2],4,9.0, 10.989230,1.1e-05,,  99                                                ,L20057,7
217,2s2.2p.(2P*<3/2>).7f,2[5/2],2,5.0, 10.989751,9e-06,,  99                                                ,L20057,7
218,2s2.2p.(2P*<3/2>).7f,2[5/2],3,7.0, 10.989751,9e-06,,  99                                                ,L20057,7
219,2s2.2p.(2P*<3/2>).7d,2[3/2]*,1,3.0, 10.989834,5e-06,,  64         :    32  2s2.2p.(2P*<3/2>).8s  2[3/2]* ,L20057,7
220,2s2.2p.(2P*<3/2>).7d,2[3/2]*,2,5.0, 10.98985,5e-05,,  58         :    30  2s2.2p.(2P*<3/2>).8s  2[3/2]* ,L20057,7
221,2s2.2p.(2P*<3/2>).7f,2[9/2],5,11.0,10.99013,5e-05,, 100                                                ,L20057,7
222,2s2.2p.(2P*<3/2>).7f,2[9/2],4,9.0,10.99015,5e-05,, 100                                                ,L20057,7
