,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2s2.2p6,1S,0,1.0,0.0,0.00025,                                                ,L13237,2
1,2s2.2p5.3s,3P*,2,5.0,32.846429,1.2e-05, 100     or  :   100  2p5.(2P*<3/2>).3s 2[3/2]* ,,3
2,2s2.2p5.3s,3P*,1,3.0,32.941315,1.2e-05,  96     or  :    55  2p5.(2P*<3/2>).3s 2[3/2]* ,,3
3,2s2.2p5.3s,3P*,0,1.0,33.014713,1.2e-05, 100     or  :   100  2p5.(2P*<1/2>).3s 2[1/2]* ,,3
4,2s2.2p5.3s,1P*,1,3.0,33.32236,1.2e-05,  96     or  :    55  2p5.(2P*<1/2>).3s 2[1/2]* ,,3
5,2s2.2p5.3p,3S,1,3.0,36.354688,1.2e-05,  99     or  :    75  2p5.(2P*<3/2>).3p 2[1/2]  ,,3
6,2s2.2p5.3p,3D,3,7.0,36.854157,1.2e-05, 100     or  :   100  2p5.(2P*<3/2>).3p 2[5/2]  ,,3
7,2s2.2p5.3p,3D,2,5.0,36.902113,1.2e-05,  88     or  :    70  2p5.(2P*<3/2>).3p 2[5/2]  ,,3
8,2s2.2p5.3p,3D,1,3.0,36.967803,1.2e-05,  91     or  :    56  2p5.(2P*<1/2>).3p 2[3/2]  ,,3
9,2s2.2p5.3p,1D,2,5.0,37.094827,1.2e-05,  65     or  :    61  2p5.(2P*<3/2>).3p 2[3/2]  ,,3
10,2s2.2p5.3p,1P,1,3.0,37.181047,1.2e-05,  60     or  :    56  2p5.(2P*<3/2>).3p 2[3/2]  ,,3
11,2s2.2p5.3p,3P,2,5.0,37.208144,1.2e-05,  67     or  :    68  2p5.(2P*<1/2>).3p 2[3/2]  ,,3
12,2s2.2p5.3p,3P,0,1.0,37.243343,1.2e-05, 100     or  :    60  2p5.(2P*<1/2>).3p 2[1/2]  ,,3
13,2s2.2p5.3p,3P,1,3.0,37.258133,1.2e-05,  66     or  :    75  2p5.(2P*<1/2>).3p 2[1/2]  ,,3
14,2s2.2p5.3p,1S,0,1.0,38.293859,1.2e-05, 100     or  :    60  2p5.(2P*<3/2>).3p 2[1/2]  ,,3
15,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0,1.0,40.982896,1.2e-05,  97     or  :    97  2p5.3d            3P*     ,,3
16,2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,3.0,40.993732,1.2e-05,  74     or  :    89  2p5.3d            3P*     ,,3
17,2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,5.0,41.012615,1.2e-05,  56     or  :    61  2p5.3d            3P*     ,,3
