,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
36,3s2.3p5.(2P*<3/2>).5p,2[3/2],2,5.0,14.52891349,,1.42,,5
37,3s2.3p5.(2P*<1/2>).5p,2[3/2],1,3.0,14.68065033,,0.61,,5
38,3s2.3p5.(2P*<1/2>).5p,2[3/2],2,5.0,14.6882903,,1.18,,5
39,3s2.3p5.(2P*<1/2>).5p,2[1/2],1,3.0,14.68711824,,1.45,,5
40,3s2.3p5.(2P*<1/2>).5p,2[1/2],0,1.0,14.73811536,,,,5
41,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,0,1.0,14.6936397,,,,4
42,3s2.3p5.(2P*<3/2>).4d,2[1/2]*,1,3.0,14.7108981,,1.467,,4
43,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,2,5.0,14.74254085,,1.437,,4
44,3s2.3p5.(2P*<3/2>).4d,2[3/2]*,1,3.0,14.85923,,0.768,,4
45,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,4,9.0,14.7570516,,1.255,,4
46,3s2.3p5.(2P*<3/2>).4d,2[7/2]*,3,7.0,14.780512,,1.077,,4
47,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,2,5.0,14.809272,,0.908,,4
48,3s2.3p5.(2P*<3/2>).4d,2[5/2]*,3,7.0,14.824298,,,,4
49,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,2,5.0,14.838811,,1.5,,6
50,3s2.3p5.(2P*<3/2>).6s,2[3/2]*,1,3.0,14.84836899,,1.184,,6
51,3s2.3p5.(2P*<3/2>).4f,2[3/2],1,3.0,14.9014416,,,,4
52,3s2.3p5.(2P*<3/2>).4f,2[3/2],2,5.0,14.9014911,,,,4
53,3s2.3p5.(2P*<3/2>).4f,2[9/2],5,11.0,14.9037852,,,,4
54,3s2.3p5.(2P*<3/2>).4f,2[9/2],4,9.0,14.9037902,,,,4
55,3s2.3p5.(2P*<3/2>).4f,2[5/2],3,7.0,14.9065892,,1.184,,4
56,3s2.3p5.(2P*<3/2>).4f,2[5/2],2,5.0,14.906628,,,,4
57,3s2.3p5.(2P*<3/2>).4f,2[7/2],3,7.0,14.9090845,,,,4
58,3s2.3p5.(2P*<3/2>).4f,2[7/2],4,9.0,14.9090892,,,,4
59,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,2,5.0,14.95260474,,1.057,,4
60,3s2.3p5.(2P*<1/2>).4d,2[3/2]*,1,3.0,15.00356588,,,,4
61,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,2,5.0,14.95485204,,0.987,,4
62,3s2.3p5.(2P*<1/2>).4d,2[5/2]*,3,7.0,14.97152236,,1.133,,4
63,3s2.3p5.(2P*<3/2>).6p,2[1/2],1,3.0,15.0106102,,,,6
64,3s2.3p5.(2P*<3/2>).6p,2[1/2],0,1.0,15.0603901,,,,6
65,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,0,1.0,15.0140655,,,,6
66,3s2.3p5.(2P*<1/2>).6s,2[1/2]*,1,3.0,15.02208834,,1.271,,6
67,3s2.3p5.(2P*<3/2>).6p,2[5/2],3,7.0,15.0225909,,,,6
68,3s2.3p5.(2P*<3/2>).6p,2[5/2],2,5.0,15.0258688,,1.18,,6
69,3s2.3p5.(2P*<3/2>).6p,2[3/2],1,3.0,15.0339719,,1.067,,6
70,3s2.3p5.(2P*<3/2>).6p,2[3/2],2,5.0,15.0356402,,,,6
71,3s2.3p5.(2P*<1/2>).4f,2[7/2],3,7.0,15.0830792,,,,4
72,3s2.3p5.(2P*<1/2>).4f,2[7/2],4,9.0,15.0830844,,,,4
73,3s2.3p5.(2P*<1/2>).4f,2[5/2],3,7.0,15.0832027,,,,4
74,3s2.3p5.(2P*<1/2>).4f,2[5/2],2,5.0,15.0832456,,,,4
75,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,0,1.0,15.10054371,,,,5
76,3s2.3p5.(2P*<3/2>).5d,2[1/2]*,1,3.0,15.11774638,,,,5
77,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,4,9.0,15.13054437,,,,5
78,3s2.3p5.(2P*<3/2>).5d,2[7/2]*,3,7.0,15.1459283,,,,5
79,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,2,5.0,15.13684847,,,,5
80,3s2.3p5.(2P*<3/2>).5d,2[3/2]*,1,3.0,15.1898239,,,,5
81,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,2,5.0,15.1610486,,,,5
82,3s2.3p5.(2P*<3/2>).5d,2[5/2]*,3,7.0,15.1669463,,,,5
83,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,2,5.0,15.18063359,,,,7
84,3s2.3p5.(2P*<3/2>).7s,2[3/2]*,1,3.0,15.185508,,,,7
85,3s2.3p5.(2P*<1/2>).6p,2[1/2],1,3.0,15.2006146,,,,6
86,3s2.3p5.(2P*<1/2>).6p,2[1/2],0,1.0,15.2240875,,,,6
87,3s2.3p5.(2P*<1/2>).6p,2[3/2],1,3.0,15.2016576,,,,6
88,3s2.3p5.(2P*<1/2>).6p,2[3/2],2,5.0,15.2048089,,,,6
89,3s2.3p5.(2P*<3/2>).5f,2[3/2],1,3.0,15.2111334,,,,5
90,3s2.3p5.(2P*<3/2>).5f,2[3/2],2,5.0,15.2111762,,,,5
91,3s2.3p5.(2P*<3/2>).5f,2[9/2],5,11.0,15.2123201,,,,5
92,3s2.3p5.(2P*<3/2>).5f,2[9/2],4,9.0,15.2123276,,,,5
93,3s2.3p5.(2P*<3/2>).5f,2[5/2],3,7.0,15.2138409,,,,5
94,3s2.3p5.(2P*<3/2>).5f,2[5/2],2,5.0,15.2138686,,,,5
95,3s2.3p5.(2P*<3/2>).5g,2[5/2]*,3,7.0,15.214033,,,,5
96,3s2.3p5.(2P*<3/2>).5g,2[5/2]*,2,5.0,15.214033,,,,5
97,3s2.3p5.(2P*<3/2>).5g,2[11/2]*,6,13.0,15.214453,,,,5
98,3s2.3p5.(2P*<3/2>).5g,2[11/2]*,5,11.0,15.214453,,,,5
99,3s2.3p5.(2P*<3/2>).5f,2[7/2],3,7.0,15.2150709,,,,5
100,3s2.3p5.(2P*<3/2>).5f,2[7/2],4,9.0,15.2150746,,,,5
101,3s2.3p5.(2P*<3/2>).5g,2[7/2]*,3,7.0,15.215275,,,,5
102,3s2.3p5.(2P*<3/2>).5g,2[7/2]*,4,9.0,15.215275,,,,5
103,3s2.3p5.(2P*<3/2>).5g,2[9/2]*,4,9.0,15.215712,,,,5
104,3s2.3p5.(2P*<3/2>).5g,2[9/2]*,5,11.0,15.215712,,,,5
105,3s2.3p5.(2P*<3/2>).7p,2[1/2],1,3.0,15.2713718,,,,7
106,3s2.3p5.(2P*<3/2>).7p,2[1/2],0,1.0,15.2977958,,,,7
107,3s2.3p5.(2P*<3/2>).7p,2[5/2],3,7.0,15.2755699,,,,7
108,3s2.3p5.(2P*<3/2>).7p,2[5/2],2,5.0,15.277418,,,,7
109,3s2.3p5.(2P*<3/2>).7p,2[3/2],1,3.0,15.281661,,,,7
110,3s2.3p5.(2P*<3/2>).7p,2[3/2],2,5.0,15.2824814,,,,7
111,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,2,5.0,15.29629325,,,,5
112,3s2.3p5.(2P*<1/2>).5d,2[3/2]*,1,3.0,15.351173,,,,5
113,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,1,3.0,15.3080777,,,,6
114,3s2.3p5.(2P*<3/2>).6d,2[1/2]*,0,1.0,15.3131553,,,,6
115,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,2,5.0,15.31272913,,,,5
116,3s2.3p5.(2P*<1/2>).5d,2[5/2]*,3,7.0,15.31916801,,,,5
117,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,4,9.0,15.33104,,,,6
118,3s2.3p5.(2P*<3/2>).6d,2[7/2]*,3,7.0,15.34600299,,,,6
119,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,2,5.0,15.3502992,,,,6
120,3s2.3p5.(2P*<3/2>).6d,2[3/2]*,1,3.0,15.37367,,,,6
121,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,2,5.0,15.3525603,,,,6
122,3s2.3p5.(2P*<3/2>).6d,2[5/2]*,3,7.0,15.3532632,,,,6
123,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,0,1.0,15.3582946,,,,7
124,3s2.3p5.(2P*<1/2>).7s,2[1/2]*,1,3.0,15.3594356,,,,7
125,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,2,5.0,15.3620414,,,,8
126,3s2.3p5.(2P*<3/2>).8s,2[3/2]*,1,3.0,15.3660895,,,,8
127,3s2.3p5.(2P*<3/2>).6f,2[3/2],1,3.0,15.3791364,,,,6
128,3s2.3p5.(2P*<3/2>).6f,2[3/2],2,5.0,15.379156,,,,6
129,3s2.3p5.(2P*<3/2>).6f,2[9/2],5,11.0,15.3798185,,,,6
130,3s2.3p5.(2P*<3/2>).6f,2[9/2],4,9.0,15.379822,,,,6
131,3s2.3p5.(2P*<3/2>).6f,2[5/2],3,7.0,15.3804103,,,,6
132,3s2.3p5.(2P*<3/2>).6f,2[5/2],2,5.0,15.3804419,,,,6
133,3s2.3p5.(2P*<3/2>).6g,2[5/2]*,3,7.0,15.380867,,,,6
134,3s2.3p5.(2P*<3/2>).6g,2[5/2]*,2,5.0,15.380867,,,,6
135,3s2.3p5.(2P*<3/2>).6g,2[11/2]*,6,13.0,15.381105,,,,6
136,3s2.3p5.(2P*<3/2>).6g,2[11/2]*,5,11.0,15.381105,,,,6
137,3s2.3p5.(2P*<3/2>).6f,2[7/2],3,7.0,15.3812605,,,,6
138,3s2.3p5.(2P*<3/2>).6f,2[7/2],4,9.0,15.3812616,,,,6
139,3s2.3p5.(2P*<3/2>).6g,2[7/2]*,3,7.0,15.381548,,,,6
140,3s2.3p5.(2P*<3/2>).6g,2[7/2]*,4,9.0,15.381548,,,,6
141,3s2.3p5.(2P*<3/2>).6g,2[9/2]*,4,9.0,15.3818,,,,6
142,3s2.3p5.(2P*<3/2>).6g,2[9/2]*,5,11.0,15.3818,,,,6
143,3s2.3p5.(2P*<1/2>).5f,2[7/2],3,7.0,15.3908614,,,,5
144,3s2.3p5.(2P*<1/2>).5f,2[7/2],4,9.0,15.390865,,,,5
145,3s2.3p5.(2P*<1/2>).5f,2[5/2],3,7.0,15.391053,,,,5
146,3s2.3p5.(2P*<1/2>).5f,2[5/2],2,5.0,15.3910805,,,,5
147,3s2.3p5.(2P*<1/2>).5g,2[9/2]*,5,11.0,15.392423,,,,5
148,3s2.3p5.(2P*<1/2>).5g,2[9/2]*,4,9.0,15.392423,,,,5
149,3s2.3p5.(2P*<1/2>).5g,2[7/2]*,4,9.0,15.392452,,,,5
150,3s2.3p5.(2P*<1/2>).5g,2[7/2]*,3,7.0,15.392452,,,,5
151,3s2.3p5.(2P*<3/2>).8p,2[1/2],1,3.0,15.412684,,,,8
152,3s2.3p5.(2P*<3/2>).8p,2[1/2],0,1.0,15.428512,,,,8
153,3s2.3p5.(2P*<3/2>).8p,2[5/2],3,7.0,15.417314,,,,8
154,3s2.3p5.(2P*<3/2>).8p,2[5/2],2,5.0,15.418289,,,,8
155,3s2.3p5.(2P*<3/2>).8p,2[3/2],1,3.0,15.420697,,,,8
156,3s2.3p5.(2P*<3/2>).8p,2[3/2],2,5.0,15.421298,,,,8
157,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,0,1.0,15.4393425,,,,7
158,3s2.3p5.(2P*<3/2>).7d,2[1/2]*,1,3.0,15.4428362,,,,7
159,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,2,5.0,15.4489134,,,,7
160,3s2.3p5.(2P*<3/2>).7d,2[3/2]*,1,3.0,15.471767,,,,7
161,3s2.3p5.(2P*<3/2>).7d,2[7/2]*,4,9.0,15.4496531,,,,7
162,3s2.3p5.(2P*<3/2>).7d,2[7/2]*,3,7.0,15.4545665,,,,7
163,3s2.3p5.(2P*<1/2>).7p,2[3/2],1,3.0,15.453818,,,,7
164,3s2.3p5.(2P*<1/2>).7p,2[3/2],2,5.0,15.455677,,,,7
165,3s2.3p5.(2P*<1/2>).7p,2[1/2],1,3.0,15.454748,,,,7
166,3s2.3p5.(2P*<1/2>).7p,2[1/2],0,1.0,15.4670046,,,,7
167,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,2,5.0,15.4598316,,,,7
168,3s2.3p5.(2P*<3/2>).7d,2[5/2]*,3,7.0,15.4626994,,,,7
169,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,2,5.0,15.469706,,,,9
170,3s2.3p5.(2P*<3/2>).9s,2[3/2]*,1,3.0,15.471072,,,,9
171,3s2.3p5.(2P*<3/2>).7f,2[3/2],1,3.0,15.4803122,,,,7
172,3s2.3p5.(2P*<3/2>).7f,2[3/2],2,5.0,15.480336,,,,7
173,3s2.3p5.(2P*<3/2>).7f,2[9/2],5,11.0,15.4807417,,,,7
174,3s2.3p5.(2P*<3/2>).7f,2[9/2],4,9.0,15.4807433,,,,7
175,3s2.3p5.(2P*<3/2>).7f,2[5/2],3,7.0,15.4812841,,,,7
176,3s2.3p5.(2P*<3/2>).7f,2[5/2],2,5.0,15.481298,,,,7
177,3s2.3p5.(2P*<3/2>).7g,2[11/2]*,6,13.0,15.481568,,,,7
178,3s2.3p5.(2P*<3/2>).7g,2[11/2]*,5,11.0,15.481568,,,,7
179,3s2.3p5.(2P*<3/2>).7h,2[7/2],3,7.0,15.481715,,,,7
180,3s2.3p5.(2P*<3/2>).7h,2[7/2],4,9.0,15.481715,,,,7
181,3s2.3p5.(2P*<3/2>).7f,2[7/2],3,7.0,15.481736,,,,7
182,3s2.3p5.(2P*<3/2>).7f,2[7/2],4,9.0,15.481743,,,,7
183,3s2.3p5.(2P*<3/2>).7h,2[13/2],7,15.0,15.481779,,,,7
184,3s2.3p5.(2P*<3/2>).7h,2[13/2],6,13.0,15.481779,,,,7
185,3s2.3p5.(2P*<3/2>).9p,2[1/2],1,3.0,15.502923,,,,9
186,3s2.3p5.(2P*<3/2>).9p,2[1/2],0,1.0,15.513213,,,,9
187,3s2.3p5.(2P*<3/2>).9p,2[5/2],3,7.0,15.504736,,,,9
188,3s2.3p5.(2P*<3/2>).9p,2[5/2],2,5.0,15.505434,,,,9
189,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,2,5.0,15.5062613,,,,6
190,3s2.3p5.(2P*<1/2>).6d,2[3/2]*,1,3.0,15.533517,,,,6
191,3s2.3p5.(2P*<3/2>).9p,2[3/2],1,3.0,15.50703,,,,9
192,3s2.3p5.(2P*<3/2>).9p,2[3/2],2,5.0,15.507341,,,,9
193,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,2,5.0,15.5120816,,,,6
194,3s2.3p5.(2P*<1/2>).6d,2[5/2]*,3,7.0,15.5166146,,,,6
195,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,1,3.0,15.5148657,,,,8
196,3s2.3p5.(2P*<3/2>).8d,2[1/2]*,0,1.0,15.518227,,,,8
197,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,4,9.0,15.525275,,,,8
198,3s2.3p5.(2P*<3/2>).8d,2[7/2]*,3,7.0,15.531429,,,,8
199,3s2.3p5.(2P*<3/2>).8d,2[3/2]*,2,5.0,15.5331,,,,8
200,3s2.3p5.(2P*<3/2>).8d,2[3/2]*,1,3.0,15.58939,,,,8
201,3s2.3p5.(2P*<3/2>).8d,2[5/2]*,2,5.0,15.534133,,,,8
202,3s2.3p5.(2P*<3/2>).8d,2[5/2]*,3,7.0,15.534435,,,,8
203,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,2,5.0,15.538932,,,,10
204,3s2.3p5.(2P*<3/2>).10s,2[3/2]*,1,3.0,15.539168,,,,10
205,3s2.3p5.(2P*<1/2>).8s,2[1/2]*,0,1.0,15.539521,,,,8
206,3s2.3p5.(2P*<1/2>).8s,2[1/2]*,1,3.0,15.54182,,,,8
207,3s2.3p5.(2P*<3/2>).8f,2[3/2],1,3.0,15.54592,,,,8
208,3s2.3p5.(2P*<3/2>).8f,2[3/2],2,5.0,15.545925,,,,8
209,3s2.3p5.(2P*<3/2>).8f,2[9/2],4,9.0,15.5461,,,,8
210,3s2.3p5.(2P*<3/2>).8f,2[9/2],5,11.0,15.546201,,,,8
211,3s2.3p5.(2P*<3/2>).8f,2[5/2],3,7.0,15.546505,,,,8
212,3s2.3p5.(2P*<3/2>).8f,2[5/2],2,5.0,15.546515,,,,8
213,3s2.3p5.(2P*<3/2>).8f,2[7/2],4,9.0,15.546836,,,,8
214,3s2.3p5.(2P*<3/2>).8f,2[7/2],3,7.0,15.546837,,,,8
215,3s2.3p5.(2P*<1/2>).6f,2[7/2],3,7.0,15.5578647,,,,6
216,3s2.3p5.(2P*<1/2>).6f,2[7/2],4,9.0,15.557869,,,,6
217,3s2.3p5.(2P*<1/2>).6f,2[5/2],3,7.0,15.5579271,,,,6
218,3s2.3p5.(2P*<1/2>).6f,2[5/2],2,5.0,15.5579541,,,,6
219,3s2.3p5.(2P*<1/2>).6g,2[9/2]*,4,9.0,15.558869,,,,6
220,3s2.3p5.(2P*<1/2>).6g,2[9/2]*,5,11.0,15.558869,,,,6
221,3s2.3p5.(2P*<1/2>).6g,2[7/2]*,4,9.0,15.55888,,,,6
222,3s2.3p5.(2P*<1/2>).6g,2[7/2]*,3,7.0,15.55888,,,,6
223,3s2.3p5.(2P*<3/2>).10p,2[1/2],1,3.0,15.560694,,,,10
224,3s2.3p5.(2P*<3/2>).10p,2[1/2],0,1.0,15.56768,,,,10
225,3s2.3p5.(2P*<3/2>).10p,2[5/2],3,7.0,15.56247,,,,10
226,3s2.3p5.(2P*<3/2>).10p,2[5/2],2,5.0,15.56289,,,,10
227,3s2.3p5.(2P*<3/2>).10p,2[3/2],1,3.0,15.56393,,,,10
228,3s2.3p5.(2P*<3/2>).10p,2[3/2],2,5.0,15.564211,,,,10
229,3s2.3p5.(2P*<3/2>).9d,2[1/2]*,0,1.0,15.571807,,,,9
230,3s2.3p5.(2P*<3/2>).9d,2[1/2]*,1,3.0,15.574036,,,,9
231,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,4,9.0,15.576338,,,,9
232,3s2.3p5.(2P*<3/2>).9d,2[7/2]*,3,7.0,15.578861,,,,9
233,3s2.3p5.(2P*<3/2>).9d,2[3/2]*,2,5.0,15.577111,,,,9
234,3s2.3p5.(2P*<3/2>).9d,2[3/2]*,1,3.0,15.587059,,,,9
235,3s2.3p5.(2P*<3/2>).9d,2[5/2]*,2,5.0,15.581278,,,,9
236,3s2.3p5.(2P*<3/2>).9d,2[5/2]*,3,7.0,15.582381,,,,9
237,3s2.3p5.(2P*<3/2>).11s,2[3/2]*,2,5.0,15.585975,,,,11
238,3s2.3p5.(2P*<3/2>).11s,2[3/2]*,1,3.0,15.586724,,,,11
239,3s2.3p5.(2P*<3/2>).9f,2[3/2],1,3.0,15.590858,,,,9
240,3s2.3p5.(2P*<3/2>).9f,2[3/2],2,5.0,15.590858,,,,9
241,3s2.3p5.(2P*<3/2>).9f,2[9/2],4,9.0,15.591055,,,,9
242,3s2.3p5.(2P*<3/2>).9f,2[9/2],5,11.0,15.591055,,,,9
243,3s2.3p5.(2P*<3/2>).9f,2[5/2],3,7.0,15.59134,,,,9
244,3s2.3p5.(2P*<3/2>).9f,2[5/2],2,5.0,15.59134,,,,9
245,3s2.3p5.(2P*<3/2>).9f,2[7/2],4,9.0,15.591527,,,,9
246,3s2.3p5.(2P*<3/2>).9f,2[7/2],3,7.0,15.591527,,,,9
247,3s2.3p5.(2P*<1/2>).8p,2[1/2],1,3.0,15.5944,,,,8
248,3s2.3p5.(2P*<1/2>).8p,2[1/2],0,1.0,15.601121,,,,8
249,3s2.3p5.(2P*<1/2>).8p,2[3/2],1,3.0,15.595192,,,,8
250,3s2.3p5.(2P*<1/2>).8p,2[3/2],2,5.0,15.596214,,,,8
251,3s2.3p5.(2P*<3/2>).11p,2[1/2],1,3.0,15.6027,,,,11
252,3s2.3p5.(2P*<3/2>).11p,2[1/2],0,1.0,15.60822,,,,11
253,3s2.3p5.(2P*<3/2>).11p,2[5/2],2,5.0,15.60298,,,,11
254,3s2.3p5.(2P*<3/2>).11p,2[3/2],1,3.0,15.60382,,,,11
255,3s2.3p5.(2P*<3/2>).11p,2[3/2],2,5.0,15.603879,,,,11
256,3s2.3p5.(2P*<3/2>).10d,2[1/2]*,0,1.0,15.609082,,,,10
257,3s2.3p5.(2P*<3/2>).10d,2[1/2]*,1,3.0,15.609435,,,,10
258,3s2.3p5.(2P*<3/2>).10d,2[3/2]*,2,5.0,15.61041,,,,10
259,3s2.3p5.(2P*<3/2>).10d,2[3/2]*,1,3.0,15.61945,,,,10
260,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,4,9.0,15.612397,,,,10
261,3s2.3p5.(2P*<3/2>).10d,2[7/2]*,3,7.0,15.613644,,,,10
262,3s2.3p5.(2P*<3/2>).10d,2[5/2]*,2,5.0,15.615273,,,,10
263,3s2.3p5.(2P*<3/2>).10d,2[5/2]*,3,7.0,15.616707,,,,10
264,3s2.3p5.(2P*<3/2>).12s,2[3/2]*,2,5.0,15.61945,,,,12
265,3s2.3p5.(2P*<3/2>).12s,2[3/2]*,1,3.0,15.620065,,,,12
266,3s2.3p5.(2P*<3/2>).10f,2[3/2],1,3.0,15.62305,,,,10
267,3s2.3p5.(2P*<3/2>).10f,2[3/2],2,5.0,15.62305,,,,10
268,3s2.3p5.(2P*<3/2>).10f,2[5/2],3,7.0,15.62329,,,,10
269,3s2.3p5.(2P*<3/2>).10f,2[5/2],2,5.0,15.62329,,,,10
270,3s2.3p5.(2P*<1/2>).7d,2[3/2]*,2,5.0,15.628593,,,,7
271,3s2.3p5.(2P*<1/2>).7d,2[3/2]*,1,3.0,15.64208,,,,7
272,3s2.3p5.(2P*<1/2>).7d,2[5/2]*,2,5.0,15.629999,,,,7
273,3s2.3p5.(2P*<1/2>).7d,2[5/2]*,3,7.0,15.633111,,,,7
274,3s2.3p5.(2P*<3/2>).12p,2[1/2],1,3.0,15.63101,,,,12
275,3s2.3p5.(2P*<3/2>).12p,2[1/2],0,1.0,15.634608,,,,12
276,3s2.3p5.(2P*<3/2>).12p,2[5/2],2,5.0,15.63185,,,,12
277,3s2.3p5.(2P*<3/2>).12p,2[3/2],2,5.0,15.63256,,,,12
278,3s2.3p5.(2P*<3/2>).11d,2[1/2]*,1,3.0,15.634328,,,,11
279,3s2.3p5.(2P*<3/2>).11d,2[1/2]*,0,1.0,15.636218,,,,11
280,3s2.3p5.(2P*<3/2>).11d,2[7/2]*,4,9.0,15.638792,,,,11
281,3s2.3p5.(2P*<3/2>).11d,2[7/2]*,3,7.0,15.641168,,,,11
282,3s2.3p5.(2P*<3/2>).11d,2[3/2]*,2,5.0,15.641868,,,,11
283,3s2.3p5.(2P*<3/2>).11d,2[3/2]*,1,3.0,15.64731,,,,11
284,3s2.3p5.(2P*<3/2>).11d,2[5/2]*,2,5.0,15.642147,,,,11
285,3s2.3p5.(2P*<3/2>).11d,2[5/2]*,3,7.0,15.642246,,,,11
286,3s2.3p5.(2P*<3/2>).13s,2[3/2]*,2,5.0,15.644102,,,,13
287,3s2.3p5.(2P*<3/2>).13s,2[3/2]*,1,3.0,15.64447,,,,13
288,3s2.3p5.(2P*<1/2>).9s,2[1/2]*,0,1.0,15.647151,,,,9
289,3s2.3p5.(2P*<1/2>).9s,2[1/2]*,1,3.0,15.648234,,,,9
290,3s2.3p5.(2P*<3/2>).11f,2[5/2],2,5.0,15.64823,,,,11
291,3s2.3p5.(2P*<3/2>).11f,2[5/2],3,7.0,15.64823,,,,11
292,3s2.3p5.(2P*<3/2>).11f,2[3/2],2,5.0,15.64823,,,,11
293,3s2.3p5.(2P*<3/2>).11f,2[3/2],1,3.0,15.64823,,,,11
294,3s2.3p5.(2P*<3/2>).13p,2[5/2],2,5.0,15.65341,,,,13
295,3s2.3p5.(2P*<3/2>).13p,2[3/2],2,5.0,15.65392,,,,13
296,3s2.3p5.(2P*<3/2>).13p,2[1/2],0,1.0,15.6555,,,,13
