,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
0,3s2.3p6,1S,0,1.0,0.0,,,L2131,3
1,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,2,5.0,11.54835442,,1.506,,4
2,3s2.3p5.(2P*<3/2>).4s,2[3/2]*,1,3.0,11.62359272,,1.404,,4
3,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,0,1.0,11.72316039,,,,4
4,3s2.3p5.(2P*<1/2>).4s,2[1/2]*,1,3.0,11.82807116,,1.102,,4
5,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3.0,12.9070153,,1.985,,4
6,3s2.3p5.(2P*<3/2>).4p,2[1/2],0,1.0,13.2730381,,,,4
7,3s2.3p5.(2P*<3/2>).4p,2[5/2],3,7.0,13.07571571,,1.338,,4
8,3s2.3p5.(2P*<3/2>).4p,2[5/2],2,5.0,13.09487256,,1.112,,4
9,3s2.3p5.(2P*<3/2>).4p,2[3/2],1,3.0,13.15314387,,0.838,,4
10,3s2.3p5.(2P*<3/2>).4p,2[3/2],2,5.0,13.1717777,,1.305,,4
11,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3.0,13.28263902,,0.819,,4
12,3s2.3p5.(2P*<1/2>).4p,2[3/2],2,5.0,13.30222747,,1.26,,4
13,3s2.3p5.(2P*<1/2>).4p,2[1/2],1,3.0,13.32785705,,1.38,,4
14,3s2.3p5.(2P*<1/2>).4p,2[1/2],0,1.0,13.47988682,,,,4
15,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,0,1.0,13.8450385,,,,3
16,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,3.0,13.8636686,,,,3
17,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,2,5.0,13.9034546,,,,3
18,3s2.3p5.(2P*<3/2>).3d,2[3/2]*,1,3.0,14.1525151,,,,3
19,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,4,9.0,13.9792373,,,,3
20,3s2.3p5.(2P*<3/2>).3d,2[7/2]*,3,7.0,14.0127381,,,,3
21,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,2,5.0,14.0630272,,,,3
22,3s2.3p5.(2P*<3/2>).3d,2[5/2]*,3,7.0,14.0990559,,,,3
23,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,2,5.0,14.0682977,,,,5
24,3s2.3p5.(2P*<3/2>).5s,2[3/2]*,1,3.0,14.0899685,,,,5
25,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,2,5.0,14.2136715,,,,3
26,3s2.3p5.(2P*<1/2>).3d,2[5/2]*,3,7.0,14.2361061,,,,3
27,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,2,5.0,14.2340226,,,,3
28,3s2.3p5.(2P*<1/2>).3d,2[3/2]*,1,3.0,14.3036684,,,,3
29,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,1.0,14.2410277,,,,5
30,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,3.0,14.2550856,,,,5
31,3s2.3p5.(2P*<3/2>).5p,2[1/2],1,3.0,14.46399577,,1.9,,5
32,3s2.3p5.(2P*<3/2>).5p,2[1/2],0,1.0,14.57594878,,,,5
33,3s2.3p5.(2P*<3/2>).5p,2[5/2],3,7.0,14.49905364,,,,5
34,3s2.3p5.(2P*<3/2>).5p,2[5/2],2,5.0,14.50606764,,1.09,,5
35,3s2.3p5.(2P*<3/2>).5p,2[3/2],1,3.0,14.5249133,,1.01,,5
