,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,3s2.3p3,4S*,3/2,4.0,0.0,,                                           ,L7147,3
1,3s2.3p3,2D*,3/2,4.0,1.408587,,                                           ,,3
2,3s2.3p3,2D*,5/2,6.0,1.410522,,                                           ,,3
3,3s2.3p3,2P*,1/2,2.0,2.32132,,                                           ,,3
4,3s2.3p3,2P*,3/2,4.0,2.324457,,                                           ,,3
5,3s2.3p2.(3P).4s,4P,1/2,2.0,6.9356043,,  98         :     1  3s.3p4          4P   ,,4
6,3s2.3p2.(3P).4s,4P,3/2,4.0,6.9543513,,  98         :     1  3s.3p4          4P   ,,4
7,3s2.3p2.(3P).4s,4P,5/2,6.0,6.9852271,,  98         :     1  3s.3p4          4P   ,,4
8,3s2.3p2.(3P).4s,2P,1/2,2.0,7.1757806,,  98         :     1  3s2.3p2.(3P).3d 2P   ,,4
9,3s2.3p2.(3P).4s,2P,3/2,4.0,7.2127021,,  98         :     1  3s2.3p2.(3P).3d 2P   ,,4
10,3s.3p4,4P,5/2,6.0,7.3813433,,  70         :    14  3s2.3p2.(3P).3d 4P   ,,3
11,3s.3p4,4P,3/2,4.0,7.4038306,,  70         :    14  3s2.3p2.(3P).3d 4P   ,,3
12,3s.3p4,4P,1/2,2.0,7.4167807,,  70         :    14  3s2.3p2.(3P).3d 4P   ,,3
13,3s2.3p2.(3P).4p,2S*,1/2,2.0,7.9646942,,                                           ,,4
14,3s2.3p2.(1D).4s,2D,3/2,4.0,8.0783444,,  98         :     1  3s2.3p2.(1D).3d 2D   ,,4
15,3s2.3p2.(1D).4s,2D,5/2,6.0,8.078454,,  98         :     1  3s2.3p2.(1D).3d 2D   ,,4
16,3s2.3p2.(3P).4p,4D*,1/2,2.0,8.1052879,,                                           ,,4
17,3s2.3p2.(3P).4p,4D*,3/2,4.0,8.1147813,,                                           ,,4
18,3s2.3p2.(3P).4p,4D*,5/2,6.0,8.1315198,,                                           ,,4
19,3s2.3p2.(3P).4p,4D*,7/2,8.0,8.1567289,,                                           ,,4
20,3s2.3p2.(3P).4p,4P*,1/2,2.0,8.225538,,                                           ,,4
21,3s2.3p2.(3P).4p,4P*,3/2,4.0,8.2276264,,                                           ,,4
22,3s2.3p2.(3P).4p,4P*,5/2,6.0,8.2504346,,                                           ,,4
23,3s2.3p2.(3P).4p,2D*,3/2,4.0,8.2837898,,                                           ,,4
24,3s2.3p2.(3P).4p,2D*,5/2,6.0,8.3210594,,                                           ,,4
25,3s2.3p2.(3P).4p,4S*,3/2,4.0,8.2864403,,                                           ,,4
26,3s2.3p2.(3P).3d,2P,3/2,4.0,8.4196598,,  85         :     4  3s.3p4          2P   ,,3
27,3s2.3p2.(3P).3d,2P,1/2,2.0,8.4466228,,  86         :     4  3s.3p4          2P   ,,3
28,3s2.3p2.(3P).4p,2P*,1/2,2.0,8.4273389,,                                           ,,4
29,3s2.3p2.(3P).4p,2P*,3/2,4.0,8.4418455,,                                           ,,4
30,3s2.3p2.(3P).3d,4F,3/2,4.0,8.4536377,,  96         :     2  3s2.3p2.(3P).4d 4F   ,,3
31,3s2.3p2.(3P).3d,4F,5/2,6.0,8.4634281,,  95         :     2  3s2.3p2.(3P).4d 4F   ,,3
32,3s2.3p2.(3P).3d,4F,7/2,8.0,8.4777261,,  95         :     2  3s2.3p2.(3P).4d 4F   ,,3
33,3s2.3p2.(3P).3d,4F,9/2,10.0,8.496966,,  96         :     2  3s2.3p2.(3P).4d 4F   ,,3
34,3s2.3p2.(3P).3d,4D,1/2,2.0,8.6637719,,  99                                       ,,3
35,3s2.3p2.(3P).3d,4D,3/2,4.0,8.6657896,,  98                                       ,,3
36,3s2.3p2.(3P).3d,4D,5/2,6.0,8.6695273,,  94         :     2  3s2.3p2.(3P).3d 2F   ,,3
37,3s2.3p2.(3P).3d,4D,7/2,8.0,8.6764238,,  95         :     3  3s2.3p2.(3P).3d 2F   ,,3
38,3s2.3p2.(3P).3d,2F,5/2,6.0,8.727471,,  94         :     2  3s2.3p2.(3P).3d 4D   ,,3
39,3s2.3p2.(3P).3d,2F,7/2,8.0,8.7643815,,  94         :     3  3s2.3p2.(3P).3d 4D   ,,3
40,3s.3p4,2D,5/2,6.0,8.8237358,,  34         :    29  3s2.3p2.(3P).3d 2D   ,,3
41,3s.3p4,2D,3/2,4.0,8.8280443,,  34         :    30  3s2.3p2.(3P).3d 2D   ,,3
42,3s2.3p2.(3P).5s,4P,1/2,2.0,8.9737283,,  98         :     2  3s2.3p2.(3P).5s 2P   ,,5
43,3s2.3p2.(3P).5s,4P,3/2,4.0,8.9978308,,  97         :     2  3s2.3p2.(3P).5s 2P   ,,5
44,3s2.3p2.(3P).5s,4P,5/2,6.0,9.0269427,, 100                                       ,,5
45,3s2.3p2.(3P).3d,4P,5/2,6.0,8.9747632,,  51         :    26  3s2.3p2.(3P).3d 2D   ,,3
46,3s2.3p2.(3P).3d,4P,3/2,4.0,8.9880864,,  81         :     8  3s.3p4          4P   ,,3
47,3s2.3p2.(3P).3d,4P,1/2,2.0,9.0034584,,  82         :     8  3s.3p4          4P   ,,3
48,3s2.3p2.(3P).3d,2D,3/2,4.0,9.0188348,,  64         :    14  3s.3p4          2D   ,,3
49,3s2.3p2.(3P).3d,2D,5/2,6.0,9.0365716,,  40         :    31  3s2.3p2.(3P).3d 4P   ,,3
50,3s2.3p2.(3P).5s,2P,1/2,2.0,9.0438789,,  95         :     2  3s2.3p2.(3P).3d 2P   ,,5
51,3s2.3p2.(3P).5s,2P,3/2,4.0,9.0818185,,  94         :     3  3s2.3p2.(3P).5s 4P   ,,5
52,3s2.3p2.(1D).4p,2D*,3/2,4.0,9.2085171,,                                           ,,4
53,3s2.3p2.(1D).4p,2D*,5/2,6.0,9.2122086,,                                           ,,4
54,3s2.3p2.(1D).4p,2F*,5/2,6.0,9.2638052,,                                           ,,4
55,3s2.3p2.(1D).4p,2F*,7/2,8.0,9.2665525,,                                           ,,4
56,3s2.3p2.(3P).5p,2S*,1/2,2.0,9.3117617,,                                           ,,5
57,3s2.3p2.(3P).5p,4D*,1/2,2.0,9.3349261,,                                           ,,5
58,3s2.3p2.(3P).5p,4D*,3/2,4.0,9.3423968,,                                           ,,5
59,3s2.3p2.(3P).5p,4D*,5/2,6.0,9.3588801,,                                           ,,5
60,3s2.3p2.(3P).5p,4D*,7/2,8.0,9.3862983,,                                           ,,5
61,3s2.3p2.(1D).4p,2P*,1/2,2.0,9.3553237,,                                           ,,4
62,3s2.3p2.(1D).4p,2P*,3/2,4.0,9.3594313,,                                           ,,4
63,3s2.3p2.(3P).4d,2P,3/2,4.0,9.382639,,  80         :     4  3s2.3p2.(3P).3d 2P   ,,4
64,3s2.3p2.(3P).4d,2P,1/2,2.0,9.399703,,  79         :     4  3s2.3p2.(3P).3d 2P   ,,4
65,3s2.3p2.(3P).5p,4P*,3/2,4.0,9.384275,,                                           ,,5
66,3s2.3p2.(3P).5p,4P*,1/2,2.0,9.3855829,,                                           ,,5
67,3s2.3p2.(3P).5p,4P*,5/2,6.0,9.4110345,,                                           ,,5
68,3s2.3p2.(3P).4d,2F,5/2,6.0,9.402116,,  65         :    23  3s2.3p2.(1D).3d 2F   ,,4
69,3s2.3p2.(3P).4d,2F,7/2,8.0,9.417452,,  58         :    27  3s2.3p2.(1D).3d 2F   ,,4
70,3s2.3p2.(3P).4d,4F,3/2,4.0,9.416534,,  91         :     2  3s2.3p2.(3P).3d 4F   ,,4
71,3s2.3p2.(3P).4d,4F,5/2,6.0,9.428501,,  82         :     6  3s2.3p2.(3P).4d 2F   ,,4
72,3s2.3p2.(3P).4d,4F,7/2,8.0,9.444292,,  81         :     6  3s2.3p2.(3P).4d 4D   ,,4
73,3s2.3p2.(3P).4d,4F,9/2,10.0,9.462227,,  94         :     2  3s2.3p2.(3P).3d 4F   ,,4
74,3s2.3p2.(3P).5p,4S*,3/2,4.0,9.4254773,,                                           ,,5
75,3s2.3p2.(3P).5p,2D*,3/2,4.0,9.4466287,,                                           ,,5
76,3s2.3p2.(3P).5p,2D*,5/2,6.0,9.4755201,,                                           ,,5
77,3s2.3p2.(3P).4d,4D,1/2,2.0,9.493035,,  96         :     2  3s2.3p2.(3P).4d 2P   ,,4
78,3s2.3p2.(3P).4d,4D,3/2,4.0,9.495418,,  94         :     2  3s2.3p2.(3P).4d 4F   ,,4
79,3s2.3p2.(3P).4d,4D,5/2,6.0,9.500649,,  91         :     4  3s2.3p2.(3P).4d 4F   ,,4
80,3s2.3p2.(3P).4d,4D,7/2,8.0,9.510756,,  90         :     4  3s2.3p2.(3P).4d 4F   ,,4
81,3s2.3p2.(3P).5p,2P*,1/2,2.0,9.5173096,,                                           ,,5
82,3s2.3p2.(3P).5p,2P*,3/2,4.0,9.5313163,,                                           ,,5
83,3s2.3p2.(1S).4s,2S,1/2,2.0,9.535904,,  71         :    26  3s2.3p2.(1D).3d 2S   ,,4
84,3s2.3p2.(3P<0>).4f,2[3]*,5/2,6.0,9.6279384,,                                           ,,4
85,3s2.3p2.(3P<0>).4f,2[3]*,7/2,8.0,9.628032,,                                           ,,4
86,3s2.3p2.(3P).4d,4P,5/2,6.0,9.637748,,  64         :    24  3s2.3p2.(3P).4d 2D   ,,4
87,3s2.3p2.(3P).4d,4P,3/2,4.0,9.656982,,  86         :     4  3s2.3p2.(3P).5d 4P   ,,4
88,3s2.3p2.(3P).4d,4P,1/2,2.0,9.66649,,  81         :     7  3s2.3p2.(3P).6s 4P   ,,4
89,3s2.3p2.(3P).6s,4P,1/2,2.0,9.642189,,  85         :     7  3s2.3p2.(3P).4d 4P   ,,6
90,3s2.3p2.(3P).6s,4P,3/2,4.0,9.663645,,  93         :     6  3s2.3p2.(3P).6s 2P   ,,6
91,3s2.3p2.(3P).6s,4P,5/2,6.0,9.69697,, 100                                       ,,6
92,3s2.3p2.(3P<1>).4f,2[3]*,5/2,6.0,9.6439671,,                                           ,,4
93,3s2.3p2.(3P<1>).4f,2[3]*,7/2,8.0,9.644079,,                                           ,,4
94,3s2.3p2.(3P<1>).4f,2[4]*,9/2,10.0,9.649728,,                                           ,,4
95,3s2.3p2.(3P<1>).4f,2[4]*,7/2,8.0,9.6498257,,                                           ,,4
