,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,1s2,1S,0,1.0, 0.000000,1.2e-05,L3462,1
1,1s.2s,3S,1,3.0, 59.020815,1.2e-05,,2
2,1s.2s,1S,0,1.0, 60.92269,0.00012,,2
3,1s.2p,3P*,1,3.0, 61.280575,1.2e-05,,2
4,1s.2p,3P*,2,5.0, 61.280856,1.2e-05,,2
5,1s.2p,3P*,0,1.0, 61.281244,1.2e-05,,2
6,1s.2p,1P*,1,3.0, 62.216336,1.2e-05,,2
7,1s.3s,3S,1,3.0, 68.780786,1.2e-05,,3
8,1s.3s,1S,0,1.0, 69.279628,1.2e-05,,3
9,1s.3p,3P*,1,3.0, 69.369202,1.2e-05,,3
10,1s.3p,3P*,2,5.0, 69.369335,1.2e-05,,3
11,1s.3p,3P*,0,1.0, 69.369447,1.2e-05,,3
12,1s.3d,3D,2,5.0, 69.585282,1.2e-05,,3
13,1s.3d,3D,3,7.0, 69.585359,1.2e-05,,3
14,1s.3d,3D,1,3.0, 69.585425,1.2e-05,,3
15,1s.3d,1D,2,5.0, 69.589060,1.2e-05,,3
16,1s.3p,1P*,1,3.0, 69.648473,1.2e-05,,3
17,1s.4s,3S,1,3.0, 71.908520,1.2e-05,,4
18,1s.4s,1S,0,1.0, 72.108809,1.2e-05,,4
19,1s.4p,3P*,0,1.0, 72.144617,1.2e-05,,4
20,1s.4p,3P*,1,3.0, 72.144667,1.2e-05,,4
21,1s.4p,3P*,2,5.0, 72.144756,1.2e-05,,4
22,1s.4d,3D,1,3.0, 72.234808,1.2e-05,,4
23,1s.4d,3D,2,5.0, 72.234857,1.2e-05,,4
24,1s.4d,3D,3,7.0, 72.234938,1.2e-05,,4
25,1s.4d,1D,2,5.0, 72.237031,1.2e-05,,4
26,1s.4f,3F*,3,7.0, 72.238522,1.2e-05,,4
27,1s.4f,3F*,2,5.0, 72.238522,1.2e-05,,4
28,1s.4f,3F*,4,9.0, 72.238522,1.2e-05,,4
29,1s.4f,1F*,3,7.0, 72.238654,1.2e-05,,4
30,1s.4p,1P*,1,3.0, 72.261724,1.2e-05,,4
31,1s.5s,3S,1,3.0, 73.297507,1.2e-05,,5
32,1s.5s,1S,0,1.0, 73.397350,1.2e-05,,5
33,1s.5p,3P*,0,1.0, 73.415216,1.2e-05,,5
34,1s.5p,3P*,1,3.0, 73.415263,1.2e-05,,5
