,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
337,3s2.3p4.(3P<1>).7g,2[5],11/2,12.0,26.6539917,6e-07,,L15349,7
338,3s2.3p4.(3P<1>).7g,2[5],9/2,10.0,26.6540015,4e-07,,L15349,7
339,3s2.3p4.(3P<1>).7h,2[4]*,7/2,8.0,26.6556191,9e-07,,L15349,7
340,3s2.3p4.(3P<1>).7h,2[4]*,9/2,10.0,26.6556191,6e-07,,L15349,7
341,3s2.3p4.(3P<1>).7h,2[6]*,11/2,12.0,26.6558589,5e-07,,L15349,7
342,3s2.3p4.(3P<1>).7h,2[6]*,13/2,14.0,26.6558601,4e-07,,L15349,7
343,3s2.3p4.(3P<1>).7g,2[4],7/2,8.0,26.656228,5e-06,,L15349,7
344,3s2.3p4.(3P<1>).7g,2[4],9/2,10.0,26.6563036,5e-07,,L15349,7
345,3s2.3p4.(3P<1>).7i,2[5],9/2,10.0,26.65633161,1.6e-07,,L15349,7
346,3s2.3p4.(3P<1>).7i,2[5],11/2,12.0,26.65633296,1.2e-07,,L15349,7
347,3s2.3p4.(3P<1>).7i,2[7],13/2,14.0,26.65645372,1e-07,,L15349,7
348,3s2.3p4.(3P<1>).7i,2[7],15/2,16.0,26.65645569,9e-08,,L15349,7
349,3s2.3p4.(3P<1>).7h,2[5]*,11/2,12.0,26.6571108,1e-06,,L15349,7
350,3s2.3p4.(3P<1>).7h,2[5]*,9/2,10.0,26.6571109,1e-06,,L15349,7
351,3s2.3p4.(3P<1>).7i,2[6],13/2,14.0,26.6572173,1.2e-07,,L15349,7
352,3s2.3p4.(3P<1>).7i,2[6],11/2,12.0,26.65721872,1.2e-07,,L15349,7
353,3s2.3p4.(1S).5s,2S,1/2,2.0,26.6647573,2.4e-07,,L15349,5
354,3s2.3p4.(3P<0>).7g,2[4],7/2,8.0,26.7113733,1e-06,,L15349,7
355,3s2.3p4.(3P<0>).7g,2[4],9/2,10.0,26.7114156,9e-07,,L15349,7
356,3s2.3p4.(3P<0>).7h,2[5]*,9/2,10.0,26.712992,7e-07,,L15349,7
357,3s2.3p4.(3P<0>).7h,2[5]*,11/2,12.0,26.7129933,6e-07,,L15349,7
358,3s2.3p4.(3P<0>).7i,2[6],11/2,12.0,26.71346441,1.1e-07,,L15349,7
359,3s2.3p4.(3P<0>).7i,2[6],13/2,14.0,26.7134644,1.2e-06,,L15349,7
360,3s2.3p4.(3P<2>).8f,2[4]*,9/2,10.0,26.767405,7e-06,,L15349,8
361,3s2.3p4.(3P<2>).8f,2[5]*,11/2,12.0,26.772202,7e-06,,L15349,8
362,3s2.3p4.(3P<2>).8f,2[5]*,9/2,10.0,26.772359,5e-06,,L15349,8
363,3s2.3p4.(3P<2>).8g,2[6],11/2,12.0,26.778505,1.1e-05,,L15349,8
364,3s2.3p4.(3P<2>).8g,2[6],13/2,14.0,26.778524,1.1e-05,,L15349,8
365,3s2.3p4.(3P<2>).8i,2[6],13/2,14.0,26.7787432,2.5e-06,,L15349,8
366,3s2.3p4.(3P<2>).8i,2[6],11/2,12.0,26.7787494,2.5e-06,,L15349,8
367,3s2.3p4.(3P<2>).8i,2[7],13/2,14.0,26.7787809,7e-07,,L15349,8
368,3s2.3p4.(3P<2>).8i,2[7],15/2,16.0,26.7787823,5e-07,,L15349,8
369,3s2.3p4.(3P<2>).8i,2[5],9/2,10.0,26.7790114,1.2e-06,,L15349,8
370,3s2.3p4.(3P<2>).8i,2[5],11/2,12.0,26.779013,1.4e-06,,L15349,8
371,3s2.3p4.(3P<2>).8k,2[7]*,13/2,14.0,26.7790641,1.4e-06,,L15349,8
372,3s2.3p4.(3P<2>).8k,2[7]*,15/2,16.0,26.7790645,1.4e-06,,L15349,8
373,3s2.3p4.(3P<2>).8k,2[8]*,15/2,16.0,26.7790993,1.1e-06,,L15349,8
374,3s2.3p4.(3P<2>).8k,2[8]*,17/2,18.0,26.7791,4e-07,,L15349,8
375,3s2.3p4.(3P<2>).8i,2[8],15/2,16.0,26.7792085,7e-07,,L15349,8
376,3s2.3p4.(3P<2>).8i,2[8],17/2,18.0,26.7792089,6e-07,,L15349,8
377,3s2.3p4.(3P<2>).8k,2[6]*,11/2,12.0,26.7792435,1.1e-06,,L15349,8
378,3s2.3p4.(3P<2>).8k,2[6]*,13/2,14.0,26.7792445,1.1e-06,,L15349,8
379,3s2.3p4.(3P<2>).8i,2[4],7/2,8.0,26.7794127,1.9e-06,,L15349,8
380,3s2.3p4.(3P<2>).8i,2[4],9/2,10.0,26.7794127,1.5e-06,,L15349,8
381,3s2.3p4.(3P<2>).8k,2[9]*,17/2,18.0,26.7794755,1.1e-06,,L15349,8
382,3s2.3p4.(3P<2>).8k,2[9]*,19/2,20.0,26.7794772,1.1e-06,,L15349,8
383,3s2.3p4.(3P<2>).8k,2[5]*,9/2,10.0,26.7795606,9e-07,,L15349,8
384,3s2.3p4.(3P<2>).8k,2[5]*,11/2,12.0,26.7795623,7e-07,,L15349,8
385,3s2.3p4.(1D).5d,2S,1/2,2.0,26.88996,1e-05,,L15349,5
386,3s2.3p4.(3P<1>).8i,2[7],13/2,14.0,26.9166429,1.2e-06,,L15349,8
387,3s2.3p4.(3P<1>).8i,2[7],15/2,16.0,26.9166441,1.2e-06,,L15349,8
388,3s2.3p4.(3P<1>).8i,2[5],11/2,12.0,26.9166673,1.2e-06,,L15349,8
389,3s2.3p4.(3P<1>).8i,2[5],9/2,10.0,26.9166673,1.4e-06,,L15349,8
390,3s2.3p4.(3P<1>).8k,2[6]*,11/2,12.0,26.9170312,4e-07,,L15349,8
391,3s2.3p4.(3P<1>).8k,2[6]*,13/2,14.0,26.9170326,4e-07,,L15349,8
392,3s2.3p4.(3P<1>).8k,2[8]*,15/2,16.0,26.9170782,4e-07,,L15349,8
393,3s2.3p4.(3P<1>).8k,2[8]*,17/2,18.0,26.9170802,4e-07,,L15349,8
394,3s2.3p4.(3P<1>).8i,2[6],13/2,14.0,26.9172077,1.1e-06,,L15349,8
395,3s2.3p4.(3P<1>).8i,2[6],11/2,12.0,26.9172077,1.1e-06,,L15349,8
396,3s2.3p4.(3P<1>).8k,2[7]*,15/2,16.0,26.9174374,6e-07,,L15349,8
397,3s2.3p4.(3P<1>).8k,2[7]*,13/2,14.0,26.9174388,6e-07,,L15349,8
398,3s2.3p4.(3P<0>).8i,2[6],11/2,12.0,26.9736918,1e-06,,L15349,8
399,3s2.3p4.(3P<0>).8i,2[6],13/2,14.0,26.9736929,9e-07,,L15349,8
400,3s2.3p4.(3P<0>).8k,2[7]*,15/2,16.0,26.9739785,1.1e-06,,L15349,8
401,3s2.3p4.(3P<0>).8k,2[7]*,13/2,14.0,26.9739799,1.1e-06,,L15349,8
402,3s2.3p4.(1D<2>).5f,2[5]*,9/2,10.0,27.14521116,9e-08,,L15349,5
403,3s2.3p4.(1D<2>).5f,2[5]*,11/2,12.0,27.145213,1.6e-05,,L15349,5
404,3s2.3p4.(1D<2>).5f,2[2]*,5/2,6.0,27.152775,1.4e-05,,L15349,5
405,3s2.3p4.(1D<2>).5f,2[2]*,3/2,4.0,27.153006,4e-06,,L15349,5
406,3s2.3p4.(1D<2>).5g,2[2],5/2,6.0,27.1714508,2.5e-06,,L15349,5
407,3s2.3p4.(1D<2>).5f,2[3]*,7/2,8.0,27.17246,4e-06,,L15349,5
408,3s2.3p4.(1D<2>).5g,2[6],13/2,14.0,27.1777815,1.4e-06,,L15349,5
409,3s2.3p4.(1D<2>).5g,2[6],11/2,12.0,27.177782,1.4e-06,,L15349,5
410,3s2.3p4.(1D<2>).5g,2[3],7/2,8.0,27.1831194,5e-07,,L15349,5
411,3s2.3p4.(1D<2>).5g,2[3],5/2,6.0,27.1831375,2.5e-06,,L15349,5
412,3s2.3p4.(1D<2>).5g,2[4],7/2,8.0,27.19190872,2.1e-07,,L15349,5
413,3s2.3p4.(1D<2>).5g,2[4],9/2,10.0,27.19191042,2.2e-07,,L15349,5
414,3s2.3p4.(1D<2>).5g,2[5],9/2,10.0,27.19247975,1.7e-07,,L15349,5
415,3s2.3p4.(1D<2>).5g,2[5],11/2,12.0,27.1924834,4e-07,,L15349,5
416,3s2.3p4.(1D<2>).6g,2[6],13/2,14.0,27.8476503,2.5e-06,,L15349,6
417,3s2.3p4.(1D<2>).6g,2[6],11/2,12.0,27.8476507,2.5e-06,,L15349,6
418,Limit,NaN,NaN,NaN,27.62967,0.00012,NaN,NaN,NaN
