,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
126,3s2.3p4.(3P).5d,4D,3/2,4.0,24.81564826,4e-08,,L15349,5
127,3s2.3p4.(3P).5d,4D,1/2,2.0,24.8472313,5e-08,,L15349,5
128,3s2.3p4.(3P).6s,2P,3/2,4.0,24.800842727,2.5e-08,,L15349,6
129,3s2.3p4.(3P).6s,2P,1/2,2.0,24.87417696,4e-08,,L15349,6
130,3s2.3p4.(1D).4d,2F,7/2,8.0,24.814064898,2.5e-08,,L15349,4
131,3s2.3p4.(1D).4d,2F,5/2,6.0,24.82597075,4e-08,0.862,L15349,4
132,3s2.3p4.(3P).5d,4F,9/2,10.0,24.845578706,2.5e-08,,L15349,5
133,3s2.3p4.(3P).5d,4F,7/2,8.0,24.9060184,4e-08,,L15349,5
134,3s2.3p4.(3P).5d,4F,5/2,6.0,24.96441882,4e-08,,L15349,5
135,3s2.3p4.(3P).5d,4F,3/2,4.0,25.0101834,4e-08,,L15349,5
136,3s2.3p4.(3P).5d,4P,1/2,2.0,24.92458926,9e-08,,L15349,5
137,3s2.3p4.(3P).5d,4P,3/2,4.0,24.9636347,4e-08,,L15349,5
138,3s2.3p4.(3P).5d,4P,5/2,6.0,25.01776196,2.5e-08,,L15349,5
139,3s2.3p4.(3P).5d,2F,7/2,8.0,24.996318074,2.5e-08,,L15349,5
140,3s2.3p4.(3P).5d,2F,5/2,6.0,25.064142489,2.5e-08,,L15349,5
141,3s2.3p4.(3P).6p,4P*,5/2,6.0,25.063301207,2.5e-08,,L15349,6
142,3s2.3p4.(3P).6p,4P*,3/2,4.0,25.07625732,2.5e-08,,L15349,6
143,3s2.3p4.(3P).6p,4P*,1/2,2.0,25.09695279,4e-08,,L15349,6
144,3s2.3p4.(3P).6p,4D*,7/2,8.0,25.098108804,2.5e-08,,L15349,6
145,3s2.3p4.(3P).6p,4D*,3/2,4.0,25.102730005,2.5e-08,,L15349,6
146,3s2.3p4.(3P).6p,4D*,5/2,6.0,25.1123057,4e-08,,L15349,6
147,3s2.3p4.(1D).5p,2P*,3/2,4.0,25.169760115,2.5e-08,,L15349,5
148,3s2.3p4.(1D).5p,2P*,1/2,2.0,25.24248286,4e-08,,L15349,5
149,3s2.3p4.(1D).5p,2F*,5/2,6.0,25.18754647,5e-08,,L15349,5
150,3s2.3p4.(1D).5p,2F*,7/2,8.0,25.193287976,2.5e-08,,L15349,5
151,3s2.3p4.(3P).6p,2D*,3/2,4.0,25.211570947,2.5e-08,,L15349,6
152,3s2.3p4.(3P).6p,2D*,5/2,6.0,25.231017595,2.5e-08,,L15349,6
153,3s2.3p4.(3P).6p,2P*,3/2,4.0,25.259414577,2.5e-08,,L15349,6
154,3s2.3p4.(3P).6p,2P*,1/2,2.0,25.26633095,7e-08,,L15349,6
155,3s2.3p4.(3P).6p,4S*,3/2,4.0,25.282631498,2.5e-08,,L15349,6
156,3s2.3p4.(1D).5p,2D*,3/2,4.0,25.3068809,4e-08,,L15349,5
157,3s2.3p4.(1D).5p,2D*,5/2,6.0,25.30939846,6e-08,,L15349,5
