,Configuration,Term,J,g,Level (eV),nQua
26,3d6.(5D).4s (6D).6s,g 7D,nan,35.0,6.737045688,4.0
27,3d6.(5D).4s.4p.(3P*),z 7F*,nan,49.0,2.857155987142857,4.0
28,3d7.(4F).5p,5G*,nan,45.0,6.667878003999999,5.0
29,3d6.4s.(6D).5d,5G,nan,45.0,7.038709361999999,5.0
30,3d6.4s2,a 1I,nan,13.0,3.6343498,4.0
31,3d6.(5D).4s (6D).4d,f 5F,nan,35.0,6.388371994,4.0
32,3d6.4s.(6D<9/2>).4f,2[9/2]*,nan,20.0,7.03670198,4.0
33,3d6.4s.(4D).5p,3F*,nan,21.0,7.272453436666666,5.0
34,3d6.(3H).4s.4p.(1P*),3G*,nan,27.0,7.230490566666666,4.0
35,3d7.(4F<7/2>).4f,2[13/2]*,nan,28.0,7.34885495,4.0
36,3d6.4s.(6D<9/2>).5f,2[13/2]*,nan,28.0,7.34937055,5.0
37,3d6.4s.(6D<3/2>).6d,2[3/2],nan,8.0,7.441211,6.0
38,3d7.(4F<7/2>).4f,2[3/2]*,nan,5.0,7.349317,4.0
39,3d6.4s.(6D<7/2>).5g,2[15/2],nan,32.0,7.40408145,5.0
40,3d6.(3H).4s.4p.(3P*),y 5G*,nan,45.0,5.332976118,4.0
41,3d7.(2G).4p,y 3H*,nan,33.0,6.14819373,4.0
42,3d6.(3F2).4s.4p.(3P*),x 5G*,nan,45.0,5.679621106000001,4.0
43,3d6.4s.(6D<7/2>).4f,2[3/2]*,nan,8.0,7.08610212,4.0
44,3d6.(5D).4s (4D).4d,i 5D,nan,24.0,7.18391647,4.0
45,3d6.4s.(6D<7/2>).5g,2[7/2],nan,16.0,7.4040047,5.0
46,3d6.4s.(6D<5/2>).5g,2[13/2],nan,28.0,7.4389543,5.0
47,3d6.4s.(6D<3/2>).4f,2[5/2]*,nan,12.0,7.145441765,4.0
48,3d7.(4F).5p,5D*,nan,24.0,6.71154223,5.0
49,3d6.4s.(6D<9/2>).6d,2[11/2],nan,24.0,7.3340865,6.0
50,3d6.(3G).4s.4p.(1P*),3H*,nan,13.0,7.8154377,4.0
51,3d6.(3G).4s.4p.(3P*),w 1G*,nan,9.0,6.79568,4.0
52,3d5.(6S).4s2.4p,v 5P*,nan,15.0,5.9685952633333335,4.0
53,3d6.(3F2).4s.4p.(3P*),x 3F*,nan,21.0,5.83464943,4.0
54,3d6.(1I).4s.4p.(3P*),u 3H*,nan,33.0,6.990225189999999,4.0
55,3d6.4s.(6D).6p,7D*,nan,35.0,7.02468835,6.0
56,3d7.(4F).4d,e 3H,nan,33.0,6.722537053333333,4.0
57,3d6.4s.(6D<5/2>).4f,2[1/2]*,nan,3.0,7.1193548,4.0
58,3d6.(5D).4s.4p.(3P*),z 3D*,nan,15.0,3.9239465133333336,4.0
59,3d6.(3F2).4s.4p.(3P*),v 3D*,nan,15.0,6.103133696666667,4.0
60,3d7.(4F).4d,f 5P,nan,15.0,6.63954162,4.0
61,3d6.(3D).4s.4p.(3P*),5D*,nan,24.0,6.697676932500001,4.0
62,3d6.4s.(6D<5/2>).4f,2[11/2]*,nan,24.0,7.12023652,4.0
63,3d7.(4F).5d,3G,nan,20.0,7.316075,5.0
64,3d7.(4F).5p,5F*,nan,35.0,6.655507776,5.0
65,3d6.(5D).4s.4p.(3P*),z 7D*,nan,35.0,2.4450301879999996,4.0
66,3d6.(3H).4s.4p.(3P*),1I*,nan,13.0,5.9634283,4.0
67,3d6.(5D).4s (4D).5s,g 5D,nan,25.0,6.438315009999999,4.0
68,3d6.4s.(6D<7/2>).6d,2[5/2],nan,12.0,7.38032845,6.0
69,3d6.4s.(6D<5/2>).5g,2[3/2],nan,8.0,7.43882005,5.0
70,3d6.4s.(4D).5p,5F*,nan,35.0,7.272158116,5.0
71,3d6.(5D).4s (6D).5p,n 7D*,nan,35.0,6.1713748,4.0
72,3d7.(2P).4p,u 3D*,nan,15.0,6.479351309999999,4.0
73,3d6.4s.(6D).5d,5S,nan,5.0,7.03243444,5.0
74,3d6.4s.(6D<3/2>).4f,2[7/2]*,nan,16.0,7.14667249,4.0
75,3d7.(4F<9/2>).4f,2[7/2]*,nan,16.0,7.279477735,4.0
76,3d7.(2G).4s,a 1G,nan,9.0,3.0468689,4.0
77,3d7.(2P).4s,c 3P,nan,9.0,3.06651701,4.0
78,3d6.4s.(6D<9/2>).5g,2[1/2],nan,4.0,7.3570074000000005,5.0
79,3d6.4s.(6D<7/2>).6d,2[3/2],nan,8.0,7.38699255,6.0
80,3d6.4s.(6D<9/2>).4f,2[3/2]*,nan,8.0,7.041144585,4.0
81,3d6.4s.(6D<3/2>).6d,2[1/2],nan,3.0,7.4351489,6.0
82,3d6.(3P2).4s.4p.(3P*),1D*,nan,5.0,5.87929188,4.0
83,3d7.(4F<7/2>).4f,2[5/2]*,nan,12.0,7.3486349650000005,4.0
84,3d7.(4F<9/2>).4f,2[15/2]*,nan,32.0,7.28041795,4.0
85,3d6.4s.(6D<9/2>).5g,2[15/2],nan,32.0,7.35614035,5.0
86,3d6.(5D).4s.4p.(3P*),z 3F*,nan,21.0,3.9363456766666665,4.0
87,3d6.4s.(6D).7s,7D,nan,24.0,7.256844875,7.0
88,3d6.(3H).4s.4p.(3P*),z 5I*,nan,33.0,5.364659363333334,4.0
89,3d7.(4F).5s,e 5F,nan,35.0,5.911492065999999,5.0
90,3d6.(1G2).4s.4p.(3P*),v 3H*,nan,33.0,6.879524133333334,4.0
91,3d6.4s.(4D).5p,3P*,nan,8.0,7.27435552,5.0
92,3d7.(2F).4s,d 3F,nan,21.0,4.585849503333333,4.0
93,3d6.(3G).4s.4p.(3P*),x 3F*,nan,21.0,6.6149929599999995,4.0
94,3d7.(2P).4s,a 1P,nan,3.0,3.41489715,4.0
95,3d6.(5D).4s (6D).5s,e 7D,nan,35.0,5.376235568,4.0
96,3d6.4s.(6D).6p,7F*,nan,49.0,7.049104977142858,6.0
97,3d6.(3H).4s.4p.(1P*),t 3H*,nan,33.0,7.508166833333334,4.0
98,3d6.4s.(4D).5p,5P*,nan,15.0,7.320851706666666,5.0
99,3d6.4s.(6D<5/2>).6d,2[7/2],nan,16.0,7.4245045,6.0
100,3d6.4s.(6D).7s,5D,nan,24.0,7.2912918775,7.0
101,3d6.(5D).4s.4p.(1P*),y 5P*,nan,15.0,4.601222513333334,4.0
102,3d6.4s.(6D<7/2>).4f,2[7/2]*,nan,16.0,7.08562348,4.0
103,3d6.4s.(6D<9/2>).6d,2[9/2],nan,20.0,7.33120785,6.0
104,3d6.4s.(6D<9/2>).6d,2[5/2],nan,7.0,7.3419976,6.0
105,3d6.4s.(6D<5/2>).5g,2[7/2],nan,16.0,7.4391402499999995,5.0
106,3d6.4s.(4D).4d,3P,nan,3.0,7.4657386,4.0
107,3d7.(4F).5p,3D*,nan,15.0,6.735973883333333,5.0
108,3d6.(5D).4s (6D).4d,e 7G,nan,63.0,6.354189584285714,4.0
109,3d6.4s.(4D).4d,5S,nan,5.0,7.3053924,4.0
110,3d6.4s.(6D<9/2>).5g,2[11/2],nan,24.0,7.355969549999999,5.0
111,3d6.(3F2).4s.4p.(1P*),3F*,nan,16.0,7.4556697,4.0
112,3d6.4s.(6D<3/2>).5g,2[11/2],nan,24.0,7.46306415,5.0
113,3d7.(2G).4p,w 3F*,nan,21.0,6.10766466,4.0
114,3d6.(3F2).4s.4p.(3P*),1F*,nan,7.0,6.13438193,4.0
115,3d7.(4F).5d,5F,nan,20.0,7.2644375199999995,5.0
116,Limit,nan,nan,0.0,7.9024681,nan
117,3d7.(2D2).4p,x 1F*,nan,7.0,6.66579718,4.0
118,3d6.4s.(6D).5d,7F,nan,48.0,7.065150055,5.0
119,3d6.(5D).4s (6D).7s,7D,nan,11.0,7.1783195,4.0
120,3d7.(4F<9/2>).4f,2[11/2]*,nan,24.0,7.277957625,4.0
121,3d7.(2H).4p,1H*,nan,11.0,6.93160665,4.0
122,3d6.4s.(6D<7/2>).5f,2[11/2]*,nan,11.0,7.3973888,5.0
123,3d7.(4F<3/2>).4f,2[9/2]*,nan,20.0,7.4341817,4.0
124,3d7.(4F<7/2>).4f,2[11/2]*,nan,24.0,7.3478583099999994,4.0
125,3d7.(2D2).4p,w 1D*,nan,5.0,6.9126439,4.0
126,3d7.(4F<9/2>).4f,2[13/2]*,nan,28.0,7.278414815,4.0
127,3d6.4s.(6D<9/2>).5g,2[5/2],nan,12.0,7.35664215,5.0
128,3d6.4s.(4D).4d,5F,nan,35.0,7.21061646,4.0
129,3d6.(5D).4s (6D).5p,n 7P*,nan,21.0,6.270099416666667,4.0
130,3d6.(3F2).4s.4p.(3P*),x 1G*,nan,9.0,6.27533411,4.0
131,3d6.(3G).4s.4p.(3P*),x 3H*,nan,33.0,6.343899646666666,4.0
132,3d7.(4F).4d,h 5D,nan,24.0,6.6579573750000005,4.0
133,3d7.(2H).4p,v 1G*,nan,9.0,7.0610614,4.0
134,3d6.(3F2).4s.4p.(3P*),x 3G*,nan,27.0,5.929787673333333,4.0
135,3d7.(4P).4p,x 3P*,nan,9.0,6.004178396666667,4.0
136,3d6.(3P2).4s.4p.(3P*),x 3D*,nan,15.0,5.622860326666667,4.0
137,3d7.(2H).4p,1I*,nan,13.0,6.58275864,4.0
138,3d6.(3H).4s.4p.(3P*),y 1G*,nan,9.0,6.03834476,4.0
139,3d6.4s.(6D).5d,7P,nan,21.0,7.05047423,5.0
140,3d6.(3H).4s.4p.(3P*),z 3I*,nan,39.0,5.7090920800000005,4.0
141,3d6.(1G2).4s.4p.(3P*),u 3F*,nan,21.0,7.035470026666668,4.0
142,3d6.(5D).4s (6D).4d,e 7P,nan,21.0,6.27971187,4.0
143,3d6.(1G2).4s.4p.(3P*),s 3G*,nan,27.0,6.906996500000001,4.0
144,3d6.4s.(4D).4d,3G,nan,20.0,7.28143765,4.0
145,3d6.(5D).4s (6D).4d,e 7F,nan,48.0,6.324345891666667,4.0
146,3d7.(4F<5/2>).4f,2[3/2]*,nan,5.0,7.40029668,4.0
147,3d6.4s.(6D<3/2>).6d,2[5/2],nan,12.0,7.4490592,6.0
148,3d7.(2D2).4s,a 3D,nan,15.0,3.2754628666666665,4.0
149,3d7.(4F).4p,y 5D*,nan,25.0,4.179342234,4.0
150,3d7.(4F).5d,5H,nan,15.0,7.279213,5.0
151,3d7.(2D2).4p,v 3P*,nan,8.0,6.5802279949999996,4.0
152,3d6.(3P2).4s.4p.(1P*),3S*,nan,3.0,7.3771377,4.0
153,3d7.(2H).4s,b 3H,nan,33.0,3.268411803333333,4.0
154,3d7.(4F<5/2>).4f,2[9/2]*,nan,20.0,7.3984293,4.0
155,3d6.4s.(6D).6p,5D*,nan,25.0,7.100041559999999,6.0
156,3d7.(4F<5/2>).4f,2[5/2]*,nan,12.0,7.399348505,4.0
157,3d7.(4F).4p,z 5G*,nan,45.0,4.372965553999999,4.0
158,3d6.4s.(6D<9/2>).4f,2[15/2]*,nan,32.0,7.039671800000001,4.0
159,3d6.(3H).4s.4p.(1P*),3I*,nan,39.0,7.307827603333334,4.0
160,3d7.(4P).4p,y 5S*,nan,5.0,5.51876133,4.0
161,3d6.4s.(6D<1/2>).5g,2[7/2],nan,16.0,7.47745205,5.0
162,3d6.4s.(6D<5/2>).6d,2[1/2],nan,3.0,7.405473,6.0
163,3d6.4s.(6D<7/2>).4f,2[11/2]*,nan,24.0,7.085359455,4.0
164,3d6.(5D).4s (6D).5p,u 5P*,nan,15.0,6.4367386433333325,4.0
165,3d6.(3P2).4s.4p.(3P*),w 5D*,nan,25.0,5.4671054240000005,4.0
166,3d6.(5D).4s (6D).4d,e 5S,nan,5.0,6.34165661,4.0
167,3d7.(2D2).4p,v 3F*,nan,21.0,6.359199296666667,4.0
168,3d6.4s.(6D<5/2>).4f,2[3/2]*,nan,8.0,7.12004137,4.0
169,3d6.4s.(6D<7/2>).6d,2[11/2],nan,24.0,7.3831007500000005,6.0
170,3d6.4s.(6D<3/2>).5g,2[7/2],nan,16.0,7.46340655,5.0
171,3d6.4s.(6D).6s,5D,nan,25.0,6.823471546,6.0
172,3d8,3P,nan,9.0,5.095102903333333,3.0
173,3d6.(3F2).4s.4p.(3P*),w 5F*,nan,35.0,5.501771282000001,4.0
174,3d6.4s.(6D<3/2>).5g,2[5/2],nan,12.0,7.4628736,5.0
175,3d7.(4F).4d,e 3G,nan,27.0,6.702806460000001,4.0
176,3d6.4s.(6D<1/2>).4f,2[7/2]*,nan,16.0,7.159347585,4.0
177,3d7.(4F).4p,y 3F*,nan,21.0,4.602710153333333,4.0
178,3d7.(4P).4p,w 3D*,nan,15.0,5.8448341133333335,4.0
179,3d7.(4F).4p,y 3D*,nan,15.0,4.787820506666667,4.0
180,3d6.4s.(6D).5d,5F,nan,35.0,7.05827352,5.0
181,3d6.4s.(6D<9/2>).6d,2[7/2],nan,16.0,7.34525005,6.0
182,3d6.4s.(6D<7/2>).5g,2[11/2],nan,24.0,7.403939149999999,5.0
183,3d6.(3H).4s.4p.(3P*),z 5H*,nan,40.0,5.354495482500001,4.0
184,3d7.(4F).4d,f 3D,nan,15.0,6.70604162,4.0
185,3d7.(4F).6s,5F,nan,35.0,7.077597848000001,6.0
186,3d7.(4F).4d,f 5G,nan,45.0,6.664315069999999,4.0
187,3d6.(5D).4s.4p.(3P*),z 3P*,nan,9.0,4.25122818,4.0
188,3d6.(3G).4s.4p.(3P*),v 5F*,nan,35.0,5.957403339999999,4.0
189,3d7.(2H).4s,a 1H,nan,11.0,3.5732189,4.0
190,3d6.4s.(6D<9/2>).5g,2[17/2],nan,36.0,7.3566923,5.0
191,3d6.4s.(6D<7/2>).5g,2[13/2],nan,28.0,7.403975,5.0
192,3d6.(3P2).4s.4p.(1P*),3D*,nan,7.0,7.1371882,4.0
193,3d6.4s2,b 1G2,nan,9.0,3.69459719,4.0
194,3d7.(2H).4p,w 3H*,nan,33.0,6.522117673333334,4.0
195,3d6.4s.(6D<9/2>).6d,2[13/2],nan,28.0,7.3352464,6.0
196,3d6.4s.(6D<7/2>).4f,2[1/2]*,nan,4.0,7.0863822800000005,4.0
197,3d6.(5D).4s.4p.(1P*),x 5D*,nan,25.0,4.9772909720000005,4.0
198,3d6.(3P2).4s.4p.(3P*),z 5S*,nan,5.0,5.07033256,4.0
199,3d6.(3H).4s.4p.(3P*),y 3G*,nan,27.0,5.632445996666667,4.0
200,3d6.(3D).4s.4p.(3P*),5F*,nan,35.0,6.671567349999999,4.0
201,3d6.(5D).4s.4p.(3P*),z 7P*,nan,21.0,2.9921203733333335,4.0
202,3d7.(4F).5s,e 3F,nan,21.0,6.009976683333332,5.0
203,3d7.(4F<5/2>).4f,2[11/2]*,nan,11.0,7.3996464,4.0
204,3d6.4s2,b 3G,nan,27.0,2.9855893000000004,4.0
205,3d6.4s.(6D<5/2>).5g,2[5/2],nan,12.0,7.43897705,5.0
206,3d7.(2G).4s,a 3G,nan,27.0,2.726176583333334,4.0
207,3d6.4s.(6D<3/2>).4f,2[9/2]*,nan,20.0,7.144138135,4.0
208,3d6.4s.(4D).4d,3D,nan,15.0,7.299689426666667,4.0
209,3d6.(5D).4s.4p.(3P*),z 5P*,nan,15.0,3.6475359333333337,4.0
210,3d6.4s2,b 1D2,nan,5.0,4.29441489,4.0
211,3d6.(5D).4s (6D).5s,e 5D,nan,25.0,5.608461122,4.0
212,3d6.(3P2).4s.4p.(3P*),y 3P*,nan,9.0,5.798387456666667,4.0
213,3d7.(4F<9/2>).4f,2[9/2]*,nan,20.0,7.2786346900000005,4.0
214,3d6.4s.(6D<5/2>).6d,2[5/2],nan,12.0,7.4182367,6.0
215,3d6.4s.(4D).4d,5P,nan,12.0,7.23416671,4.0
216,3d6.4s.(6D<1/2>).4f,2[5/2]*,nan,12.0,7.15924573,4.0
217,3d7.(2H).4p,y 3I*,nan,39.0,6.53262618,4.0
218,3d6.4s.(6D<7/2>).5g,2[5/2],nan,12.0,7.4040593,5.0
219,3d6.4s.(6D<7/2>).4f,2[13/2]*,nan,28.0,7.086038265,4.0
220,3d6.4s.(6D).5d,5P,nan,12.0,7.102017975,5.0
221,3d6.(3F2).4s.4p.(1P*),r 3G*,nan,27.0,7.492115000000001,4.0
222,3d7.(4F).4d,g 5F,nan,35.0,6.668605518,4.0
223,3d6.4s.(6D<1/2>).5g,2[9/2],nan,20.0,7.47744945,5.0
224,3d6.(3H).4s.4p.(3P*),z 3H*,nan,33.0,5.8312733833333334,4.0
225,3d7.(2G).4p,v 3G*,nan,27.0,6.1553763833333335,4.0
226,3d6.4s.(6D<5/2>).5g,2[9/2],nan,20.0,7.4392467,5.0
227,3d7.(2G).4p,z 1G*,nan,9.0,5.88338708,4.0
228,3d7.(4F<9/2>).4f,2[5/2]*,nan,12.0,7.280496515,4.0
229,3d7.(4F).4d,e 5H,nan,55.0,6.676069044,4.0
230,3d7.(4P).4p,w 5P*,nan,15.0,5.7388572133333335,4.0
231,3d6.(3G).4s.4p.(3P*),y 1H*,nan,11.0,6.6100239,4.0
232,3d6.4s2,a 5D,nan,25.0,0.074046982,4.0
233,3d7.(2P).4p,y 1D*,nan,5.0,6.411013,4.0
234,3d6.4s2,a 3H,nan,33.0,2.4300665266666663,4.0
235,3d6.4s2,a 3P2,nan,9.0,2.395725176666667,4.0
236,3d7.(4F).5p,3F*,nan,21.0,6.708547586666666,5.0
237,3d6.(5D).4s (6D).4d,f 5D,nan,25.0,6.286427052,4.0
238,3d7.(4F).4d,f 3F,nan,21.0,6.826862200000001,4.0
239,3d6.4s.(6D<9/2>).4f,2[7/2]*,nan,16.0,7.0380138599999995,4.0
240,3d6.(3P2).4s.4p.(3P*),z 3S*,nan,3.0,5.77776507,4.0
241,3d6.4s.(6D<9/2>).4f,2[13/2]*,nan,28.0,7.036762545,4.0
242,3d6.4s.(6D<5/2>).4f,2[7/2]*,nan,16.0,7.121484175,4.0
243,3d7.(4P).4s,b 3P,nan,9.0,2.8448955033333334,4.0
244,3d6.4s.(6D<5/2>).4f,2[9/2]*,nan,20.0,7.121475739999999,4.0
245,3d6.(5D).4s (6D).4d,f 7D,nan,35.0,6.300739912,4.0
246,3d6.(5D).4s (6D).5p,n 7F*,nan,49.0,6.241532228571429,4.0
247,3d6.4s.(6D).5d,5D,nan,24.0,6.997646435,5.0
248,3d6.4s.(6D<7/2>).4f,2[5/2]*,nan,12.0,7.0858370399999995,4.0
249,3d6.4s.(6D<5/2>).5g,2[11/2],nan,24.0,7.43921855,5.0
250,3d6.4s2,b 3D,nan,15.0,3.63887762,4.0
251,3d6.4s.(6D).6p,5F*,nan,35.0,7.097709816,6.0
252,3d6.(5D).4s (6D).4d,e 5G,nan,45.0,6.31812448,4.0
253,3d7.(2H).4p,u 3G*,nan,27.0,6.4003895333333345,4.0
254,3d7.(4P).4p,y 3S*,nan,3.0,5.89614419,4.0
255,3d6.4s.(6D<9/2>).4f,2[11/2]*,nan,24.0,7.03610326,4.0
256,3d6.(3G).4s.4p.(3P*),y 5H*,nan,40.0,5.979881595,4.0
257,3d7.(4F<7/2>).4f,2[7/2]*,nan,16.0,7.34799921,4.0
258,3d6.(1I).4s.4p.(3P*),x 3I*,nan,39.0,7.0754434999999996,4.0
259,3d6.4s.(6D<9/2>).5g,2[3/2],nan,8.0,7.3568607,5.0
260,3d6.4s.(4D).4d,3F,nan,21.0,7.382853000000001,4.0
261,3d6.(5D).4s.4p.(3P*),z 5F*,nan,35.0,3.388785506,4.0
262,3d6.4s.(6D<7/2>).6d,2[7/2],nan,16.0,7.376807599999999,6.0
263,3d6.4s.(6D).5d,7G,nan,63.0,7.081729822857143,5.0
264,3d7.(2P).4p,x 3S*,nan,3.0,6.67138589,4.0
265,3d5.(6S).4s2.4p,y 7P*,nan,21.0,4.987514996666667,4.0
266,3d7.(2G).4p,z 1F*,nan,7.0,6.27197352,4.0
267,3d6.4s.(6D<3/2>).4f,2[3/2]*,nan,8.0,7.14371009,4.0
268,3d7.(4F).5p,3G*,nan,27.0,6.661339819999999,5.0
269,3d6.(3D).4s.4p.(3P*),t 5P*,nan,15.0,6.7111824166666665,4.0
270,3d6.4s.(6D<9/2>).4f,2[5/2]*,nan,12.0,7.0396244150000005,4.0
271,3d7.(4F).4s,a 5F,nan,35.0,0.9465844139999999,4.0
272,3d7.(2D2).4p,t 3D*,nan,15.0,6.519665846666666,4.0
273,3d6.4s.(6D).5d,7S,nan,7.0,7.12143749,5.0
274,3d6.(3H).4s.4p.(3P*),1H*,nan,11.0,6.40132623,4.0
275,3d6.(3H).4s.4p.(3P*),x 1D*,nan,5.0,6.4176795,4.0
276,3d6.(5D).4s (6D).5p,t 5D*,nan,25.0,6.393553018,4.0
277,3d6.4s.(4D).4d,3S,nan,3.0,7.3342434,4.0
278,3d6.(3G).4s.4p.(3P*),1F*,nan,7.0,6.95524523,4.0
279,3d6.4s.(6D<7/2>).5g,2[3/2],nan,8.0,7.404105,5.0
280,3d7.(4F<3/2>).4f,2[7/2]*,nan,16.0,7.432502250000001,4.0
281,3d6.4s.(6D<5/2>).6d,2[3/2],nan,8.0,7.41099455,6.0
282,3d6.4s.(6D<7/2>).5g,2[9/2],nan,20.0,7.4039573999999995,5.0
283,3d6.(5D).4p2.(3P),7F,nan,25.0,7.4275503333333335,4.0
284,3d6.4s.(6D<3/2>).6d,2[7/2],nan,7.0,7.4510813,6.0
285,3d7.(2P).4p,1P*,nan,3.0,6.46959714,4.0
286,3d6.4s.(6D<9/2>).5g,2[13/2],nan,28.0,7.3559388000000006,5.0
287,3d6.(3F2).4s.4p.(1P*),3D*,nan,7.0,7.5390662,4.0
288,3d6.4s.(6D<3/2>).5g,2[9/2],nan,20.0,7.46359365,5.0
289,3d7.(4P).4s,a 5P,nan,15.0,2.1988412033333335,4.0
290,3d6.4s.(6D<9/2>).5f,2[15/2]*,nan,32.0,7.3510724,5.0
291,3d7.(4F<7/2>).4f,2[9/2]*,nan,20.0,7.34774889,4.0
292,3d6.(5D).4s (6D).4d,e 7S,nan,7.0,6.39387714,4.0
293,3d7.(4F).4p,y 5F*,nan,35.0,4.247773623999999,4.0
294,3d7.(4F).4s,a 3F,nan,21.0,1.5500391633333335,4.0
295,3d6.4s.(6D<7/2>).5f,2[13/2]*,nan,28.0,7.3980805499999995,5.0
296,3d6.4s.(6D<5/2>).4f,2[5/2]*,nan,12.0,7.12065825,4.0
297,3d6.(5D).4s.4p.(3P*),z 5D*,nan,25.0,3.2585458620000005,4.0
298,3d6.4s.(6D<7/2>).6d,2[9/2],nan,20.0,7.37683355,6.0
299,3d6.4s2,b 3F2,nan,21.0,2.58525978,4.0
300,3d6.(3D).4s.4p.(1P*),3D*,nan,12.0,7.09320189,4.0
301,3d6.4s.(6D<9/2>).5f,2[11/2]*,nan,13.0,7.3491091,5.0
302,3d6.4s.(4D).5p,3D*,nan,15.0,7.22428537,5.0
303,3d6.(5D).4s (4D).5s,e 3D,nan,15.0,6.408909853333333,4.0
304,3d6.(5D).4s (6D).5p,u 5F*,nan,35.0,6.392387792,4.0
305,3d7.(4P).4p,u 5D*,nan,25.0,5.819895568,4.0
