,Configuration,Term,J,g,Level (eV),nQua
0,3d6.4s.(6D).5d,7D,nan,35.0,7.037382282,5.0
1,3d7.(2P).4p,w 3P*,nan,9.0,6.206706463333333,4.0
2,3d6.(3G).4s.4p.(3P*),t 3G*,nan,27.0,6.72907945,4.0
3,3d6.4s.(6D<7/2>).4f,2[9/2]*,nan,20.0,7.085260205,4.0
4,3d7.(4F<5/2>).4f,2[7/2]*,nan,16.0,7.398349704999999,4.0
5,3d7.(4F).4p,z 3G*,nan,27.0,4.431449173333333,4.0
6,3d8,c 3F,nan,21.0,4.134941413333334,3.0
7,3d6.4s.(4D).5p,5D*,nan,24.0,7.21116589,5.0
8,3d6.(3P2).4s.4p.(3P*),x 5P*,nan,15.0,5.309480386666666,4.0
9,3d7.(4F).6s,3F,nan,21.0,7.100905793333333,6.0
10,3d6.(3G).4s.4p.(3P*),w 5G*,nan,45.0,5.899119657999999,4.0
11,3d7.(4F<3/2>).4f,2[5/2]*,nan,12.0,7.4328712,4.0
12,3d6.4s.(6D<5/2>).6d,2[9/2],nan,20.0,7.4046232,6.0
13,3d6.4s.(6D).6p,5P*,nan,15.0,7.11049422,6.0
14,3d6.(5D).4s (6D).4d,e 5P,nan,15.0,6.4440529233333335,4.0
15,3d6.(3D).4s.4p.(3P*),t 3F*,nan,21.0,7.145612403333334,4.0
16,3d6.4s.(6D).6p,7P*,nan,21.0,7.051404206666667,6.0
17,3d6.(5D).4s.4p.(1P*),x 5F*,nan,35.0,5.054651034,4.0
18,3d7.(4F).4d,e 3P,nan,9.0,6.859727213333334,4.0
19,3d6.(5D).4s (4D).4d,g 5G,nan,45.0,7.248821838,4.0
20,3d7.(2D2).4s,a 1D,nan,5.0,3.54652001,4.0
21,3d6.4s.(6D<9/2>).5g,2[7/2],nan,16.0,7.3563867,5.0
22,3d6.(3F2).4s.4p.(3P*),v 5D*,nan,25.0,5.515820228000001,4.0
23,3d7.(2G).4p,z 1H*,nan,11.0,5.99867825,4.0
24,3d6.4s.(6D<9/2>).5g,2[9/2],nan,20.0,7.356142500000001,5.0
25,3d6.4s.(6D<1/2>).6d,2[3/2],nan,8.0,7.45807445,6.0
