,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,3p6.4s,2S,1/2,2.0,0.0,,L7185,4
1,3p6.3d,2D,3/2,4.0,1.692408,,,3
2,3p6.3d,2D,5/2,6.0,1.699932,,,3
3,3p6.4p,2P*,1/2,2.0,3.123349,,,4
4,3p6.4p,2P*,3/2,4.0,3.150984,,,4
5,3p6.5s,2S,1/2,2.0,6.467875,,,5
6,3p6.4d,2D,3/2,4.0,7.047169,,,4
7,3p6.4d,2D,5/2,6.0,7.049551,,,4
8,3p6.5p,2P*,1/2,2.0,7.505138,,,5
9,3p6.5p,2P*,3/2,4.0,7.514841,,,5
10,3p6.4f,2F*,7/2,8.0,8.437981,,,4
11,3p6.4f,2F*,5/2,6.0,8.437981,,,4
12,3p6.6s,2S,1/2,2.0,8.762908,,,6
13,3p6.5d,2D,3/2,4.0,9.016407,,,5
14,3p6.5d,2D,5/2,6.0,9.017486,,,5
15,3p6.6p,2P*,1/2,2.0,9.234953,,,6
16,3p6.6p,2P*,3/2,4.0,9.239519,,,6
17,3p6.5f,2F*,5/2,6.0,9.675031,,,5
18,3p6.5f,2F*,7/2,8.0,9.675031,,,5
19,3p6.5g,2G,9/2,10.0,9.69119,,,5
20,3p6.5g,2G,7/2,8.0,9.69119,,,5
21,3p6.7s,2S,1/2,2.0,9.850331,,,7
22,3p6.6d,2D,3/2,4.0,9.983397,,,6
23,3p6.6d,2D,5/2,6.0,9.983971,,,6
24,3p6.6f,2F*,7/2,8.0,10.347483,,,6
25,3p6.6f,2F*,5/2,6.0,10.347483,,,6
26,3p6.6g,2G,7/2,8.0,10.35764,,,6
27,3p6.6g,2G,9/2,10.0,10.35764,,,6
28,3p6.8s,2S,1/2,2.0,10.451978,,,8
29,3p6.7d,2D,3/2,4.0,10.530431,,,7
30,3p6.7d,2D,5/2,6.0,10.530773,,,7
31,3p6.7f,2F*,7/2,8.0,10.752785,,,7
32,3p6.7f,2F*,5/2,6.0,10.752785,,,7
33,3p6.7g,2G,9/2,10.0,10.75949,,,7
34,3p6.7g,2G,7/2,8.0,10.75949,,,7
35,3p6.9s,2S,1/2,2.0,10.819836,,,9
36,3p6.8d,2D,3/2,4.0,10.869934,,,8
37,3p6.8d,2D,5/2,6.0,10.870156,,,8
38,3p6.8f,2F*,7/2,8.0,11.015663,,,8
39,3p6.8f,2F*,5/2,6.0,11.015663,,,8
40,3p6.8g,2G,7/2,8.0,11.020278,,,8
41,3p6.8g,2G,9/2,10.0,11.020278,,,8
42,3p6.8h,2H*,9/2,10.0,11.021035,,,8
43,3p6.8h,2H*,11/2,12.0,11.021035,,,8
44,3p6.10s,2S,1/2,2.0,11.061142,,,10
45,3p6.9d,2D,3/2,4.0,11.095089,,,9
46,3p6.9d,2D,5/2,6.0,11.095238,,,9
47,3p6.9f,2F*,7/2,8.0,11.19577,,,9
48,3p6.9f,2F*,5/2,6.0,11.19577,,,9
49,3p6.9g,2G,9/2,10.0,11.199053,,,9
50,3p6.9g,2G,7/2,8.0,11.199053,,,9
51,3p6.10d,2D,3/2,4.0,11.252052,,,10
52,3p6.10d,2D,5/2,6.0,11.252161,,,10
53,3p6.10f,2F*,7/2,8.0,11.32447,,,10
54,3p6.10f,2F*,5/2,6.0,11.32447,,,10
55,3p6.10h,2H*,11/2,12.0,11.32732,,,10
56,3p6.10h,2H*,9/2,10.0,11.32732,,,10
57,3p6.11d,2D,5/2,6.0,11.36588,,,11
58,3p6.11d,2D,3/2,4.0,11.36588,,,11
59,3p6.12d,2D,3/2,4.0,11.45106,,,12
60,3p6.12d,2D,5/2,6.0,11.45106,,,12
61,3p6.13d,2D,3/2,4.0,11.51602,,,13
62,3p6.13d,2D,5/2,6.0,11.51602,,,13
63,3p6.14d,2D,5/2,6.0,11.56743,,,14
64,3p6.14d,2D,3/2,4.0,11.56743,,,14
65,3p6.15d,2D,5/2,6.0,11.60826,,,15
66,3p6.15d,2D,3/2,4.0,11.60826,,,15
67,3p6.16d,2D,3/2,4.0,11.64143,,,16
68,3p6.16d,2D,5/2,6.0,11.64143,,,16
69,3p5.4s2,2P*,3/2,4.0,28.1995,,,4
70,3p5.4s2,2P*,1/2,2.0,28.5441,,,4
71,Limit,NaN,NaN,NaN,11.871719,4e-06,NaN,NaN
